Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.2e-2),Na III (4.5e-21),Mg I (2.5e-3),Mg II (2.0e-2),Mg III (1.2e-5),Al I (2.1e-2),Al II (1.4e-1),Al III (4.1e-6),Si I (2.1e-1),Si II (4.1e-1),Si III (1.9e-5),K I (1.5e-3),K II (4.7e-2),K III (1.3e-12),Ca I (6.2e-4),Ca II (1.5e-2),Ca III (2.1e-4),Cr I (0.0e+0),Cr II (0.0e+0),Mn I (1.1e-4),Mn II (8.7e-4),Fe I (7.6e-3),Fe II (4.2e-2),Fe III (5.7e-6),Cu I (7.1e-4),Cu II (1.7e-3),Zn I (2.9e-3),Zn II (4.6e-3),Y I (0.0e+0),Y II (0.0e+0),La I (1.1e-3),La II (4.9e-2),Ce I (0.0e+0),Ce II (0.0e+0),Pr II (0.0e+0),Nd I (0.0e+0),Nd II (0.0e+0),Eu I (0.0e+0),Eu II (0.0e+0),Dy I (0.0e+0),Dy II (0.0e+0),Ho I (0.0e+0),Ho II (0.0e+0),Er I (0.0e+0),Er II (0.0e+0),Tm I (0.0e+0),Tm II (0.0e+0),Yb I (0.0e+0),Yb II (0.0e+0),Lu I (0.0e+0),Lu II (0.0e+0)
198.89,1.534e-22,,,,,,,,,,,,,,,,,,,,,,,,,1.534e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.92,1.103e-21,,,,,,,,,,,,,,,,,,,,,,,,,1.103e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.94,1.232e-14,,,,,,,,,,,,,,,,,,,,,,,,1.232e-14,3.989e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.97,8.698e-14,,,,,,,,,,,,,,,,,,,,,,,,8.698e-14,2.622e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.99,3.106e-13,,,,,,,,,,,,8.857e-29,,,,,,2.310e-31,,,,,,3.106e-13,8.926e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.02,2.004e-12,,,,,,,,,,,,6.472e-28,,,,,,1.629e-30,,,,,,2.004e-12,5.378e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.04,6.738e-12,,,,,,,,,,,,2.365e-27,,,,,,5.813e-30,,,,,,6.738e-12,1.725e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.07,3.972e-11,,,,,,,,,,,,1.580e-26,,,,,,3.746e-29,,,,,,3.972e-11,9.477e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.09,1.258e-10,,,,,,,,,,,,5.436e-26,,,,,,1.259e-28,,,,7.448e-18,,1.258e-10,2.864e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.11,3.889e-10,,,,,,,,,,,,1.827e-25,,,,,,4.131e-28,,,,2.752e-17,,3.889e-10,8.448e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.14,2.021e-9,,,,,,,,,,,,1.075e-24,,,,,,2.347e-27,,,,1.868e-16,,2.021e-9,4.093e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.16,5.884e-9,,,,,,,,,,,,3.403e-24,,,,,,7.251e-27,,,,6.500e-16,,5.884e-9,1.138e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.19,2.795e-8,,,,,,,,,,,,1.831e-23,,,,,,3.765e-26,,,,4.034e-15,,2.795e-8,5.040e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.21,7.662e-8,,,,,,,,,,,,5.457e-23,,,,,,1.096e-25,,,,1.322e-14,,7.662e-8,1.320e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.24,3.326e-7,,,,,,,,,,,,2.684e-22,,,,,,5.199e-25,,,,7.497e-14,,3.326e-7,5.349e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.26,8.587e-7,,,,,,,,,,,,7.532e-22,,,,,,1.425e-24,,,,2.314e-13,,8.587e-7,1.320e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.29,3.406e-6,,,,,,,,,,,,3.386e-21,,,,,,6.180e-24,,,,1.199e-12,,3.406e-6,4.894e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.31,8.282e-6,,,1.196e-57,,,,,,,,,8.949e-21,,,,,,1.595e-23,,,,3.487e-12,,8.282e-6,1.139e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.34,3.002e-5,,,8.531e-57,,,,,,,,,3.676e-20,,,,,,6.321e-23,,,,1.652e-11,,3.002e-5,3.865e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.36,6.875e-5,,,3.068e-56,,,,,,,,,9.150e-20,,,,,,1.536e-22,,,,4.523e-11,,6.875e-5,8.480e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.38,1.537e-4,,,1.077e-55,,,6.550e-43,,,,,2.568e-18,2.224e-19,,,,,,3.646e-22,,,,1.209e-10,,1.537e-4,1.818e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.41,4.911e-4,,,1.394e-54,,,4.666e-42,,,,,1.862e-17,8.053e-19,,,,,,1.274e-21,,,,5.050e-10,,4.911e-4,5.461e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.43,1.034e-3,,,4.907e-54,,,1.677e-41,,,,,6.772e-17,1.843e-18,,,,,,2.847e-21,,,,1.271e-9,,1.034e-3,1.105e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.46,3.020e-3,,,3.120e-53,,,1.092e-40,,,,,4.489e-16,6.100e-18,,,,,,9.092e-21,,,,4.854e-9,,3.020e-3,3.046e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.48,5.987e-3,,,1.044e-52,,,3.696e-40,,,,,1.538e-15,1.315e-17,,,,,,1.913e-20,,,,1.151e-8,,5.987e-3,5.823e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.51,1.598e-2,,,6.144e-52,,,2.201e-39,,,,,9.320e-15,3.977e-17,,,,,,5.585e-20,,,,4.016e-8,,1.598e-2,1.476e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.53,2.983e-2,,,1.952e-51,,,7.017e-39,,,,,3.007e-14,8.074e-17,,,,,,1.107e-19,,,,8.968e-8,,2.983e-2,2.668e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.56,7.276e-2,,,1.063e-50,,,3.820e-38,,,,,1.666e-13,2.232e-16,,,,,,2.953e-19,,,,2.861e-7,,7.276e-2,6.227e-9,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.58,1.279e-1,,,3.203e-50,,,1.147e-37,,,,,5.065e-13,4.267e-16,,,,,,5.511e-19,,,,6.016e-7,,1.279e-1,1.067e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.6,2.196e-1,,,9.454e-50,,,3.365e-37,,,,,1.503e-12,7.964e-16,,,,,,1.004e-18,,,,1.235e-6,,2.196e-1,1.789e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.63,4.722e-1,,,4.604e-49,,,1.616e-36,,,,,7.346e-12,1.941e-15,,,,,,2.362e-18,,,,3.474e-6,,4.722e-1,3.739e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.65,7.633e-1,,,1.288e-48,,,4.463e-36,,,,,2.053e-11,3.412e-15,,,,,,4.054e-18,,,,6.717e-6,,7.633e-1,5.957e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.68,1.500e+0,,,5.782e-48,,,1.959e-35,,,,,9.176e-11,7.600e-15,,,,,,8.713e-18,,,,1.727e-5,,1.500e+0,1.154e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.7,2.283e+0,,,1.531e-47,,,5.098e-35,,,,,2.416e-10,1.258e-14,,,,,,1.408e-17,,,,3.145e-5,,2.283e+0,1.751e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.73,4.100e+0,,,6.327e-47,,,2.046e-34,,,,,9.872e-10,2.561e-14,,,,,,2.767e-17,,,,7.389e-5,,4.100e+0,3.155e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.75,5.878e+0,,,1.585e-46,,,5.015e-34,,,,,2.449e-9,3.993e-14,,,,,,4.212e-17,,,,1.267e-4,,5.878e+0,4.566e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.78,9.646e+0,,,6.021e-46,,,1.840e-33,,,,,9.146e-9,7.429e-14,,,,,,7.565e-17,,,,2.722e-4,,9.645e+0,7.679e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.8,1.302e+1,,,1.425e-45,,,4.249e-33,,,,,2.137e-8,1.091e-13,,,,,,1.085e-16,,,,4.396e-4,,1.302e+1,1.062e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.83,1.953e+1,,,4.972e-45,,,1.425e-32,,,,,7.298e-8,1.855e-13,,,,,,1.781e-16,,,,8.630e-4,,1.953e+1,1.670e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.85,2.483e+1,,,1.111e-44,,,3.100e-32,,,,,1.606e-7,2.565e-13,,,,,,2.406e-16,,,,1.313e-3,,2.483e+1,2.210e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.87,3.082e+1,,,2.428e-44,,,6.583e-32,,,,,3.452e-7,3.462e-13,,,,,,3.175e-16,,,,1.950e-3,,3.082e+1,2.875e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.9,4.075e+1,,,7.506e-44,,,1.948e-31,,,,,1.040e-6,5.190e-13,,,,,,4.601e-16,,,,3.375e-3,,4.075e+1,4.132e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.92,4.764e+1,,,1.547e-43,,,3.896e-31,,,,,2.105e-6,6.598e-13,,,,,,5.721e-16,,,,4.721e-3,,4.763e+1,5.153e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.95,5.755e+1,,,4.384e-43,,,1.054e-30,,,,,5.796e-6,9.041e-13,,,,,,7.592e-16,,,,7.469e-3,,5.755e+1,6.964e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.97,6.336e+1,,,8.525e-43,,,1.986e-30,,,,,1.105e-5,1.082e-12,,,,,,8.904e-16,,,,9.840e-3,,6.335e+1,8.348e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6.996e+1,,,2.212e-42,,,4.912e-30,,,,,2.783e-5,1.355e-12,,,,,,1.083e-15,,,,1.423e-2,,6.995e+1,1.066e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.02,7.253e+1,,,4.056e-42,,,8.719e-30,,,,,4.998e-5,1.528e-12,,,,,,1.200e-15,,,,1.765e-2,,7.251e+1,1.234e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.05,7.319e+1,,,9.637e-42,,,1.971e-29,,,,,1.151e-4,1.749e-12,,,,,,1.343e-15,,,,2.333e-2,,7.317e+1,1.504e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.07,7.146e+1,,,1.666e-41,,,3.296e-29,,,,,1.947e-4,1.857e-12,,,,,,1.409e-15,,,,2.726e-2,,7.143e+1,1.694e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.1,6.590e+1,,,3.623e-41,,,6.814e-29,,,,,4.097e-4,1.943e-12,,,,,,1.456e-15,,,,3.293e-2,,6.587e+1,1.996e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.12,6.060e+1,,,5.903e-41,,,1.073e-28,,,,,6.530e-4,1.943e-12,,,,,,1.452e-15,,,,3.625e-2,,6.056e+1,2.210e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.14,5.440e+1,,,9.393e-41,,,1.650e-28,,,,,1.016e-3,1.897e-12,,,,,,1.422e-15,,,,3.895e-2,,5.436e+1,2.436e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.17,4.423e+1,,,1.803e-40,,,3.009e-28,,,,,1.886e-3,1.749e-12,,,,,,1.333e-15,,,,4.148e-2,,4.419e+1,2.800e-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.19,3.740e+1,,,2.704e-40,,,4.359e-28,,,,,2.765e-3,1.608e-12,,,,,,1.253e-15,,,,4.198e-2,,3.735e+1,3.061e-5,,4.104e-17,,,,,,,,,,,,,,,,,,,,,,,,,
200.22,2.780e+1,,,4.749e-40,,,7.267e-28,,,,,4.693e-3,1.355e-12,,,,,,1.113e-15,,,,4.086e-2,,2.775e+1,3.473e-5,,2.877e-16,,,,,,,,,,,,,,,,,,,,,,,,,
200.24,2.214e+1,,,6.710e-40,,,9.915e-28,,,,,6.480e-3,1.174e-12,,,,,,1.014e-15,,,,3.895e-2,,2.210e+1,3.757e-5,,1.023e-15,,,,,,,,,,,,,,,,,,,,,,,,,
200.27,1.507e+1,,,1.078e-39,,,1.511e-27,,,,,1.005e-2,9.041e-13,,,,,,8.646e-16,,,,3.465e-2,,1.502e+1,4.177e-5,,6.565e-15,,,,,,,,,,,,,,,,,,,,,,,,,
200.29,1.133e+1,,,1.435e-39,,,1.942e-27,,,,,1.308e-2,7.373e-13,,,,,,7.690e-16,,,,3.111e-2,,1.129e+1,4.441e-5,,2.201e-14,,,,,,,,,,,,,,,,,,,,,,,,,
200.32,7.108e+0,,,2.108e-39,,,2.706e-27,,,,,1.855e-2,5.191e-13,,,,,,6.353e-16,,,,2.530e-2,,7.064e+0,4.787e-5,,1.292e-13,,,,,,,,,,,,,,,,,,,,,,,,,
200.34,5.107e+0,,,2.644e-39,,,3.277e-27,,,,,2.273e-2,3.987e-13,,,,,,5.535e-16,,,,2.139e-2,,5.063e+0,4.971e-5,,4.080e-13,,,,,,,,,,,,,,,,,,,,,,,,,
200.37,3.095e+0,,,3.552e-39,,,4.174e-27,,,,,2.948e-2,2.568e-13,,,,,,4.424e-16,,,,1.590e-2,,3.049e+0,5.164e-5,,2.191e-12,,,,,,,,,,,,,,,,,,,,,,,,,
200.39,2.280e+0,,,4.198e-39,,,4.761e-27,,,,,3.403e-2,1.862e-13,,,,,,3.760e-16,,,,1.266e-2,,2.233e+0,5.232e-5,,6.522e-12,,,,,,,,,,,,,,,,,,,,,,,,,
200.41,1.793e+0,,,4.844e-39,,,5.302e-27,,,,,3.835e-2,1.323e-13,,,,,,3.156e-16,,,,9.840e-3,,1.744e+0,5.252e-5,,1.896e-11,,,,,,,,,,,,,,,,,,,,,,,,,
200.44,1.536e+0,,,5.742e-39,,,5.957e-27,,,,,4.387e-2,7.739e-14,,,,,,2.364e-16,,,,6.448e-3,,1.485e+0,5.203e-5,,8.991e-11,,,,,,,,,,,,,,,,,,,,,,,,,
200.46,1.610e+0,,,6.241e-39,,,6.249e-27,,,,,4.657e-2,5.477e-14,,,,,,1.911e-16,,,,4.721e-3,,1.558e+0,5.128e-5,,2.463e-10,,,,,,,,,,,,,,,,,,,,,,,,,
200.49,2.001e+0,,,6.764e-39,,,6.419e-27,,2.421e-17,,,4.871e-2,3.734e-14,,,,,,1.345e-16,,,,2.828e-3,,1.949e+0,4.972e-5,,1.069e-9,,,,,,,,,,,,,,,,,,,,,,,,,
200.51,2.410e+0,,,6.927e-39,,,6.343e-27,,1.287e-16,,,4.871e-2,3.523e-14,,,,,,1.039e-16,,,,1.950e-3,,2.359e+0,4.854e-5,,2.759e-9,,,,,,,,,,,,,,,,,,,,,,,,,
200.54,3.188e+0,,,6.865e-39,,,5.957e-27,,9.290e-16,,,4.657e-2,4.603e-14,,,,,,6.790e-17,,,,1.068e-3,,3.140e+0,4.682e-5,,1.095e-8,,,,,,,,,,,,,,,,,,,,,,,,,
200.56,3.781e+0,,,6.623e-39,,,5.545e-27,,3.269e-15,,,4.387e-2,6.379e-14,,,,,,4.982e-17,,,,6.934e-4,,3.737e+0,4.585e-5,,2.665e-8,,,,,,,,,,,,,,,,,,,,,,,,,
200.59,4.718e+0,,,6.002e-39,,,4.761e-27,,2.065e-14,,,3.835e-2,1.108e-13,,,,,,3.005e-17,,,,3.469e-4,,4.679e+0,4.485e-5,,9.677e-8,,,,,,,,,,,,,,,,,,,,,,,,,
200.61,5.332e+0,,,5.456e-39,,,4.174e-27,,6.853e-14,,,3.403e-2,1.595e-13,,,,,,2.087e-17,,,,2.122e-4,,5.298e+0,4.459e-5,,2.219e-7,,,,,,,,,,,,,,,,,,,,,,,,,
200.63,5.910e+0,,,4.842e-39,,,3.574e-27,,2.221e-13,,,2.948e-2,2.259e-13,,,,,,1.416e-17,,,,1.267e-4,,5.880e+0,4.467e-5,,4.971e-7,,,,,,,,,,,,,,,,,,,,,,,,,
200.66,6.665e+0,,,3.873e-39,,,2.706e-27,,1.240e-12,,,2.273e-2,3.662e-13,,,,,,7.583e-18,,,,5.591e-5,,6.642e+0,4.542e-5,,1.594e-6,,,,,,,,,,,,,,,,,,,,,,,,,
200.68,7.088e+0,,,3.240e-39,,,2.183e-27,,3.788e-12,,,1.855e-2,4.915e-13,,,,,,4.857e-18,,,,3.145e-5,,7.069e+0,4.625e-5,,3.364e-6,,,,,,,,,,,,,,,,,,,,,,,,,
200.71,7.636e+0,,,2.372e-39,,,1.511e-27,,1.936e-11,,,1.308e-2,7.322e-13,,,,,,2.383e-18,,,,1.268e-5,,7.623e+0,4.772e-5,,9.868e-6,,,,,,,,,,,,,,,,,,,,,,,,,
200.73,8.000e+0,,,1.871e-39,,,1.148e-27,,5.577e-11,,,1.005e-2,9.282e-13,,,,,,1.439e-18,,,,6.717e-6,,7.990e+0,4.865e-5,,1.963e-5,,,,,,,,,,,,,,,,,,,,,,,,,
200.76,8.705e+0,,,1.256e-39,,,7.267e-28,,2.609e-10,,,6.480e-3,1.269e-12,,,,,,6.462e-19,,,,2.476e-6,,8.699e+0,4.953e-5,,5.269e-5,,,,,,,,,,,,,,,,,,,,,,,,,
200.78,9.403e+0,,,9.369e-40,,,5.200e-28,,7.086e-10,,,4.693e-3,1.520e-12,,,,,,3.678e-19,,,,1.235e-6,,9.398e+0,4.957e-5,,9.881e-5,,,,,,,,,,,,,,,,,,,,,,,,,
200.81,1.103e+1,,,5.804e-40,,,3.009e-28,,3.035e-9,,,2.765e-3,1.909e-12,,,,,,1.510e-19,,,,4.161e-7,,1.102e+1,4.851e-5,,2.427e-4,,,,,,,,,,,,,,,,,,,,,,,,,
200.83,1.263e+1,,,4.121e-40,,,2.028e-28,,7.771e-9,,,1.887e-3,2.160e-12,,,,,,8.100e-20,,,,1.955e-7,,1.262e+1,4.696e-5,,4.290e-4,,,,,,,,,,,,,,,,,,,,,,,,,
200.86,1.596e+1,,,2.406e-40,,,1.073e-28,,3.047e-8,,,1.018e-3,2.494e-12,,,,,,3.042e-20,,,,6.019e-8,,1.596e+1,4.342e-5,,9.646e-4,,,,,,,,,,,,,,,,,,,,,,,,,
200.88,1.885e+1,,,1.671e-40,,,6.814e-29,,7.356e-8,,,6.559e-4,2.668e-12,,,,,,1.537e-20,,,,2.664e-8,,1.885e+1,4.038e-5,,1.608e-3,,,,,,,,,,,,,,,,,,,,,,,,,
200.9,2.224e+1,,,1.173e-40,,,4.224e-29,,1.735e-7,,,4.156e-4,2.793e-12,,,,,,7.579e-21,,,,1.151e-8,,2.223e+1,3.694e-5,,2.617e-3,,,,,,,,,,,,,,,,,,,,,,,,,
200.93,2.803e+1,,,7.425e-41,,,1.971e-29,,6.011e-7,,,2.111e-4,2.868e-12,,,,,,2.510e-21,,,,3.124e-9,,2.803e+1,3.142e-5,,5.206e-3,,,,,,,,,,,,,,,,,,,,,,,,,
200.95,3.215e+1,,,5.992e-41,,,1.151e-29,,1.336e-6,,,1.466e-4,2.840e-12,,,,,,1.166e-21,,,,1.271e-9,,3.214e+1,2.776e-5,,7.999e-3,,,,,,,,,,,,,,,,,,,,,,,,,
200.98,3.817e+1,,,5.227e-41,,,4.912e-30,,4.240e-6,,,1.301e-4,2.686e-12,,,,,,3.532e-22,,,,3.154e-10,,3.816e+1,2.271e-5,,1.460e-2,,,,,,,,,,,,,,,,,,,,,,,,,
201,4.174e+1,,,5.337e-41,,,2.702e-30,,8.888e-6,,,1.727e-4,2.518e-12,,,,,,1.548e-22,,,,1.209e-10,,4.172e+1,1.980e-5,,2.121e-2,,,,,,,,,,,,,,,,,,,,,,,,,
201.03,4.581e+1,,,6.088e-41,,,1.054e-30,,2.582e-5,,,3.483e-4,2.194e-12,,,,,,4.389e-23,,,,2.742e-11,,4.578e+1,1.632e-5,,3.566e-2,,,,,,,,,,,,,,,,,,,,,,,,,
201.05,4.740e+1,,,6.833e-41,,,5.462e-31,,5.103e-5,,,5.810e-4,1.948e-12,,,,,,2.059e-23,,,,9.895e-12,,4.735e+1,1.461e-5,,4.913e-2,,,,,,,,,,,,,,,,,,,,,,,,,
201.08,4.779e+1,,,8.116e-41,,,1.948e-31,,1.357e-4,,,1.229e-3,1.565e-12,,,,,,1.675e-23,,,,2.051e-12,,4.772e+1,1.290e-5,,7.662e-2,,,,,,,,,,,,,,,,,,,,,,,,,
201.1,4.670e+1,,,8.975e-41,,,9.507e-32,,2.529e-4,,,1.975e-3,1.316e-12,,,,,,3.256e-23,,,,6.972e-13,,4.660e+1,1.222e-5,,1.008e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.13,4.322e+1,,,1.010e-40,,,3.100e-32,,6.157e-4,,,3.859e-3,9.752e-13,,,,,,1.176e-22,,,,1.321e-13,,4.307e+1,1.171e-5,,1.477e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.15,3.993e+1,,,1.066e-40,,,1.425e-32,,1.082e-3,,,5.863e-3,7.773e-13,,,,,,2.773e-22,,,,4.229e-14,,3.973e+1,1.157e-5,,1.876e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.17,3.612e+1,,,1.101e-40,,,6.398e-33,,1.857e-3,,,8.706e-3,6.064e-13,,,,,,6.402e-22,,,,1.322e-14,,3.588e+1,1.150e-5,,2.359e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.2,3.002e+1,,,1.107e-40,,,1.840e-33,,3.997e-3,,,1.511e-2,4.013e-13,,,,,,2.150e-21,,,,2.208e-15,,2.967e+1,1.139e-5,,3.288e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.22,2.606e+1,,,1.081e-40,,,7.781e-34,,6.469e-3,,,2.122e-2,2.966e-13,,,,,,4.681e-21,,,,6.500e-16,,2.563e+1,1.124e-5,,4.084e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.25,2.088e+1,,,9.971e-41,,,2.046e-34,,1.275e-2,,,3.390e-2,1.810e-13,,,,,,1.439e-20,,,,9.925e-17,,2.027e+1,1.086e-5,,5.643e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.27,1.818e+1,,,9.180e-41,,,8.150e-35,,1.945e-2,,,4.512e-2,1.268e-13,,,,,,2.954e-20,,,,2.752e-17,,1.742e+1,1.049e-5,,6.999e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.3,1.558e+1,,,7.764e-41,,,1.959e-35,,3.510e-2,,,6.665e-2,7.132e-14,,,,,,8.314e-20,,,,3.840e-18,,1.451e+1,9.808e-6,,9.648e-1,,,,,,,,,,,,,,,,,,,,,,,,,
201.32,1.489e+1,,,6.745e-41,,,7.351e-36,,5.051e-2,,,8.433e-2,4.730e-14,,,,,,1.609e-19,,,,8.512e-18,,1.357e+1,9.302e-6,5.120e-15,1.190e+0,,,,,,,,,,,,,,,,,,,,,,,,,
201.35,1.542e+1,,,5.230e-41,,,1.616e-36,,8.343e-2,,,1.158e-1,2.452e-14,,,,,,4.145e-19,,,,1.552e-17,,1.361e+1,8.530e-6,3.513e-14,1.612e+0,,,,,,,,,,,,,,,,,,,,,,,,,
201.37,1.672e+1,,,4.291e-41,,,5.710e-37,,1.132e-1,,,1.399e-1,1.540e-14,,,,,,7.562e-19,,,,2.019e-17,,1.452e+1,8.042e-6,1.232e-13,1.948e+0,,,,,,,,,,,,,,,,,,,,,,,,,
201.4,1.982e+1,,,3.059e-41,,,1.147e-37,,1.713e-1,,,1.801e-1,7.350e-15,,,,,,1.783e-18,,,,2.720e-17,,1.694e+1,7.393e-6,7.739e-13,2.527e+0,,,,,,,,,,,,,,,,,,,,,,,,,
201.42,2.244e+1,,,2.377e-41,,,3.820e-38,,2.191e-1,,,2.089e-1,4.367e-15,,,,,,3.067e-18,,,,3.187e-17,,1.906e+1,7.028e-6,2.559e-12,2.948e+0,,5.359e-13,,,,,,,,,,,,,,,,,,,,,,,
201.44,2.529e+1,,,1.810e-41,,,1.242e-38,,2.739e-1,,,2.387e-1,2.537e-15,,,,,,5.152e-18,,,,3.654e-17,,2.140e+1,6.717e-6,8.266e-12,3.377e+0,,1.990e-12,,,,,,,,,,,,,,,,,,,,,,,
201.47,2.957e+1,,,1.164e-41,1.498e-13,,2.201e-39,,3.663e-1,,,2.843e-1,1.077e-15,,,,,,1.073e-17,,,,4.355e-17,,2.492e+1,6.341e-6,4.592e-11,3.994e+0,,1.362e-11,,,,,,,,,,,,,,,,,,,,,,,
201.49,3.216e+1,,,8.518e-42,5.429e-13,,6.740e-40,,4.317e-1,,,3.143e-1,5.919e-16,,,,,,1.700e-17,,,,4.822e-17,,2.706e+1,6.138e-6,1.399e-10,4.354e+0,,4.769e-11,,,,,,,,,,,,,,,,,,,,,,,
201.52,3.527e+1,,,5.273e-42,3.586e-12,,1.092e-40,,5.286e-1,,,3.568e-1,2.311e-16,,,,,,3.242e-17,,,,5.522e-17,,2.962e+1,5.879e-6,7.117e-10,4.758e+0,,2.990e-10,,,,,,,,,,,,,,,,,,,,,,,
201.54,3.668e+1,,,3.854e-42,1.226e-11,,3.150e-41,,5.875e-1,,,3.824e-1,1.200e-16,,,,,,4.841e-17,,,,5.989e-17,,3.080e+1,5.725e-6,2.045e-9,4.910e+0,,9.875e-10,,,,,,,,,,,,,,,,,,,,,,,
201.57,3.778e+1,,,2.514e-42,7.418e-11,,4.666e-42,,6.588e-1,,,4.142e-1,4.300e-17,,,,,,8.451e-17,,,,6.690e-17,,3.177e+1,5.507e-6,9.527e-9,4.934e+0,,5.671e-9,,,,,,,,,,,,,,,,,,,,,,,
201.59,3.791e+1,,,1.989e-42,2.392e-10,,1.268e-42,,6.905e-1,,,4.297e-1,2.109e-17,,,,,,1.190e-16,,,,7.157e-17,,3.198e+1,5.368e-6,2.581e-8,4.810e+0,,1.766e-8,,,,,,,,,,,,,,,,,,,,,,,
201.62,3.756e+1,,,1.546e-42,1.326e-9,,1.367e-42,,7.091e-1,,,4.421e-1,6.939e-18,,,,,,1.901e-16,,,,7.858e-17,,3.198e+1,5.164e-6,1.101e-7,4.432e+0,,9.291e-8,,,,,,,,,,,,,,,,,,,,,,,
201.64,3.724e+1,,,1.393e-42,4.031e-9,,1.433e-42,,7.008e-1,,,4.421e-1,3.213e-18,,,,,,2.522e-16,,,,8.325e-17,,3.202e+1,5.032e-6,2.814e-7,4.076e+0,,2.729e-7,,,,,,,,,,,,,,,,,,,,,,,
201.66,3.708e+1,,,1.302e-42,1.198e-8,,1.499e-42,,6.767e-1,,,4.350e-1,1.454e-18,,,,,,3.269e-16,,,,8.792e-17,,3.231e+1,4.902e-6,7.023e-7,3.662e+0,,7.830e-7,,,,,,,,,,,,,,,,,,,,,,,
201.69,3.756e+1,,,1.221e-42,5.869e-8,,1.598e-42,,6.143e-1,,,4.109e-1,4.238e-19,,,,,,4.616e-16,,,,9.493e-17,,3.355e+1,4.707e-6,2.650e-6,2.985e+0,,3.642e-6,,,,,,,,,,,,,,,,,,,,,,,
201.71,3.855e+1,,,1.178e-42,1.644e-7,,1.664e-42,,5.594e-1,,,3.866e-1,1.810e-19,,,,,,5.640e-16,,,,9.960e-17,,3.508e+1,4.573e-6,6.236e-6,2.528e+0,,9.856e-6,,,,,,,,,,,,,,,,,,,,,,,
