粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,强度误差,强度误差比例(%)
SmII,359.170000-359.830000,359.170000-359.830000,SmII 359.260300 nm (target); FeI 359.463208 nm; MnI 359.510700 nm,1.1386157922327098,0.41525785004226645,inf
SmII,360.690000-361.520000,360.060000-361.520000,MnI 360.848100 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),0.8721295150379037,24.119429021365747,inf
SmII,363.390000-364.120000,363.390000-364.120000,SmII 363.429000 nm (target); FeI 363.829620 nm; FeI 364.038810 nm,12.004737998594223,7.387600000001692,inf
TbII,350.770000-351.150000,350.770000-351.680000,FeI 350.847390 nm; TbII 350.914600 nm (target); NaI 351.093000 nm,2.2080975497837803,2.925943937135753,inf
TbII,369.620000-370.430000,369.620000-370.430000,MnI 369.654000 nm; FeI 370.108586 nm; TbII 370.285600 nm (target),2443.4274264150536,0.0,0.0
TbII,367.170000-367.700000,367.170000-368.110000,CaI 367.528740 nm; TbII 367.636300 nm (target); MnI 367.692300 nm,4.532402152870277,0.0,0.0
TbII,384.390000-385.200000,384.390000-385.200000,MnI 384.398400 nm; TbII 384.874000 nm (target); FeI 384.996631 nm,6686.843864062392,21809.999999995453,inf
YII,370.430000-371.340000,369.620000-371.340000,CaII 370.602400 nm; MnI 370.607800 nm; YII 371.028700 nm (target),7.236579649723132,7.411564999996107,inf
YII,437.200000-437.750000,437.200000-438.020000,FeIII 437.250000 nm; FeIII 437.277000 nm; YII 437.493300 nm (target),0.3934523675160831,8.369444806925829,inf
YII,488.150000-488.910000,487.440000-488.910000,YII 488.368200 nm (target),4.310167791810688,31.001210335139888,inf
