Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.6,0.0,,0.2363956440739907
03124_95_random,0.6363636363636364,0.0,,0.0602954512864965
03130_95_random,0.75,0.0,,0.4148393657092356
03134_95_random,0.7,0.0,,0.0514669909605941
070036_95_random,0.5,0.4,Dy;Gd,1.0218161794555052
070099_95_random,0.5,0.0,,2.278278649318695
070101_95_random,0.6,0.0,,0.2205329528985158
070159_95_random,0.5,0.0,,0.1848600716864266
070171_95_random,0.6666666666666666,0.0,,2.2100712521654446
07103_95_random,0.2727272727272727,0.0,,0.58429757819599
07105_95_random,1.0,0.0,,4.999999049999985
07106_95_random,0.45454545454545453,0.0,,0.2313568090524434
07107_95_random,0.2857142857142857,0.0,,0.2776684974644789
07111_95_random,0.5555555555555556,0.0,,0.1217153475675157
07121_95_random,0.36363636363636365,0.0,,0.1527500886214173
07122_95_random,0.42857142857142855,0.0,,0.3188924741716373
07125_95_random,0.6,0.0,,0.7709943841240235
07141_95_random,1.0,0.0,,0.4078355083246132
07145_95_random,0.5,0.3333333333333333,Yb,0.6434239287454435
07405_95_random,1.0,0.2,Yb,0.5188566157851093
07407_95_random,0.4,0.0,,0.2978042308126616
07840_95_random,1.0,0.5,La,5.000000000000014
