Wavelength (nm),Sum(calc),Na I (5.2e-4),Na II (1.1e-2),Na III (4.0e-21),Mg I (4.2e-3),Mg II (3.4e-2),Mg III (2.1e-5),Al I (1.3e-2),Al II (8.9e-2),Al III (2.5e-6),Si I (1.5e-1),Si II (2.9e-1),Si III (1.4e-5),K I (7.7e-4),K II (2.5e-2),K III (6.9e-13),Ca I (7.8e-3),Ca II (1.9e-1),Ca III (2.7e-3),Mn I (3.2e-4),Mn II (2.6e-3),Fe I (2.1e-2),Fe II (1.1e-1),Fe III (1.5e-5),Cu I (8.5e-3),Cu II (2.1e-2),Zn I (5.7e-4),Zn II (8.9e-4),Mo I (9.1e-6),Pb I (2.5e-5),Pb II (1.5e-4)
199.09,3.917e-21,,,,,,,,,,,,,,,,,,,,,,,3.917e-21,,,,,,,
199.11,3.431e-14,,,,,,,,,,,,,,,,,,,,,,3.431e-14,1.788e-20,,,,,,,
199.14,3.474e-13,,,,,,,,,,,,,,,,,,,,,,3.474e-13,1.638e-19,,,,,,,
199.16,1.559e-12,,,,,,,,,,,,,,,,,,2.989e-30,,,,1.559e-12,6.872e-19,,,,,,,
199.19,1.391e-11,,,,,,,,,,,,5.389e-28,,,,,,3.023e-29,,,,1.391e-11,5.550e-18,,,,,,,
199.21,5.736e-11,,,,,,,,,,,,2.498e-27,,,,,,1.355e-28,,,,5.736e-11,2.141e-17,,,,,,,
199.23,2.287e-10,,,,,,,,,,,,1.120e-26,,,,,,5.875e-28,,,,2.287e-10,7.986e-17,,,,,,,
199.26,1.710e-9,,,,,,,,,,,,9.977e-26,,,,,,4.978e-27,,2.265e-17,,1.710e-9,5.400e-16,,,,,,,
199.28,6.265e-9,,,,,,,,,,,,4.111e-25,,,,,,1.984e-26,,1.066e-16,,6.265e-9,1.851e-15,,,,,,,
199.31,4.126e-8,,,,,,,,,,,,3.227e-24,,,,,,1.481e-25,,1.023e-15,,4.126e-8,1.103e-14,,,,,,,
199.33,1.390e-7,,,,,,,,,,,,1.222e-23,,,,,,5.424e-25,,4.428e-15,,1.390e-7,3.478e-14,,,,,,,
199.36,8.067e-7,,,,,,,,,,,,8.456e-23,,,,,,3.569e-24,,3.744e-14,,8.067e-7,1.827e-13,,,,,,,
199.38,2.497e-6,,,,,,,,,,,,2.944e-22,,,,,,1.201e-23,,1.490e-13,,2.497e-6,5.296e-13,,,,,,,
199.41,1.277e-5,,,,,,,,,,,,1.795e-21,,,,,,6.966e-23,,1.110e-12,,1.277e-5,2.454e-12,,,,,,,
199.43,3.634e-5,,,,,,,,,,,,5.743e-21,,,,,,2.156e-22,,4.060e-12,,3.634e-5,6.541e-12,,,,,,,
199.46,1.638e-4,,,,,,,,,,,,3.086e-20,,,,,,1.101e-21,,2.667e-11,,1.638e-4,2.674e-11,,,,,,,
199.48,4.283e-4,,,,,,,,,,,,9.075e-20,,,,,,3.132e-21,,8.966e-11,,4.283e-4,6.559e-11,,,,,,,
199.5,1.083e-3,,,4.574e-57,,,,,,,,,2.581e-19,,,,,,8.613e-21,,2.915e-10,,1.083e-3,1.556e-10,,,,,,,
199.53,4.089e-3,,,4.477e-56,,,,,,,,,1.162e-18,,,,,,3.687e-20,,1.604e-9,,4.089e-3,5.349e-10,,,,,,,
199.55,9.503e-3,,,1.964e-55,,,9.941e-43,,,,,,3.036e-18,,,,,,9.319e-20,,4.793e-9,,9.503e-3,1.169e-9,,,,,,,
199.58,3.161e-2,,,1.695e-54,,,1.022e-41,,,,,1.551e-17,1.204e-17,,,,,,3.515e-19,,2.325e-8,,3.161e-2,3.556e-9,,,,,,,
199.6,6.752e-2,,,9.570e-54,,,4.631e-41,,,,,7.147e-17,2.894e-17,,,,,,8.167e-19,,6.386e-8,,6.752e-2,7.172e-9,,,,,,,
199.63,1.979e-1,,,7.870e-53,,,4.196e-40,,,,,6.640e-16,1.012e-16,,,,,,2.715e-18,,2.729e-7,,1.979e-1,1.936e-8,,,,,,,
199.65,3.886e-1,,,3.098e-52,,,1.749e-39,,,,,2.814e-15,2.234e-16,,,,,,5.797e-18,,6.892e-7,,3.886e-1,3.610e-8,,,,,,,
199.68,1.004e+0,,,2.300e-51,,,1.397e-38,,,,,2.305e-14,6.882e-16,,,,,,1.698e-17,,2.596e-6,,1.004e+0,8.684e-8,,,,,,,
199.7,1.811e+0,,,8.466e-51,,,5.353e-38,,,,,8.980e-14,1.397e-15,,,,,,3.333e-17,,6.027e-6,,1.811e+0,1.502e-7,,,,,,,
199.73,4.121e+0,,,5.687e-50,,,3.771e-37,,,,,6.486e-13,3.792e-15,,,,,,8.604e-17,,2.001e-5,,4.121e+0,3.240e-7,,,,,,,
199.75,6.836e+0,,,1.958e-49,,,1.328e-36,,,,,2.324e-12,7.075e-15,,,,,,1.552e-16,,4.270e-5,,6.836e+0,5.224e-7,,,,,,,
199.77,1.096e+1,,,6.563e-49,,,4.526e-36,,,,,8.049e-12,1.276e-14,,,,,,2.708e-16,,8.809e-5,,1.096e+1,8.201e-7,,,,,,,
199.8,2.090e+1,,,3.828e-48,,,2.673e-35,,,,,4.874e-11,2.903e-14,,,,,,5.856e-16,,2.451e-4,,2.090e+1,1.538e-6,,,,,,,
199.82,3.080e+1,,,1.198e-47,,,8.372e-35,,,,,1.552e-10,4.813e-14,,,,,,9.390e-16,,4.648e-4,,3.080e+1,2.267e-6,,,,,,,
199.85,5.175e+1,,,6.300e-47,,,4.359e-34,,,,,8.287e-10,9.647e-14,,,,,,1.790e-15,,1.140e-3,,5.175e+1,3.885e-6,,,,,,,
199.87,7.010e+1,,,1.838e-46,,,1.255e-33,,,,,2.427e-9,1.470e-13,,,,,,2.639e-15,,1.987e-3,,7.010e+1,5.408e-6,,,,,,,
199.9,1.038e+2,,,8.675e-46,,,5.763e-33,,,,,1.142e-8,2.597e-13,,,,,,4.434e-15,,4.293e-3,,1.038e+2,8.522e-6,,,,,,,
199.92,1.292e+2,,,2.352e-45,,,1.526e-32,,,,,3.076e-8,3.638e-13,,,,,,6.009e-15,,6.879e-3,,1.292e+2,1.123e-5,,,,,,,
199.95,1.685e+2,,,9.925e-45,,,6.177e-32,,,,,1.277e-7,5.663e-13,,,,,,8.906e-15,,1.310e-2,,1.685e+2,1.632e-5,,,,,,,
199.97,1.929e+2,,,2.494e-44,,,1.504e-31,,,,,3.161e-7,7.292e-13,,,,,,1.111e-14,,1.930e-2,,1.929e+2,2.037e-5,,,,,,,
200,2.217e+2,,,9.376e-44,,,5.366e-31,,,,,1.156e-6,1.000e-12,,,,,,1.453e-14,,3.239e-2,,2.217e+2,2.731e-5,,,,,,,
200.02,2.332e+2,,,2.180e-43,,,1.202e-30,,,,,2.633e-6,1.184e-12,,,,,,1.669e-14,,4.386e-2,,2.332e+2,3.235e-5,,,,,,,
200.04,2.372e+2,,,4.908e-43,,,2.601e-30,,,,,5.797e-6,1.355e-12,,,,,,1.856e-14,,5.743e-2,,2.371e+2,3.757e-5,,,,,,,
200.07,2.284e+2,,,1.562e-42,,,7.782e-30,,,,,1.778e-5,1.557e-12,,,,,,2.052e-14,,8.077e-2,,2.283e+2,4.546e-5,,,,,,,
200.09,2.135e+2,,,3.245e-42,,,1.549e-29,,,,,3.599e-5,1.638e-12,,,,,,2.113e-14,,9.721e-2,,2.134e+2,5.067e-5,,,,,,,
200.12,1.812e+2,,,9.144e-42,,,4.085e-29,,,,,9.733e-5,1.659e-12,,,,,,2.092e-14,,1.205e-1,,1.810e+2,5.848e-5,,,,,,,
200.14,1.557e+2,,,1.751e-41,,,7.478e-29,,,,,1.812e-4,1.604e-12,,,,,,2.011e-14,,1.333e-1,,1.555e+2,6.389e-5,,,,,,,
200.17,1.164e+2,,,4.365e-41,,,1.739e-28,,,,,4.320e-4,1.431e-12,,,,,,1.816e-14,,1.456e-1,,1.163e+2,7.289e-5,,,,,,,
200.19,9.197e+1,,,7.699e-41,,,2.926e-28,,,,,7.393e-4,1.272e-12,,,,,,1.658e-14,,1.481e-1,,9.182e+1,7.984e-5,,,,,,,
200.22,6.063e+1,,,1.695e-40,,,5.999e-28,,,,,1.554e-3,1.000e-12,,,,,,1.411e-14,,1.426e-1,,6.048e+1,9.201e-5,,,,,,,
200.24,4.404e+1,,,2.752e-40,,,9.283e-28,,,,,2.445e-3,8.171e-13,,,,,,1.255e-14,,1.333e-1,,4.390e+1,1.012e-4,,,,,,,
200.27,2.561e+1,,,5.350e-40,,,1.678e-27,,,,,4.533e-3,5.663e-13,,,,,,1.043e-14,,1.131e-1,,2.549e+1,1.159e-4,,,,,,,
200.29,1.712e+1,,,7.993e-40,,,2.387e-27,,,,,6.558e-3,4.252e-13,,,,,,9.192e-15,,9.721e-2,,1.702e+1,1.255e-4,,,,,,,
200.31,1.109e+1,,,1.155e-39,,,3.285e-27,,,,,9.175e-3,3.087e-13,,,,,,8.072e-15,,8.077e-2,,1.100e+1,1.344e-4,,,,,,,
200.34,5.496e+0,,,1.885e-39,,,4.977e-27,,,,,1.426e-2,1.792e-13,,,,,,6.558e-15,,5.743e-2,,5.424e+0,1.448e-4,,,,,,,
200.36,3.391e+0,,,2.505e-39,,,6.296e-27,,,,,1.834e-2,1.196e-13,,,,,,5.630e-15,,4.386e-2,,3.329e+0,1.494e-4,,4.419e-16,,,,,
200.39,1.789e+0,,,3.606e-39,,,8.411e-27,,,,,2.513e-2,6.122e-14,,,,,,4.339e-15,,2.749e-2,,1.736e+0,1.522e-4,,4.457e-15,,,,,
200.41,1.419e+0,,,4.409e-39,,,9.784e-27,,,,,2.972e-2,3.759e-14,,,,,,3.552e-15,,1.930e-2,,1.370e+0,1.517e-4,,1.996e-14,,,,,
200.44,1.587e+0,,,5.597e-39,,,1.152e-26,,,,,3.590e-2,1.711e-14,,,,,,2.510e-15,,1.066e-2,,1.540e+0,1.479e-4,,1.777e-13,,,,,
200.46,2.103e+0,,,6.293e-39,,,1.232e-26,,,,,3.904e-2,9.934e-15,,,,,,1.923e-15,,6.879e-3,,2.057e+0,1.440e-4,,7.320e-13,,,,,
200.49,3.468e+0,,,7.046e-39,,,1.280e-26,,,,,4.158e-2,4.960e-15,,,,,,1.220e-15,,3.348e-3,,3.423e+0,1.370e-4,,5.751e-12,,,,,
200.51,4.785e+0,,,7.286e-39,,,1.259e-26,,,,,4.158e-2,4.290e-15,,,,,,8.661e-16,,1.987e-3,,4.742e+0,1.320e-4,,2.180e-11,,,,,
200.54,7.375e+0,,,7.193e-39,,,1.152e-26,,,,,3.904e-2,6.822e-15,,,,,,4.881e-16,,8.522e-4,,7.335e+0,1.248e-4,,1.511e-10,,,,,
200.56,9.464e+0,,,6.840e-39,,,1.042e-26,,,,,3.590e-2,1.157e-14,,,,,,3.197e-16,,4.648e-4,,9.427e+0,1.204e-4,,5.272e-10,,,,,
200.58,1.175e+1,,,6.289e-39,,,9.110e-27,,,,,3.192e-2,2.007e-14,,,,,,2.027e-16,,2.451e-4,,1.172e+1,1.169e-4,,1.778e-9,,,,,
200.61,1.530e+1,,,5.208e-39,,,6.993e-27,,,,,2.513e-2,4.425e-14,,,,,,9.610e-17,,8.809e-5,,1.528e+1,1.138e-4,,1.035e-8,,,,,
200.63,1.751e+1,,,4.404e-39,,,5.621e-27,,,,,2.054e-2,7.221e-14,,,,,,5.605e-17,,4.270e-5,,1.749e+1,1.137e-4,,3.213e-8,,,,,
200.66,2.018e+1,,,3.217e-39,,,3.804e-27,,,,,1.426e-2,1.417e-13,,,,,,2.345e-17,,1.353e-5,,2.016e+1,1.170e-4,,1.651e-7,,,,,
200.68,2.134e+1,,,2.503e-39,,,2.812e-27,,7.753e-17,,,1.072e-2,2.133e-13,,,,,,1.258e-17,,6.027e-6,,2.133e+1,1.213e-4,,4.715e-7,,,,,
200.71,2.202e+1,,,1.616e-39,,,1.678e-27,,8.000e-16,,,6.558e-3,3.707e-13,,,,,,4.642e-18,,1.683e-6,,2.202e+1,1.301e-4,,2.138e-6,,,,,
200.73,2.186e+1,,,1.159e-39,,,1.140e-27,,3.530e-15,,,4.533e-3,5.146e-13,,,,,,2.290e-18,,6.892e-7,,2.186e+1,1.366e-4,,5.617e-6,,,,,
200.76,2.121e+1,,,6.649e-40,,,5.999e-28,,3.074e-14,,,2.445e-3,7.927e-13,,,,,,7.448e-19,,1.696e-7,,2.121e+1,1.448e-4,,2.248e-5,,,,,
200.78,2.099e+1,,,4.431e-40,,,3.749e-28,,1.249e-13,,,1.554e-3,1.016e-12,,,,,,3.378e-19,,6.386e-8,,2.099e+1,1.480e-4,,5.435e-5,,,,,
200.81,2.208e+1,,,2.311e-40,,,1.739e-28,,9.608e-13,,,7.393e-4,1.389e-12,,,,,,9.684e-20,,1.385e-8,,2.208e+1,1.474e-4,,1.919e-4,,,,,
200.83,2.448e+1,,,1.473e-40,,,9.990e-29,,3.593e-12,,,4.320e-4,1.646e-12,,,,,,4.038e-20,,4.793e-9,,2.448e+1,1.429e-4,,4.270e-4,,,,,
200.85,2.880e+1,,,9.407e-41,,,5.550e-29,,1.300e-11,,,2.441e-4,1.890e-12,,,,,,1.628e-20,,1.604e-9,,2.880e+1,1.351e-4,,9.187e-4,,,,,
200.88,3.969e+1,,,5.059e-41,,,2.158e-29,,8.407e-11,,,9.736e-5,2.194e-12,,,,,,3.911e-21,,2.915e-10,,3.969e+1,1.183e-4,,2.724e-3,,,,,
200.9,5.018e+1,,,3.617e-41,,,1.103e-29,,2.800e-10,,,5.065e-5,2.332e-12,,,,,,1.450e-21,,8.966e-11,,5.017e+1,1.048e-4,,5.393e-3,,,,,
200.93,7.040e+1,,,2.650e-41,,,3.780e-30,,1.600e-9,,,1.811e-5,2.415e-12,,,,,,3.071e-22,,1.436e-11,,7.039e+1,8.355e-5,,1.412e-2,,,,,
200.95,8.614e+1,,,2.505e-41,,,1.775e-30,,4.907e-9,,,9.311e-6,2.381e-12,,,,,,1.046e-22,,4.060e-12,,8.611e+1,7.003e-5,,2.572e-2,,,,,
200.98,1.108e+2,,,2.805e-41,,,5.366e-31,,2.477e-8,,,5.662e-6,2.204e-12,,,,,,1.953e-23,,5.731e-13,,1.108e+2,5.260e-5,,5.942e-2,,,,,
201,1.263e+2,,,3.304e-41,,,2.318e-31,,6.994e-8,,,8.113e-6,2.018e-12,,,,,,6.119e-24,,1.490e-13,,1.262e+2,4.354e-5,,9.964e-2,,,,,
201.03,1.447e+2,,,4.461e-41,,,6.177e-32,,3.119e-7,,,2.306e-5,1.673e-12,,,,,,1.011e-24,,1.853e-14,,1.445e+2,3.420e-5,,2.034e-1,,,,,
201.05,1.521e+2,,,5.470e-41,,,2.453e-32,,8.110e-7,,,4.820e-5,1.423e-12,,,,,,3.046e-25,,4.428e-15,,1.518e+2,3.063e-5,,3.141e-1,,,,,
201.08,1.542e+2,,,7.217e-41,,,5.763e-33,,3.195e-6,,,1.388e-4,1.058e-12,,,,,,1.498e-25,,4.855e-16,,1.536e+2,2.851e-5,,5.673e-1,,,,,
201.1,1.494e+2,,,8.429e-41,,,2.104e-33,,7.650e-6,,,2.700e-4,8.370e-13,,,,,,4.033e-25,,1.066e-16,,1.486e+2,2.866e-5,,8.086e-1,,,,,
201.12,1.401e+2,,,9.569e-41,,,7.429e-34,,1.772e-5,,,5.081e-4,6.435e-13,,,,,,1.384e-24,,1.414e-16,,1.390e+2,2.954e-5,,1.117e+0,,,,,
201.15,1.199e+2,,,1.093e-40,,,1.463e-34,,5.871e-5,,,1.233e-3,4.108e-13,,,,,,8.575e-24,,1.936e-16,,1.182e+2,3.137e-5,,1.718e+0,,,,,
201.17,1.040e+2,,,1.147e-40,,,4.750e-35,,1.252e-4,,,2.137e-3,2.937e-13,,,,,,2.779e-23,,2.284e-16,,1.018e+2,3.244e-5,,2.213e+0,,,,,
201.2,7.986e+1,,,1.161e-40,,,8.250e-36,,3.666e-4,,,4.583e-3,1.680e-13,,,,,,1.524e-22,,2.805e-16,,7.675e+1,3.326e-5,,3.102e+0,,,,,
201.22,6.513e+1,,,1.123e-40,,,2.462e-36,,7.199e-4,,,7.318e-3,1.116e-13,,,,,,4.547e-22,,3.153e-16,,6.132e+1,3.310e-5,,3.804e+0,,,,,
201.25,4.723e+1,,,1.004e-40,,,3.771e-37,,1.863e-3,,,1.390e-2,5.716e-14,,,,,,2.202e-21,,3.675e-16,,4.213e+1,3.177e-5,,5.085e+0,,,,,
201.27,3.888e+1,,,8.940e-41,,,1.035e-37,,3.369e-3,,,2.047e-2,3.524e-14,,,,,,6.049e-21,,4.023e-16,,3.268e+1,3.025e-5,,6.175e+0,,,,1.143e-16,
201.3,3.244e+1,,,7.066e-41,,,1.397e-38,,7.702e-3,,,3.451e-2,1.612e-14,,,,,,2.588e-20,,4.544e-16,,2.399e+1,2.738e-5,,8.407e+0,,,,1.102e-15,
201.32,3.239e+1,,,5.799e-41,,,3.525e-39,,1.283e-2,,,4.705e-2,9.211e-15,,,,,,6.542e-20,,4.892e-16,,2.184e+1,2.531e-5,,1.049e+1,,,,4.790e-15,
201.35,3.877e+1,,,4.061e-41,,,4.196e-40,,2.592e-2,,,7.084e-2,3.755e-15,,,,,,2.472e-19,,5.414e-16,,2.376e+1,2.237e-5,,1.491e+1,,,,4.079e-14,
201.37,4.723e+1,,,3.080e-41,,,9.735e-41,,3.976e-2,,,8.983e-2,1.986e-15,,,,,,5.752e-19,,5.761e-16,,2.817e+1,2.070e-5,,1.893e+1,,,,1.632e-13,
201.39,5.880e+1,,,2.267e-41,,,2.184e-41,,5.900e-2,,,1.109e-1,1.018e-15,,,,,,1.295e-18,,6.109e-16,,3.473e+1,1.934e-5,,2.390e+1,,,,6.320e-13,
201.42,8.101e+1,,,1.358e-41,,,2.199e-41,,1.003e-1,,,1.455e-1,3.520e-16,,,,,,4.112e-18,,6.631e-16,,4.771e+1,1.792e-5,,3.305e+1,,,,4.526e-12,
201.44,9.796e+1,,,9.365e-42,,,2.209e-41,,1.371e-1,,,1.696e-1,1.666e-16,,,,,,8.521e-18,,6.979e-16,,5.764e+1,1.732e-5,,4.001e+1,,,,1.613e-11,
201.47,1.239e+2,,,5.198e-42,,,2.223e-41,,2.059e-1,,,2.063e-1,5.113e-17,,,,,,2.389e-17,,7.500e-16,,7.267e+1,1.675e-5,,5.082e+1,,,,1.021e-10,
201.49,1.397e+2,,,3.492e-42,,,2.233e-41,,2.593e-1,,,2.306e-1,2.234e-17,,,,,,4.558e-17,,7.848e-16,,8.164e+1,1.646e-5,5.530e-14,5.753e+1,,,,3.351e-10,
201.52,1.577e+2,,,2.003e-42,,,2.248e-41,,3.443e-1,,,2.660e-1,6.075e-18,,,,,,1.129e-16,,8.370e-16,,9.166e+1,1.602e-5,5.436e-13,6.547e+1,,,,1.873e-9,
201.54,1.646e+2,,,1.482e-42,,,2.257e-41,,3.992e-1,,,2.884e-1,2.448e-18,,,,,,1.982e-16,,8.718e-16,,9.530e+1,1.567e-5,2.393e-12,6.861e+1,,,,5.662e-9,
201.57,1.658e+2,,,1.115e-42,,,2.272e-41,,4.686e-1,,,3.190e-1,5.890e-19,,,,,,4.336e-16,,9.239e-16,,9.576e+1,1.504e-5,2.079e-11,6.928e+1,,,,2.796e-8,
201.59,1.609e+2,,,1.037e-42,,,2.282e-41,,5.005e-1,,,3.359e-1,2.187e-19,,,,,,7.010e-16,,9.587e-16,,9.314e+1,1.459e-5,8.431e-11,6.695e+1,,,,7.782e-8,
201.62,1.473e+2,,,1.044e-42,,,2.296e-41,,5.194e-1,,,3.528e-1,4.654e-20,,,,,,1.354e-15,,1.011e-15,,8.659e+1,1.396e-5,6.473e-10,5.979e+1,,7.512e-13,,3.396e-7,
201.64,1.360e+2,,,1.084e-42,2.286e-13,,2.306e-41,,5.110e-1,,,3.565e-1,1.592e-20,,,,,,2.015e-15,,1.046e-15,,8.194e+1,1.358e-5,2.417e-9,5.321e+1,,3.413e-12,,8.703e-7,
201.66,1.250e+2,,,1.125e-42,1.055e-12,,2.316e-41,,4.864e-1,,,3.528e-1,5.268e-21,,,,,,2.901e-15,,1.080e-15,,7.839e+1,1.326e-5,8.736e-9,4.581e+1,,1.500e-11,,2.158e-6,
201.69,1.125e+2,,,1.158e-42,9.838e-12,,2.330e-41,,4.248e-1,,,3.323e-1,9.427e-22,,,,,,4.709e-15,,1.133e-15,,7.734e+1,1.284e-5,5.642e-8,3.439e+1,,1.300e-10,,7.917e-6,
201.71,1.085e+2,,,1.146e-42,4.183e-11,,2.340e-41,,3.725e-1,,,3.091e-1,2.872e-22,,,,,,6.240e-15,,1.167e-15,,8.056e+1,1.258e-5,1.877e-7,2.725e+1,,5.263e-10,,1.807e-5,
201.74,1.105e+2,,,1.073e-42,3.448e-10,,2.355e-41,,2.877e-1,,,2.632e-1,4.539e-23,,,,,,8.946e-15,,1.220e-15,,9.193e+1,1.215e-5,1.072e-6,1.806e+1,,4.031e-9,,5.860e-5,
201.76,1.171e+2,,,9.925e-43,1.350e-9,,2.364e-41,,2.324e-1,,,2.280e-1,1.273e-23,,,,,,1.091e-14,,1.254e-15,,1.034e+2,1.180e-5,3.284e-6,1.317e+1,,1.503e-8,,1.232e-4,
201.79,1.326e+2,,,8.438e-43,9.836e-9,,2.379e-41,,1.587e-1,,,1.735e-1,1.776e-24,,,,,,1.382e-14,,1.306e-15,,1.245e+2,1.113e-5,1.657e-5,7.708e+0,,1.018e-7,,3.528e-4,
201.81,1.449e+2,,,7.431e-43,3.548e-8,,2.389e-41,,1.182e-1,,,1.391e-1,4.584e-25,,,,,,1.552e-14,,1.341e-15,,1.395e+2,1.058e-5,4.676e-5,5.173e+0,,3.496e-7,,6.829e-4,
201.84,1.629e+2,,,6.227e-43,2.285e-7,,2.403e-41,,7.174e-2,,,9.405e-2,5.647e-26,,,,,,1.735e-14,,1.393e-15,,1.600e+2,9.589e-6,2.085e-4,2.673e+0,,2.092e-6,,1.728e-3,
201.86,1.727e+2,,,5.838e-43,7.591e-7,,2.413e-41,,4.971e-2,,,6.958e-2,1.333e-26,,,,,,1.794e-14,,1.428e-15,,1.709e+2,8.819e-6,5.419e-4,1.651e+0,,6.618e-6,,3.080e-3,
201.89,1.821e+2,,,6.244e-43,4.321e-6,,2.428e-41,,2.804e-2,,,4.166e-2,1.451e-27,,,,,,1.772e-14,,1.480e-15,,1.812e+2,7.541e-6,2.135e-3,7.530e-1,,3.501e-5,,6.888e-3,
201.91,1.844e+2,,,7.402e-43,1.322e-5,,2.438e-41,,1.973e-2,,,2.841e-2,3.172e-28,,,,,,1.686e-14,,1.515e-15,,1.839e+2,6.641e-6,5.111e-3,4.280e-1,,1.020e-4,,1.130e-2,
201.93,1.839e+2,,,9.466e-43,3.915e-5,,2.447e-41,,1.533e-2,,,1.874e-2,7.984e-28,,,,,,1.552e-14,,1.550e-15,,1.836e+2,5.738e-6,1.184e-2,2.354e-1,,2.876e-4,,1.794e-2,
201.96,1.789e+2,,,1.465e-42,1.875e-4,,2.462e-41,,1.467e-2,,,9.443e-3,1.520e-27,,,,,,1.288e-14,,1.602e-15,,1.787e+2,4.455e-6,3.924e-2,9.039e-2,,1.280e-3,,3.374e-2,
201.98,1.736e+2,,,1.975e-42,5.114e-4,,2.472e-41,,1.763e-2,,,5.737e-3,2.001e-27,,,,,,1.091e-14,,1.637e-15,,1.734e+2,3.698e-6,8.371e-2,4.623e-2,,3.323e-3,,4.933e-2,
202.01,1.642e+2,,,3.028e-42,2.165e-3,,2.486e-41,,2.669e-2,,,2.554e-3,2.723e-27,,,,,,8.000e-15,,1.689e-15,,1.638e+2,2.785e-6,2.452e-1,1.782e-2,,1.307e-2,,8.195e-2,
202.03,1.572e+2,,,3.935e-42,5.439e-3,,2.496e-41,,3.567e-2,,,1.428e-3,3.204e-27,,,,,,6.240e-15,,1.724e-15,,1.565e+2,2.357e-6,4.817e-1,1.289e-2,,3.127e-2,,1.103e-1,
202.06,1.458e+2,,,5.602e-42,2.036e-2,,2.511e-41,,5.306e-2,,,5.614e-4,3.926e-27,,,,,,4.040e-15,,1.776e-15,,1.442e+2,2.019e-6,1.247e+0,2.199e-2,,1.087e-1,,1.619e-1,
202.08,1.376e+2,,,6.893e-42,4.710e-2,,2.520e-41,,6.671e-2,,,2.890e-4,4.407e-27,,,,,,2.901e-15,,1.811e-15,,1.347e+2,2.003e-6,2.256e+0,4.462e-2,,2.395e-1,,2.007e-1,
202.11,1.250e+2,,,9.011e-42,1.558e-1,,2.535e-41,,8.860e-2,,,1.003e-4,5.129e-27,,,,,,1.659e-15,,1.863e-15,,1.185e+2,2.287e-6,5.163e+0,1.346e-1,,7.361e-1,,2.603e-1,
202.13,1.173e+2,,,1.046e-41,3.320e-1,,2.545e-41,,1.028e-1,,,4.753e-5,5.610e-27,,,,,,1.098e-15,,1.898e-15,,1.062e+2,2.669e-6,8.602e+0,2.726e-1,,1.493e+0,,2.970e-1,
202.16,1.101e+2,,,1.252e-41,9.711e-1,,2.559e-41,,1.207e-1,,,1.457e-5,6.331e-27,,,,,,5.581e-16,,1.950e-15,,8.648e+1,3.497e-6,1.739e+1,7.404e-1,,4.057e+0,,3.403e-1,
202.18,1.111e+2,,,1.369e-41,1.906e+0,,2.569e-41,,1.289e-1,,,6.354e-6,6.813e-27,,,,,,3.461e-16,,1.985e-15,,7.304e+1,4.189e-6,2.669e+1,1.384e+0,,7.581e+0,,3.576e-1,
202.2,1.200e+2,,,1.460e-41,3.620e+0,,2.579e-41,,1.333e-1,,,2.681e-6,7.294e-27,,,,,,2.167e-16,,2.019e-15,,6.000e+1,4.964e-6,3.963e+1,2.501e+0,,1.371e+1,,3.636e-1,
202.23,1.562e+2,,,1.535e-41,8.907e+0,,2.594e-41,,1.316e-1,,,6.902e-7,8.015e-27,,,,,,1.331e-16,,2.072e-15,,4.230e+1,6.216e-6,6.742e+1,5.718e+0,,3.133e+1,,3.503e-1,
202.25,2.022e+2,,,1.538e-41,1.558e+1,,2.603e-41,,1.253e-1,,,2.680e-7,8.497e-27,,,,,,1.358e-16,,2.106e-15,,3.225e+1,7.067e-6,9.219e+1,9.522e+0,,5.218e+1,,3.279e-1,
202.28,3.178e+2,,,1.471e-41,3.389e+1,,2.618e-41,,1.093e-1,,,6.093e-8,9.218e-27,,,,,,2.288e-16,,2.159e-15,,2.025e+1,8.315e-6,1.386e+2,1.924e+1,,1.054e+2,,2.792e-1,
202.3,4.349e+2,,,1.383e-41,5.460e+1,,2.628e-41,,9.580e-2,,,2.178e-8,9.699e-27,,,,,,3.676e-16,,2.193e-15,,1.427e+1,9.123e-6,1.745e+2,2.951e+1,,1.617e+2,,2.406e-1,
202.33,6.866e+2,,,1.201e-41,1.050e+2,,2.642e-41,,7.386e-2,,,4.372e-9,1.042e-26,,,,,,7.486e-16,,2.246e-15,,7.946e+0,1.036e-5,2.319e+2,5.270e+1,,2.888e+2,,1.810e-1,
202.35,9.125e+2,,,1.058e-41,1.558e+2,,2.652e-41,,5.960e-2,,,1.438e-9,1.090e-26,,,,,,1.167e-15,,2.280e-15,,5.164e+0,1.127e-5,2.689e+2,7.445e+1,,4.080e+2,,1.436e-1,
202.38,1.345e+3,,,8.335e-42,2.648e+2,,2.667e-41,,4.060e-2,,,2.549e-10,1.162e-26,,,,,,2.141e-15,,2.332e-15,,2.544e+0,1.295e-5,3.158e+2,1.175e+2,,6.440e+2,,9.547e-2,
202.4,1.692e+3,,,6.883e-42,3.619e+2,,2.676e-41,,3.017e-2,,,7.715e-11,1.211e-26,,,,,,3.083e-15,,2.367e-15,,1.523e+0,1.438e-5,3.373e+2,1.529e+2,,8.380e+2,,6.976e-2,
202.43,2.277e+3,,,4.930e-42,5.437e+2,,2.691e-41,,1.816e-2,,,1.208e-11,1.283e-26,,,,,,5.012e-15,,2.419e-15,,6.634e-1,1.709e-5,3.500e+2,2.134e+2,,1.169e+3,,4.097e-2,
