Wavelength (nm),Sum(calc),Na I (5.2e-4),Na II (1.1e-2),Na III (4.0e-21),Mg I (4.2e-3),Mg II (3.4e-2),Mg III (2.1e-5),Al I (1.3e-2),Al II (8.9e-2),Al III (2.5e-6),Si I (1.5e-1),Si II (2.9e-1),Si III (1.4e-5),K I (7.7e-4),K II (2.5e-2),K III (6.9e-13),Ca I (7.8e-3),Ca II (1.9e-1),Ca III (2.7e-3),Mn I (3.2e-4),Mn II (2.6e-3),Fe I (2.1e-2),Fe II (1.1e-1),Fe III (1.5e-5),Cu I (8.5e-3),Cu II (2.1e-2),Zn I (5.7e-4),Zn II (8.9e-4),Mo I (9.1e-6),Pb I (2.5e-5),Pb II (1.5e-4)
358.68,1.409e+3,5.208e-30,8.101e-28,,1.483e-14,6.823e-17,,1.470e-12,1.580e+1,5.957e-19,6.107e-13,1.950e-15,9.328e-10,,3.635e-22,,9.644e-14,3.644e-12,1.352e-27,2.004e-3,1.639e-18,1.393e+3,2.723e-15,2.666e-22,3.717e-12,8.253e-19,1.176e-14,3.198e-17,1.107e-1,1.331e-11,
358.7,1.330e+3,5.207e-30,8.059e-28,,1.471e-14,6.827e-17,,1.470e-12,1.584e+1,1.281e-18,6.108e-13,1.951e-15,1.126e-9,,3.709e-22,,9.651e-14,3.642e-12,1.352e-27,1.760e-3,1.639e-18,1.314e+3,2.715e-15,2.664e-22,3.715e-12,8.253e-19,1.176e-14,3.197e-17,1.080e-1,6.280e-12,
358.73,1.210e+3,5.206e-30,7.995e-28,,1.453e-14,6.833e-17,,1.471e-12,1.559e+1,3.959e-18,6.110e-13,1.953e-15,1.465e-9,,3.820e-22,,9.660e-14,3.639e-12,1.351e-27,2.039e-3,1.638e-18,1.194e+3,2.702e-15,2.662e-22,3.713e-12,8.253e-19,1.176e-14,3.197e-17,1.062e-1,1.996e-12,
358.75,1.130e+3,5.205e-30,7.953e-28,,1.441e-14,6.836e-17,,1.471e-12,1.523e+1,8.294e-18,6.110e-13,1.955e-15,1.723e-9,,3.893e-22,,9.666e-14,3.637e-12,1.350e-27,2.665e-3,1.638e-18,1.114e+3,2.694e-15,2.661e-22,3.711e-12,8.253e-19,1.176e-14,3.197e-17,1.064e-1,9.176e-13,
358.77,1.050e+3,5.204e-30,7.911e-28,,1.429e-14,6.840e-17,,1.472e-12,1.473e+1,1.719e-17,6.111e-13,1.956e-15,2.006e-9,,3.967e-22,,9.673e-14,3.635e-12,1.350e-27,3.713e-3,1.638e-18,1.035e+3,2.685e-15,2.659e-22,3.709e-12,8.253e-19,1.176e-14,3.196e-17,1.077e-1,4.173e-13,
358.8,9.318e+2,5.203e-30,7.847e-28,,1.410e-14,6.846e-17,,1.472e-12,1.374e+1,5.033e-17,6.113e-13,1.958e-15,2.470e-9,,4.078e-22,,9.682e-14,3.632e-12,1.349e-27,6.346e-3,1.638e-18,9.179e+2,2.672e-15,2.657e-22,3.707e-12,8.252e-19,1.176e-14,3.196e-17,1.110e-1,1.255e-13,
358.82,8.549e+2,5.202e-30,7.805e-28,,1.398e-14,6.850e-17,,1.473e-12,1.296e+1,1.017e-16,6.114e-13,1.960e-15,2.801e-9,,4.151e-22,,9.688e-14,3.629e-12,1.348e-27,9.086e-3,1.638e-18,8.419e+2,2.664e-15,2.655e-22,3.705e-12,8.252e-19,1.176e-14,3.196e-17,1.141e-1,5.558e-14,
358.85,7.440e+2,5.201e-30,7.741e-28,,1.380e-14,6.856e-17,,1.473e-12,1.164e+1,2.862e-16,6.115e-13,1.962e-15,3.316e-9,,4.262e-22,,9.698e-14,3.626e-12,1.347e-27,1.536e-2,1.637e-18,7.323e+2,2.651e-15,2.653e-22,3.702e-12,8.252e-19,1.176e-14,3.195e-17,1.196e-1,1.606e-14,
358.87,6.738e+2,5.200e-30,7.699e-28,,1.368e-14,6.859e-17,,1.474e-12,1.069e+1,5.632e-16,6.116e-13,1.963e-15,3.663e-9,,4.336e-22,,9.704e-14,3.624e-12,1.346e-27,2.156e-2,1.637e-18,6.630e+2,2.643e-15,2.652e-22,3.700e-12,8.252e-19,1.176e-14,3.195e-17,1.235e-1,6.929e-15,
358.9,5.752e+2,5.198e-30,7.636e-28,,1.350e-14,6.865e-17,,1.475e-12,9.243e+0,1.525e-15,6.117e-13,1.965e-15,4.170e-9,,4.446e-22,,9.713e-14,3.621e-12,1.345e-27,3.516e-2,1.637e-18,5.658e+2,2.630e-15,2.649e-22,3.698e-12,8.252e-19,1.176e-14,3.194e-17,1.294e-1,1.925e-15,
