Wavelength (nm),Sum(calc),Na I (6.5e-5),Na II (1.4e-3),Na III (4.9e-22),Mg I (3.8e-2),Mg II (3.2e-1),Mg III (1.9e-4),Al I (1.8e-2),Al II (1.2e-1),Al III (3.4e-6),Si I (4.3e-2),Si II (8.2e-2),Si III (3.8e-6),K I (1.0e-5),K II (3.2e-4),K III (9.0e-15),Ca I (1.3e-4),Ca II (3.3e-3),Ca III (4.5e-5),Mn I (1.1e-4),Mn II (8.9e-4),Fe I (1.4e-2),Fe II (7.7e-2),Fe III (1.0e-5),Cu I (0.0e+0),Cu II (0.0e+0),Zn I (0.0e+0),Zn II (0.0e+0),Mo I (0.0e+0),Pb I (8.8e-4),Pb II (5.5e-3)
199.09,5.483e-21,,,,,,,,,,,,,,,,,,,,,,,5.483e-21,,,,,,,
199.13,2.266e-13,,,,,,,,,,,,,,,,,,,,,,2.266e-13,1.036e-19,,,,,,,
199.16,2.078e-12,,,,,,,,,,,,,,,,,,1.104e-31,,,,2.078e-12,8.612e-19,,,,,,,
199.2,3.554e-11,,,,,,,,,,,,6.764e-28,,,,,,2.223e-30,,,,3.554e-11,1.293e-17,,,,,,,
199.24,5.325e-10,,,,,,,,,,,,1.274e-26,,,,,,3.922e-29,,,,5.325e-10,1.700e-16,,,,,,,
199.28,6.991e-9,,,,,,,,,,,,2.104e-25,,,,,,6.065e-28,,7.663e-17,,6.991e-9,1.959e-15,,,,,,,
199.31,4.422e-8,,,,,,,,,,,,1.581e-24,,,,,,4.338e-27,,7.003e-16,,4.422e-8,1.124e-14,,,,,,,
199.35,4.609e-7,,,,,,,,,,,,2.072e-23,,,,,,5.325e-26,,1.192e-14,,4.609e-7,1.029e-13,,,,,,,
199.39,4.209e-6,,,,,,,,,,,,2.380e-22,,,,,,5.728e-25,,1.779e-13,,4.209e-6,8.261e-13,,,,,,,
199.43,3.368e-5,,,,,,,,,,,,2.396e-21,,,,,,5.401e-24,,2.327e-12,,3.368e-5,5.818e-12,,,,,,,
199.46,1.469e-4,,,,,,,,,,,,1.242e-20,,,,,,2.665e-23,,1.468e-11,,1.469e-4,2.309e-11,,,,,,,
199.5,9.333e-4,,,1.206e-57,,,,,,,,,9.922e-20,,,,,,1.994e-22,,1.524e-10,,9.333e-4,1.295e-10,,,,,,,
199.54,5.195e-3,,,2.327e-56,,,9.239e-42,,,,,,6.949e-19,,,,,,1.308e-21,,1.387e-9,,5.195e-3,6.387e-10,,,,,,,
199.58,2.534e-2,,,5.500e-55,,,1.963e-40,,,,,9.125e-18,4.265e-18,,,,,,7.516e-21,,1.107e-8,,2.534e-2,2.774e-9,,,,,,,
199.61,7.625e-2,,,4.539e-54,,,1.783e-39,,,,,8.490e-17,1.525e-17,,,,,,2.558e-20,,4.818e-8,,7.625e-2,7.690e-9,,,,,,,
199.65,2.951e-1,,,6.891e-53,,,3.010e-38,,,,,1.481e-15,7.429e-17,,,,,,1.167e-19,,3.051e-7,,2.951e-1,2.691e-8,,,,,,,
199.69,1.001e+0,,,9.409e-52,,,4.456e-37,,,,,2.265e-14,3.172e-16,,,,,,4.666e-19,,1.694e-6,,1.001e+0,8.364e-8,,,,,,,
199.73,2.976e+0,,,1.157e-50,,,5.784e-36,,,,,3.038e-13,1.187e-15,,,,,,1.635e-18,,8.242e-6,,2.976e+0,2.321e-7,,,,,,,
199.76,6.178e+0,,,7.087e-50,,,3.628e-35,,,,,1.953e-12,2.928e-15,,,,,,3.840e-18,,2.476e-5,,6.178e+0,4.650e-7,,,,,,,
199.8,1.457e+1,,,7.236e-49,,,3.742e-34,,,,,2.081e-11,8.698e-15,,,,,,1.068e-17,,9.566e-5,,1.457e+1,1.075e-6,,,,,,,
199.84,3.013e+1,,,6.622e-48,,,3.383e-33,,,,,1.944e-10,2.264e-14,,,,,,2.604e-17,,3.239e-4,,3.013e+1,2.258e-6,,,,,,,
199.88,5.458e+1,,,5.416e-47,,,2.683e-32,,,,,1.593e-9,5.165e-14,,,,,,5.565e-17,,9.611e-4,,5.458e+1,4.335e-6,,,,,,,
199.91,7.816e+1,,,2.428e-46,,,1.163e-31,,,,,7.074e-9,8.792e-14,,,,,,9.023e-17,,1.993e-3,,7.816e+1,6.680e-6,,,,,,,
199.95,1.124e+2,,,1.618e-45,,,7.324e-31,,,,,4.604e-8,1.592e-13,,,,,,1.533e-16,,4.696e-3,,1.124e+2,1.103e-5,,,,,,,
199.99,1.416e+2,,,9.558e-45,,,4.045e-30,,,,,2.628e-7,2.527e-13,,,,,,2.286e-16,,9.697e-3,,1.416e+2,1.674e-5,,,,,,,
200.02,1.544e+2,,,3.340e-44,,,1.337e-29,,,,,8.900e-7,3.276e-13,,,,,,2.836e-16,,1.532e-2,,1.544e+2,2.169e-5,,,,,,,
200.06,1.544e+2,,,1.587e-43,,,5.867e-29,,,,,4.035e-6,4.127e-13,,,,,,3.388e-16,,2.512e-2,,1.544e+2,2.866e-5,,,,,,,
200.1,1.353e+2,,,6.647e-43,,,2.257e-28,,,,,1.604e-5,4.557e-13,,,,,,3.590e-16,,3.610e-2,,1.353e+2,3.565e-5,,,,,,,
200.14,1.039e+2,,,2.450e-42,,,7.615e-28,,,,,5.593e-5,4.409e-13,,,,,,3.413e-16,,4.546e-2,,1.039e+2,4.285e-5,,,,,,,
200.17,7.821e+1,,,5.989e-42,,,1.739e-27,,,,,1.309e-4,3.944e-13,,,,,,3.092e-16,,4.957e-2,,7.816e+1,4.895e-5,,,,,,,
200.21,4.769e+1,,,1.761e-41,,,4.661e-27,,,,,3.625e-4,3.029e-13,,,,,,2.553e-16,,4.957e-2,,4.764e+1,5.890e-5,,,,,,,
200.25,2.549e+1,,,4.548e-41,,,1.095e-26,,,,,8.803e-4,2.039e-13,,,,,,2.025e-16,,4.345e-2,,2.544e+1,7.103e-5,,,,,,,
200.29,1.196e+1,,,1.031e-40,,,2.257e-26,,,,,1.875e-3,1.203e-13,,,,,,1.577e-16,,3.338e-2,,1.192e+1,8.383e-5,,,,,,,
200.32,6.244e+0,,,1.749e-40,,,3.561e-26,,,,,3.031e-3,7.425e-14,,,,,,1.294e-16,,2.512e-2,,6.216e+0,9.218e-5,,,,,,,
200.36,2.439e+0,,,3.154e-40,,,5.831e-26,,,,,5.128e-3,3.477e-14,,,,,,9.650e-17,,1.532e-2,,2.419e+0,9.950e-5,,0,,,,,
200.4,1.117e+0,,,4.990e-40,,,8.370e-26,,,,,7.607e-3,1.428e-14,,,,,,6.764e-17,,8.190e-3,,1.101e+0,1.014e-4,,0,,,,,
200.44,1.114e+0,,,6.926e-40,,,1.053e-25,,,,,9.895e-3,5.191e-15,,,,,,4.337e-17,,3.837e-3,,1.100e+0,9.875e-5,,0,,,,,
200.47,1.710e+0,,,8.126e-40,,,1.148e-25,,,,,1.106e-2,2.371e-15,,,,,,2.897e-17,,1.993e-3,,1.697e+0,9.478e-5,,0,,,,,
200.51,3.257e+0,,,8.965e-40,,,1.148e-25,,,,,1.142e-2,1.362e-15,,,,,,1.526e-17,,7.414e-4,,3.245e+0,8.837e-5,,0,,,,,
200.55,5.652e+0,,,8.674e-40,,,1.007e-25,,,,,1.035e-2,2.732e-15,,,,,,7.100e-18,,2.417e-4,,5.641e+0,8.213e-5,,0,,,,,
200.59,8.650e+0,,,7.360e-40,,,7.741e-26,,,,,8.225e-3,7.938e-15,,,,,,2.907e-18,,6.908e-5,,8.642e+0,7.760e-5,,0,,,,,
200.62,1.094e+1,,,5.971e-40,,,5.831e-26,,,,,6.349e-3,1.685e-14,,,,,,1.367e-18,,2.476e-5,,1.093e+1,7.637e-5,,0,,,,,
200.66,1.339e+1,,,4.029e-40,,,3.561e-26,,3.548e-17,,,4.008e-3,4.127e-14,,,,,,4.456e-19,,5.618e-6,,1.338e+1,7.864e-5,,0,,,,,
200.7,1.456e+1,,,2.388e-40,,,1.907e-26,,1.051e-15,,,2.218e-3,8.905e-14,,,,,,1.275e-19,,1.117e-6,,1.456e+1,8.512e-5,,0,,,,,
200.74,1.447e+1,,,1.247e-40,,,8.957e-27,,1.920e-14,,,1.077e-3,1.694e-13,,,,,,3.196e-20,,1.947e-7,,1.447e+1,9.319e-5,,0,,,,,
200.77,1.418e+1,,,7.079e-41,,,4.661e-27,,1.558e-13,,,5.743e-4,2.526e-13,,,,,,1.039e-20,,4.818e-8,,1.418e+1,9.764e-5,,0,,,,,
200.81,1.509e+1,,,3.052e-41,,,1.739e-27,,2.270e-12,,,2.214e-4,3.861e-13,,,,,,2.070e-21,,6.667e-9,,1.509e+1,9.791e-5,,0,,,,,
200.85,1.978e+1,,,1.255e-41,,,5.689e-28,,2.905e-11,,,7.487e-5,5.220e-13,,,,,,3.614e-22,,8.087e-10,,1.978e+1,8.979e-5,,0,,,,,
200.89,3.041e+1,,,5.617e-42,,,1.632e-28,,3.266e-10,,,2.221e-5,6.252e-13,,,,,,5.532e-23,,8.597e-11,,3.041e+1,7.449e-5,,0,,,,,
200.92,4.268e+1,,,3.735e-42,,,5.867e-29,,1.842e-9,,,8.255e-6,6.616e-13,,,,,,1.242e-23,,1.468e-11,,4.268e+1,6.069e-5,,0,,,,,
200.96,6.317e+1,,,3.268e-42,,,1.337e-29,,1.652e-8,,,2.377e-6,6.435e-13,,,,,,1.510e-24,,1.239e-12,,6.317e+1,4.305e-5,,0,,,,,
201,8.393e+1,,,4.200e-42,,,2.671e-30,,1.301e-7,,,2.765e-6,5.569e-13,,,,,,1.609e-25,,9.165e-14,,8.393e+1,2.963e-5,,0,,,,,
201.04,9.853e+1,,,6.216e-42,,,4.681e-31,,9.008e-7,,,1.100e-5,4.295e-13,,,,,,1.526e-26,,5.943e-15,,9.853e+1,2.196e-5,,0,,,,,
201.07,1.021e+2,,,8.253e-42,,,1.163e-31,,3.532e-6,,,3.162e-5,3.280e-13,,,,,,3.993e-27,,7.003e-16,,1.021e+2,1.961e-5,,0,,,,,
201.11,9.567e+1,,,1.116e-41,,,1.618e-32,,1.950e-5,,,1.162e-4,2.072e-13,,,,,,2.103e-26,,3.605e-17,,9.567e+1,1.954e-5,,0,,,,,
201.15,7.870e+1,,,1.347e-41,,,1.975e-33,,9.462e-5,,,3.757e-4,1.168e-13,,,,,,2.296e-25,,1.467e-16,,7.870e+1,2.096e-5,,0,,,,,
201.19,5.702e+1,,,1.434e-41,,,2.114e-34,,4.035e-4,,,1.067e-3,5.875e-14,,,,,,2.221e-24,,2.573e-16,,5.702e+1,2.205e-5,,0,,,,,
201.22,4.148e+1,,,1.382e-41,,,3.628e-35,,1.100e-3,,,2.148e-3,3.253e-14,,,,,,1.118e-23,,3.403e-16,,4.147e+1,2.202e-5,,0,,,,,
201.26,2.542e+1,,,1.175e-41,,,3.085e-36,,3.742e-3,,,4.885e-3,1.336e-14,,,,,,8.620e-23,,4.509e-16,,2.542e+1,2.070e-5,,0,,,,4.057e-15,
201.3,1.671e+1,,,8.788e-42,,,2.300e-37,,1.119e-2,,,9.820e-3,4.875e-15,,,,,,5.836e-22,,5.615e-16,,1.669e+1,1.830e-5,,0,,,,7.927e-14,
201.34,1.565e+1,,,5.786e-42,,,1.503e-38,,2.941e-2,,,1.752e-2,1.579e-15,,,,,,3.470e-21,,6.721e-16,,1.560e+1,1.564e-5,,0,,,,1.361e-12,
201.37,1.941e+1,,,3.899e-42,,,1.783e-39,,5.578e-2,,,2.514e-2,6.260e-16,,,,,,1.214e-20,,7.551e-16,,1.932e+1,1.392e-5,,0,,,,1.055e-11,
201.41,2.924e+1,,,2.080e-42,,,9.258e-41,,1.170e-1,,,3.722e-2,1.638e-16,,,,,,5.753e-20,,8.657e-16,,2.908e+1,1.232e-5,,0,,,,1.445e-10,
201.45,4.220e+1,,,1.004e-42,,,1.208e-40,,2.157e-1,,,5.051e-2,3.785e-17,,,,,,2.395e-19,,9.764e-16,,4.194e+1,1.147e-5,,0,,,,1.738e-9,
201.49,5.467e+1,,,4.590e-43,,,1.490e-40,,3.495e-1,,,6.398e-2,7.718e-18,,,,,,8.759e-19,,1.087e-15,,5.425e+1,1.102e-5,0,0,,,,1.839e-8,
201.52,6.133e+1,,,2.637e-43,,,1.702e-40,,4.614e-1,,,7.377e-2,2.156e-18,,,,,,2.127e-18,,1.170e-15,,6.079e+1,1.071e-5,0,0,,,,9.906e-8,
201.56,6.454e+1,,,1.551e-43,,,1.984e-40,,5.969e-1,,,8.569e-2,3.522e-19,,,,,,6.200e-18,,1.281e-15,,6.386e+1,1.020e-5,0,0,,,,8.356e-7,
201.6,6.156e+1,,,1.300e-43,,,2.267e-40,,6.790e-1,,,9.475e-2,5.063e-20,,,,,,1.587e-17,,1.391e-15,,6.079e+1,9.624e-6,0,0,,0,,6.194e-6,
201.64,5.585e+1,,,1.349e-43,4.543e-12,,2.549e-40,,6.791e-1,,,9.832e-2,6.400e-21,,,,,,3.569e-17,,1.502e-15,,5.508e+1,9.100e-6,0,0,,0,,4.035e-5,
201.67,5.305e+1,,,1.412e-43,4.238e-11,,2.760e-40,,6.242e-1,,,9.590e-2,1.247e-21,,,,,,6.020e-17,,1.585e-15,,5.233e+1,8.781e-6,0,0,,0,,1.511e-4,
201.71,5.526e+1,,,1.413e-43,7.435e-10,,3.043e-40,,4.984e-1,,,8.528e-2,1.257e-22,,,,,,1.079e-16,,1.695e-15,,5.468e+1,8.414e-6,0,0,,0,,7.852e-4,
201.75,6.615e+1,,,1.279e-43,1.147e-8,,3.325e-40,,3.500e-1,,,6.808e-2,1.114e-23,,,,,,1.699e-16,,1.806e-15,,6.573e+1,8.003e-6,0,0,,0,,3.585e-3,
201.79,8.372e+1,,,1.050e-43,1.555e-7,,3.607e-40,,2.163e-1,,,4.835e-2,8.666e-25,,,,,,2.349e-16,,1.917e-15,,8.344e+1,7.432e-6,0,0,,0,,1.438e-2,
201.82,9.809e+1,,,8.757e-44,1.010e-6,,3.819e-40,,1.388e-1,,,3.453e-2,1.172e-25,,,,,,2.751e-16,,2.000e-15,,9.787e+1,6.856e-6,0,0,,0,,3.745e-2,
201.86,1.139e+2,,,7.468e-44,1.093e-5,,4.101e-40,,6.951e-2,,,1.975e-2,7.215e-27,,,,,,3.032e-16,,2.110e-15,,1.137e+2,5.886e-6,0,0,,0,,1.199e-1,
201.9,1.221e+2,,,8.697e-44,1.041e-4,,4.383e-40,,3.327e-2,,,9.951e-3,3.929e-28,,,,,,2.935e-16,,2.221e-15,,1.217e+2,4.743e-6,0,0,,0,,3.370e-1,
201.94,1.225e+2,,,1.403e-43,8.708e-4,,4.666e-40,,2.065e-2,,,4.409e-3,6.564e-28,,,,,,2.496e-16,,2.332e-15,,1.216e+2,3.556e-6,0,0,,0,,8.328e-1,
201.97,1.192e+2,,,2.176e-43,3.937e-3,,4.877e-40,,2.240e-2,,,2.200e-3,8.540e-28,,,,,,2.030e-16,,2.414e-15,,1.176e+2,2.742e-6,0,0,,0,,1.508e+0,
202.01,1.125e+2,,,3.834e-43,2.630e-2,,5.160e-40,,3.688e-2,,,7.776e-4,1.117e-27,,,,,,1.376e-16,,2.525e-15,,1.094e+2,1.896e-6,0,0,,0,,2.972e+0,
202.05,1.045e+2,,,6.290e-43,1.545e-1,,5.442e-40,,6.363e-2,,,2.414e-4,1.381e-27,,,,,,8.191e-17,,2.636e-15,,9.916e+1,1.435e-6,0,0,,0,,5.147e+0,
202.09,9.521e+1,,,9.462e-43,7.975e-1,,5.724e-40,,9.947e-2,,,6.582e-5,1.644e-27,,,,,,4.284e-17,,2.746e-15,,8.648e+1,1.413e-6,0,0,,0,,7.834e+0,
202.12,8.756e+1,,,1.211e-42,2.510e+0,,5.936e-40,,1.282e-1,,,2.281e-5,1.842e-27,,,,,,2.421e-17,,2.829e-15,,7.506e+1,1.678e-6,0,0,,0,,9.862e+0,
202.16,8.032e+1,,,1.550e-42,1.035e+1,,6.218e-40,,1.607e-1,,,4.955e-6,2.106e-27,,,,,,1.017e-17,,2.940e-15,,5.784e+1,2.364e-6,0,0,,0,,1.197e+1,
202.2,9.080e+1,,,1.803e-42,3.750e+1,,6.500e-40,,1.770e-1,,,9.455e-7,2.369e-27,,,,,,4.053e-18,,3.051e-15,,4.035e+1,3.334e-6,0,0,,0,,1.277e+1,
202.24,1.568e+2,,,1.901e-42,1.195e+2,,6.783e-40,,1.714e-1,,,1.584e-7,2.632e-27,,,,,,2.461e-18,,3.161e-15,,2.516e+1,4.444e-6,0,0,,0,,1.197e+1,
202.27,2.887e+2,,,1.854e-42,2.618e+2,,6.994e-40,,1.537e-1,,,3.809e-8,2.830e-27,,,,,,3.474e-18,,3.244e-15,,1.632e+1,5.285e-6,0,0,,0,,1.048e+1,
202.31,6.820e+2,,,1.642e-42,6.658e+2,,7.276e-40,,1.187e-1,,,5.085e-9,3.094e-27,,,,,,8.577e-18,,3.355e-15,,8.218e+0,6.381e-6,0,0,,0,,7.834e+0,
202.35,1.498e+3,,,1.313e-42,1.489e+3,,7.559e-40,,8.055e-2,,,5.960e-10,3.357e-27,,,,,,2.095e-17,,3.465e-15,,3.648e+0,7.574e-6,0,0,,0,,5.147e+0,
202.39,2.931e+3,,,9.484e-43,2.927e+3,,7.841e-40,,4.804e-2,,,6.135e-11,3.620e-27,,,,,,4.554e-17,,3.576e-15,,1.425e+0,9.181e-6,0,0,,0,,2.972e+0,
202.42,4.468e+3,,,6.959e-43,4.465e+3,,8.053e-40,,2.995e-2,,,1.024e-11,3.818e-27,,,,,,7.504e-17,,3.659e-15,,6.473e-1,1.085e-5,0,0,,0,,1.808e+0,
202.46,7.009e+3,,,4.281e-43,7.008e+3,,8.335e-40,,1.425e-2,,,8.394e-13,4.082e-27,,,,,,1.306e-16,,3.770e-15,,2.019e-1,1.369e-5,0,0,,0,,8.328e-1,
202.5,9.669e+3,,,2.650e-43,9.668e+3,,8.617e-40,,5.954e-3,,,6.045e-14,4.345e-27,,,,,,2.001e-16,,3.880e-15,,5.533e-2,1.680e-5,0,0,,0,,3.370e-1,
202.54,1.173e+4,,,2.291e-43,1.173e+4,,8.899e-40,,2.187e-3,,,3.822e-15,4.609e-27,,2.222e-24,,,,2.699e-16,,3.991e-15,,1.333e-2,1.924e-5,0,0,,0,,1.199e-1,
202.57,1.246e+4,,,3.099e-43,1.246e+4,,9.111e-40,,9.481e-4,,,4.426e-16,4.806e-27,,1.985e-23,,,,3.108e-16,,4.074e-15,,4.210e-3,2.001e-5,0,0,,0,,5.070e-2,
202.61,1.206e+4,,,6.217e-43,1.206e+4,,9.393e-40,,2.778e-4,,,4.366e-16,5.070e-27,,3.725e-22,,,,3.356e-16,,4.184e-15,,8.196e-4,1.918e-5,0,0,,0,,1.438e-2,
202.65,1.027e+4,,,1.261e-42,1.027e+4,,9.676e-40,,7.151e-5,,,4.307e-16,5.333e-27,,5.592e-21,,,,3.193e-16,,4.295e-15,,2.154e-4,1.640e-5,0,0,,0,,3.585e-3,
202.69,7.687e+3,,,2.311e-42,7.687e+3,,9.958e-40,,1.618e-5,,,4.247e-16,5.597e-27,,7.434e-20,,,,2.677e-16,,4.406e-15,,5.088e-4,1.252e-5,0,0,,0,,7.852e-4,
202.72,5.685e+3,,,3.358e-42,5.685e+3,,1.017e-39,,4.876e-6,,,4.202e-16,5.794e-27,,4.781e-19,,,,2.160e-16,,4.489e-15,,1.767e-3,9.547e-6,0,0,,0,,2.309e-4,
202.76,3.397e+3,,,4.955e-42,3.397e+3,,1.045e-39,,8.799e-7,,,4.143e-16,6.058e-27,,5.148e-18,,,,1.452e-16,,4.599e-15,,8.722e-3,6.252e-6,0,0,,0,,4.035e-5,
202.8,1.784e+3,,,6.463e-42,1.784e+3,,1.073e-39,,1.395e-7,,,4.083e-16,6.321e-27,,4.923e-17,,,,8.615e-17,,4.710e-15,,3.797e-2,4.119e-6,0,0,,0,,6.194e-6,
202.84,8.242e+2,,,7.492e-42,8.241e+2,,1.102e-39,,1.944e-8,,,4.023e-16,6.585e-27,,4.185e-16,,,,4.512e-17,,9.233e-14,,1.455e-1,3.112e-6,0,0,,0,,8.356e-7,
202.87,4.246e+2,,,7.801e-42,4.243e+2,,1.123e-39,,4.074e-9,,,3.979e-16,6.782e-27,,1.929e-15,,,,2.566e-17,,7.496e-13,,3.663e-1,2.884e-6,0,0,,0,,1.709e-7,
202.91,1.575e+2,,,7.623e-42,1.564e+2,,1.151e-39,,4.528e-10,,,3.919e-16,7.046e-27,,1.337e-14,,,,1.116e-17,,1.095e-11,,1.122e+0,2.918e-6,0,0,,0,,1.839e-8,
202.95,5.373e+1,,,7.046e-42,5.070e+1,,1.179e-39,,4.423e-11,,,3.859e-16,7.309e-27,,8.255e-14,,,,5.485e-18,,1.409e-10,,3.023e+0,2.985e-6,0,0,,0,,1.738e-9,
202.99,2.162e+1,,,6.449e-42,1.445e+1,,1.207e-39,,3.797e-12,,,3.800e-16,7.573e-27,,4.541e-13,,,,6.158e-18,,1.598e-9,,7.169e+0,2.859e-6,0,0,,0,,1.445e-10,
203.02,1.778e+1,,,6.130e-42,5.179e+0,,1.229e-39,,5.531e-13,,,3.755e-16,7.770e-27,,1.512e-12,,,,1.134e-17,,9.089e-9,,1.260e+1,2.610e-6,0,0,,0,,2.054e-11,
203.06,2.506e+1,,,5.855e-42,1.178e+0,,2.210e-38,,3.787e-14,,,3.695e-16,8.034e-27,,6.798e-12,,,,2.833e-17,,8.262e-8,,2.388e+1,2.141e-6,0,0,,0,,1.361e-12,
203.1,4.007e+1,,,5.550e-42,2.357e-1,,3.502e-37,,2.278e-15,,,3.636e-16,8.297e-27,,2.722e-11,,,,6.472e-17,,6.618e-7,,3.983e+1,1.660e-6,0,0,,0,,7.927e-14,
203.14,5.851e+1,,,4.986e-42,4.144e-2,,4.887e-36,,1.204e-16,,,3.576e-16,8.561e-27,,9.700e-11,,,,1.307e-16,,4.673e-6,,5.847e+1,1.356e-6,0,0,,0,,4.057e-15,
203.17,7.171e+1,,,4.349e-42,1.034e-2,,3.246e-35,,1.260e-16,,,3.531e-16,8.758e-27,,2.329e-10,,,,2.035e-16,,1.863e-5,,7.169e+1,1.371e-6,0,0,,0,,4.083e-15,
203.21,8.415e+1,,,3.306e-42,1.452e-3,,3.627e-34,,1.333e-16,,,3.471e-16,9.022e-27,,6.757e-10,,,,3.287e-16,,1.055e-4,,8.415e+1,1.924e-6,0,0,,0,,4.117e-15,
203.25,8.696e+1,,,2.251e-42,1.791e-4,,3.568e-33,,1.407e-16,,,3.412e-16,9.285e-27,,1.741e-9,,,,4.671e-16,,5.265e-4,,8.696e+1,3.367e-6,0,0,,0,,4.151e-15,
203.29,7.926e+1,,,1.399e-42,1.944e-5,,3.092e-32,,1.480e-16,,,3.352e-16,9.549e-27,,3.979e-9,,,,5.841e-16,,2.317e-3,,7.926e+1,5.997e-6,0,0,,0,,4.185e-15,
203.32,6.830e+1,,,9.715e-43,3.377e-6,,1.437e-31,,1.535e-16,,,3.307e-16,9.746e-27,,6.839e-9,,,,6.353e-16,,6.481e-3,,6.830e+1,8.844e-6,0,0,,0,,4.211e-15,
203.36,5.109e+1,,,7.114e-43,2.925e-7,,9.971e-31,,1.609e-16,,,3.248e-16,1.001e-26,,1.268e-8,,,,6.353e-16,,2.288e-2,,5.107e+1,1.372e-5,0,0,,0,,4.245e-15,
203.4,3.605e+1,,,7.828e-43,2.227e-8,,6.094e-30,,1.683e-16,,,3.188e-16,1.027e-26,,2.086e-8,,,,5.590e-16,,7.124e-2,,3.598e+1,1.941e-5,0,0,,0,,4.279e-15,
203.44,2.718e+1,,,1.126e-42,1.491e-9,,3.280e-29,,1.756e-16,,,3.128e-16,1.054e-26,,3.050e-8,,,,4.329e-16,,1.956e-1,,2.698e+1,2.523e-5,0,0,,0,,4.314e-15,
203.47,2.547e+1,,,1.506e-42,1.804e-10,,1.066e-28,,1.811e-16,,,3.084e-16,1.073e-26,,3.762e-8,,,,3.287e-16,,3.843e-1,,2.508e+1,2.926e-5,0,0,,0,,4.339e-15,
203.51,2.906e+1,,,2.072e-42,9.641e-12,,4.595e-28,,1.885e-16,,,3.024e-16,1.100e-26,,4.517e-8,,,,2.035e-16,,8.471e-1,,2.821e+1,3.385e-5,0,0,,0,,4.374e-15,
203.55,3.686e+1,,,2.568e-42,9.635e-12,,1.744e-27,,1.958e-16,,,2.964e-16,1.126e-26,,4.887e-8,,,,1.110e-16,,1.648e+0,,3.521e+1,3.743e-5,0,0,,0,,4.408e-15,
203.59,4.516e+1,,,2.867e-42,9.630e-12,,5.829e-27,,2.032e-16,,,2.905e-16,1.152e-26,,4.813e-8,,,,5.355e-17,,2.828e+0,,4.233e+1,4.018e-5,0,0,,0,,4.442e-15,
203.62,4.952e+1,,,2.926e-42,9.625e-12,,1.326e-26,,2.087e-16,,,2.860e-16,1.172e-26,,4.505e-8,,,,2.951e-17,,3.907e+0,,4.562e+1,4.181e-5,0,0,,0,,4.468e-15,
203.66,5.097e+1,,,2.806e-42,9.620e-12,,3.548e-26,,2.161e-16,,,2.800e-16,1.199e-26,,3.873e-8,,,,1.746e-17,,5.396e+0,,4.558e+1,4.344e-5,0,0,,0,,4.502e-15,
203.7,4.721e+1,,,2.534e-42,9.614e-12,,8.362e-26,,2.234e-16,,,2.741e-16,1.225e-26,,3.123e-8,,,,3.313e-17,,6.597e+0,,4.061e+1,4.431e-5,0,0,,0,,4.536e-15,
203.74,4.026e+1,,,2.194e-42,9.608e-12,,1.736e-25,,2.308e-16,,,2.681e-16,1.251e-26,,2.367e-8,,,,1.163e-16,,7.167e+0,,3.310e+1,4.430e-5,0,0,,0,,4.571e-15,
203.77,3.520e+1,,,1.926e-42,9.604e-12,,2.762e-25,,2.363e-16,,,2.636e-16,1.271e-26,,1.841e-8,,,,2.950e-16,,7.092e+0,,2.811e+1,4.377e-5,0,0,,0,,4.596e-15,
203.81,3.225e+1,,,1.571e-42,9.599e-12,,4.591e-25,,2.437e-16,,,2.576e-16,1.297e-26,,1.231e-8,,,,9.222e-16,,6.428e+0,,2.582e+1,4.265e-5,0,0,,0,,4.630e-15,
203.85,3.748e+1,,,1.246e-42,9.593e-12,,6.720e-25,,2.510e-16,,,2.517e-16,1.324e-26,,7.543e-9,,,,2.542e-15,,5.430e+0,,3.205e+1,4.149e-5,0,0,,0,,4.665e-15,
203.89,5.374e+1,,,1.013e-42,9.587e-12,,8.664e-25,,2.584e-16,,,2.457e-16,1.350e-26,,4.183e-9,,,,6.175e-15,,4.461e+0,,4.927e+1,4.063e-5,0,0,,0,,4.699e-15,
203.92,7.322e+1,,,9.584e-43,9.583e-12,,9.644e-25,,2.639e-16,,,2.412e-16,1.370e-26,,2.503e-9,,,,1.106e-14,,3.887e+0,,6.933e+1,4.016e-5,0,0,,0,,4.725e-15,
203.96,1.058e+2,,,1.146e-42,9.578e-12,,9.956e-25,,2.713e-16,,,2.353e-16,1.396e-26,,1.142e-9,,,,2.151e-14,,3.332e+0,,1.024e+2,3.941e-5,0,0,,0,,4.759e-15,
204,1.384e+2,,,1.759e-42,9.572e-12,,9.051e-25,,2.786e-16,,,2.293e-16,1.423e-26,,4.637e-10,,,,3.687e-14,,2.901e+0,,1.355e+2,3.786e-5,0,0,,0,,4.793e-15,
204.04,1.610e+2,,,2.935e-42,9.566e-12,,7.247e-25,,2.860e-16,,,2.233e-16,1.449e-26,,1.729e-10,,,,5.567e-14,,2.451e+0,,1.586e+2,3.486e-5,0,0,,0,,4.827e-15,
204.07,1.663e+2,,,4.268e-42,9.562e-12,,5.643e-25,,2.915e-16,,,2.189e-16,1.313e-25,,9.289e-11,,,,6.977e-14,,2.063e+0,,1.643e+2,3.154e-5,0,0,,0,,4.853e-15,
