spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.0000,0.0000,0.9702,0.9584,0.9696,0.7397,0.0000,0.8779,0.0000,0.0000,0.2982,0.0000,0.0000,0.0000,0.0000,8357.6398
03124_95_random,0.9399,0.8744,0.8405,0.0000,0.8854,0.5739,0.0000,0.8126,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,12834.0191
03130_95_random,0.0000,0.9441,0.9665,0.8717,0.0000,0.7118,0.0000,0.0000,0.0000,0.9080,0.0059,0.0000,0.0000,0.0000,0.0000,9665.4322
03134_95_random,0.9767,0.8727,0.0000,0.9555,0.9525,0.5676,0.2045,0.8587,0.0000,0.0000,0.1009,0.0000,0.0000,0.0000,0.0000,8420.4975
070036_95_random,0.9856,0.0019,0.9483,0.0000,0.9665,0.0000,0.3690,0.9011,0.0000,0.0000,0.0373,0.0000,0.0150,0.0000,0.0000,8996.3245
070099_95_random,0.9906,0.0000,0.0000,0.0000,0.0000,0.0000,0.2382,0.2723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10460.4004
070101_95_random,0.0000,0.0000,0.0000,0.6300,0.0000,0.0000,0.8118,0.0000,0.0000,0.9459,0.2737,0.0000,0.0000,0.0000,0.0000,11164.6579
070159_95_random,0.9338,0.0000,0.0000,0.0000,0.0000,0.5939,0.0000,0.7239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11795.9354
070171_95_random,0.9662,0.0000,0.0000,0.0000,0.9622,0.0000,0.0000,0.5171,0.0000,0.0000,0.0008,0.0000,0.0393,0.0000,0.0000,12631.6626
07103_95_random,0.0000,0.8904,0.0000,0.6432,0.9427,0.4943,0.0000,0.5855,0.0000,0.0000,0.3043,0.0000,0.0000,0.0000,0.0000,11569.7313
07105_95_random,0.0000,0.0188,0.6344,0.0064,0.0000,0.1096,0.4727,0.4724,0.0000,0.0000,0.0000,0.9028,0.0735,0.0000,0.0000,10415.7070
07106_95_random,0.9730,0.8663,0.9078,0.0000,0.9502,0.5201,0.9564,0.6212,0.0000,0.0000,0.2894,0.0000,0.0000,0.0000,0.0000,11780.7333
07107_95_random,0.9510,0.8049,0.0000,0.0000,0.0000,0.6115,0.7800,0.0000,0.0000,0.0000,0.0942,0.0000,0.0033,0.0000,0.0000,12079.3015
07111_95_random,0.9802,0.9677,0.6212,0.6771,0.5703,0.1387,0.0000,0.0000,0.5331,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,10059.7779
07121_95_random,0.0000,0.9760,0.5635,0.8993,0.9493,0.4898,0.0000,0.4862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10744.5161
07122_95_random,0.9412,0.1470,0.0000,0.0000,0.5720,0.7039,0.0000,0.0000,0.0000,0.0000,0.0000,0.3555,0.0396,0.0000,0.0000,9215.5208
07125_95_random,0.0000,0.6973,0.9474,0.7526,0.0000,0.4796,0.3373,0.0000,0.0000,0.8908,0.7935,0.0000,0.0000,0.0000,0.0000,12631.9056
07141_95_random,0.0000,0.9281,0.0000,0.1404,0.3832,0.7610,0.0000,0.6002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8584.3458
07145_95_random,0.0000,0.9331,0.0000,0.8635,0.8290,0.5587,0.0000,0.6300,0.6712,0.0000,0.0000,0.0000,0.0126,0.0000,0.0000,12636.6820
07405_95_random,0.0000,0.0000,0.0000,0.7957,0.0000,0.4746,0.0871,0.7841,0.6189,0.0000,0.7265,0.0000,0.0071,0.0000,0.0000,8222.7328
07407_95_random,0.9551,0.6025,0.0000,0.0000,0.0000,0.2394,0.0000,0.0000,0.6244,0.0000,0.4261,0.0000,0.0578,0.0000,0.0000,13656.1181
07840_95_random,0.0000,0.0094,0.0000,0.0000,0.9480,0.5671,0.0004,0.0000,0.5857,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,10293.6492
