Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.75,0.0,,0.1040561481201647
03124_95_random,0.7777777777777778,0.0,,0.0416998075209468
03130_95_random,1.0,0.0,,0.2958260727124208
03134_95_random,0.7272727272727273,0.0,,0.077526433303547
070036_95_random,1.0,0.375,Eu;Pr;Nd,0.2913760079532487
070099_95_random,0.3333333333333333,0.6666666666666666,La;Tm,3.0034160384998825
070101_95_random,0.75,0.25,Er,0.1569363606009554
070159_95_random,0.5,0.0,,0.2243769511477279
070171_95_random,0.6,0.4,Tm;Nd,0.1526072648907913
07103_95_random,0.75,0.0,,0.1649201251753144
07105_95_random,0.8333333333333334,0.2857142857142857,Eu;Ce,0.0373835131567835
07106_95_random,0.7272727272727273,0.0,,0.2973871684222799
07107_95_random,0.625,0.16666666666666666,Nd,0.1134035634512822
07111_95_random,0.8571428571428571,0.25,Yb;Nd,0.1657343495263901
07121_95_random,0.5454545454545454,0.0,,0.1302157169020127
07122_95_random,0.6666666666666666,0.3333333333333333,Ce;Nd,0.1771437178992862
07125_95_random,0.8333333333333334,0.2857142857142857,Lu;La,0.178790196353011
07141_95_random,0.45454545454545453,0.0,,0.1334612014887075
07145_95_random,0.5555555555555556,0.2857142857142857,Tb;Nd,0.3531543290290794
07405_95_random,0.6666666666666666,0.42857142857142855,Tb;Pr;Nd,0.5044404207590362
07407_95_random,0.5714285714285714,0.3333333333333333,Yb;Nd,0.2307537147398392
07840_95_random,0.5,0.5,Eu;Yb;Nd,0.9793861050406454
