idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 2, 4, 5]",4,"[323.0582, 337.271, 349.9104, 361.65650000000005]","[1.5, 1.3, 0.75, 0.2]","[3.8911949946599997, 3.6748741947399997, 3.5967856396999998, 3.42713673884]","[12.0, 16.0, 10.0, 12.0]","[0.09498466281936713, -0.026428796440749358, -0.03418487984498997, -0.03437098653362759]",0.09498466281936713
"[0, 2, 4, 6]",4,"[323.0582, 337.271, 349.9104, 389.6234]","[1.5, 1.3, 0.75, 0.18]","[3.8911949946599997, 3.6748741947399997, 3.5967856396999998, 3.23575054856]","[12.0, 16.0, 10.0, 14.0]","[0.10449185394337504, -0.008078400727939306, -0.026428180351749597, -0.06998527286368614]",0.10449185394337504
"[0, 2, 4, 7]",4,"[323.0582, 337.271, 349.9104, 390.63110000000006]","[1.5, 1.3, 0.75, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.5967856396999998, 3.1729386851399997]","[12.0, 16.0, 10.0, 12.0]","[0.11484278681026977, 0.017554225402951873, -0.014973017162657865, -0.11742399505056368]",0.11742399505056368
"[0, 2, 5, 6]",4,"[323.0582, 337.271, 361.65650000000005, 389.6234]","[1.5, 1.3, 0.2, 0.18]","[3.8911949946599997, 3.6748741947399997, 3.42713673884, 3.23575054856]","[12.0, 16.0, 12.0, 14.0]","[0.11794921805836328, -0.0066566968884714806, -0.03384559066713455, -0.07744693050275722]",0.11794921805836328
"[0, 2, 5, 7]",4,"[323.0582, 337.271, 361.65650000000005, 390.63110000000006]","[1.5, 1.3, 0.2, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.42713673884, 3.1729386851399997]","[12.0, 16.0, 12.0, 12.0]","[0.13037442906658414, 0.024388439524745953, -0.026689697645190948, -0.12807317094613918]",0.13037442906658414
"[0, 2, 6, 7]",4,"[323.0582, 337.271, 389.6234, 390.63110000000006]","[1.5, 1.3, 0.18, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 14.0, 12.0]","[0.13869750838586625, 0.04071180379518807, -0.060480372205440905, -0.11892893997561359]",0.13869750838586625
"[0, 3, 4, 5]",4,"[323.0582, 339.19980000000004, 349.9104, 361.65650000000005]","[1.5, 0.235, 0.75, 0.2]","[3.8911949946599997, 3.6540363802199995, 3.5967856396999998, 3.42713673884]","[12.0, 16.0, 10.0, 12.0]","[0.13623037365510687, -0.0163957182879748, -0.062190248803357634, -0.05764440656377451]",0.13623037365510687
"[0, 3, 4, 6]",4,"[323.0582, 339.19980000000004, 349.9104, 389.6234]","[1.5, 0.235, 0.75, 0.18]","[3.8911949946599997, 3.6540363802199995, 3.5967856396999998, 3.23575054856]","[12.0, 16.0, 10.0, 14.0]","[0.16020035115383857, -0.0076518575292875285, -0.0426856548255555, -0.10986283879899571]",0.16020035115383857
"[0, 3, 4, 7]",4,"[323.0582, 339.19980000000004, 349.9104, 390.63110000000006]","[1.5, 0.235, 0.75, 0.323]","[3.8911949946599997, 3.6540363802199995, 3.5967856396999998, 3.1729386851399997]","[12.0, 16.0, 10.0, 12.0]","[0.1836899338437875, 0.0036816328178571195, -0.01633279644960603, -0.17103877021203862]",0.1836899338437875
"[0, 3, 5, 6]",4,"[323.0582, 339.19980000000004, 361.65650000000005, 389.6234]","[1.5, 0.235, 0.2, 0.18]","[3.8911949946599997, 3.6540363802199995, 3.42713673884, 3.23575054856]","[12.0, 16.0, 12.0, 14.0]","[0.19427613185846887, -0.008060820050841327, -0.05676070442392399, -0.1294546073837035]",0.19427613185846887
