idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[2, 3, 5, 8, 9]",5,"[415.608, 430.358, 495.913, 543.152, 562.054]","[0.42, 0.437, 0.0413, 0.054, 0.13]","[3.1645237905999997, 2.8800529204, 2.5629852285999997, 3.4030910657999995, 3.7499945446]","[14.0, 10.0, 10.0, 14.0, 18.0]","[0.08694547753477166, -0.12301141149504102, -0.048682574897237436, 0.017999684418850047, 0.0667488244386569]",0.12301141149504102
"[2, 3, 5, 8, 10]",5,"[415.608, 430.358, 495.913, 543.152, 568.8520000000001]","[0.42, 0.437, 0.0413, 0.054, 0.073]","[3.1645237905999997, 2.8800529204, 2.5629852285999997, 3.4030910657999995, 3.1645237905999997]","[14.0, 10.0, 10.0, 14.0, 14.0]","[0.11088069757595742, -0.0991555896882394, -0.04566263556426594, 0.019857155687813828, 0.014080371988734033]",0.11088069757595742
"[2, 3, 5, 9, 10]",5,"[415.608, 430.358, 495.913, 562.054, 568.8520000000001]","[0.42, 0.437, 0.0413, 0.13, 0.073]","[3.1645237905999997, 2.8800529204, 2.5629852285999997, 3.7499945446, 3.1645237905999997]","[14.0, 10.0, 10.0, 18.0, 14.0]","[0.08777486969997955, -0.11741470341541671, -0.04722080147307313, 0.06571439563863983, 0.011146239549870547]",0.11741470341541671
"[2, 3, 6, 7, 8]",5,"[415.608, 430.358, 524.9590000000001, 537.1930000000001, 543.152]","[0.42, 0.437, 0.242, 0.115, 0.054]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.7196863938, 3.4030910657999995]","[14.0, 10.0, 16.0, 20.0, 14.0]","[0.03381310493399731, -0.15981521227180318, 0.05838305426560539, 0.05460951154269146, 0.013009541529509176]",0.15981521227180318
"[2, 3, 6, 7, 9]",5,"[415.608, 430.358, 524.9590000000001, 537.1930000000001, 562.054]","[0.42, 0.437, 0.242, 0.115, 0.13]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.7196863938, 3.7499945446]","[14.0, 10.0, 16.0, 20.0, 18.0]","[0.018912488412116957, -0.1711891762818588, 0.051073994878310394, 0.05103150949908837, 0.05017118349234305]",0.1711891762818588
"[2, 3, 6, 7, 10]",5,"[415.608, 430.358, 524.9590000000001, 537.1930000000001, 568.8520000000001]","[0.42, 0.437, 0.242, 0.115, 0.073]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.7196863938, 3.1645237905999997]","[14.0, 10.0, 16.0, 20.0, 14.0]","[0.03619832897592601, -0.15329531951554115, 0.05849494367887105, 0.0540053411356342, 0.004596705725110124]",0.15329531951554115
"[2, 3, 6, 8, 9]",5,"[415.608, 430.358, 524.9590000000001, 543.152, 562.054]","[0.42, 0.437, 0.242, 0.054, 0.13]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.4030910657999995, 3.7499945446]","[14.0, 10.0, 16.0, 14.0, 18.0]","[0.03429280510494065, -0.15992205343170773, 0.058724863336755334, 0.013078160971092309, 0.05382622401891936]",0.15992205343170773
"[2, 3, 6, 8, 10]",5,"[415.608, 430.358, 524.9590000000001, 543.152, 568.8520000000001]","[0.42, 0.437, 0.242, 0.054, 0.073]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.4030910657999995, 3.1645237905999997]","[14.0, 10.0, 16.0, 14.0, 14.0]","[0.05289284119915921, -0.14085488447502137, 0.06675213783423498, 0.014493218985763157, 0.006716686455864124]",0.14085488447502137
"[2, 3, 6, 9, 10]",5,"[415.608, 430.358, 524.9590000000001, 562.054, 568.8520000000001]","[0.42, 0.437, 0.242, 0.13, 0.073]","[3.1645237905999997, 2.8800529204, 3.3366439847999994, 3.7499945446, 3.1645237905999997]","[14.0, 10.0, 16.0, 18.0, 14.0]","[0.03667877165021549, -0.15337729143709405, 0.05883164481043292, 0.053209159429777934, 0.004657715546667433]",0.15337729143709405
"[2, 3, 7, 8, 9]",5,"[415.608, 430.358, 537.1930000000001, 543.152, 562.054]","[0.42, 0.437, 0.115, 0.054, 0.13]","[3.1645237905999997, 2.8800529204, 3.7196863938, 3.4030910657999995, 3.7499945446]","[14.0, 10.0, 20.0, 14.0, 18.0]","[0.03961003564532117, -0.17473375219167014, 0.06084609311816843, 0.01457012027124531, 0.05970750315693529]",0.17473375219167014
"[2, 3, 7, 8, 10]",5,"[415.608, 430.358, 537.1930000000001, 543.152, 568.8520000000001]","[0.42, 0.437, 0.115, 0.054, 0.073]","[3.1645237905999997, 2.8800529204, 3.7196863938, 3.4030910657999995, 3.1645237905999997]","[14.0, 10.0, 20.0, 14.0, 14.0]","[0.0623773181884783, -0.15143239877880715, 0.06482975242240037, 0.016304239439642338, 0.007921088728285952]",0.15143239877880715
"[2, 3, 7, 9, 10]",5,"[415.608, 430.358, 537.1930000000001, 562.054, 568.8520000000001]","[0.42, 0.437, 0.115, 0.13, 0.073]","[3.1645237905999997, 2.8800529204, 3.7196863938, 3.7499945446, 3.1645237905999997]","[14.0, 10.0, 20.0, 18.0, 14.0]","[0.04243373951433993, -0.16685958300950632, 0.060091858404529006, 0.05894546526440131, 0.00538851982623622]",0.16685958300950632
"[2, 3, 8, 9, 10]",5,"[415.608, 430.358, 543.152, 562.054, 568.8520000000001]","[0.42, 0.437, 0.054, 0.13, 0.073]","[3.1645237905999997, 2.8800529204, 3.4030910657999995, 3.7499945446, 3.1645237905999997]","[14.0, 10.0, 14.0, 18.0, 14.0]","[0.0631566585842912, -0.15137532887163402, 0.016403343077136086, 0.06379527263016478, 0.00802005458004186]",0.15137532887163402
"[2, 4, 5, 6, 7]",5,"[415.608, 470.654, 495.913, 524.9590000000001, 537.1930000000001]","[0.42, 0.098, 0.0413, 0.242, 0.115]","[3.1645237905999997, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994, 3.7196863938]","[14.0, 6.0, 10.0, 16.0, 20.0]","[0.021134986644244513, -0.0900273891619752, -0.07642781022307263, 0.07185416802271433, 0.07346604471808893]",0.0900273891619752
"[2, 4, 5, 6, 8]",5,"[415.608, 470.654, 495.913, 524.9590000000001, 543.152]","[0.42, 0.098, 0.0413, 0.242, 0.054]","[3.1645237905999997, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994, 3.4030910657999995]","[14.0, 6.0, 10.0, 16.0, 14.0]","[0.05418633096542502, -0.08733358582584914, -0.07474919308754394, 0.08830168717712295, 0.01959476077084513]",0.08830168717712295
"[2, 4, 5, 6, 9]",5,"[415.608, 470.654, 495.913, 524.9590000000001, 562.054]","[0.42, 0.098, 0.0413, 0.242, 0.13]","[3.1645237905999997, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994, 3.7499945446]","[14.0, 6.0, 10.0, 16.0, 18.0]","[0.021857231174920444, -0.09030853167334234, -0.07667833361330129, 0.07244088450726807, 0.07268874960445529]",0.09030853167334234
