idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 5]",3,"[289.48400000000004, 291.139, 622.187]","[1.66, 2.42, 0.099]","[6.0419408962, 6.017596183399999, 3.5338217767999995]","[7.0, 9.0, 3.0]","[0.19680988878514055, 0.3602963805693378, -0.5571062693544782]",0.5571062693544782
"[1, 3, 4]",3,"[289.48400000000004, 307.76, 325.43100000000004]","[1.66, 1.24, 0.6]","[6.0419408962, 5.5690179464, 5.5690179464]","[7.0, 7.0, 7.0]","[0.18024329270292663, -0.12365786867367573, -0.056585424029250875]",0.18024329270292663
"[1, 3, 5]",3,"[289.48400000000004, 307.76, 622.187]","[1.66, 1.24, 0.099]","[6.0419408962, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.3657156677023131, 0.17212566023742742, -0.5378413279397408]",0.5378413279397408
"[1, 4, 5]",3,"[289.48400000000004, 325.43100000000004, 622.187]","[1.66, 0.6, 0.099]","[6.0419408962, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.5110683078753872, 0.12573647881596495, -0.636804786691352]",0.636804786691352
"[2, 3, 4]",3,"[291.139, 307.76, 325.43100000000004]","[2.42, 1.24, 0.6]","[6.017596183399999, 5.5690179464, 5.5690179464]","[9.0, 7.0, 7.0]","[0.1926399238693986, -0.13216271213160208, -0.06047721173779641]",0.1926399238693986
"[2, 3, 5]",3,"[291.139, 307.76, 622.187]","[2.42, 1.24, 0.099]","[6.017596183399999, 5.5690179464, 3.5338217767999995]","[9.0, 7.0, 3.0]","[0.41583167749626027, 0.06229713678239257, -0.4781288142786527]",0.4781288142786527
"[2, 4, 5]",3,"[291.139, 325.43100000000004, 622.187]","[2.42, 0.6, 0.099]","[6.017596183399999, 5.5690179464, 3.5338217767999995]","[9.0, 7.0, 3.0]","[0.5156537857096357, 0.04023390854662787, -0.5558876942562637]",0.5558876942562637
"[3, 4, 5]",3,"[307.76, 325.43100000000004, 622.187]","[1.24, 0.6, 0.099]","[5.5690179464, 5.5690179464, 3.5338217767999995]","[7.0, 7.0, 3.0]","[0.3636776673718071, 0.16641767514616204, -0.5300953425179691]",0.5300953425179691
"[0, 1, 2, 3]",4,"[219.554, 289.48400000000004, 291.139, 307.76]","[0.714, 1.66, 2.42, 1.24]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 5.5690179464]","[3.0, 7.0, 9.0, 7.0]","[-0.03307238367119873, 0.06687995481372894, 0.11203315438636635, -0.1458407255288965]",0.1458407255288965
"[0, 1, 2, 4]",4,"[219.554, 289.48400000000004, 291.139, 325.43100000000004]","[0.714, 1.66, 2.42, 0.6]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 5.5690179464]","[3.0, 7.0, 9.0, 7.0]","[-0.049749536441722364, 0.0563349470506406, 0.08848696553235785, -0.09507237614127598]",0.09507237614127598
"[0, 1, 2, 5]",4,"[219.554, 289.48400000000004, 291.139, 622.187]","[0.714, 1.66, 2.42, 0.099]","[5.6450982733999995, 6.0419408962, 6.017596183399999, 3.5338217767999995]","[3.0, 7.0, 9.0, 3.0]","[0.013838946541936445, 0.1762827354274, 0.322437582408795, -0.5125592643781316]",0.5125592643781316
"[0, 1, 3, 4]",4,"[219.554, 289.48400000000004, 307.76, 325.43100000000004]","[0.714, 1.66, 1.24, 0.6]","[5.6450982733999995, 6.0419408962, 5.5690179464, 5.5690179464]","[3.0, 7.0, 7.0, 7.0]","[-0.0151424946133953, 0.16318003836280684, -0.10156276480096194, -0.046474778948449647]",0.16318003836280684
"[0, 1, 3, 5]",4,"[219.554, 289.48400000000004, 307.76, 622.187]","[0.714, 1.66, 1.24, 0.099]","[5.6450982733999995, 6.0419408962, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 7.0, 3.0]","[0.05511826894852903, 0.30892220534227244, 0.13273307210066065, -0.4967735463914619]",0.4967735463914619
"[0, 1, 4, 5]",4,"[219.554, 289.48400000000004, 325.43100000000004, 622.187]","[0.714, 1.66, 0.6, 0.099]","[5.6450982733999995, 6.0419408962, 5.5690179464, 3.5338217767999995]","[3.0, 7.0, 7.0, 3.0]","[0.07919986329734656, 0.4099602871600372, 0.09135014743522885, -0.5805102978926125]",0.5805102978926125
"[0, 2, 3, 4]",4,"[219.554, 291.139, 307.76, 325.43100000000004]","[0.714, 2.42, 1.24, 0.6]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 5.5690179464]","[3.0, 9.0, 7.0, 7.0]","[-0.021673987976060072, 0.1844845652643211, -0.11169796491778278, -0.05111261237047847]",0.1844845652643211
"[0, 2, 3, 5]",4,"[219.554, 291.139, 307.76, 622.187]","[0.714, 2.42, 1.24, 0.099]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 3.5338217767999995]","[3.0, 9.0, 7.0, 3.0]","[0.026300503106287357, 0.36930304755182697, 0.04944077993477733, -0.4450443305928916]",0.4450443305928916
"[0, 2, 4, 5]",4,"[219.554, 291.139, 325.43100000000004, 622.187]","[0.714, 2.42, 0.6, 0.099]","[5.6450982733999995, 6.017596183399999, 5.5690179464, 3.5338217767999995]","[3.0, 9.0, 7.0, 3.0]","[0.03381255987515132, 0.44696628927856197, 0.0309336304961233, -0.5117124796498366]",0.5117124796498366
