idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 3, 4, 6]",5,"[365.88910000000004, 367.6363, 370.28560000000004, 384.874, 403.3027]","[1.71, 1.19, 0.619, 0.543, 0.374]","[3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507]","[13.0, 15.0, 17.0, 17.0, 15.0]","[0.05224910111238651, 0.035773962295720996, 0.015364279693096339, -0.06213701429900542, -0.04125032880219817]",0.06213701429900542
"[1, 2, 3, 5, 6]",5,"[365.88910000000004, 367.6363, 370.28560000000004, 387.41720000000004, 403.3027]","[1.71, 1.19, 0.619, 1.0, 0.374]","[3.5135045543, 3.4974051314, 3.4732842024999995, 3.199260507, 3.199260507]","[13.0, 15.0, 17.0, 15.0, 15.0]","[0.05917609929897752, 0.04219621115157027, 0.0199448834971747, -0.08925181225658735, -0.032065381691135264]",0.08925181225658735
"[1, 2, 4, 5, 6]",5,"[365.88910000000004, 367.6363, 384.874, 387.41720000000004, 403.3027]","[1.71, 1.19, 0.543, 1.0, 0.374]","[3.5135045543, 3.4974051314, 3.2204003367999996, 3.199260507, 3.199260507]","[13.0, 15.0, 17.0, 15.0, 15.0]","[0.07474270707995048, 0.05508737058577626, -0.03573000253136166, -0.06922845778020714, -0.024871617354157938]",0.07474270707995048
"[1, 3, 4, 5, 6]",5,"[365.88910000000004, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[1.71, 0.619, 0.543, 1.0, 0.374]","[3.5135045543, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[13.0, 17.0, 17.0, 15.0, 15.0]","[0.09032609995827007, 0.03475641531456361, -0.033902748008137695, -0.06708001730582996, -0.02409974995886588]",0.09032609995827007
"[2, 3, 4, 5, 6]",5,"[367.6363, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[1.19, 0.619, 0.543, 1.0, 0.374]","[3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[15.0, 17.0, 17.0, 15.0, 15.0]","[0.07713351518293782, 0.04039499553630227, -0.03134350690548199, -0.06340542118896597, -0.022779582624792377]",0.07713351518293782
"[0, 1, 2, 3, 4, 5]",6,"[350.91460000000006, 365.88910000000004, 367.6363, 370.28560000000004, 384.874, 387.41720000000004]","[0.537, 1.71, 1.19, 0.619, 0.543, 1.0]","[3.5320426638, 3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507]","[19.0, 13.0, 15.0, 17.0, 17.0, 15.0]","[0.025104045805737274, 0.04654759388829735, 0.032871435969828194, 0.015204068908786533, -0.041753712428093684, -0.07797343214455565]",0.07797343214455565
"[0, 1, 2, 3, 4, 6]",6,"[350.91460000000006, 365.88910000000004, 367.6363, 370.28560000000004, 384.874, 403.3027]","[0.537, 1.71, 1.19, 0.619, 0.543, 0.374]","[3.5320426638, 3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507]","[19.0, 13.0, 15.0, 17.0, 17.0, 15.0]","[0.02217988243540249, 0.03901891448193748, 0.0258221108548658, 0.010120727265030133, -0.058541350777796236, -0.038600284259439635]",0.058541350777796236
"[0, 1, 2, 3, 5, 6]",6,"[350.91460000000006, 365.88910000000004, 367.6363, 370.28560000000004, 387.41720000000004, 403.3027]","[0.537, 1.71, 1.19, 0.619, 1.0, 0.374]","[3.5320426638, 3.5135045543, 3.4974051314, 3.4732842024999995, 3.199260507, 3.199260507]","[19.0, 13.0, 15.0, 17.0, 15.0, 15.0]","[0.02494136224777642, 0.045774786689713354, 0.03193818843151214, 0.014364749962227127, -0.08608973941010051, -0.030929347921128614]",0.08608973941010051
"[0, 1, 2, 4, 5, 6]",6,"[350.91460000000006, 365.88910000000004, 367.6363, 384.874, 387.41720000000004, 403.3027]","[0.537, 1.71, 1.19, 0.543, 1.0, 0.374]","[3.5320426638, 3.5135045543, 3.4974051314, 3.2204003367999996, 3.199260507, 3.199260507]","[19.0, 13.0, 15.0, 17.0, 15.0, 15.0]","[0.03074923655056709, 0.058419768773158326, 0.04241091114202877, -0.03670422950932292, -0.06979906742319697, -0.025076619533234257]",0.06979906742319697
"[0, 1, 3, 4, 5, 6]",6,"[350.91460000000006, 365.88910000000004, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[0.537, 1.71, 0.619, 0.543, 1.0, 0.374]","[3.5320426638, 3.5135045543, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[19.0, 13.0, 17.0, 17.0, 15.0, 15.0]","[0.03604455963073547, 0.06915079408514344, 0.025473740130999997, -0.036133601080930305, -0.06954879005498804, -0.024986702710960637]",0.06954879005498804
"[0, 2, 3, 4, 5, 6]",6,"[350.91460000000006, 367.6363, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[0.537, 1.19, 0.619, 0.543, 1.0, 0.374]","[3.5320426638, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[19.0, 15.0, 17.0, 17.0, 15.0, 15.0]","[0.04022046669108034, 0.0574389213901762, 0.02926943092915632, -0.03480002909135835, -0.06777820351520242, -0.024350586403852043]",0.06777820351520242
"[1, 2, 3, 4, 5, 6]",6,"[365.88910000000004, 367.6363, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[1.71, 1.19, 0.619, 0.543, 1.0, 0.374]","[3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[13.0, 15.0, 17.0, 17.0, 15.0, 15.0]","[0.06035067453910137, 0.0440212910407875, 0.02183645396674183, -0.03508316223681757, -0.06703991489247046, -0.024085342417342656]",0.06703991489247046
"[0, 1, 2, 3, 4, 5, 6]",7,"[350.91460000000006, 365.88910000000004, 367.6363, 370.28560000000004, 384.874, 387.41720000000004, 403.3027]","[0.537, 1.71, 1.19, 0.619, 0.543, 1.0, 0.374]","[3.5320426638, 3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996, 3.199260507, 3.199260507]","[19.0, 13.0, 15.0, 17.0, 17.0, 15.0, 15.0]","[0.025721736801802328, 0.04842417299540397, 0.034798073440153954, 0.016727910615066677, -0.03526576961684921, -0.06651085608356985, -0.023895268152008042]",0.06651085608356985
