idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 2, 6]",3,"[313.12600000000003, 342.50800000000004, 384.802]","[1.06, 0.652, 0.466]","[3.9582871436, 3.6481090203999997, 3.2210028796]","[11.0, 7.0, 7.0]","[0.22869437609813187, -0.004416560395702124, -0.2242778157024296]",0.22869437609813187
"[0, 3, 4]",3,"[313.12600000000003, 344.15000000000003, 345.366]","[1.06, 0.56, 0.266]","[3.9582871436, 3.6308435655999998, 3.6181566921999995]","[11.0, 5.0, 9.0]","[0.13796675900720223, -0.07167737068105298, -0.06628938832614942]",0.13796675900720223
"[0, 3, 5]",3,"[313.12600000000003, 344.15000000000003, 346.22]","[1.06, 0.56, 0.54]","[3.9582871436, 3.6308435655999998, 3.5799373775999994]","[11.0, 5.0, 11.0]","[0.15583706563060556, -0.03762286253825209, -0.1182142030923537]",0.15583706563060556
"[0, 3, 6]",3,"[313.12600000000003, 344.15000000000003, 384.802]","[1.06, 0.56, 0.466]","[3.9582871436, 3.6308435655999998, 3.2210028796]","[11.0, 5.0, 7.0]","[0.2531511622419852, -0.007536731568143162, -0.24561443067384206]",0.2531511622419852
"[0, 4, 5]",3,"[313.12600000000003, 345.366, 346.22]","[1.06, 0.266, 0.54]","[3.9582871436, 3.6181566921999995, 3.5799373775999994]","[11.0, 9.0, 11.0]","[0.15832537922127754, -0.036819066227792574, -0.12150631299348497]",0.15832537922127754
"[0, 4, 6]",3,"[313.12600000000003, 345.366, 384.802]","[1.06, 0.266, 0.466]","[3.9582871436, 3.6181566921999995, 3.2210028796]","[11.0, 9.0, 7.0]","[0.26001484757469523, -0.009635103609504425, -0.2503797439651909]",0.26001484757469523
"[0, 5, 6]",3,"[313.12600000000003, 346.22, 384.802]","[1.06, 0.54, 0.466]","[3.9582871436, 3.5799373775999994, 3.2210028796]","[11.0, 11.0, 7.0]","[0.22317448371584497, -0.030698272516001046, -0.19247621119984387]",0.22317448371584497
"[1, 2, 3]",3,"[336.261, 342.50800000000004, 344.15000000000003]","[0.934, 0.652, 0.56]","[3.7153297365999993, 3.6481090203999997, 3.6308435655999998]","[5.0, 7.0, 5.0]","[0.0298846762362453, -0.013879586496002516, -0.01600508974024284]",0.0298846762362453
"[1, 2, 4]",3,"[336.261, 342.50800000000004, 345.366]","[0.934, 0.652, 0.266]","[3.7153297365999993, 3.6481090203999997, 3.6181566921999995]","[5.0, 7.0, 9.0]","[0.03187724037504247, -0.01328111915414465, -0.01859612122089771]",0.03187724037504247
"[1, 2, 5]",3,"[336.261, 342.50800000000004, 346.22]","[0.934, 0.652, 0.54]","[3.7153297365999993, 3.6481090203999997, 3.5799373775999994]","[5.0, 7.0, 11.0]","[0.03767885594827591, 0.005111781154925554, -0.04279063710320141]",0.04279063710320141
"[1, 2, 6]",3,"[336.261, 342.50800000000004, 384.802]","[0.934, 0.652, 0.466]","[3.7153297365999993, 3.6481090203999997, 3.2210028796]","[5.0, 7.0, 7.0]","[0.10849038935709629, 0.0776115976849433, -0.1861019870420395]",0.1861019870420395
"[1, 3, 4]",3,"[336.261, 344.15000000000003, 345.366]","[0.934, 0.56, 0.266]","[3.7153297365999993, 3.6308435655999998, 3.6181566921999995]","[5.0, 5.0, 9.0]","[0.03887042759769632, -0.017773556409756752, -0.021096871187939487]",0.03887042759769632
"[1, 3, 5]",3,"[336.261, 344.15000000000003, 346.22]","[0.934, 0.56, 0.54]","[3.7153297365999993, 3.6308435655999998, 3.5799373775999994]","[5.0, 5.0, 11.0]","[0.045046562493873066, -0.0009180711880104053, -0.044128491305862716]",0.045046562493873066
"[1, 3, 6]",3,"[336.261, 344.15000000000003, 384.802]","[0.934, 0.56, 0.466]","[3.7153297365999993, 3.6308435655999998, 3.2210028796]","[5.0, 5.0, 7.0]","[0.1367062348485139, 0.05729631588261597, -0.19400255073112999]",0.19400255073112999
"[1, 4, 5]",3,"[336.261, 345.366, 346.22]","[0.934, 0.266, 0.54]","[3.7153297365999993, 3.6181566921999995, 3.5799373775999994]","[5.0, 9.0, 11.0]","[0.047623932737052954, -0.004192339013753821, -0.04343159372329913]",0.047623932737052954
"[1, 4, 6]",3,"[336.261, 345.366, 384.802]","[0.934, 0.266, 0.466]","[3.7153297365999993, 3.6181566921999995, 3.2210028796]","[5.0, 9.0, 7.0]","[0.14526986145591203, 0.04928208855789698, -0.19455195001380915]",0.19455195001380915
"[1, 5, 6]",3,"[336.261, 346.22, 384.802]","[0.934, 0.54, 0.466]","[3.7153297365999993, 3.5799373775999994, 3.2210028796]","[5.0, 11.0, 7.0]","[0.10078005552016281, 0.05770308810254143, -0.15848314362270427]",0.15848314362270427
"[2, 3, 4]",3,"[342.50800000000004, 344.15000000000003, 345.366]","[0.652, 0.56, 0.266]","[3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[7.0, 5.0, 9.0]","[0.010016747003423143, -0.002401772572636518, -0.007614974430786597]",0.010016747003423143
"[2, 3, 5]",3,"[342.50800000000004, 344.15000000000003, 346.22]","[0.652, 0.56, 0.54]","[3.6481090203999997, 3.6308435655999998, 3.5799373775999994]","[7.0, 5.0, 11.0]","[0.020183763500046248, 0.006462560236498355, -0.026646323736544797]",0.026646323736544797
"[2, 3, 6]",3,"[342.50800000000004, 344.15000000000003, 384.802]","[0.652, 0.56, 0.466]","[3.6481090203999997, 3.6308435655999998, 3.2210028796]","[7.0, 5.0, 7.0]","[0.11269311104338398, 0.06388273895267965, -0.17657584999606374]",0.17657584999606374
"[2, 4, 5]",3,"[342.50800000000004, 345.366, 346.22]","[0.652, 0.266, 0.54]","[3.6481090203999997, 3.6181566921999995, 3.5799373775999994]","[7.0, 9.0, 11.0]","[0.022408660494551425, 0.0026211683893074267, -0.02502982888385885]",0.02502982888385885
"[2, 4, 6]",3,"[342.50800000000004, 345.366, 384.802]","[0.652, 0.266, 0.466]","[3.6481090203999997, 3.6181566921999995, 3.2210028796]","[7.0, 9.0, 7.0]","[0.12091709610544021, 0.05534531540373283, -0.17626241150917288]",0.17626241150917288
"[2, 5, 6]",3,"[342.50800000000004, 346.22, 384.802]","[0.652, 0.54, 0.466]","[3.6481090203999997, 3.5799373775999994, 3.2210028796]","[7.0, 11.0, 7.0]","[0.08017524947312982, 0.06742556083396167, -0.14760081030709143]",0.14760081030709143
"[3, 4, 5]",3,"[344.15000000000003, 345.366, 346.22]","[0.56, 0.266, 0.54]","[3.6308435655999998, 3.6181566921999995, 3.5799373775999994]","[5.0, 9.0, 11.0]","[0.012866005370074568, 0.006533977107577971, -0.019399982477652622]",0.019399982477652622
"[3, 4, 6]",3,"[344.15000000000003, 345.366, 384.802]","[0.56, 0.266, 0.466]","[3.6308435655999998, 3.6181566921999995, 3.2210028796]","[5.0, 9.0, 7.0]","[0.09588463040946027, 0.07810704001332017, -0.17399167042278046]",0.17399167042278046
