idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 3, 4, 5, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.201, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 16.0, 16.0, 18.0]","[0.06478830282012127, 0.03804642079210201, 0.020835449872641354, 0.0030383133144795058, -0.002159626743601553, -0.08631049381241375, -0.03823836624332885]",0.08631049381241375
"[1, 2, 3, 4, 6, 7, 8]",7,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0, 16.0]","[0.08073209627502642, 0.03705353534249545, 0.02656174227849553, 0.005444633552356928, -0.02920374697169717, -0.04928298023178693, -0.07130528024489013]",0.08073209627502642
"[1, 2, 3, 4, 6, 7, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0, 18.0]","[0.06844078425545891, 0.03838242686918017, 0.02211467114870211, 0.0034993185710303146, -0.03588987625061421, -0.05899713732649778, -0.037550187267259526]",0.06844078425545891
"[1, 2, 3, 4, 6, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.07619654493570183, 0.037843975083387243, 0.024903398832995416, 0.004678742414477188, -0.03215021439020438, -0.07735181960778983, -0.03412062726856745]",0.07735181960778983
"[1, 2, 3, 4, 7, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.08285153717319221, 0.0376978441882672, 0.02727805604227776, 0.005640175983414847, -0.0497654812127286, -0.07202766077352156, -0.031674471400902036]",0.08285153717319221
"[1, 2, 3, 5, 6, 7, 8]",7,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0, 16.0]","[0.08322296193756118, 0.037448284918400916, 0.02742454971244615, 0.0006538424975661289, -0.028909363822849116, -0.0489546822921514, -0.07088559295097376]",0.08322296193756118
"[1, 2, 3, 5, 6, 7, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0, 18.0]","[0.0711725927611474, 0.038824486865881816, 0.023060410663365172, -0.001480902380146823, -0.03558159276563287, -0.058659625577750216, -0.037335369566864424]",0.0711725927611474
"[1, 2, 3, 5, 6, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.07881953749771231, 0.03826326382756072, 0.02581176533400953, -0.00021988199634914024, -0.031845965232587495, -0.07692246974245867, -0.033906249687887094]",0.07881953749771231
"[1, 2, 3, 5, 7, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.08542739402117278, 0.03810565328723889, 0.02817032715097273, 0.0007715577807421645, -0.0494249691497797, -0.07159221901402213, -0.031457744076324734]",0.08542739402117278
"[1, 2, 3, 6, 7, 8, 9]",7,"[353.1703, 363.0239, 364.53960000000006, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 18.0, 18.0, 16.0, 18.0]","[0.09364058893383792, 0.03776934914474811, 0.03111000681073664, -0.025554118821907876, -0.044296574075665715, -0.06447560180438283, -0.028193650187366137]",0.09364058893383792
"[1, 2, 4, 5, 6, 7, 8]",7,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.237, 0.201, 0.254, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 16.0, 16.0, 18.0, 18.0, 16.0]","[0.10264899840631952, 0.04238229016017088, 0.007680370333913437, 0.0019489131192808318, -0.029576791517272993, -0.050977379082766144, -0.07410640141964564]",0.10264899840631952
"[1, 2, 4, 5, 6, 7, 9]",7,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.237, 0.201, 0.254, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 18.0, 18.0]","[0.08985458871299518, 0.0442506812800616, 0.005577734700613832, -0.00043983481328487006, -0.03731136947892237, -0.062287426933124335, -0.03964437346833902]",0.08985458871299518
"[1, 2, 4, 5, 6, 8, 9]",7,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.237, 0.201, 0.254, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.09827269505668595, 0.04346978763955843, 0.00688934739301373, 0.000997288152774986, -0.03293857025461955, -0.0810774874462035, -0.03561306054121004]",0.09827269505668595
"[1, 2, 4, 5, 7, 8, 9]",7,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.237, 0.201, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.10570148701873805, 0.04322072574367129, 0.007976334755391938, 0.002133467111889574, -0.05145116819354871, -0.07483347786306915, -0.03274736857307292]",0.10570148701873805
"[1, 2, 4, 6, 7, 8, 9]",7,"[353.1703, 363.0239, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.237, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.11469647124374777, 0.04272601451530994, 0.009323422884875983, -0.025652581995272164, -0.04552240303960524, -0.06659706425834017, -0.028973859350716266]",0.11469647124374777
"[1, 2, 5, 6, 7, 8, 9]",7,"[353.1703, 363.0239, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.11791189069516411, 0.04322262066927744, 0.0038775477570589037, -0.025251852818754916, -0.04506657098855339, -0.06600990154676784, -0.028683733767424155]",0.11791189069516411
"[1, 3, 4, 5, 6, 7, 8]",7,"[353.1703, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[1.56, 0.62, 0.237, 0.201, 0.254, 0.307, 0.455]","[3.5094823951399996, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 16.0, 16.0, 18.0, 18.0, 16.0]","[0.09525317606839417, 0.03164851970874291, 0.007280235573431305, 0.002095582587105335, -0.02591778071133212, -0.044941235840556135, -0.0654184973857854]",0.09525317606839417
"[1, 3, 4, 5, 6, 7, 9]",7,"[353.1703, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[1.56, 0.62, 0.237, 0.201, 0.254, 0.307, 0.202]","[3.5094823951399996, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 18.0, 18.0]","[0.08575854927397247, 0.028182569498483467, 0.0056924189443949, 0.000271450097865604, -0.03193145315582403, -0.053757954735740965, -0.03421557992315159]",0.08575854927397247
"[1, 3, 4, 5, 6, 8, 9]",7,"[353.1703, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[1.56, 0.62, 0.237, 0.201, 0.254, 0.455, 0.202]","[3.5094823951399996, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.09203639870140834, 0.030452710308229464, 0.006682610860327447, 0.001365767675146623, -0.028550258508117515, -0.07089630143559648, -0.031090927601397755]",0.09203639870140834
"[1, 3, 4, 5, 7, 8, 9]",7,"[353.1703, 364.53960000000006, 369.4811, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.62, 0.237, 0.201, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.09780189236866499, 0.03251513635832984, 0.00752983874422701, 0.0022543317388912104, -0.0452985273439179, -0.06597130373926698, -0.028831368126928186]",0.09780189236866499
"[1, 3, 4, 6, 7, 8, 9]",7,"[353.1703, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.62, 0.237, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.10489050418619644, 0.03505951330288083, 0.008595442940651121, -0.022770108973888106, -0.04056437862109541, -0.059392770755336055, -0.025818202079408804]",0.10489050418619644
"[1, 3, 5, 6, 7, 8, 9]",7,"[353.1703, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.62, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.10751283298538783, 0.035968501996128846, 0.0036449963442889075, -0.02244240533907689, -0.04019124959196471, -0.058911961514796315, -0.02558071487996775]",0.10751283298538783
"[1, 4, 5, 6, 7, 8, 9]",7,"[353.1703, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.237, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 16.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.13141885338158016, 0.011431340007988136, 0.005489732126572049, -0.021927820379005813, -0.040614247781502966, -0.05994791481563391, -0.02584994253999763]",0.13141885338158016
"[2, 3, 4, 5, 6, 7, 8]",7,"[363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[0.305, 0.62, 0.237, 0.201, 0.254, 0.307, 0.455]","[3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[18.0, 18.0, 16.0, 16.0, 18.0, 18.0, 16.0]","[0.06677698483421318, 0.07066962897105677, 0.018851005388762332, 0.00991307161885091, -0.028820050348926637, -0.055261004592539714, -0.08212963587141692]",0.08212963587141692
"[2, 3, 4, 5, 6, 7, 9]",7,"[363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[0.305, 0.62, 0.237, 0.201, 0.254, 0.307, 0.202]","[3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[18.0, 18.0, 16.0, 16.0, 18.0, 18.0, 18.0]","[0.07231933904419302, 0.06685018980979654, 0.016576252303958386, 0.0068438880699513704, -0.041325743717496005, -0.07410070135231941, -0.047163224158083786]",0.07410070135231941
"[2, 3, 4, 5, 6, 8, 9]",7,"[363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[0.305, 0.62, 0.237, 0.201, 0.254, 0.455, 0.202]","[3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.0698246298814533, 0.07028148973416765, 0.018278882753241993, 0.008913404077575168, -0.0339088049868109, -0.0932274475508579, -0.04016215390876941]",0.0932274475508579
"[2, 3, 4, 5, 7, 8, 9]",7,"[363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.305, 0.62, 0.237, 0.201, 0.307, 0.455, 0.202]","[3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.06881795543929084, 0.07387856479495195, 0.019843015606701847, 0.010637600219139495, -0.05540621083850095, -0.08250627193440513, -0.03526465328717804]",0.08250627193440513
"[2, 3, 4, 6, 7, 8, 9]",7,"[363.0239, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.305, 0.62, 0.237, 0.254, 0.307, 0.455, 0.202]","[3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.06709688420568828, 0.07758977812114562, 0.021550438589226978, -0.02208510224932038, -0.04583965023097783, -0.06913656926340947, -0.02917577917235316]",0.07758977812114562
"[2, 3, 5, 6, 7, 8, 9]",7,"[363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.305, 0.62, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.06822502856574242, 0.08021473118675734, 0.013347984002619898, -0.02107758690656504, -0.044667184003995664, -0.0676134388017629, -0.028429534042795968]",0.08021473118675734
"[2, 4, 5, 6, 7, 8, 9]",7,"[363.0239, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.305, 0.237, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.08492814644413602, 0.032465848767211924, 0.02121475338819881, -0.014287193025360079, -0.038760757610835334, -0.060890555086091924, -0.024670242877259288]",0.08492814644413602
"[3, 4, 5, 6, 7, 8, 9]",7,"[364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.62, 0.237, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.08912938965236192, 0.025685636685909674, 0.016356339411273582, -0.014954979208000166, -0.03649343339436259, -0.05649580484674946, -0.023227148300433056]",0.08912938965236192
"[0, 1, 2, 3, 4, 5, 6, 7]",8,"[340.7792, 353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004]","[0.488, 1.56, 0.305, 0.62, 0.237, 0.201, 0.254, 0.307]","[3.63708881014, 3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996]","[18.0, 20.0, 18.0, 18.0, 16.0, 16.0, 18.0, 18.0]","[0.03055912357118873, 0.034099159844267535, 0.03262308330190369, 0.01023745234430426, -0.0004187319370794265, -0.004917159103272943, -0.03944237889908843, -0.0627405491222234]",0.0627405491222234
"[0, 1, 2, 3, 4, 5, 6, 8]",8,"[340.7792, 353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004]","[0.488, 1.56, 0.305, 0.62, 0.237, 0.201, 0.254, 0.455]","[3.63708881014, 3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522]","[18.0, 20.0, 18.0, 18.0, 16.0, 16.0, 18.0, 16.0]","[0.031867788655586246, 0.042964440801808224, 0.03235515236916024, 0.013405029439380683, 0.000873752308149997, -0.0035700693479994647, -0.03572281298266948, -0.0821732812434162]",0.0821732812434162
"[0, 1, 2, 3, 4, 5, 6, 9]",8,"[340.7792, 353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103, 407.79650000000004]","[0.488, 1.56, 0.305, 0.62, 0.237, 0.201, 0.254, 0.202]","[3.63708881014, 3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996]","[18.0, 20.0, 18.0, 18.0, 16.0, 16.0, 18.0, 18.0]","[0.029393672514981567, 0.02535699439351169, 0.03305215021403522, 0.007104330751233484, -0.0017196711127609662, -0.006295010477610781, -0.043373587419207396, -0.043518878864182674]",0.043518878864182674
