idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 7, 8, 9, 10]",6,"[281.394, 290.668, 397.196, 412.97, 420.50500000000005, 443.55600000000004]","[0.55, 0.41, 0.89, 0.68, 0.71, 0.31]","[4.404639939599999, 4.2641148086, 3.3274372299999997, 3.0012904828, 2.9475352343999996, 3.0012904828]","[9.0, 7.0, 9.0, 9.0, 7.0, 9.0]","[0.109618991960315, 0.06422523178255508, 0.057442054069445275, -0.09113502461659984, -0.10146932257028893, -0.03868193062542652]",0.109618991960315
"[1, 3, 4, 5, 6, 7]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 393.048, 397.196]","[0.55, 0.13, 0.45, 1.27, 1.07, 0.89]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3603625985999996, 3.3274372299999997]","[9.0, 7.0, 9.0, 11.0, 7.0, 9.0]","[0.07928543863558643, 0.0005875159804560257, -0.003622621780243279, -0.07406907372373434, 0.004537899640204346, -0.006719158752269222]",0.07928543863558643
"[1, 3, 4, 5, 6, 8]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 393.048, 412.97]","[0.55, 0.13, 0.45, 1.27, 1.07, 0.68]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3603625985999996, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 7.0, 9.0]","[0.0830420184287308, 0.003644554172113002, 0.010770887549534772, -0.016801890710148648, 0.028150078664242906, -0.10880564810447271]",0.10880564810447271
"[1, 3, 4, 5, 6, 9]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 393.048, 420.50500000000005]","[0.55, 0.13, 0.45, 1.27, 1.07, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3603625985999996, 2.9475352343999996]","[9.0, 7.0, 9.0, 11.0, 7.0, 7.0]","[0.0858911061860346, 0.0038635177576337026, 0.01159202901259486, -0.015493923222970662, 0.02984132589666888, -0.11569405562996116]",0.11569405562996116
"[1, 3, 4, 5, 6, 10]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 393.048, 443.55600000000004]","[0.55, 0.13, 0.45, 1.27, 1.07, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3603625985999996, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 7.0, 9.0]","[0.09171387572454603, 0.002295672714731325, 0.0035799302219603896, -0.053255869551650015, 0.01773148770884539, -0.062065096818433196]",0.09171387572454603
"[1, 3, 4, 5, 7, 8]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 397.196, 412.97]","[0.55, 0.13, 0.45, 1.27, 0.89, 0.68]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3274372299999997, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 9.0, 9.0]","[0.08191524300749893, 0.003756795928423245, 0.011402203837135805, -0.013329755446124192, 0.02114855548135741, -0.10489304280829118]",0.10489304280829118
"[1, 3, 4, 5, 7, 9]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 397.196, 420.50500000000005]","[0.55, 0.13, 0.45, 1.27, 0.89, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3274372299999997, 2.9475352343999996]","[9.0, 7.0, 9.0, 11.0, 9.0, 7.0]","[0.08468509139178729, 0.0039787606927797585, 0.01224421950951124, -0.011875766722173775, 0.022710307526642465, -0.11174261239854702]",0.11174261239854702
"[1, 3, 4, 5, 7, 10]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 397.196, 443.55600000000004]","[0.55, 0.13, 0.45, 1.27, 0.89, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.3274372299999997, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 9.0, 9.0]","[0.09036590126588405, 0.002527281750777391, 0.004803182010219037, -0.04714926757647325, 0.008908835755008893, -0.05945593320541606]",0.09036590126588405
"[1, 3, 4, 5, 8, 9]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 412.97, 420.50500000000005]","[0.55, 0.13, 0.45, 1.27, 0.68, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.0012904828, 2.9475352343999996]","[9.0, 7.0, 9.0, 11.0, 9.0, 7.0]","[0.08833827716763082, 0.00662562721547217, 0.0246739299221483, 0.03727386983657588, -0.07433127495517858, -0.08258042918664843]",0.08833827716763082
"[1, 3, 4, 5, 8, 10]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 412.97, 443.55600000000004]","[0.55, 0.13, 0.45, 1.27, 0.68, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 3.0012904828, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 9.0, 9.0]","[0.09484860930471102, 0.005956368487694739, 0.020926543676954124, 0.01679622829799321, -0.09725023870412611, -0.04127751106322711]",0.09725023870412611
