idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[2, 3, 5]",3,"[377.433, 437.49330000000003, 508.7418]","[1.1, 0.997, 0.195]","[3.4134571575799995, 3.2417363029599997, 3.52031006446]","[7.0, 5.0, 9.0]","[0.05389894929560646, -0.07619948917258873, 0.022300539876982273]",0.07619948917258873
"[2, 4, 5]",3,"[377.433, 488.3682, 508.7418]","[1.1, 0.47, 0.195]","[3.4134571575799995, 3.6219465128399997, 3.52031006446]","[7.0, 7.0, 9.0]","[-0.05985299376439934, 0.04916762269879765, 0.010685371065601773]",0.05985299376439934
"[3, 4, 5]",3,"[437.49330000000003, 488.3682, 508.7418]","[0.997, 0.47, 0.195]","[3.2417363029599997, 3.6219465128399997, 3.52031006446]","[5.0, 7.0, 9.0]","[-0.1351891638355066, 0.09948028961162164, 0.03570887422388501]",0.1351891638355066
"[0, 1, 2, 3]",4,"[354.90020000000004, 371.0287, 377.433, 437.49330000000003]","[0.397, 1.54, 1.1, 0.997]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.2417363029599997]","[7.0, 9.0, 7.0, 5.0]","[0.024819465487937148, 0.0593500216533413, -0.014041243595135477, -0.07012824354614297]",0.07012824354614297
"[0, 1, 2, 4]",4,"[354.90020000000004, 371.0287, 377.433, 488.3682]","[0.397, 1.54, 1.1, 0.47]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.6219465128399997]","[7.0, 9.0, 7.0, 7.0]","[0.018947167263149725, 0.015122281914554447, -0.0503703087874568, 0.016300859609752888]",0.0503703087874568
"[0, 1, 2, 5]",4,"[354.90020000000004, 371.0287, 377.433, 508.7418]","[0.397, 1.54, 1.1, 0.195]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.52031006446]","[7.0, 9.0, 7.0, 9.0]","[0.02104646167288353, 0.023678995925673463, -0.046912147784290203, 0.002186690185733066]",0.046912147784290203
"[0, 1, 3, 4]",4,"[354.90020000000004, 371.0287, 437.49330000000003, 488.3682]","[0.397, 1.54, 0.997, 0.47]","[3.6219465128399997, 3.52031006446, 3.2417363029599997, 3.6219465128399997]","[7.0, 9.0, 5.0, 7.0]","[0.026891256803779448, 0.05029990684513508, -0.1003265799251391, 0.023135416276224438]",0.1003265799251391
"[0, 1, 3, 5]",4,"[354.90020000000004, 371.0287, 437.49330000000003, 508.7418]","[0.397, 1.54, 0.997, 0.195]","[3.6219465128399997, 3.52031006446, 3.2417363029599997, 3.52031006446]","[7.0, 9.0, 5.0, 9.0]","[0.029900217544299543, 0.06319113168706958, -0.09892687654507837, 0.005835527313709371]",0.09892687654507837
"[0, 1, 4, 5]",4,"[354.90020000000004, 371.0287, 488.3682, 508.7418]","[0.397, 1.54, 0.47, 0.195]","[3.6219465128399997, 3.52031006446, 3.6219465128399997, 3.52031006446]","[7.0, 9.0, 7.0, 9.0]","[0.01712017220947841, -0.029156670613015523, 0.014729036789803904, -0.00269253838626686]",0.029156670613015523
"[0, 2, 3, 4]",4,"[354.90020000000004, 377.433, 437.49330000000003, 488.3682]","[0.397, 1.1, 0.997, 0.47]","[3.6219465128399997, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997]","[7.0, 7.0, 5.0, 7.0]","[0.04704632043278184, 0.0043845473460534246, -0.09190633589916775, 0.040475468120332564]",0.09190633589916775
"[0, 2, 3, 5]",4,"[354.90020000000004, 377.433, 437.49330000000003, 508.7418]","[0.397, 1.1, 0.997, 0.195]","[3.6219465128399997, 3.4134571575799995, 3.2417363029599997, 3.52031006446]","[7.0, 7.0, 5.0, 9.0]","[0.05320783638869313, 0.018144373063422592, -0.08649371136940542, 0.015141501917289656]",0.08649371136940542
"[0, 2, 4, 5]",4,"[354.90020000000004, 377.433, 488.3682, 508.7418]","[0.397, 1.1, 0.47, 0.195]","[3.6219465128399997, 3.4134571575799995, 3.6219465128399997, 3.52031006446]","[7.0, 7.0, 7.0, 9.0]","[0.03933332101917231, -0.07794370850823551, 0.03383972574971003, 0.004770661739353033]",0.07794370850823551
"[0, 3, 4, 5]",4,"[354.90020000000004, 437.49330000000003, 488.3682, 508.7418]","[0.397, 0.997, 0.47, 0.195]","[3.6219465128399997, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[7.0, 5.0, 7.0, 9.0]","[0.07293420951263765, -0.1545263269198508, 0.06274765475502389, 0.018844462652189253]",0.1545263269198508
"[1, 2, 3, 4]",4,"[371.0287, 377.433, 437.49330000000003, 488.3682]","[1.54, 1.1, 0.997, 0.47]","[3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997]","[9.0, 7.0, 5.0, 7.0]","[0.06157494166515903, -0.013211270525480323, -0.07020234404861456, 0.021838672908935965]",0.07020234404861456
"[1, 2, 3, 5]",4,"[371.0287, 377.433, 437.49330000000003, 508.7418]","[1.54, 1.1, 0.997, 0.195]","[3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.52031006446]","[9.0, 7.0, 5.0, 9.0]","[0.0709910349831005, -0.008773579188424252, -0.06877328273767022, 0.006555826942994142]",0.0709910349831005
"[1, 2, 4, 5]",4,"[371.0287, 377.433, 488.3682, 508.7418]","[1.54, 1.1, 0.47, 0.195]","[3.52031006446, 3.4134571575799995, 3.6219465128399997, 3.52031006446]","[9.0, 7.0, 7.0, 9.0]","[0.025575689565552118, -0.046535260415272284, 0.01859772621990978, 0.002361844629810171]",0.046535260415272284
"[1, 3, 4, 5]",4,"[371.0287, 437.49330000000003, 488.3682, 508.7418]","[1.54, 0.997, 0.47, 0.195]","[3.52031006446, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[9.0, 5.0, 7.0, 9.0]","[0.06660452543358597, -0.09925036548220637, 0.026495095205038455, 0.006150744843581794]",0.09925036548220637
"[2, 3, 4, 5]",4,"[377.433, 437.49330000000003, 488.3682, 508.7418]","[1.1, 0.997, 0.47, 0.195]","[3.4134571575799995, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[7.0, 5.0, 7.0, 9.0]","[0.022068298770705153, -0.08556173223042102, 0.04754143907471664, 0.015951994384999155]",0.08556173223042102
"[0, 1, 2, 3, 4]",5,"[354.90020000000004, 371.0287, 377.433, 437.49330000000003, 488.3682]","[0.397, 1.54, 1.1, 0.997, 0.47]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997]","[7.0, 9.0, 7.0, 5.0, 7.0]","[0.02172621312186153, 0.047340177498200464, -0.018350911884193688, -0.06940724120528155, 0.018691762469413162]",0.06940724120528155
"[0, 1, 2, 3, 5]",5,"[354.90020000000004, 371.0287, 377.433, 437.49330000000003, 508.7418]","[0.397, 1.54, 1.1, 0.997, 0.195]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.52031006446]","[7.0, 9.0, 7.0, 5.0, 9.0]","[0.023448990206840825, 0.054823372535085346, -0.01490720848311955, -0.0684279420158366, 0.00506278775702982]",0.0684279420158366
"[0, 1, 2, 4, 5]",5,"[354.90020000000004, 371.0287, 377.433, 488.3682, 508.7418]","[0.397, 1.54, 1.1, 0.47, 0.195]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.6219465128399997, 3.52031006446]","[7.0, 9.0, 7.0, 7.0, 9.0]","[0.017984783648785335, 0.013803217431979764, -0.0485355801894411, 0.015472889920637875, 0.001274689188037914]",0.0485355801894411
"[0, 1, 3, 4, 5]",5,"[354.90020000000004, 371.0287, 437.49330000000003, 488.3682, 508.7418]","[0.397, 1.54, 0.997, 0.47, 0.195]","[3.6219465128399997, 3.52031006446, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[7.0, 9.0, 5.0, 7.0, 9.0]","[0.025157460815635704, 0.04552169439817133, -0.09652673418383137, 0.021643775620808325, 0.004203803349216127]",0.09652673418383137
"[0, 2, 3, 4, 5]",5,"[354.90020000000004, 377.433, 437.49330000000003, 488.3682, 508.7418]","[0.397, 1.1, 0.997, 0.47, 0.195]","[3.6219465128399997, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[7.0, 7.0, 5.0, 7.0, 9.0]","[0.04278685027673029, -0.0007877574161335721, -0.08990484180507863, 0.0368109084496757, 0.011094840494806323]",0.08990484180507863
"[1, 2, 3, 4, 5]",5,"[371.0287, 377.433, 437.49330000000003, 488.3682, 508.7418]","[1.54, 1.1, 0.997, 0.47, 0.195]","[3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[9.0, 7.0, 5.0, 7.0, 9.0]","[0.056828085836563735, -0.014171996888629246, -0.06851847377584872, 0.02061446730797932, 0.005247917519934954]",0.06851847377584872
"[0, 1, 2, 3, 4, 5]",6,"[354.90020000000004, 371.0287, 377.433, 437.49330000000003, 488.3682, 508.7418]","[0.397, 1.54, 1.1, 0.997, 0.47, 0.195]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.2417363029599997, 3.6219465128399997, 3.52031006446]","[7.0, 9.0, 7.0, 5.0, 7.0, 9.0]","[0.020630630871992683, 0.043951277278050094, -0.01874133943625214, -0.06764854605320259, 0.017749197694530802, 0.00405877964488105]",0.06764854605320259
