Ti II ,209.61411, ,72 884.5221 , 7/2 ,,,,,,,,,,,,,,,
Ti III ,209.7299,3.30E+08,128 689.67   ,3,,,,,,,,,,,,,,,
Ti V ,209.8042, ,481 987.7    ,1,,,,,,,,,,,,,,,
Ti II ,209.908, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,209.95, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
Ti III ,209.9862,2.50E+08,128 546.38   ,2,,,,,,,,,,,,,,,
Ti II ,210.099, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,210.13, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,210.288, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti IV ,210.3106,5.00E+08,127 921.36   , 1/2 ,,,,,,,,,,,,,,,
Ti II ,210.323, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,,
Ti III ,210.36,5.60E+07,128 546.38   ,2,,,,,,,,,,,,,,,
Ti II ,210.405, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,210.43784, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,210.48373, ,82 243.0637 , 7/2 ,,,,,,,,,,,,,,,
Ti III ,210.4857,1.10E+08,128 433.40   ,1,,,,,,,,,,,,,,,
Ti III ,210.5092,1.70E+08,128 433.40   ,1,,,,,,,,,,,,,,,
Ti II ,210.83241, ,72 608.9742 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,210.907, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,211.00597, ,72 338.2060 , 3/2 ,,,,,,,,,,,,,,,
Ti I ,211.38076, ,47 463.135  ,4,,,,,,,,,,,,,,,
Ti II ,211.534147, ,72 451.6968 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,211.614, ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,,
Ti XIV , ,9.10E-02,47 219      , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti XIV ,211.715,1.89E+03,47 219      , 1/2 ,,,,,,,,,,,,,,,
Ti I ,211.85342, ,47 187.507  ,2,,,,,,,,,,,,,,,
Ti II ,212.0434, ,72 338.2060 , 3/2 ,,,,,,,,,,,,,,,
Ti I ,212.19432, ,47 281.887  ,3,,,,,,,,,,,,,,,
Ti I ,212.35489, ,47 463.135  ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,212.368, ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,,
Ti III ,212.958, ,130 739.82   ,1,,,,,,,,,,,,,,,
Ti II ,213.01451, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,213.21821, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,213.312451, ,71 825.9911 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,213.33703, ,63 375.321  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,213.364, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,213.48283, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,213.557, ,59 440.190  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,213.57141, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,213.756482, ,71 960.4326 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,213.78629, ,63 276.867  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,213.795, ,59 387.976  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,213.835949, ,63 375.321  , 3/2 ,,,,,,,,,,,,,,,
Ti III ,213.89, ,149 403.52   ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,213.9228, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti I ,213.94896, ,46 725.398  ,3,,,,,,,,,,,,,,,
Ti II ,214.02, ,59 468.374  , 7/2 ,,,,,,,,,,,,,,,
Ti II ,214.093, ,59 322.173  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,214.21292, ,46 837.984  ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,214.28727, ,63 276.867  , 1/2 ,,,,,,,,,,,,,,,
Ti I ,214.36167, ,47 022.337  ,5,,,,,,,,,,,,,,,
Ti II ,214.389, ,59 387.976  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,214.688, ,59 322.173  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,214.7304, ,46 725.398  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,214.90159, ,78 543.8893 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,214.983319, ,71 461.7932 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,215.21236, ,46 837.984  ,4,,,,,,,,,,,,,,,
Ti II ,215.458, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,215.471045, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,215.480679, ,71 586.2514 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,215.559406, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,215.58, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,215.680536, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,215.828768, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,215.908645, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,215.950192, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,216.04, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,216.06043, ,71 461.7932 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,216.12369, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,216.163, ,56 223.205  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,216.17282, ,80 788.150  , 9/2 ,,,,,,,,,,,,,,,
Ti II ,216.267842, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,216.47229, ,77 937.4445 , 1/2 ,,,,,,,,,,,,,,,
Ti II ,216.94034, ,80 829.6682 , 11/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,217.16966, ,78 058.1017 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,217.34035, ,77 753.0000 , 1/2 ,,,,,,,,,,,,,,,
Ti II ,218.67536, ,77 741.1809 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,218.751622, ,70 892.6160 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,219.014713, ,70 605.9514 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti III ,219.239, ,83 796.86   ,1,,,,,,,,,,,,,,,
Ti II ,219.33257, ,77 335.2729 , 5/2 ,,,,,,,,,,,,,,,
Ti III ,219.36, ,128 689.67   ,3,,,,,,,,,,,,,,,
Ti II ,219.55225, ,80 076.398  , 7/2 ,,,,,,,,,,,,,,,
Ti III ,219.9223,5.70E+08,129 253.41   ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,220.132613, ,70 605.9514 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,220.36734, ,80 113.1209 , 9/2 ,,,,,,,,,,,,,,,
Ti II ,220.38978, ,78 058.1017 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,220.42547, ,76 311.242  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,220.51894, ,77 359.019  , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,220.5471, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,221.01578, ,76 345.1973 , 7/2 ,,,,,,,,,,,,,,,
Ti I ,221.1381, ,45 206.499  ,3,,,,,,,,,,,,,,,
Ti II ,221.193719, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,,
Ti II ,221.47111, ,77 741.1809 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti V ,221.474, ,481 987.7    ,1,,,,,,,,,,,,,,,
Ti I ,221.8376, ,45 063.941  ,2,,,,,,,,,,,,,,,
Ti II ,221.95282, ,77 807.7864 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,221.97356, ,45 206.499  ,3,,,,,,,,,,,,,,,
Ti I ,222.14474, ,45 001.681  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,222.31845, ,44 966.527  ,1,,,,,,,,,,,,,,,
Ti I ,222.51111, ,45 097.711  ,4,,,,,,,,,,,,,,,
Ti III ,222.559, ,83 116.93   ,3,,,,,,,,,,,,,,,
Ti I ,222.67851, ,45 063.941  ,2,,,,,,,,,,,,,,,
Ti II ,222.713878, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,222.88159, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,222.92391, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,222.97246, ,44 834.642  ,2,,,,,,,,,,,,,,,
Ti I ,222.98793, ,45 001.681  ,3,,,,,,,,,,,,,,,
Ti I ,223.02191, ,45 211.603  ,5,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,223.04709, ,45 206.499  ,3,,,,,,,,,,,,,,,
Ti II ,223.091887, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,223.38016, ,44 922.979  ,3,,,,,,,,,,,,,,,
Ti III ,223.69, ,83 116.93   ,3,,,,,,,,,,,,,,,
Ti III ,223.7773,2.40E+08,127 790.57   ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,223.8221, ,44 834.642  ,2,,,,,,,,,,,,,,,
