Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,220.861,6.20E+07,70 677.62  , 1/2 ,,,,,,,,,,,,,,,
Ca VI , ,1.20E+01,45 142.7+x , 3/2 ,,,,,,,,,,,,,,,
Ca VI , ,2.90E-04,45 142.7+x , 3/2 ,,,,,,,,,,,,,,,
Ca III ,221.9851,2.00E+07,323 655.06  ,2,,,,,,,,,,,,,,,
Ca III ,222.5559, ,324 660.47  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca VII , ,2.70E-01,48 981.4   ,0,,,,,,,,,,,,,,,
Ca III ,223.1436,9.50E+05,272 188.70  ,1,,,,,,,,,,,,,,,
Ca III ,223.3614,3.30E+05,272 188.70  ,1,,,,,,,,,,,,,,,
Ca VI , ,4.80E+00,44 586.7+x , 1/2 ,,,,,,,,,,,,,,,
Ca VI , ,2.00E-03,44 586.7+x , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,225.2446, ,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,225.5205, ,325 467.67  ,2,,,,,,,,,,,,,,,
Ca III ,226.6072,1.40E+07,366 778.85  ,1,,,,,,,,,,,,,,,
Ca III ,226.9842,7.40E+07,322 663.28  ,0,,,,,,,,,,,,,,,
Ca I ,227.546,3.01E+07,43 933.477 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,227.6012,1.30E+07,366 926.33  ,2,,,,,,,,,,,,,,,
Ca III ,227.6512,2.19E+08,323 655.06  ,2,,,,,,,,,,,,,,,
Ca V , ,1.60E-01,43 836.5   ,0,,,,,,,,,,,,,,,
Ca III ,228.1468,1.98E+07,367 472.91  ,3,,,,,,,,,,,,,,,
Ca III ,228.3683,1.30E+07,366 778.85  ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,229.3639, ,325 467.67  ,2,,,,,,,,,,,,,,,
Ca III ,229.8335,4.60E+07,390 392.62  ,3,,,,,,,,,,,,,,,
Ca III ,230.4948, ,367 026.65  ,3,,,,,,,,,,,,,,,
Ca III ,230.5413,9.30E+06,367 472.91  ,3,,,,,,,,,,,,,,,
Ca III ,231.0294,9.00E+06,366 926.33  ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,231.0796,9.00E+07,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,231.2076,5.20E+08,290 934.30  ,0,,,,,,,,,,,,,,,
Ca III ,232.1239,6.10E+07,390 411.58  ,6,,,,,,,,,,,,,,,
Ca III ,232.3329,6.00E+07,390 411.99  ,5,,,,,,,,,,,,,,,
Ca III ,232.9387,1.15E+07,367 026.65  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,233.5126,5.40E+07,393 552.31  ,4,,,,,,,,,,,,,,,
Ca III ,233.7255, ,393 551.59  ,4,,,,,,,,,,,,,,,
Ca III ,233.8654,5.90E+07,393 551.86  ,5,,,,,,,,,,,,,,,
Ca III ,234.1546,4.40E+07,390 452.0   ,3,,,,,,,,,,,,,,,
Ca III ,234.3796,5.30E+07,393 552.8   ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,235.1353,2.48E+07,323 655.06  ,2,,,,,,,,,,,,,,,
Ca III ,235.5344,5.20E+07,390 471.79  ,4,,,,,,,,,,,,,,,
Ca III ,235.6632,5.40E+07,390 472.32  ,5,,,,,,,,,,,,,,,
Ca III ,235.9679,1.90E+06,367 026.65  ,3,,,,,,,,,,,,,,,
Ca III ,235.9825,2.20E+06,370 454.0   ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III , ,1.40E+07,370 454.0   ,2,,,,,,,,,,,,,,,
Ca III ,238.795,2.20E+07,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,239.3164,1.28E+08,323 655.06  ,2,,,,,,,,,,,,,,,
Ca I ,239.856,1.67E+07,41 679.008 ,1,,,,,,,,,,,,,,,
Ca III ,240.7527,3.90E+07,322 663.28  ,0,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca V , ,2.40E+01,43 836.5   ,0,,,,,,,,,,,,,,,
Ca III ,243.1082,4.90E+07,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,243.3325, ,323 655.06  ,2,,,,,,,,,,,,,,,
Ca III ,244.2551,5.30E+07,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,247.0292,9.00E+07,331 403.20  ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,247.2541,4.30E+07,323 003.56  ,1,,,,,,,,,,,,,,,
Ca III ,249.3517,1.26E+08,322 663.28  ,0,,,,,,,,,,,,,,,
Ca III ,249.7736,6.90E+07,282 571.43  ,1,,,,,,,,,,,,,,,
Ca I , ,1.70E+04,39 335.322 ,1,,,,,,,,,,,,,,,
Ca III ,254.1498,7.40E+07,281 882.24  ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,258.7153,2.00E+07,282 571.43  ,1,,,,,,,,,,,,,,,
Ca III ,259.0411,1.20E+07,281 139.55  ,1,,,,,,,,,,,,,,,
Ca I , ,1.60E+04,38 192.392 ,1,,,,,,,,,,,,,,,
Ca III ,262.0817,3.10E+08,282 075.15  ,0,,,,,,,,,,,,,,,
Ca III ,263.4139,7.40E+07,281 882.24  ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,265.5382,4.50E+07,328 582.45  ,1,,,,,,,,,,,,,,,
Ca III ,268.6722,1.30E+07,281 139.55  ,1,,,,,,,,,,,,,,,
Ca III ,268.7764,1.42E+08,279 741.80  ,2,,,,,,,,,,,,,,,
Ca III ,270.4859,1.05E+08,282 571.43  ,1,,,,,,,,,,,,,,,
Ca I ,272.165,2.70E+05,36 731.615 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,275.1798,1.03E+08,383 061.33  ,2,,,,,,,,,,,,,,,
Ca III ,276.4095,9.70E+07,383 063.78  ,3,,,,,,,,,,,,,,,
Ca III ,277.1277,2.90E+07,278 621.01  ,1,,,,,,,,,,,,,,,
Ca XV , ,6.00E-03,35 923     ,2,,,,,,,,,,,,,,,
Ca III ,279.159,3.50E+07,279 741.80  ,2,,,,,,,,,,,,,,,
