Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
K II ,203.4679,8.81E+07,229 524.9      ,2,,,,,,,,,,,,,,,
K II ,203.5408,1.20E+09,229 507.0      ,3,,,,,,,,,,,,,,,
K II ,203.6014,3.89E+05,229 492.5      ,3,,,,,,,,,,,,,,,
K II ,203.7005,6.74E+08,229 524.9      ,2,,,,,,,,,,,,,,,
K II ,204.4832,7.49E+07,229 507.0      ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
K II ,204.5283,1.80E+09,229 495.9      ,4,,,,,,,,,,,,,,,
K II ,204.543,7.78E+07,229 492.5      ,3,,,,,,,,,,,,,,,
K II ,207.6798,9.73E+08,227 484.8      ,3,,,,,,,,,,,,,,,
K II ,207.8694,1.85E+09,227 487.5      ,4,,,,,,,,,,,,,,,
K II ,208.1885,2.39E+08,227 367.2      ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
K II ,208.2891,1.26E+07,227 343.9      ,3,,,,,,,,,,,,,,,
K II ,208.3942,3.79E+06,227 367.2      ,2,,,,,,,,,,,,,,,
K II ,208.4933,3.69E+08,227 343.9      ,3,,,,,,,,,,,,,,,
K II ,208.9855,5.71E+08,227 230.6      ,4,,,,,,,,,,,,,,,
K II ,209.4558,2.27E+07,227 123.2      ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
K II ,212.2827,9.37E+05,227 484.8      ,3,,,,,,,,,,,,,,,
K II ,212.8138,1.66E+07,227 367.2      ,2,,,,,,,,,,,,,,,
K II ,212.919,4.61E+08,227 343.9      ,3,,,,,,,,,,,,,,,
K II ,213.0687,4.00E+08,227 367.2      ,2,,,,,,,,,,,,,,,
K II ,213.2947,5.12E+07,227 487.5      ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
K II ,213.3061,1.09E+08,227 484.8      ,3,,,,,,,,,,,,,,,
K II ,213.8427,1.06E+07,227 367.2      ,2,,,,,,,,,,,,,,,
K XIX , ,5.13E+06,(29 880 277.00)    , 3/2 ,,,,,,,,,,,,,,,
K II ,213.9246,1.64E+08,227 123.2      ,2,,,,,,,,,,,,,,,
K II ,213.9494,3.98E+07,227 343.9      ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
K II ,214.0277,1.62E+07,227 100.9      ,1,,,,,,,,,,,,,,,
