Ion, Observed , Aki, Ek ,J
Fe III ,201.575, ,134 265.49   ,2
Fe I ,201.5782, ,50 008.522  ,2
Fe II ,201.58517,1.30E+06,103 874.040  , 9/2 
Fe II ,201.60793,1.90E+07,72 524.561  , 3/2 
Fe I ,201.65087, ,56 502.957  ,5
 , , , , 
Fe III ,201.6713,7.50E+07,138 264.58   ,6
Fe II ,201.6725, ,99 757.211  , 9/2 
Fe II ,201.67862, ,110 609.548  , 3/2 
Fe II ,201.7033, ,65 931.358  , 7/2 
Fe II ,201.7094,1.50E+07,63 465.134  , 3/2 
 , , , , 
Fe I ,201.7159, ,49 558.734  ,4
Fe III ,201.73,1.10E+08,139 463.33   ,5
Fe III ,201.7625, ,132 785.41   ,4
Fe II ,201.78508,6.10E+06,72 352.046  , 7/2 
Fe II ,201.85476,9.00E+06,107 017.932  , 5/2 
 , , , , 
Fe III ,201.8576,1.80E+08,138 187.96   ,3
Fe II ,201.877742,2.60E+07,65 363.607  , 11/2 
Fe II ,201.8894, ,110 609.548  , 3/2 
Fe I ,201.9075, ,56 888.423  ,3
Fe II ,201.9192, ,70 314.624  , 9/2 
 , , , , 
Fe I ,201.9775, ,56 871.345  ,3
Fe II ,201.9824,3.10E+06,72 524.561  , 3/2 
Fe II ,202.0052, ,62 962.215  , 3/2 
Fe I ,202.0452, ,57 632.654  ,2
Fe II ,202.0714, ,110 428.305  , 5/2 
 , , , , 
Fe II ,202.075103,1.83E+07,62 945.045  , 7/2 
Fe II ,202.1074, ,112 927.781  , 3/2 
Fe I ,202.1099, ,57 190.212  ,2
Fe I ,202.1443, ,57 439.486  ,3
Fe II ,202.158, ,115 030.664  , 9/2 
 , , , , 
Fe II ,202.1664, ,103 680.689  , 9/2 
Fe II ,202.1664, ,102 030.965  , 7/2 
Fe I ,202.1714, ,57 432.848  ,3
Fe I ,202.19829, ,57 168.531  ,3
Fe III ,202.2037,3.00E+07,138 103.16   ,4
 , , , , 
Fe I ,202.2415, ,57 415.757  ,2
Fe I ,202.2779, ,57 149.113  ,4
Fe I ,202.3013, ,57 401.144  ,1
Fe II ,202.3122,1.10E+06,72 352.046  , 7/2 
Fe III ,202.3298,1.80E+08,138 103.16   ,4
 , , , , 
Fe II ,202.3301, ,114 242.513  , 5/2 
Fe III ,202.3522, ,132 564.91   ,5
Fe II ,202.37049,1.70E+07,72 429.675  , 1/2 
Fe III ,202.3815, ,142 908.29   ,5
Fe I ,202.4067, ,49 805.257  ,3
 , , , , 
Fe III ,202.4089, ,136 236.06   ,1
Fe I ,202.4135, ,56 764.767  ,4
Fe II ,202.4539, ,103 661.038  , 5/2 
Fe I ,202.4692, ,56 751.099  ,5
Fe II ,202.4728, ,87 537.646  , 7/2 
 , , , , 
Fe XXVI , ,1.93E+07,(66 562 420)     , 3/2 
Fe II ,202.52769, ,110 167.303  , 7/2 
Fe III ,202.5288,1.90E+07,138 054.60   ,5
Fe I ,202.5361, ,57 343.828  ,3
Fe I ,202.54615, ,56 732.335  ,4
 , , , , 
Fe II ,202.5482, ,103 418.280  , 1/2 
Fe III ,202.5495,6.80E+07,139 827.18   ,4
Fe III ,202.5582,2.60E+08,136 200.07   ,3
Fe III ,202.5755,8.00E+06,167 298.80   ,5
Fe I ,202.5823, ,57 074.915  ,2
 , , , , 
Fe III ,202.6046,2.90E+08,138 264.58   ,6
Fe II ,202.6057, ,114 173.223  , 7/2 
Fe I ,202.6261, ,57 064.346  ,4
Fe II ,202.63229, ,115 030.664  , 9/2 
Fe I ,202.6491, ,56 707.284  ,5
 , , , , 
Fe II ,202.6887, ,106 814.180  , 5/2 
Fe II ,202.77767,6.60E+06,72 238.564  , 5/2 
Fe II ,202.8198, ,62 962.215  , 3/2 
Fe III ,202.8232, ,126 390.74   ,1
Fe I ,202.8464, ,57 437.194  ,2
 , , , , 
Fe III ,202.8564,3.00E+08,183 723.99   ,2
Fe II ,202.85779,2.30E+06,109 550.081  , 7/2 
Fe I ,202.8719, ,57 431.116  ,2
Fe III , ,9.00E+00,70 729.12   ,4
Fe II ,202.91837,6.00E+06,65 109.691  , 7/2 
 , , , , 
Fe III ,202.953,1.60E+08,139 680.37   ,3
Fe II ,202.9882, ,75 600.900  , 7/2 
Fe I ,202.9955, ,57 401.144  ,1
