Ion, Observed , Aki, Ek ,J
 , , , , 
Fe II ,237.6106,7.20E+07,103 600.428  , 11/2 
Fe II ,237.6158, ,114 596.462  , 3/2 
Fe II ,237.6297, ,92 282.470  , 7/2 
Fe II ,237.642906,6.40E+08,84 035.172  , 13/2 
Fe III ,237.6726,8.00E+06,130 756.91   ,6
 , , , , 
Fe II ,237.67588,2.70E+07,92 274.123  , 5/2 
Fe II ,237.6916, ,102 503.71   , 3/2 
Fe II ,237.71345,2.30E+07,108 667.282  , 1/2 
Fe II ,237.72714,1.10E+07,108 463.918  , 13/2 
Fe II ,237.74089,1.00E+07,103 039.222  , 7/2 
 , , , , 
Fe II ,237.74614,8.80E+07,104 993.879  , 7/2 
Fe II ,237.77676, ,114 395.468  , 7/2 
Fe II ,237.7814, ,104 107.939  , 7/2 
Fe II ,237.78652, ,60 402.333  , 5/2 
Fe II ,237.78841,1.20E+07,108 630.427  , 11/2 
 , , , , 
Fe I ,237.78842, ,54 017.581  ,4
Fe II ,237.79523,1.50E+07,106 846.649  , 3/2 
Fe I ,237.79946, ,54 600.350  ,3
Fe II ,237.81261,2.19E+08,108 709.424  , 7/2 
Fe II ,237.8285, ,104 192.487  , 9/2 
 , , , , 
Fe II ,237.83732,2.90E+06,106 866.770  , 5/2 
Fe II ,237.85227,2.40E+07,69 650.481  , 5/2 
Fe II ,237.85397,4.30E+07,108 642.450  , 5/2 
Fe II ,237.8554,1.70E+07,84 266.594  , 7/2 
Fe I ,237.8616, ,54 004.718  ,3
 , , , , 
Fe II ,237.8653,6.90E+06,108 105.938  , 3/2 
Fe II ,237.86971,1.49E+07,84 685.245  , 7/2 
Fe II ,237.87195, ,114 646.097  , 7/2 
Fe II ,237.882028,1.22E+08,104 107.939  , 7/2 
Fe II ,237.89165,1.50E+07,84 424.422  , 3/2 
 , , , , 
Fe II ,237.89691,7.50E+07,104 315.373  , 13/2 
Fe II ,237.90023,1.10E+07,64 831.951  , 9/2 
Fe II ,237.91429,7.20E+06,68 000.785  , 9/2 
Fe II ,237.91692,5.40E+07,79 245.926  , 3/2 
Fe II ,237.92049,3.10E+07,105 291.014  , 7/2 
 , , , , 
Fe II ,237.927622,2.73E+07,44 446.9051 , 7/2 
Fe II ,237.93108,8.00E+07,79 243.462  , 3/2 
Fe II ,237.93108,5.70E+06,104 174.285  , 11/2 
Fe II ,237.935848,1.11E+08,108 537.623  , 7/2 
Fe II ,237.94052, ,115 030.664  , 9/2 
 , , , , 
Fe II , ,3.70E+07,92 171.690  , 9/2 
Fe II ,237.94222,1.17E+08,108 391.507  , 9/2 
Fe II ,237.95044,3.80E+07,92 225.549  , 3/2 
Fe II ,237.96078,1.90E+07,104 839.990  , 3/2 
Fe II ,237.96926,3.40E+07,103 102.849  , 7/2 
 , , , , 
Fe II ,237.9767, ,102 449.14   , 5/2 
Fe II ,237.97998,7.30E+07,110 008.310  , 9/2 
Fe II ,238.00016, ,114 242.513  , 5/2 
Fe II ,238.01521,5.90E+07,108 613.977  , 5/2 
Fe II ,238.020486,4.60E+08,108 463.918  , 13/2 
 , , , , 
Fe II ,238.0366,3.30E+06,103 039.222  , 7/2 
Fe II ,238.0504,1.45E+08,105 460.233  , 3/2 
Fe II ,238.06545,1.40E+06,102 394.764  , 7/2 
Fe II ,238.06732,3.00E+07,84 326.967  , 5/2 
Fe II ,238.076131,3.10E+07,42 658.2444 , 7/2 
 , , , , 
Fe II ,238.08749,1.89E+08,108 577.597  , 9/2 
Fe II ,238.09052,5.60E+07,108 365.344  , 7/2 
Fe II ,238.10112,2.10E+06,69 606.567  , 7/2 
Fe II ,238.1098,3.50E+06,84 424.422  , 3/2 
Fe II ,238.1142,9.00E+06,92 171.690  , 9/2 
 , , , , 
Fe II ,238.12663, ,114 333.701  , 7/2 
Fe II ,238.1574,3.00E+06,108 387.934  , 11/2 
Fe II ,238.1717, ,114 212.377  , 7/2 
Fe I ,238.18361,4.34E+06,42 859.778  ,2
Fe II ,238.19195,1.40E+07,108 642.450  , 5/2 
 , , , , 
Fe II ,238.195806,7.10E+07,86 416.370  , 7/2 
Fe II ,238.203733,3.13E+08,41 968.0698 , 11/2 
Fe II ,238.21648,1.50E+08,105 238.815  , 5/2 
Fe II ,238.22055,9.00E+06,104 209.618  , 5/2 
Fe II ,238.22597, ,114 393.845  , 3/2 
 , , , , 
Fe II ,238.235798,3.20E+06,45 079.9019 , 5/2 
Fe II ,238.24237,3.40E+07,105 234.246  , 5/2 
Fe II ,238.24929,1.29E+08,104 622.308  , 13/2 
Fe II ,238.25725,8.00E+07,105 518.142  , 3/2 
Fe II ,238.26492,3.80E+07,105 230.291  , 3/2 
 , , , , 
Fe II ,238.289687,1.60E+07,62 293.177  , 13/2 
Fe II ,238.29616, ,104 000.810  , 7/2 
Fe II ,238.306019,9.40E+06,42 334.8444 , 5/2 
Fe II ,238.31172,9.30E+07,105 414.186  , 5/2 
Fe II ,238.3144,4.30E+07,108 537.623  , 7/2 
 , , , , 
Fe II ,238.319806,1.54E+08,105 220.610  , 7/2 
Fe II ,238.32184,2.20E+07,91 048.225  , 3/2 
Fe II ,238.324495,3.59E+07,44 784.7859 , 5/2 
Fe II ,238.3355,5.00E+06,104 189.382  , 3/2 
Fe II ,238.35132, ,96 217.720  , 7/2 
 , , , , 
Fe II ,238.3538,2.70E+07,108 613.977  , 5/2 
Fe II ,238.36138, ,114 464.872  , 3/2 
Fe II ,238.3744, ,114 290.252  , 9/2 
Fe II ,238.3744, ,103 094.888  , 7/2 
Fe II ,238.37795,8.00E+06,102 824.994  , 9/2 
 , , , , 
Fe II ,238.39018, ,106 767.226  , 7/2 
Fe II ,238.40391,2.30E+06,105 205.808  , 5/2 
Fe II ,238.41006,7.00E+05,84 266.594  , 7/2 
Fe II ,238.43159,4.10E+07,108 391.507  , 9/2 
Fe II ,238.438768,3.20E+07,45 044.1916 , 3/2 
 , , , , 
Fe II ,238.442283,6.00E+08,108 337.798  , 15/2 
Fe II ,238.4473, ,114 094.244  , 5/2 
Fe II ,238.451904,1.81E+08,108 387.934  , 11/2 
Fe II ,238.45719,8.00E+06,104 868.522  , 9/2 
Fe II ,238.46429,3.80E+07,106 208.574  , 5/2 
 , , , , 
Fe II ,238.47233,8.00E+06,103 986.338  , 7/2 
Fe II ,238.48583,2.10E+08,105 477.924  , 1/2 
Fe II ,238.500586,3.60E+06,44 753.8179 , 7/2 
Fe II ,238.50938,9.90E+07,105 379.425  , 5/2 
Fe II ,238.5382,3.20E+06,103 002.660  , 5/2 
 , , , , 
Fe I ,238.55889, ,53 881.806  ,4
Fe II ,238.56079,2.50E+07,108 577.597  , 9/2 
Fe II ,238.5647, ,115 047.887  , 5/2 
Fe II ,238.58657,4.50E+07,109 901.523  , 7/2 
Fe II ,238.58657,1.30E+06,105 460.233  , 3/2 
 , , , , 
Fe II ,238.60029,5.00E+07,104 023.921  , 5/2 
Fe II ,238.6218, ,64 834.069  , 3/2 
Fe II ,238.637405,1.35E+08,86 124.348  , 9/2 
Fe II ,238.6463,4.00E+07,106 722.187  , 9/2 
Fe II ,238.68691,1.80E+07,104 828.163  , 5/2 
 , , , , 
Fe II ,238.70838,6.00E+07,104 569.226  , 5/2 
Fe II ,238.71723, ,104 839.990  , 3/2 
Fe I ,238.72818, ,53 852.114  ,4
Fe II ,238.736712,2.40E+08,85 495.366  , 5/2 
Fe II ,238.74126,8.00E+06,109 389.879  , 11/2 
 , , , , 
Fe II ,238.74347,1.80E+07,72 261.742  , 11/2 
Fe II ,238.74832,5.30E+06,104 023.921  , 5/2 
Fe II ,238.76142,1.30E+07,104 192.487  , 9/2 
Fe II ,238.76425,1.10E+07,84 527.806  , 9/2 
Fe II ,238.7725,1.80E+06,102 824.994  , 9/2 
 , , , , 
Fe I ,238.7847, ,49 242.886  ,3
Fe II ,238.78471,4.60E+06,104 828.163  , 5/2 
Fe I ,238.80968, ,53 837.851  ,3
Fe II ,238.82261,2.10E+07,62 689.874  , 5/2 
Fe II ,238.82474,1.81E+08,108 859.487  , 3/2 
 , , , , 
Fe II ,238.8292, ,113 822.902  , 3/2 
Fe II ,238.83425,1.00E+08,108 105.938  , 3/2 
Fe II ,238.838782,2.02E+07,62 662.252  , 11/2 
Fe II ,238.862863,1.05E+08,42 237.0575 , 7/2 
Fe II ,238.862863,5.10E+07,105 317.400  , 3/2 
 , , , , 
Fe II ,238.86831, ,114 470.803  , 5/2 
Fe II ,238.8749,4.30E+06,105 123.005  , 7/2 
Fe II ,238.89883,1.70E+07,86 599.791  , 5/2 
Fe II ,238.90136, ,102 802.353  , 5/2 
Fe II ,238.93646, ,103 172.173  , 5/2 
 , , , , 
Fe I ,238.9406, ,54 807.250  ,1
Fe II ,238.9406,9.00E+05,103 921.637  , 7/2 
Fe II ,238.94363,2.20E+07,86 767.614  , 5/2 
Fe III ,238.9534,4.80E+07,134 360.41   ,4
Fe II ,238.9625,7.00E+05,103 986.338  , 7/2 
 , , , , 
Fe II ,238.97993, ,114 482.464  , 9/2 
Fe II ,238.98667,2.20E+06,68 000.785  , 9/2 
Fe I ,238.99727,4.47E+06,42 532.741  ,3
Fe II ,238.99981, ,114 352.875  , 5/2 
Fe II ,239.009685,5.50E+08,104 119.740  , 15/2 
 , , , , 
Fe II ,239.0211, ,73 189.114  , 3/2 
Fe II ,239.02483, ,114 475.826  , 5/2 
Fe II ,239.0308,1.30E+07,73 187.318  , 1/2 
Fe II ,239.0435,1.70E+06,73 189.114  , 3/2 
Fe II ,239.0539, ,114 470.803  , 5/2 
 , , , , 
Fe II ,239.0539,7.00E+06,73 187.318  , 1/2 
Fe II ,239.06324,9.00E+06,104 507.058  , 5/2 
Fe II ,239.07575,1.17E+08,86 599.791  , 5/2 
Fe II ,239.077203,4.20E+07,106 924.441  , 9/2 
Fe II ,239.09764,6.20E+06,106 097.530  , 9/2 
 , , , , 
Fe II ,239.11056, ,114 428.410  , 7/2 
Fe II ,239.1306, ,62 322.445  , 7/2 
Fe II ,239.147824,3.77E+06,44 232.5398 , 9/2 
Fe II ,239.15387,2.30E+07,104 630.429  , 3/2 
Fe II ,239.15529,1.20E+07,73 189.114  , 3/2 
 , , , , 
Fe II ,239.16793,2.80E+07,108 387.934  , 11/2 
Fe II ,239.17218,2.60E+07,104 042.692  , 5/2 
Fe II ,239.17414,5.00E+06,104 120.244  , 5/2 
Fe I ,239.1819, ,54 357.405  ,3
Fe II ,239.19584,5.30E+07,104 739.057  , 5/2 
 , , , , 
Fe II ,239.20889,2.22E+08,104 481.606  , 7/2 
Fe II ,239.21206,2.40E+07,103 874.261  , 9/2 
Fe II ,239.214902,6.60E+07,106 900.373  , 7/2 
Fe II ,239.22382, ,113 753.876  , 7/2 
Fe II ,239.2333, ,69 102.427  , 5/2 
 , , , , 
Fe II ,239.24452,9.00E+06,104 107.939  , 7/2 
Fe II ,239.257926,2.40E+08,106 208.574  , 5/2 
Fe II ,239.26153, ,114 307.099  , 5/2 
Fe I ,239.2656, ,54 342.779  ,2
Fe II ,239.28929, ,114 428.410  , 7/2 
 , , , , 
Fe II ,239.29393,1.50E+07,104 739.057  , 5/2 
Fe II ,239.29611, ,114 428.410  , 7/2 
Fe II ,239.29908, ,114 395.468  , 7/2 
Fe II ,239.3039, ,64 806.494  , 1/2 
Fe II ,239.3096, ,114 393.845  , 3/2 
 , , , , 
Fe II ,239.3096,3.40E+06,104 736.462  , 1/2 
Fe II ,239.31226,9.00E+05,105 238.815  , 5/2 
Fe II ,239.32459,5.40E+06,104 064.664  , 13/2 
Fe II ,239.33412,5.00E+07,108 181.564  , 11/2 
Fe II ,239.33836, ,105 234.246  , 5/2 
 , , , , 
Fe II ,239.4001,9.40E+06,83 726.416  , 9/2 
Fe I ,239.4009, ,49 135.023  ,3
Fe II ,239.40268,5.90E+07,105 317.400  , 3/2 
Fe II ,239.40744,6.60E+06,106 866.770  , 5/2 
Fe II ,239.4175,1.20E+06,73 143.346  , 7/2 
 , , , , 
Fe II ,239.436, ,73 751.276  , 9/2 
Fe II ,239.4472, ,103 921.637  , 7/2 
Fe II ,239.46273, ,63 559.498  , 1/2 
Fe II ,239.46273,1.00E+07,102 584.984  , 11/2 
Fe II ,239.47777, ,114 395.468  , 7/2 
 , , , , 
Fe II ,239.483266,2.40E+08,104 572.924  , 3/2 
Fe II ,239.48889,9.00E+06,62 083.118  , 9/2 
Fe II ,239.5026,1.60E+06,105 205.808  , 5/2 
Fe I ,239.5026, ,54 301.340  ,4
Fe II ,239.51369,3.10E+07,90 839.488  , 1/2 
 , , , , 
Fe I ,239.51767, ,54 706.387  ,2
Fe II ,239.53604,1.30E+07,105 775.517  , 7/2 
Fe II ,239.541909,2.67E+07,42 401.3198 , 3/2 
Fe I ,239.5495, ,49 108.896  ,4
Fe II ,239.54954,9.40E+07,106 018.682  , 9/2 
 , , , , 
Fe II ,239.55453,7.00E+07,103 814.552  , 7/2 
Fe II ,239.562504,2.59E+08,42 114.8380 , 9/2 
Fe I ,239.5745, ,54 289.034  ,3
Fe II ,239.610105,2.32E+08,108 133.473  , 13/2 
Fe II ,239.6252, ,108 391.507  , 9/2 
 , , , , 
Fe II ,239.63193, ,114 242.513  , 5/2 
Fe II ,239.653508, ,114 333.701  , 7/2 
Fe II ,239.6627, ,95 995.817  , 5/2 
Fe II ,239.671947,2.10E+07,67 516.328  , 11/2 
Fe II ,239.6836, ,102 802.353  , 5/2 
 , , , , 
Fe II ,239.6836,3.30E+06,108 709.424  , 7/2 
Fe II ,239.70173,3.00E+07,103 771.342  , 9/2 
Fe I ,239.7062, ,49 433.131  ,2
Fe II ,239.72665,1.15E+08,104 023.921  , 5/2 
Fe II ,239.72973, ,114 352.875  , 5/2 
 , , , , 
Fe II ,239.7753, ,108 365.344  , 7/2 
Fe II ,239.78236,3.10E+07,84 131.624  , 1/2 
Fe II ,239.7903,1.00E+06,73 054.913  , 5/2 
Fe II ,239.8036,3.10E+06,103 771.342  , 9/2 
Fe II ,239.8036,5.50E+06,105 775.517  , 7/2 
 , , , , 
Fe II ,239.8103,9.00E+05,106 796.679  , 5/2 
Fe I ,239.8227, ,53 661.079  ,3
Fe II ,239.83989, ,114 333.701  , 7/2 
Fe II ,239.8542,1.00E+07,103 191.968  , 7/2 
Fe II ,239.864918,1.94E+08,86 124.348  , 9/2 
 , , , , 
Fe I ,239.8704, ,54 237.415  ,4
Fe II ,239.90324,3.20E+06,105 230.291  , 3/2 
Fe II ,239.90811,2.70E+07,108 133.473  , 13/2 
Fe II ,239.90811,3.40E+06,103 002.660  , 5/2 
Fe II ,239.915119,1.06E+08,84 326.967  , 5/2 
 , , , , 
Fe II ,239.924102,1.39E+08,42 334.8444 , 5/2 
Fe II ,239.926637,1.51E+08,86 710.911  , 3/2 
Fe II ,239.94288,1.90E+07,103 986.338  , 7/2 
Fe II ,239.950601,5.90E+07,86 416.370  , 7/2 
Fe II ,239.9648,2.10E+06,73 143.346  , 7/2 
 , , , , 
Fe II ,239.97755, ,114 009.908  , 7/2 
Fe II ,239.979542,9.70E+07,106 767.226  , 7/2 
Fe II ,239.98592,6.60E+06,103 814.552  , 7/2 
Fe II ,239.99872, ,62 962.215  , 3/2 
Fe II ,240.004908,4.60E+08,104 315.373  , 13/2 
 , , , , 
Fe II ,240.02781,1.40E+07,64 286.354  , 7/2 
Fe II ,240.034398,8.10E+07,68 000.785  , 9/2 
Fe II ,240.06353, ,103 814.552  , 7/2 
Fe II ,240.06959,1.80E+07,108 642.450  , 5/2 
Fe II ,240.08318, ,114 290.252  , 9/2 
 , , , , 
Fe II ,240.09017, ,114 290.252  , 9/2 
Fe I ,240.11434, ,53 610.412  ,4
Fe II ,240.129155,1.89E+08,86 416.370  , 7/2 
Fe II ,240.13249,2.20E+07,86 710.911  , 3/2 
Fe II ,240.17047,2.30E+07,109 625.216  , 9/2 
 , , , , 
Fe II ,240.18946,8.00E+07,105 086.265  , 1/2 
Fe II ,240.20807,2.50E+08,86 547.427  , 5/2 
Fe II ,240.21028,5.00E+06,103 683.078  , 9/2 
Fe II ,240.218, ,77 742.736  , 5/2 
Fe II ,240.22452,5.00E+06,64 425.405  , 5/2 
 , , , , 
Fe II ,240.2272,1.10E+08,78 841.872  , 1/2 
Fe II ,240.2339,1.50E+07,108 613.977  , 5/2 
Fe II ,240.23931,2.50E+07,106 722.187  , 9/2 
Fe II ,240.244606,5.80E+07,83 726.416  , 9/2 
Fe II ,240.24961,1.90E+07,104 572.924  , 3/2 
 , , , , 
Fe II ,240.2542, ,113 822.902  , 3/2 
Fe II ,240.25995,2.17E+06,44 446.9051 , 7/2 
Fe II ,240.263255,8.19E+07,84 266.594  , 7/2 
Fe II ,240.270976,1.36E+08,104 569.226  , 5/2 
Fe II ,240.31005,5.50E+06,104 873.232  , 7/2 
 , , , , 
Fe II ,240.3192, ,83 713.583  , 7/2 
Fe II ,240.3494,1.10E+07,103 751.672  , 11/2 
Fe II ,240.353, ,114 212.377  , 7/2 
Fe III ,240.3552,1.00E+07,130 256.42   ,5
Fe II ,240.3635, ,114 646.097  , 7/2 
 , , , , 
Fe II ,240.3656, ,114 242.513  , 5/2 
Fe II ,240.3687,1.70E+06,104 863.080  , 3/2 
Fe II ,240.37627,2.50E+07,83 990.106  , 3/2 
Fe II ,240.38325,1.80E+06,72 352.046  , 7/2 
Fe II ,240.39444,6.50E+07,108 859.487  , 3/2 
 , , , , 
Fe II ,240.39705,4.70E+07,103 878.370  , 15/2 
Fe II ,240.406091,1.60E+08,108 105.938  , 3/2 
Fe II ,240.443072,6.44E+07,42 439.8511 , 1/2 
Fe II ,240.4542,8.00E+06,83 812.352  , 5/2 
Fe I ,240.4639, ,54 134.655  ,3
 , , , , 
Fe II ,240.48855,1.96E+08,42 237.0575 , 7/2 
Fe II ,240.499322,2.46E+08,86 482.560  , 7/2 
Fe II ,240.50225,6.20E+07,104 839.990  , 3/2 
Fe II ,240.52172,5.40E+06,91 070.566  , 5/2 
Fe II ,240.53116,6.00E+06,104 507.058  , 5/2 
 , , , , 
Fe II ,240.53803,2.00E+06,106 924.441  , 9/2 
Fe II ,240.5439, ,103 804.125  , 1/2 
Fe XII ,240.568,4.81E+01,41 566      , 3/2 
Fe II ,240.568263,2.11E+08,86 599.791  , 5/2 
Fe II ,240.57057,1.10E+06,104 828.163  , 5/2 
 , , , , 
Fe XII , ,4.00E-02,41 566      , 3/2 
Fe II ,240.57908, ,114 173.223  , 7/2 
Fe II ,240.58307,1.60E+07,86 482.560  , 7/2 
Fe II ,240.5898, ,85 172.826  , 1/2 
Fe II ,240.5898,4.20E+06,103 874.261  , 9/2 
 , , , , 
Fe II ,240.59923,1.00E+07,83 990.106  , 3/2 
Fe II ,240.60903,2.10E+06,62 065.528  , 7/2 
Fe II ,240.63059,3.40E+06,104 507.058  , 5/2 
Fe II ,240.63919,4.60E+06,105 630.764  , 5/2 
Fe III ,240.6409,2.80E+07,159 493.02   ,3
 , , , , 
Fe II ,240.6494, ,114 596.462  , 3/2 
Fe II ,240.666097,1.61E+08,42 401.3198 , 3/2 
Fe II ,240.67547,3.30E+07,108 537.623  , 7/2 
Fe II ,240.697542,4.40E+08,109 049.611  , 13/2 
Fe II ,240.699263,7.60E+07,73 016.184  , 7/2 
 , , , , 
Fe II ,240.7353,5.40E+07,105 086.265  , 1/2 
Fe II ,240.74084,1.60E+07,103 608.921  , 9/2 
Fe II ,240.7675, ,114 173.223  , 7/2 
Fe II ,240.7675, ,62 829.071  , 1/2 
Fe II ,240.77535,4.90E+07,86 599.791  , 5/2 
 , , , , 
Fe II ,240.79378,6.80E+06,62 322.445  , 7/2 
Fe I ,240.8045, ,49 242.886  ,3
Fe I ,240.80608, ,49 242.621  ,2
Fe II ,240.83559, ,114 160.174  , 9/2 
Fe II ,240.84265, ,114 160.174  , 9/2 
 , , , , 
Fe II ,240.864822,2.90E+08,86 710.911  , 3/2 
Fe II ,240.877445,3.16E+08,105 589.674  , 7/2 
Fe II ,240.9296,5.40E+07,108 105.938  , 3/2 
Fe II ,240.953517,2.39E+08,105 775.517  , 7/2 
Fe II ,240.985873,3.74E+08,105 524.482  , 9/2 
 , , , , 
Fe II ,240.99857,1.70E+07,104 426.460  , 5/2 
Fe I ,241.009723, , ,  
Fe II ,241.02118,3.50E+07,83 812.352  , 5/2 
Fe II ,241.026963,7.65E+07,83 713.583  , 7/2 
Fe II ,241.03007,1.60E+06,64 286.354  , 7/2 
 , , , , 
Fe II ,241.04119,3.20E+06,72 238.564  , 5/2 
Fe II ,241.051891,1.55E+08,42 334.8444 , 5/2 
Fe II ,241.05425,7.10E+07,103 597.409  , 5/2 
Fe II ,241.08671, ,114 482.464  , 9/2 
Fe II ,241.09833,8.70E+07,104 426.460  , 5/2 
 , , , , 
Fe V , ,2.30E-01,71 280.3    ,4
Fe II ,241.106689,2.37E+08,42 439.8511 , 1/2 
Fe II ,241.11759,5.20E+06,63 272.981  , 5/2 
Fe II ,241.12506, ,114 475.826  , 5/2 
Fe II ,241.13155,5.30E+06,103 751.672  , 11/2 
 , , , , 
Fe I ,241.1557, ,48 382.603  ,5
Fe II ,241.16795,5.70E+07,96 356.551  , 7/2 
Fe II ,241.180771,4.30E+08,105 398.876  , 11/2 
Fe II ,241.18764,1.30E+07,103 771.342  , 9/2 
Fe I ,241.19645, ,49 433.131  ,2
 , , , , 
Fe II ,241.20074,1.66E+07,84 685.245  , 7/2 
Fe I ,241.218, ,54 004.718  ,3
Fe II ,241.22597,3.30E+07,103 600.428  , 11/2 
Fe II ,241.243744,4.50E+08,103 165.320  , 9/2 
Fe I ,241.2769, ,48 361.882  ,4
 , , , , 
Fe II ,241.33101,1.02E+08,42 401.3198 , 3/2 
Fe II ,241.34956,9.00E+07,86 710.911  , 3/2 
Fe II ,241.367167,9.70E+07,104 107.939  , 7/2 
Fe II ,241.3801, ,114 470.803  , 5/2 
Fe II ,241.399345,4.70E+08,105 288.874  , 13/2 
 , , , , 
Fe I , , ,53 388.637  ,4
Fe II ,241.40829,1.10E+07,83 812.352  , 5/2 
Fe II ,241.4099, ,106 520.612  , 7/2 
Fe II ,241.41015,1.05E+06,62 662.252  , 11/2 
Fe II ,241.4219,5.50E+07,96 279.234  , 5/2 
 , , , , 
Fe II ,241.4219,1.00E+07,105 449.557  , 7/2 
Fe II ,241.4515,4.20E+05,64 040.891  , 7/2 
Fe II ,241.45838,2.80E+06,104 064.664  , 13/2 
Fe II ,241.48448, ,104 863.080  , 3/2 
Fe II ,241.506693,2.10E+07,64 425.405  , 5/2 
 , , , , 
Fe II ,241.51943, ,90 898.878  , 3/2 
Fe II ,241.52844, ,114 009.908  , 7/2 
Fe II ,241.536098,4.50E+08,109 389.879  , 11/2 
Fe II ,241.5782, ,62 689.874  , 5/2 
Fe II ,241.59668,9.00E+06,83 713.583  , 7/2 
 , , , , 
Fe II ,241.608005,1.59E+08,103 102.849  , 7/2 
Fe II ,241.61922,2.30E+07,104 839.990  , 3/2 
Fe II ,241.644523,2.38E+08,86 124.348  , 9/2 
Fe II ,241.65573,2.10E+07,108 642.450  , 5/2 
Fe II ,241.6583,1.30E+07,106 924.441  , 9/2 
 , , , , 
Fe II ,241.67148,9.00E+06,72 130.375  , 9/2 
Fe II ,241.6864, ,62 945.045  , 7/2 
Fe II ,241.70424,3.20E+07,104 189.382  , 3/2 
Fe II ,241.71433,8.00E+06,106 722.187  , 9/2 
Fe II ,241.72096,6.30E+06,104 630.429  , 3/2 
 , , , , 
Fe I ,241.7498, ,53 328.835  ,4
Fe II ,241.74983,2.20E+07,107 430.742  , 3/2 
Fe II ,241.7644,6.60E+06,105 775.517  , 7/2 
Fe II ,241.782045,1.10E+07,64 286.354  , 7/2 
Fe II ,241.787036,9.50E+07,67 516.328  , 11/2 
 , , , , 
Fe II ,241.81005,1.80E+07,105 291.014  , 7/2 
Fe II ,241.81672,2.00E+06,62 171.624  , 7/2 
Fe II ,241.82224,2.50E+07,108 613.977  , 5/2 
Fe II ,241.8315,6.60E+06,105 379.425  , 5/2 
Fe II ,241.843659,2.28E+08,86 416.370  , 7/2 
 , , , , 
Fe III ,241.8568,2.20E+06,82 334.43   ,3
Fe II ,241.8577,1.00E+07,104 023.921  , 5/2 
Fe II ,241.86651,1.40E+08,90 839.488  , 1/2 
Fe II ,241.87258,7.30E+06,73 143.346  , 7/2 
Fe I ,241.8787, ,53 891.526  ,3
 , , , , 
Fe II ,241.88416,2.80E+06,107 407.818  , 5/2 
Fe II ,241.90037,1.12E+08,105 414.186  , 5/2 
Fe I ,241.90628, ,48 702.535  ,4
Fe II ,241.9342, ,62 151.554  , 5/2 
Fe I ,241.94015, ,63 035.756  ,6
 , , , , 
Fe III ,241.9742, ,123 697.15   ,2
Fe I ,241.98785, ,49 297.635  ,1
Fe II ,241.98936,2.20E+06,63 948.803  , 9/2 
Fe II ,241.99308,2.00E+07,104 000.810  , 7/2 
Fe II ,241.998813,1.62E+08,86 599.791  , 5/2 
 , , , , 
Fe II ,242.02298, ,113 956.532  , 9/2 
Fe II ,242.03022, ,113 956.532  , 9/2 
Fe I ,242.03955,1.05E+05,48 231.280  ,5
Fe III ,242.0406,2.60E+06,125 673.05   ,2
Fe II ,242.04906, ,102 394.764  , 7/2 
 , , , , 
Fe II ,242.06686, ,113 822.902  , 3/2 
Fe II ,242.10405,3.60E+07,105 379.425  , 5/2 
Fe II ,242.10405,2.50E+06,104 757.143  , 1/2 
Fe II ,242.1096, ,114 307.099  , 5/2 
Fe III ,242.1377, ,123 697.15   ,2
 , , , , 
Fe III ,242.1514,2.60E+06,125 443.72   ,4
Fe II ,242.1817,1.50E+07,105 155.093  , 9/2 
Fe II ,242.18995,7.00E+05,62 083.118  , 9/2 
Fe II ,242.19446,4.70E+07,103 002.660  , 5/2 
Fe II ,242.20931, ,114 290.252  , 9/2 
 , , , , 
Fe II ,242.2226,2.70E+06,105 220.610  , 7/2 
Fe II ,242.25915, ,106 097.530  , 9/2 
Fe II ,242.26506,9.00E+06,104 209.618  , 5/2 
Fe II ,242.268803,1.46E+08,72 651.914  , 7/2 
Fe II ,242.278534,3.10E+07,105 211.079  , 9/2 
 , , , , 
Fe II ,242.29323,2.90E+06,62 065.528  , 7/2 
Fe I ,242.3105, ,49 242.621  ,2
Fe II ,242.321004,1.40E+08,72 619.499  , 5/2 
Fe II ,242.34993,1.51E+08,105 291.014  , 7/2 
Fe II ,242.3661,4.10E+06,104 209.618  , 5/2 
 , , , , 
Fe II ,242.3681, ,61 587.205  , 11/2 
Fe II ,242.39121,9.00E+06,73 054.913  , 5/2 
Fe III , ,5.30E+00,77 044.67   ,2
Fe II ,242.414529,2.21E+08,63 876.325  , 11/2 
Fe II ,242.42035,3.00E+07,105 524.482  , 9/2 
 , , , , 
Fe II ,242.438957,1.61E+07,62 065.528  , 7/2 
Fe II ,242.44409, ,104 507.058  , 5/2 
Fe II ,242.4491,2.90E+05,62 945.045  , 7/2 
Fe II ,242.459265,1.24E+08,72 619.499  , 5/2 
Fe II ,242.46509,6.60E+06,64 040.891  , 7/2 
 , , , , 
Fe II ,242.47768,2.20E+07,106 924.441  , 9/2 
Fe II ,242.53632,2.60E+07,67 273.833  , 3/2 
Fe II ,242.563758,2.32E+08,106 045.712  , 11/2 
Fe II ,242.568545,3.20E+07,67 000.530  , 5/2 
Fe II ,242.58061, ,102 543.689  , 3/2 
 , , , , 
Fe II ,242.59112,4.10E+06,61 726.069  , 7/2 
Fe II ,242.607745,1.50E+08,105 155.093  , 9/2 
Fe II ,242.61935,6.50E+07,106 900.373  , 7/2 
Fe I ,242.6315, ,53 763.280  ,3
Fe II ,242.644, ,71 964.750  , 5/2 
 , , , , 
Fe II ,242.6531, ,114 290.252  , 9/2 
Fe II ,242.65696,1.60E+06,105 238.815  , 5/2 
