Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
Si III , ,1.91E+07,249 121.14  ,3,,,,,,,,,,,,,,
Si II , ,4.76E+06,126 545.4   , 1/2 ,,,,,,,,,,,,,,
Si II , ,4.75E+06,126 525.8   , 3/2 ,,,,,,,,,,,,,,
Si III , ,3.60E+07,254 584.6   ,4,,,,,,,,,,,,,,
Si III , ,2.61E+07,254 766.75  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,201.097, , ,  ,,,,,,,,,,,,,,
Si II , ,3.31E+07,126 279.0   , 1/2 ,,,,,,,,,,,,,,
Si II , ,3.39E+07,126 236.4   , 3/2 ,,,,,,,,,,,,,,
Si VI , ,2.13E+04,1 182 894     , 1/2 ,,,,,,,,,,,,,,
Si III , ,2.49E+07,214 532.17  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si X , ,1.10E+06,2 154 480     , 5/2 ,,,,,,,,,,,,,,
Si XI , ,1.02E+01,495 201     ,2,,,,,,,,,,,,,,
Si XI , ,1.66E-03,495 201     ,2,,,,,,,,,,,,,,
Si I ,205.483, , ,  ,,,,,,,,,,,,,,
Si I , ,7.08E+07,54 871.031 ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,205.865, , ,  ,,,,,,,,,,,,,,
Si II ,205.901, , ,  ,,,,,,,,,,,,,,
Si I ,206.119, , ,  ,,,,,,,,,,,,,,
Si II , ,4.60E+06,113 976.72  , 3/2 ,,,,,,,,,,,,,,
Si II , ,4.59E+06,113 962.08  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,206.552, , ,  ,,,,,,,,,,,,,,
Si II ,207.202,9.60E+07,103 556.16  , 5/2 ,,,,,,,,,,,,,,
Si II , ,6.80E+06,103 556.16  , 5/2 ,,,,,,,,,,,,,,
Si VI , ,1.42E+04,1 182 311     , 3/2 ,,,,,,,,,,,,,,
Si II ,207.27,1.00E+08,103 556.03  , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I , ,4.59E+05,54 528.220 ,2,,,,,,,,,,,,,,
Si III , ,5.95E+07,249 774.48  ,2,,,,,,,,,,,,,,
Si III , ,6.30E+07,249 774.70  ,3,,,,,,,,,,,,,,
Si III , ,1.11E+07,249 774.48  ,2,,,,,,,,,,,,,,
Si III , ,7.09E+07,249 774.98  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,7.90E+06,249 774.70  ,3,,,,,,,,,,,,,,
Si III , ,3.12E+05,249 774.48  ,2,,,,,,,,,,,,,,
Si VI , ,7.30E+06,1 089 547     , 3/2 ,,,,,,,,,,,,,,
Si XI , ,5.73E+06,2 558 230     ,1,,,,,,,,,,,,,,
Si VI , ,2.63E+06,1 089 547     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I , ,6.45E+06,54 313.818 ,1,,,,,,,,,,,,,,
Si I , ,2.73E+06,54 257.582 ,3,,,,,,,,,,,,,,
Si X , ,1.41E+07,2 153 700     , 3/2 ,,,,,,,,,,,,,,
Si I , ,3.26E+04,54 205.090 ,2,,,,,,,,,,,,,,
Si I , ,5.46E+05,54 185.264 ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,1.58E+04,1 182 311     , 3/2 ,,,,,,,,,,,,,,
Si VI , ,1.56E+01,1 181 649     , 5/2 ,,,,,,,,,,,,,,
Si I ,210.321, , ,  ,,,,,,,,,,,,,,
Si I ,211.463, , ,  ,,,,,,,,,,,,,,
Si VI , ,1.99E+04,1 181 649     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,212.018,3.06E+08,265 417.95  , 1/2 ,,,,,,,,,,,,,,
Si I , ,3.57E+07,53 387.334 ,1,,,,,,,,,,,,,,
Si I ,212.412,2.97E+08,53 362.24  ,3,,,,,,,,,,,,,,
Si XI , ,3.54E+06,2 332 050     ,2,,,,,,,,,,,,,,
Si IV ,212.747,6.14E+08,265 417.95  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,213.399, , ,  ,,,,,,,,,,,,,,
Si II ,213.64, , ,  ,,,,,,,,,,,,,,
Si II ,213.656, , ,  ,,,,,,,,,,,,,,
Si VI , ,7.96E+02,1 181 167     , 7/2 ,,,,,,,,,,,,,,
Si XI , ,5.21E+06,2 556 770     ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VII , ,7.70E-03,46 569.8   ,2,,,,,,,,,,,,,,
Si VII , ,1.24E+01,46 569.8   ,2,,,,,,,,,,,,,,
Si I ,214.791, , ,  ,,,,,,,,,,,,,,
Si IX , ,1.80E+01,52 925.9   ,2,,,,,,,,,,,,,,
Si IX , ,7.51E-03,52 925.9   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,7.49E+04,1 194 327     , 3/2 ,,,,,,,,,,,,,,
Si III , ,4.47E+05,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,1.57E+07,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,7.01E+07,250 366.22  ,3,,,,,,,,,,,,,,
Si III , ,2.18E+07,244 866.05  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,217.689,1.80E+08,245 086.58  ,3,,,,,,,,,,,,,,
Si XI , ,8.25E+06,2 558 230     ,1,,,,,,,,,,,,,,
Si III , ,1.73E+08,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,1.95E+08,244 736.93  ,1,,,,,,,,,,,,,,
Si IX , ,9.78E-06,492 755     ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IX , ,3.11E+01,492 755     ,1,,,,,,,,,,,,,,
Si III , ,1.30E+07,250 636.55  ,2,,,,,,,,,,,,,,
Si VI , ,2.49E+05,1 086 796     , 5/2 ,,,,,,,,,,,,,,
Si VI , ,6.85E+03,1 086 796     , 5/2 ,,,,,,,,,,,,,,
Si VI , ,2.71E+05,1 193 223     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I , ,4.68E-03,45 293.629 ,2,,,,,,,,,,,,,,
Si I ,220.798,2.62E+07,45 276.188 ,1,,,,,,,,,,,,,,
Si III , ,2.08E+03,204 330.79  ,2,,,,,,,,,,,,,,
Si I , ,4.58E-03,45 321.848 ,3,,,,,,,,,,,,,,
Si I ,221.089,3.46E+07,45 293.629 ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,221.174,1.81E+07,45 276.188 ,1,,,,,,,,,,,,,,
Si IV , ,6.88E+07,336 616.55  , 5/2 ,,,,,,,,,,,,,,
Si IV , ,4.91E+06,336 616.55  , 5/2 ,,,,,,,,,,,,,,
Si IV , ,7.37E+07,336 616.55  , 7/2 ,,,,,,,,,,,,,,
Si I ,221.667,4.54E+07,45 321.848 ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,221.806,1.09E+07,45 293.629 ,2,,,,,,,,,,,,,,
Si III , ,4.22E+06,254 584.8   ,3,,,,,,,,,,,,,,
Si I ,221.891,1.05E+06,45 276.188 ,1,,,,,,,,,,,,,,
Si III , ,3.68E+05,254 584.8   ,3,,,,,,,,,,,,,,
Si III , ,4.29E+06,254 584.8   ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,6.50E+07,249 817.94  ,4,,,,,,,,,,,,,,
Si III , ,4.57E+06,254 585.75  ,5,,,,,,,,,,,,,,
Si III , ,5.59E+03,254 584.8   ,3,,,,,,,,,,,,,,
Si III , ,2.86E+05,254 584.8   ,4,,,,,,,,,,,,,,
Si II , ,2.44E+07,121 590.19  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si XIII , ,3.39E+08,(19 475 044)    ,2,,,,,,,,,,,,,,
Si XIII , ,3.38E+08,(19 474 987)    ,1,,,,,,,,,,,,,,
Si XIII , ,3.37E+08,(19 474 972)    ,0,,,,,,,,,,,,,,
Si II , ,2.41E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,,
Si III , ,8.70E+07,258 978.66  ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si XI , ,1.35E+07,2 556 770     ,2,,,,,,,,,,,,,,
Si XIII , ,3.43E+08,(19 475 621)    ,1,,,,,,,,,,,,,,
Si XI , ,2.11E+01,495 201     ,2,,,,,,,,,,,,,,
Si XI , ,7.04E-03,495 201     ,2,,,,,,,,,,,,,,
Si X , ,1.15E+07,2 154 480     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,1.69E+05,1 194 327     , 3/2 ,,,,,,,,,,,,,,
Si I , ,3.56E+06,59 273.575 ,1,,,,,,,,,,,,,,
Si I , ,1.99E+01,59 191.072 ,2,,,,,,,,,,,,,,
Si I , ,1.83E+01,59 110.892 ,2,,,,,,,,,,,,,,
Si IV ,228.704,6.41E+08,293 718.99  , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,228.704,4.27E+07,293 718.99  , 5/2 ,,,,,,,,,,,,,,
Si IV ,228.704,5.98E+08,293 718.99  , 5/2 ,,,,,,,,,,,,,,
Si I ,229.103, , ,  ,,,,,,,,,,,,,,
Si III ,229.548,6.69E+07,242 473.66  ,3,,,,,,,,,,,,,,
Si III ,229.687, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,230.093,5.80E+06,242 473.66  ,3,,,,,,,,,,,,,,
Si X , ,1.16E+06,2 153 700     , 3/2 ,,,,,,,,,,,,,,
Si I ,230.306,3.48E+08,58 801.529 ,1,,,,,,,,,,,,,,
Si III , ,1.60E+05,244 943.31  ,2,,,,,,,,,,,,,,
Si III , ,2.41E+06,244 943.31  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.35E+07,244 943.31  ,2,,,,,,,,,,,,,,
Si III , ,4.00E+06,244 933.36  ,1,,,,,,,,,,,,,,
Si III , ,1.20E+07,244 933.36  ,1,,,,,,,,,,,,,,
Si III , ,1.60E+07,244 928.72  ,0,,,,,,,,,,,,,,
Si III ,230.819,7.16E+07,242 474.81  ,5,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,4.48E+06,242 473.86  ,4,,,,,,,,,,,,,,
Si III , ,8.77E+04,242 473.66  ,3,,,,,,,,,,,,,,
Si II , ,4.02E+06,124 495.7   , 3/2 ,,,,,,,,,,,,,,
Si II , ,7.65E+06,124 495.7   , 3/2 ,,,,,,,,,,,,,,
Si II , ,5.01E+07,124 495.7   , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si XI , ,4.02E+07,2 285 040     ,1,,,,,,,,,,,,,,
Si III , ,4.32E+06,247 935.39  ,2,,,,,,,,,,,,,,
Si II , ,2.35E+01,42 932.62  , 3/2 ,,,,,,,,,,,,,,
Si IV ,232.856, , ,  ,,,,,,,,,,,,,,
Si XIII , ,8.03E+07,(19 474 174)    ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.16E+07,247 935.39  ,2,,,,,,,,,,,,,,
Si XIII , ,2.41E+08,(19 474 174)    ,1,,,,,,,,,,,,,,
Si XIII , ,6.90E+08,(19 474 981)    ,0,,,,,,,,,,,,,,
Si II ,233.44,5.51E+03,42 824.29  , 1/2 ,,,,,,,,,,,,,,
Si XIII , ,3.98E+08,(19 474 174)    ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,233.461,2.44E+03,43 107.91  , 5/2 ,,,,,,,,,,,,,,
Si II ,234.42,1.31E+03,42 932.62  , 3/2 ,,,,,,,,,,,,,,
Si II ,234.954, , ,  ,,,,,,,,,,,,,,
Si VII , ,7.28E-04,46 569.8   ,2,,,,,,,,,,,,,,
Si VII , ,3.15E+00,46 569.8   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
