Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
Al I ,208.25, ,48 004.7   , 3/2 ,,,,,,,,,,,,,,
Al I ,208.253, ,48 115     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,208.31, ,48 102     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.375, ,47 975.1   , 3/2 ,,,,,,,,,,,,,,
Al I ,208.375, ,48 087     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.448, ,48 070     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.524, ,47 940.7   , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,208.532, ,48 051     , 5/2 ,,,,,,,,,,,,,,
Al I ,208.623, ,48 031.1   , 5/2 ,,,,,,,,,,,,,,
Al II ,208.6864, ,85 481.35  ,2,,,,,,,,,,,,,,
Al I ,208.736, ,48 004.7   , 5/2 ,,,,,,,,,,,,,,
Al I ,208.866, ,47 975.1   , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,208.915, ,47 850.9   , 3/2 ,,,,,,,,,,,,,,
Al III , ,4.87E+07,191 484.23  , 1/2 ,,,,,,,,,,,,,,
Al I ,209.016, ,47 940.7   , 5/2 ,,,,,,,,,,,,,,
Al I ,209.17, ,47 793.0   , 3/2 ,,,,,,,,,,,,,,
Al I ,209.192, ,47 900.1   , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III , ,9.73E+07,191 484.23  , 1/2 ,,,,,,,,,,,,,,
Al I ,209.33, ,80 191.9   , 5/2 ,,,,,,,,,,,,,,
Al I ,209.408, ,47 850.9   , 5/2 ,,,,,,,,,,,,,,
Al II ,209.4264,1.84E+08,143 283.75  ,4,,,,,,,,,,,,,,
Al II ,209.4744,2.05E+07,143 272.86  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,209.479,1.64E+08,143 272.86  ,3,,,,,,,,,,,,,,
Al I ,209.484, ,47 721.3   , 3/2 ,,,,,,,,,,,,,,
Al II , ,8.10E+05,143 265.83  ,2,,,,,,,,,,,,,,
Al II ,209.51,2.87E+07,143 265.83  ,2,,,,,,,,,,,,,,
Al II ,209.514,1.55E+08,143 265.83  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,209.662, ,47 793.0   , 5/2 ,,,,,,,,,,,,,,
Al I ,209.875, ,47 632.6   , 3/2 ,,,,,,,,,,,,,,
Al I ,209.91, ,[47 737.41] , 1/2 ,,,,,,,,,,,,,,
Al II ,209.9709, ,142 961.20  ,1,,,,,,,,,,,,,,
Al I ,209.979, ,47 721.3   , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,210.258, ,[47 546.12] , 1/2 ,,,,,,,,,,,,,,
Al I ,210.285, ,[47 652.58] , 1/2 ,,,,,,,,,,,,,,
Al I ,210.366, ,47 521.1   , 3/2 ,,,,,,,,,,,,,,
Al I ,210.371, ,47 632.6   , 5/2 ,,,,,,,,,,,,,,
Al I ,210.755, ,[47 546.12] , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,210.862, ,[47 409.97] , 1/2 ,,,,,,,,,,,,,,
Al I ,210.862, ,47 521.1   , 5/2 ,,,,,,,,,,,,,,
Al I ,211.361, ,[47 409.97] , 1/2 ,,,,,,,,,,,,,,
Al V , ,1.10E+00,843 914     , 1/2 ,,,,,,,,,,,,,,
Al V , ,7.31E-01,843 914     , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,211.656, ,[47 232.00] , 1/2 ,,,,,,,,,,,,,,
Al I ,211.8312,1.03E+07,47 192.38  , 3/2 ,,,,,,,,,,,,,,
Al I ,212.159, ,[47 232.00] , 1/2 ,,,,,,,,,,,,,,
Al I , ,2.00E+06,47 192.38  , 3/2 ,,,,,,,,,,,,,,
Al I ,212.3362,1.22E+07,47 192.38  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,4.86E+00,88 213     ,0,,,,,,,,,,,,,,
Al I ,212.73, ,[46 993.11] , 1/2 ,,,,,,,,,,,,,,
Al IV ,212.845, ,871 512.2   ,1,,,,,,,,,,,,,,
Al I ,212.9663,1.52E+07,46 940.97  , 3/2 ,,,,,,,,,,,,,,
Al IV ,213.0837,2.21E+06,671 632.5   ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,213.092, ,874 756.8   ,1,,,,,,,,,,,,,,
Al IV ,213.092, ,870 991.9   ,2,,,,,,,,,,,,,,
Al I ,213.239, ,[46 993.11] , 1/2 ,,,,,,,,,,,,,,
Al I ,213.4733,1.81E+07,46 941.55  , 5/2 ,,,,,,,,,,,,,,
Al I , ,3.00E+06,46 940.97  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al X , ,2.42E+07,2 103 900     ,2,,,,,,,,,,,,,,
Al X , ,6.01E+07,2 141 580     ,2,,,,,,,,,,,,,,
Al I ,214.239, ,[46 661.93] , 1/2 ,,,,,,,,,,,,,,
Al I ,214.5555,2.06E+07,46 593.32  , 3/2 ,,,,,,,,,,,,,,
Al IV ,214.625, ,874 422.9   ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,214.754, ,[46 661.93] , 1/2 ,,,,,,,,,,,,,,
Al I ,215.0699,2.46E+07,46 593.95  , 5/2 ,,,,,,,,,,,,,,
Al I , ,4.09E+06,46 593.32  , 3/2 ,,,,,,,,,,,,,,
Al IV ,215.229, ,870 991.9   ,2,,,,,,,,,,,,,,
Al III ,215.4635, ,214 010.22  , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,215.4635, ,214 010.22  , 9/2 ,,,,,,,,,,,,,,
Al III ,215.4635, ,214 010.22  , 7/2 ,,,,,,,,,,,,,,
Al IV ,215.832, ,874 756.8   ,1,,,,,,,,,,,,,,
Al I ,216.0383, ,78 710.26  , 7/2 ,,,,,,,,,,,,,,
Al IV ,216.112, ,874 756.8   ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,216.224, ,871 512.2   ,1,,,,,,,,,,,,,,
Al I ,216.455, ,46 183.895 , 1/2 ,,,,,,,,,,,,,,
Al I ,216.4915, ,78 612.23  , 5/2 ,,,,,,,,,,,,,,
Al VI , ,2.03E+07,1 339 440     ,2,,,,,,,,,,,,,,
Al VI , ,1.15E+08,1 339 440     ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III , ,5.14E+04,213 737.44  , 5/2 ,,,,,,,,,,,,,,
Al III , ,1.08E+06,213 737.44  , 3/2 ,,,,,,,,,,,,,,
Al III , ,1.03E+06,213 737.44  , 5/2 ,,,,,,,,,,,,,,
Al I ,216.8805,2.96E+07,46 093.424 , 3/2 ,,,,,,,,,,,,,,
Al I ,216.981, ,46 183.895 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,217.4028,3.53E+07,46 094.312 , 5/2 ,,,,,,,,,,,,,,
Al I , ,5.88E+06,46 093.424 , 3/2 ,,,,,,,,,,,,,,
Al IV ,217.684, ,874 422.9   ,0,,,,,,,,,,,,,,
Al I ,217.7396, ,74 979.02  , 5/2 ,,,,,,,,,,,,,,
Al I ,218.0996, ,74 979.02  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,7.44E+04,1 039 680     ,3,,,,,,,,,,,,,,
Al IV ,218.405, ,871 512.2   ,1,,,,,,,,,,,,,,
Al II ,219.2604,2.47E+08,141 143.05  ,4,,,,,,,,,,,,,,
Al II ,219.4189,2.74E+07,141 110.06  ,3,,,,,,,,,,,,,,
Al II ,219.4245,2.19E+08,141 110.06  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,1.08E+06,141 084.89  ,2,,,,,,,,,,,,,,
Al II ,219.5456,3.83E+07,141 084.89  ,2,,,,,,,,,,,,,,
Al II ,219.5502,2.07E+08,141 084.89  ,2,,,,,,,,,,,,,,
Al IV , ,3.18E+05,759 596.8   ,1,,,,,,,,,,,,,,
Al I ,219.915,1.75E+06,45 457.244 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,220.459,3.49E+06,45 457.244 , 1/2 ,,,,,,,,,,,,,,
Al I ,220.466,4.37E+07,45 344.165 , 3/2 ,,,,,,,,,,,,,,
Al IV ,220.914, ,870 991.9   ,2,,,,,,,,,,,,,,
Al III ,220.966,1.46E+07,188 878.22  , 3/2 ,,,,,,,,,,,,,,
Al I ,221.0046,5.20E+07,45 345.594 , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I , ,8.67E+06,45 344.165 , 3/2 ,,,,,,,,,,,,,,
Al IV ,221.121, ,897 217.6   ,2,,,,,,,,,,,,,,
Al X , ,2.43E+06,2 102 330     ,1,,,,,,,,,,,,,,
Al IV ,221.221, ,897 197.1   ,1,,,,,,,,,,,,,,
Al III ,221.356,2.82E+06,188 878.22  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,221.356,1.69E+07,188 877.57  , 5/2 ,,,,,,,,,,,,,,
Al VIII , ,3.14E+00,46 720+x   ,2,,,,,,,,,,,,,,
Al V , ,1.72E+06,928 408     , 3/2 ,,,,,,,,,,,,,,
Al IV ,222.913, ,897 416.8   ,3,,,,,,,,,,,,,,
Al IV ,224.047, ,897 328.4   ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,224.0563, ,897 324.7   ,5,,,,,,,,,,,,,,
Al II ,224.3045,3.03E+07,139 918.98  ,1,,,,,,,,,,,,,,
Al X , ,7.94E+07,2 192 860     ,3,,,,,,,,,,,,,,
Al IV ,225.7187, ,897 328.4   ,4,,,,,,,,,,,,,,
Al I ,225.7999,3.77E+06,44 273.133 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,226.0838, ,900 843.6   ,3,,,,,,,,,,,,,,
Al I ,226.3462,6.83E+07,44 166.398 , 3/2 ,,,,,,,,,,,,,,
Al I ,226.3731,7.50E+06,44 273.133 , 1/2 ,,,,,,,,,,,,,,
Al I ,226.6014, ,76 553.47  , 5/2 ,,,,,,,,,,,,,,
Al I ,226.753, ,76 521.7   , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,226.9096,7.58E+07,44 168.847 , 5/2 ,,,,,,,,,,,,,,
Al I ,226.922,1.26E+07,44 166.398 , 3/2 ,,,,,,,,,,,,,,
Al IV ,227.2348, ,900 836.9   ,3,,,,,,,,,,,,,,
Al IV ,227.266, ,900 847.7   ,4,,,,,,,,,,,,,,
Al IV ,228.3027, ,897 537.5   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,228.5126, ,135 022.127 ,2,,,,,,,,,,,,,,
Al II ,228.547, ,135 015.701 ,1,,,,,,,,,,,,,,
Al II ,228.569, ,135 012.285 ,0,,,,,,,,,,,,,,
Al IV ,228.701, ,871 512.2   ,1,,,,,,,,,,,,,,
Al IV ,228.829, ,897 435.7   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,229.4524, ,897 540.1   ,4,,,,,,,,,,,,,,
Al III ,229.947,4.44E+06,209 263.25  , 5/2 ,,,,,,,,,,,,,,
Al III ,229.947,6.66E+07,209 263.25  , 7/2 ,,,,,,,,,,,,,,
Al III ,229.947,6.22E+07,209 263.25  , 5/2 ,,,,,,,,,,,,,,
Al IV ,230.104, ,897 416.8   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IX , ,9.72E+05,1 800 910     , 5/2 ,,,,,,,,,,,,,,
Al VI , ,7.57E+03,1 079 610     ,3,,,,,,,,,,,,,,
Al I ,231.1035, ,72 277.75  , 1/2 ,,,,,,,,,,,,,,
Al II ,231.2225, ,148 677.2   ,1,,,,,,,,,,,,,,
Al I ,231.2491, ,72 250.53  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al V , ,1.05E+07,928 408     , 3/2 ,,,,,,,,,,,,,,
Al I ,231.3526, ,72 277.75  , 1/2 ,,,,,,,,,,,,,,
Al II ,231.3768, ,148 677.2   ,1,,,,,,,,,,,,,,
Al I ,231.4983, ,72 250.53  , 3/2 ,,,,,,,,,,,,,,
Al I ,231.7482, ,72 204.00  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,1.34E+05,1 079 456     ,2,,,,,,,,,,,,,,
Al I ,231.9057, ,72 250.53  , 3/2 ,,,,,,,,,,,,,,
Al VI , ,2.05E+05,1 079 437     ,1,,,,,,,,,,,,,,
Al I ,232.1562, ,72 204.00  , 5/2 ,,,,,,,,,,,,,,
Al VI , ,1.48E+05,1 079 610     ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IX , ,1.27E+07,1 800 510     , 3/2 ,,,,,,,,,,,,,,
Al IV ,232.413, ,871 512.2   ,1,,,,,,,,,,,,,,
Al II ,232.4199,3.46E+07,138 561.8   ,4,,,,,,,,,,,,,,
Al X , ,4.93E+06,2 171 680     ,1,,,,,,,,,,,,,,
Al II ,232.5436,3.85E+06,138 538.9   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,232.5494,3.07E+07,138 538.9   ,3,,,,,,,,,,,,,,
Al II , ,1.52E+05,138 521.4   ,2,,,,,,,,,,,,,,
Al II ,232.6445,5.38E+06,138 521.4   ,2,,,,,,,,,,,,,,
Al II ,232.6496,2.90E+07,138 521.4   ,2,,,,,,,,,,,,,,
Al II ,232.82, ,149 859.0   ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,1.80E+05,1 079 456     ,2,,,,,,,,,,,,,,
Al V , ,3.24E+07,926 388     , 5/2 ,,,,,,,,,,,,,,
Al VI , ,2.90E+05,1 079 610     ,3,,,,,,,,,,,,,,
Al II ,234.469, ,149 557.1   ,0,,,,,,,,,,,,,,
Al II ,234.547, ,148 093.2   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,234.592, ,148 056.1   ,1,,,,,,,,,,,,,,
Al II ,234.7516, ,148 056.1   ,1,,,,,,,,,,,,,,
Al V , ,1.97E+06,925 894     , 1/2 ,,,,,,,,,,,,,,
Al VIII , ,7.59E+00,46 720+x   ,2,,,,,,,,,,,,,,
Al II ,236.546, ,149 182.2   ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al X , ,1.76E+06,1 966 080     ,2,,,,,,,,,,,,,,
Al I ,236.7052,7.61E+07,42 233.742 , 3/2 ,,,,,,,,,,,,,,
Al I ,236.7611, ,71 244.17  , 3/2 ,,,,,,,,,,,,,,
Al I ,236.8112, ,71 235.25  , 1/2 ,,,,,,,,,,,,,,
Al IV ,236.8272, ,900 854.1   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,236.9304, ,71 260.55  , 5/2 ,,,,,,,,,,,,,,
Al I ,237.0225, ,71 244.17  , 3/2 ,,,,,,,,,,,,,,
Al I ,237.0726, ,71 235.25  , 1/2 ,,,,,,,,,,,,,,
Al IV ,237.1027, ,897 435.7   ,2,,,,,,,,,,,,,,
Al I ,237.207,5.76E+06,42 144.411 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,237.3124,9.07E+07,42 237.783 , 5/2 ,,,,,,,,,,,,,,
Al I ,237.3349,1.51E+07,42 233.742 , 3/2 ,,,,,,,,,,,,,,
Al I ,237.3571, ,71 260.55  , 5/2 ,,,,,,,,,,,,,,
Al I ,237.4496, ,71 244.17  , 3/2 ,,,,,,,,,,,,,,
Al I ,237.8368,1.14E+07,42 144.411 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al X , ,8.75E+05,1 965 860     ,1,,,,,,,,,,,,,,
Al IV ,238.3355, ,897 217.6   ,2,,,,,,,,,,,,,,
Al V , ,8.94E+06,925 432     , 3/2 ,,,,,,,,,,,,,,
Al II ,238.825, ,147 288.0   ,1,,,,,,,,,,,,,,
Al II ,238.9035, ,147 286.65  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,239.0692, ,147 287.10  ,3,,,,,,,,,,,,,,
Al II ,239.1276, ,147 233.45  ,1,,,,,,,,,,,,,,
Al II ,239.2078, ,147 233.45  ,1,,,,,,,,,,,,,,
Al II ,239.2234, ,148 709.8   ,0,,,,,,,,,,,,,,
Al II ,239.376, ,147 233.45  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,239.898, ,209 284.53  , 7/2 ,,,,,,,,,,,,,,
Al III ,239.898, ,209 284.53  , 7/2 ,,,,,,,,,,,,,,
Al III ,239.898, ,209 284.53  , 9/2 ,,,,,,,,,,,,,,
Al X , ,4.44E+06,2 170 190     ,2,,,,,,,,,,,,,,
Al XI , ,2.30E+08,3 399 500     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al XI , ,2.56E+08,3 399 500     , 1/2 ,,,,,,,,,,,,,,
Al XI , ,2.55E+07,3 399 500     , 3/2 ,,,,,,,,,,,,,,
Al X , ,7.27E+06,2 171 680     ,1,,,,,,,,,,,,,,
Al III ,242.244,8.48E+04,208 881.83  , 5/2 ,,,,,,,,,,,,,,
Al III ,242.244,1.78E+06,208 881.83  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,242.244,1.70E+06,208 881.83  , 5/2 ,,,,,,,,,,,,,,
Al I ,242.305, ,80 191.9   , 5/2 ,,,,,,,,,,,,,,
Al I ,242.477, ,80 158.0   , 3/2 ,,,,,,,,,,,,,,
Al I ,242.505, ,80 158.0   , 3/2 ,,,,,,,,,,,,,,
Al II ,242.5596, ,148 135.13  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,242.7742, ,148 098.6   ,0,,,,,,,,,,,,,,
Al VI , ,3.73E-03,41 167     ,2,,,,,,,,,,,,,,
Al VI , ,5.01E+00,41 167     ,2,,,,,,,,,,,,,,
Al II ,245.2584, ,146 188.5   ,1,,,,,,,,,,,,,,
Al II ,245.3423, ,146 188.5   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,245.5177, ,146 188.9   ,3,,,,,,,,,,,,,,
Al V , ,2.91E+06,925 894     , 1/2 ,,,,,,,,,,,,,,
Al II ,245.7187, ,146 112.14  ,1,,,,,,,,,,,,,,
Al II ,245.8037, ,146 112.14  ,1,,,,,,,,,,,,,,
Al II ,245.888, ,150 746.4   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,245.9809, ,146 112.14  ,1,,,,,,,,,,,,,,
Al I ,245.983, ,73 077.8   , 7/2 ,,,,,,,,,,,,,,
Al I ,246.574, ,72 978.9   , 5/2 ,,,,,,,,,,,,,,
Al II ,246.628, ,150 624.5   ,3,,,,,,,,,,,,,,
Al II ,247.3008, ,147 344.89  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,247.5252,4.60E+07,125 869.015 ,1,,,,,,,,,,,,,,
Al II ,247.6322, ,147 290.98  ,0,,,,,,,,,,,,,,
Al V ,247.975,2.82E+07,836 937.4   , 3/2 ,,,,,,,,,,,,,,
Al V ,248.16,2.63E+06,836 937.4   , 3/2 ,,,,,,,,,,,,,,
Al V , ,1.42E+07,925 432     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,248.535, ,150 313.4   ,3,,,,,,,,,,,,,,
Al IV ,249.547, ,897 470.3   ,2,,,,,,,,,,,,,,
Al IV ,249.714, ,897 470.3   ,2,,,,,,,,,,,,,,
Al IV ,249.714, ,897 470.3   ,3,,,,,,,,,,,,,,
Al II ,249.7886, ,150 111.6   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,250.137, ,897 608.5   ,4,,,,,,,,,,,,,,
Al IV ,250.137, ,897 608.5   ,5,,,,,,,,,,,,,,
Al IV ,250.16, ,897 608.5   ,4,,,,,,,,,,,,,,
Al IV ,250.16, ,897 608.5   ,5,,,,,,,,,,,,,,
Al IX , ,1.06E+07,1 800 910     , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,1.02E+04,1 079 610     ,3,,,,,,,,,,,,,,
Al II ,250.425, ,150 009.9   ,1,,,,,,,,,,,,,,
Al X , ,1.17E+07,2 170 190     ,2,,,,,,,,,,,,,,
Al II ,251.3145, ,149 868.6   ,3,,,,,,,,,,,,,,
Al I ,251.3305, ,78 710.26  , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al VI , ,2.15E+02,1 079 456     ,2,,,,,,,,,,,,,,
Al IV ,251.43, ,897 571.0   ,4,,,,,,,,,,,,,,
Al IV ,251.43, ,897 571.0   ,3,,,,,,,,,,,,,,
Al IV ,251.548, ,900 988.4   ,4,,,,,,,,,,,,,,
Al IV ,251.548, ,900 988.4   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,251.548, ,900 988.4   ,4,,,,,,,,,,,,,,
Al IV ,251.587, ,900 988.4   ,4,,,,,,,,,,,,,,
Al IV ,251.587, ,900 988.4   ,3,,,,,,,,,,,,,,
Al IV ,251.587, ,900 988.4   ,4,,,,,,,,,,,,,,
Al IV ,251.587, ,900 988.4   ,5,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,251.587, ,897 571.0   ,3,,,,,,,,,,,,,,
Al IV ,251.62, ,900 988.4   ,4,,,,,,,,,,,,,,
Al IV ,251.62, ,900 988.4   ,3,,,,,,,,,,,,,,
Al IV ,251.729, ,900 988.4   ,3,,,,,,,,,,,,,,
Al I ,251.9222, ,78 612.23  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,251.9514, ,78 612.23  , 5/2 ,,,,,,,,,,,,,,
Al II ,252.0579, ,149 751.2   ,1,,,,,,,,,,,,,,
Al IV ,252.068, ,897 470.3   ,2,,,,,,,,,,,,,,
Al IV ,252.068, ,897 470.3   ,3,,,,,,,,,,,,,,
Al IV ,252.228, ,897 470.3   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,252.228, ,897 470.3   ,2,,,,,,,,,,,,,,
Al III , ,1.01E+07,205 387.77  , 3/2 ,,,,,,,,,,,,,,
Al III , ,1.12E+06,205 387.77  , 3/2 ,,,,,,,,,,,,,,
Al III , ,1.12E+07,205 375.74  , 1/2 ,,,,,,,,,,,,,,
Al II ,252.6486,1.94E+07,134 919.40  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al IV ,252.727, ,897 608.5   ,4,,,,,,,,,,,,,,
Al IV ,252.75, ,897 608.5   ,5,,,,,,,,,,,,,,
Al IV ,252.75, ,897 608.5   ,4,,,,,,,,,,,,,,
Al IX , ,1.10E+06,1 800 510     , 3/2 ,,,,,,,,,,,,,,
Al IV ,252.963, ,897 571.0   ,4,,,,,,,,,,,,,,
