文件名,iteration,brute_force
03116_95.csv,18405.500840528453,17250.0
03124_95.csv,18417.495532353456,13250.0
03130_95.csv,15101.331663177849,17000.0
03134_95.csv,18448.152704792687,17250.0
070036_95.csv,20000.0,19750.0
070099_95.csv,15567.864179553391,17250.0
070101_95.csv,15288.861457249564,17500.0
070159_95.csv,13824.691118348348,17000.0
070171_95.csv,15229.655038554152,19750.0
07103_95.csv,19205.95856950997,17250.0
07105_95.csv,16586.01443308689,17250.0
07106_95.csv,17465.601553224624,17750.0
07107_95.csv,14277.842675777363,18000.0
07111_95.csv,13599.964718455278,17250.0
07121_95.csv,18786.23656110046,9750.0
07122_95.csv,16198.135621032769,17250.0
07125_95.csv,19886.541771777964,18250.0
07141_95.csv,17294.122317984715,17250.0
07145_95.csv,17235.118953489568,17250.0
07405_95.csv,12348.179203855201,20000.0
07407_95.csv,11732.26600530648,20000.0
07840_95.csv,10659.795071591721,14000.0
算法运算时间(秒),610.116099,112.052764
