Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
244.82,7.733e+3,2.947e-12,1.937e-15,2.127e-23,8.281e-2,1.086e+3,5.658e-15,6.568e+1,6.582e+3,2.325e-5
244.86,6.933e+3,2.952e-12,1.938e-15,2.114e-23,3.066e-2,1.417e+3,5.625e-15,5.021e+1,5.466e+3,2.034e-5
244.91,6.224e+3,2.959e-12,1.940e-15,2.097e-23,8.211e-3,1.834e+3,5.585e-15,6.136e+1,4.328e+3,1.597e-5
244.96,5.758e+3,2.966e-12,1.943e-15,2.081e-23,2.022e-3,2.185e+3,5.544e-15,1.055e+2,3.467e+3,1.153e-5
245.01,5.427e+3,2.974e-12,1.945e-15,2.064e-23,4.579e-4,2.395e+3,5.503e-15,1.885e+2,2.844e+3,7.660e-6
245.06,5.146e+3,2.981e-12,1.947e-15,2.048e-23,9.533e-5,2.415e+3,5.463e-15,3.180e+2,2.414e+3,4.681e-6
245.11,4.881e+3,2.988e-12,1.949e-15,2.031e-23,1.825e-5,2.240e+3,5.422e-15,4.969e+2,2.144e+3,2.631e-6
245.16,4.646e+3,2.995e-12,1.951e-15,2.015e-23,3.213e-6,1.912e+3,5.382e-15,7.180e+2,2.015e+3,1.361e-6
245.21,4.479e+3,3.002e-12,1.953e-15,1.998e-23,5.201e-7,1.502e+3,5.341e-15,9.619e+2,2.015e+3,6.473e-7
245.25,4.416e+3,3.008e-12,1.955e-15,1.985e-23,1.141e-7,1.166e+3,5.309e-15,1.156e+3,2.094e+3,3.364e-7
245.30,4.433e+3,3.015e-12,1.957e-15,1.969e-23,1.588e-8,7.885e+2,5.268e-15,1.379e+3,2.266e+3,1.377e-7
245.35,4.542e+3,3.022e-12,1.959e-15,1.952e-23,2.032e-9,4.906e+2,5.227e-15,1.575e+3,2.476e+3,5.186e-8
245.40,4.735e+3,3.029e-12,1.962e-15,1.936e-23,2.391e-10,2.808e+2,5.187e-15,1.769e+3,2.686e+3,1.796e-8
245.45,5.031e+3,3.036e-12,1.964e-15,1.919e-23,2.587e-11,1.479e+2,5.146e-15,2.006e+3,2.877e+3,5.724e-9
245.50,5.484e+3,3.043e-12,1.966e-15,1.903e-23,2.574e-12,7.167e+1,5.106e-15,2.341e+3,3.072e+3,1.678e-9
245.55,6.161e+3,3.050e-12,1.968e-15,1.886e-23,2.355e-13,3.195e+1,5.065e-15,2.799e+3,3.331e+3,4.525e-10
245.60,7.102e+3,3.057e-12,1.970e-15,1.870e-23,2.334e-13,1.311e+1,5.024e-15,3.353e+3,3.737e+3,1.122e-10
245.65,8.284e+3,3.064e-12,1.972e-15,1.853e-23,2.313e-13,4.948e+0,4.984e-15,3.919e+3,4.361e+3,2.561e-11
245.69,9.341e+3,3.070e-12,1.974e-15,1.840e-23,2.296e-13,2.138e+0,4.951e-15,4.303e+3,5.036e+3,7.396e-12
245.74,1.069e+4,3.077e-12,1.976e-15,1.824e-23,2.275e-13,6.946e-1,4.911e-15,4.612e+3,6.076e+3,1.452e-12
245.79,1.196e+4,3.084e-12,1.978e-15,1.807e-23,2.255e-13,2.077e-1,4.870e-15,4.703e+3,7.256e+3,2.623e-13
245.84,1.311e+4,3.091e-12,1.981e-15,1.791e-23,2.234e-13,5.713e-2,4.829e-15,4.643e+3,8.466e+3,4.359e-14
245.89,1.421e+4,3.098e-12,1.983e-15,1.774e-23,2.213e-13,1.446e-2,4.789e-15,4.607e+3,9.604e+3,6.663e-15
245.94,1.542e+4,3.105e-12,1.985e-15,1.758e-23,2.192e-13,3.367e-3,4.748e-15,4.820e+3,1.060e+4,9.370e-16
245.99,1.690e+4,3.112e-12,1.987e-15,1.741e-23,2.171e-13,7.215e-4,4.708e-15,5.480e+3,1.142e+4,1.212e-16
246.04,1.872e+4,3.120e-12,1.989e-15,1.725e-23,2.150e-13,1.423e-4,4.667e-15,6.669e+3,1.205e+4,1.442e-17
246.08,2.034e+4,3.125e-12,1.356e-14,1.712e-23,2.134e-13,3.655e-5,4.635e-15,7.950e+3,1.239e+4,2.474e-18
246.13,2.237e+4,3.132e-12,1.388e-13,1.695e-23,2.113e-13,6.203e-6,4.594e-15,9.756e+3,1.262e+4,2.533e-19
246.18,2.407e+4,3.139e-12,1.309e-12,1.679e-23,2.092e-13,9.687e-7,4.553e-15,1.146e+4,1.261e+4,2.386e-20
246.23,2.509e+4,3.146e-12,1.138e-11,1.662e-23,2.071e-13,1.392e-7,4.513e-15,1.269e+4,1.240e+4,2.380e-20
246.28,2.526e+4,3.154e-12,9.119e-11,1.646e-23,2.050e-13,1.840e-8,4.472e-15,1.320e+4,1.206e+4,2.373e-20
246.33,2.459e+4,3.161e-12,6.734e-10,1.629e-23,2.029e-13,2.238e-9,4.432e-15,1.290e+4,1.169e+4,2.367e-20
246.38,2.326e+4,3.168e-12,4.583e-9,1.613e-23,2.008e-13,2.505e-10,4.391e-15,1.189e+4,1.137e+4,2.361e-20
246.43,2.153e+4,3.175e-12,2.875e-8,1.596e-23,1.988e-13,2.579e-11,4.350e-15,1.041e+4,1.111e+4,2.355e-20
246.47,2.001e+4,3.180e-12,1.178e-7,1.583e-23,1.971e-13,3.942e-12,4.318e-15,9.075e+3,1.094e+4,2.350e-20
246.52,1.811e+4,3.188e-12,6.378e-7,1.567e-23,1.950e-13,3.494e-13,4.277e-15,7.417e+3,1.069e+4,2.343e-20
246.57,1.627e+4,3.195e-12,3.183e-6,1.550e-23,1.929e-13,3.501e-13,4.237e-15,5.943e+3,1.033e+4,2.337e-20
246.62,1.457e+4,3.202e-12,1.464e-5,1.534e-23,1.908e-13,3.509e-13,4.196e-15,4.762e+3,9.805e+3,2.331e-20
246.67,1.304e+4,3.209e-12,6.208e-5,1.517e-23,1.887e-13,3.516e-13,4.155e-15,3.921e+3,9.123e+3,2.325e-20
246.72,1.178e+4,3.216e-12,2.426e-4,1.501e-23,1.866e-13,3.524e-13,4.115e-15,3.423e+3,8.361e+3,2.319e-20
246.77,1.088e+4,3.223e-12,8.735e-4,1.484e-23,1.846e-13,3.531e-13,4.074e-15,3.247e+3,7.636e+3,2.312e-20
246.82,1.044e+4,3.230e-12,2.899e-3,1.468e-23,1.825e-13,3.539e-13,4.034e-15,3.379e+3,7.064e+3,2.306e-20
246.87,1.055e+4,3.237e-12,8.867e-3,1.452e-23,1.804e-13,3.546e-13,3.993e-15,3.838e+3,6.714e+3,2.300e-20
246.91,1.109e+4,3.243e-12,2.045e-2,1.438e-23,1.787e-13,3.552e-13,3.961e-15,4.497e+3,6.594e+3,2.295e-20
246.96,1.239e+4,3.250e-12,5.401e-2,1.422e-23,1.766e-13,3.560e-13,3.920e-15,5.791e+3,6.594e+3,2.289e-20
247.01,1.440e+4,3.257e-12,1.315e-1,1.405e-23,1.745e-13,3.567e-13,3.879e-15,7.728e+3,6.670e+3,2.282e-20
247.06,1.707e+4,3.264e-12,2.949e-1,1.389e-23,1.725e-13,3.575e-13,3.839e-15,1.034e+4,6.726e+3,2.276e-20
247.11,2.019e+4,3.271e-12,6.097e-1,1.372e-23,1.704e-13,3.582e-13,3.798e-15,1.349e+4,6.700e+3,2.270e-20
247.16,2.336e+4,3.278e-12,1.162e+0,1.356e-23,1.683e-13,3.590e-13,3.758e-15,1.679e+4,6.576e+3,2.264e-20
247.21,2.605e+4,3.285e-12,2.040e+0,1.340e-23,1.662e-13,3.597e-13,3.717e-15,1.968e+4,6.370e+3,2.257e-20
247.26,2.770e+4,3.292e-12,3.302e+0,1.323e-23,1.641e-13,3.605e-13,3.676e-15,2.159e+4,6.110e+3,2.251e-20
247.30,2.801e+4,3.298e-12,4.576e+0,1.310e-23,1.624e-13,3.611e-13,3.644e-15,2.213e+4,5.880e+3,2.246e-20
247.35,2.704e+4,3.305e-12,6.394e+0,1.293e-23,1.604e-13,3.618e-13,3.603e-15,2.146e+4,5.573e+3,2.240e-20
247.40,2.475e+4,3.312e-12,8.235e+0,1.277e-23,1.583e-13,3.626e-13,3.563e-15,1.950e+4,5.245e+3,2.234e-20
247.45,2.160e+4,3.319e-12,9.775e+0,1.260e-23,1.562e-13,3.633e-13,3.522e-15,1.669e+4,4.899e+3,2.227e-20
247.50,1.820e+4,3.326e-12,1.069e+1,1.244e-23,1.541e-13,3.641e-13,3.482e-15,1.364e+4,4.549e+3,2.221e-20
247.55,1.515e+4,3.334e-12,1.078e+1,1.228e-23,1.520e-13,3.648e-13,3.441e-15,1.091e+4,4.227e+3,2.215e-20
247.60,1.295e+4,3.341e-12,1.002e+1,1.211e-23,1.499e-13,3.656e-13,3.400e-15,8.954e+3,3.984e+3,2.209e-20
247.65,1.195e+4,3.348e-12,8.578e+0,1.195e-23,1.478e-13,3.663e-13,3.360e-15,8.068e+3,3.872e+3,2.202e-20
247.70,1.234e+4,3.355e-12,6.770e+0,1.178e-23,1.458e-13,3.671e-13,3.319e-15,8.399e+3,3.938e+3,2.196e-20
247.74,1.370e+4,3.360e-12,5.283e+0,1.165e-23,1.441e-13,3.677e-13,3.287e-15,9.554e+3,4.137e+3,2.191e-20
247.79,1.662e+4,3.368e-12,3.600e+0,1.149e-23,1.420e-13,3.684e-13,3.246e-15,1.205e+4,4.566e+3,2.185e-20
247.84,2.082e+4,3.375e-12,2.261e+0,1.132e-23,1.399e-13,3.692e-13,3.205e-15,1.565e+4,5.173e+3,2.179e-20
247.89,2.625e+4,3.382e-12,1.309e+0,1.116e-23,1.378e-13,3.699e-13,3.165e-15,2.034e+4,5.909e+3,2.173e-20
247.94,3.311e+4,3.389e-12,6.981e-1,1.099e-23,1.357e-13,3.707e-13,3.124e-15,2.640e+4,6.715e+3,2.166e-20
247.99,4.191e+4,3.396e-12,3.432e-1,1.083e-23,1.337e-13,3.714e-13,3.084e-15,3.438e+4,7.530e+3,2.160e-20
248.04,5.328e+4,3.403e-12,1.555e-1,1.066e-23,1.316e-13,3.721e-13,3.043e-15,4.500e+4,8.288e+3,2.154e-20
248.09,6.762e+4,3.410e-12,6.495e-2,1.050e-23,1.295e-13,3.729e-13,3.002e-15,5.870e+4,8.922e+3,2.148e-20
248.13,8.098e+4,3.416e-12,3.046e-2,1.037e-23,1.278e-13,3.735e-13,2.970e-15,7.168e+4,9.295e+3,2.143e-20
248.18,9.873e+4,3.423e-12,1.098e-2,1.020e-23,1.257e-13,3.742e-13,2.929e-15,8.919e+4,9.545e+3,2.136e-20
248.23,1.152e+5,3.430e-12,3.649e-3,1.004e-23,1.236e-13,3.750e-13,2.889e-15,1.057e+5,9.516e+3,2.130e-20
248.28,1.274e+5,3.437e-12,1.118e-3,9.871e-24,1.216e-13,3.757e-13,2.848e-15,1.181e+5,9.208e+3,2.124e-20
248.33,1.326e+5,3.444e-12,3.155e-4,9.706e-24,1.195e-13,3.765e-13,2.808e-15,1.239e+5,8.665e+3,2.118e-20
248.38,1.299e+5,3.451e-12,8.206e-5,9.542e-24,1.174e-13,3.772e-13,2.767e-15,1.220e+5,7.977e+3,2.111e-20
248.43,1.208e+5,3.458e-12,1.968e-5,9.377e-24,1.153e-13,3.780e-13,2.726e-15,1.136e+5,7.254e+3,2.105e-20
248.48,1.084e+5,3.465e-12,4.348e-6,9.212e-24,1.132e-13,3.787e-13,2.686e-15,1.018e+5,6.597e+3,2.099e-20
248.52,9.885e+4,3.471e-12,1.225e-6,9.081e-24,1.115e-13,3.793e-13,2.653e-15,9.267e+4,6.173e+3,2.094e-20
248.57,9.029e+4,3.478e-12,2.337e-7,8.916e-24,1.094e-13,3.801e-13,2.613e-15,8.448e+4,5.813e+3,2.088e-20
248.62,8.756e+4,3.485e-12,4.110e-8,8.751e-24,1.074e-13,3.808e-13,2.572e-15,8.188e+4,5.681e+3,2.081e-20
248.67,9.096e+4,3.492e-12,6.660e-9,8.587e-24,1.053e-13,3.816e-13,2.531e-15,8.513e+4,5.822e+3,2.075e-20
248.72,9.906e+4,3.499e-12,9.947e-10,8.422e-24,1.032e-13,3.823e-13,2.491e-15,9.277e+4,6.292e+3,2.069e-20
248.77,1.095e+5,3.506e-12,1.369e-10,8.257e-24,1.011e-13,3.831e-13,2.450e-15,1.024e+5,7.139e+3,2.063e-20
248.82,1.200e+5,3.514e-12,1.737e-11,8.093e-24,9.902e-14,3.838e-13,2.410e-15,1.116e+5,8.390e+3,2.056e-20
248.87,1.285e+5,3.521e-12,2.031e-12,7.928e-24,9.693e-14,3.846e-13,2.369e-15,1.185e+5,1.003e+4,2.050e-20
248.92,1.339e+5,3.528e-12,2.188e-13,7.763e-24,9.484e-14,3.853e-13,2.328e-15,1.219e+5,1.203e+4,2.044e-20
248.96,1.357e+5,3.533e-12,3.472e-14,7.631e-24,9.317e-14,3.859e-13,2.296e-15,1.219e+5,1.386e+4,2.039e-20
249.01,1.345e+5,3.540e-12,3.391e-14,7.467e-24,9.109e-14,3.867e-13,2.255e-15,1.180e+5,1.643e+4,2.033e-20
249.06,1.294e+5,3.548e-12,3.311e-14,7.302e-24,8.900e-14,3.874e-13,2.215e-15,1.100e+5,1.931e+4,2.026e-20
249.11,1.206e+5,3.555e-12,3.230e-14,7.137e-24,8.692e-14,3.882e-13,2.174e-15,9.821e+4,2.243e+4,2.020e-20
249.16,1.089e+5,3.562e-12,3.150e-14,6.973e-24,8.483e-14,3.889e-13,2.134e-15,8.337e+4,2.556e+4,2.014e-20
249.21,9.521e+4,3.569e-12,3.069e-14,6.808e-24,8.274e-14,3.897e-13,2.093e-15,6.694e+4,2.827e+4,2.008e-20
249.26,8.060e+4,3.576e-12,2.989e-14,6.643e-24,8.066e-14,3.904e-13,2.052e-15,5.059e+4,3.001e+4,2.002e-20
249.31,6.617e+4,3.583e-12,2.908e-14,6.479e-24,7.857e-14,3.912e-13,2.012e-15,3.590e+4,3.027e+4,1.995e-20
249.35,5.534e+4,3.589e-12,2.844e-14,6.347e-24,7.690e-14,3.918e-13,1.979e-15,2.610e+4,2.924e+4,1.990e-20
249.40,4.319e+4,3.596e-12,2.763e-14,6.182e-24,7.481e-14,3.925e-13,1.939e-15,1.667e+4,2.652e+4,1.984e-20
249.45,3.294e+4,3.603e-12,2.683e-14,6.018e-24,7.273e-14,3.932e-13,1.898e-15,1.027e+4,2.267e+4,1.978e-20
249.50,2.479e+4,3.610e-12,2.602e-14,5.853e-24,7.064e-14,3.940e-13,1.857e-15,6.351e+3,1.844e+4,1.972e-20
249.55,1.883e+4,3.617e-12,2.522e-14,5.688e-24,6.855e-14,3.947e-13,1.817e-15,4.213e+3,1.462e+4,1.965e-20
249.60,1.497e+4,3.624e-12,2.441e-14,5.524e-24,6.647e-14,3.955e-13,1.776e-15,3.191e+3,1.178e+4,1.959e-20
249.65,1.295e+4,3.631e-12,2.361e-14,5.359e-24,6.438e-14,3.962e-13,1.736e-15,2.800e+3,1.015e+4,1.953e-20
249.70,1.242e+4,3.638e-12,2.280e-14,5.194e-24,6.229e-14,3.970e-13,1.695e-15,2.767e+3,9.655e+3,1.947e-20
249.74,1.276e+4,3.644e-12,2.216e-14,5.062e-24,6.063e-14,3.976e-13,1.663e-15,2.935e+3,9.829e+3,1.942e-20
249.79,1.378e+4,3.651e-12,2.136e-14,4.898e-24,5.854e-14,3.983e-13,1.622e-15,3.405e+3,1.038e+4,1.935e-20
249.84,1.511e+4,3.658e-12,2.055e-14,4.733e-24,5.645e-14,3.991e-13,1.581e-15,4.213e+3,1.089e+4,1.929e-20
249.89,1.643e+4,3.665e-12,1.975e-14,4.568e-24,5.437e-14,3.998e-13,1.541e-15,5.368e+3,1.107e+4,1.923e-20
249.94,1.757e+4,3.672e-12,1.894e-14,4.404e-24,5.228e-14,4.006e-13,1.500e-15,6.771e+3,1.080e+4,1.917e-20
249.99,1.838e+4,3.679e-12,1.814e-14,4.239e-24,5.019e-14,4.013e-13,1.460e-15,8.203e+3,1.017e+4,1.910e-20
250.04,1.878e+4,3.686e-12,1.733e-14,4.074e-24,4.811e-14,4.021e-13,1.419e-15,9.368e+3,9.411e+3,1.904e-20
250.09,1.872e+4,3.694e-12,1.653e-14,3.910e-24,4.602e-14,4.028e-13,1.378e-15,9.986e+3,8.738e+3,1.898e-20
250.14,1.820e+4,3.701e-12,1.572e-14,3.745e-24,4.393e-14,4.036e-13,1.462e-14,9.891e+3,8.308e+3,1.892e-20
250.18,1.746e+4,3.706e-12,1.508e-14,3.613e-24,4.226e-14,4.042e-13,9.136e-14,9.302e+3,8.162e+3,1.887e-20
250.23,1.622e+4,3.713e-12,1.427e-14,3.449e-24,4.018e-14,4.049e-13,8.407e-13,8.064e+3,8.156e+3,1.880e-20
250.28,1.473e+4,3.720e-12,1.347e-14,3.284e-24,3.809e-14,4.217e-12,7.148e-12,6.523e+3,8.205e+3,1.874e-20
250.33,1.313e+4,3.728e-12,1.266e-14,3.119e-24,3.600e-14,4.059e-11,5.616e-11,4.973e+3,8.152e+3,1.868e-20
250.38,1.154e+4,3.735e-12,1.186e-14,2.954e-24,3.392e-14,3.610e-10,4.078e-10,3.649e+3,7.891e+3,1.862e-20
250.43,1.007e+4,3.742e-12,1.105e-14,2.790e-24,3.578e-13,2.967e-9,2.736e-9,2.680e+3,7.394e+3,1.855e-20
250.48,8.800e+3,3.749e-12,1.025e-14,2.625e-24,3.488e-12,2.254e-8,1.696e-8,2.095e+3,6.705e+3,1.849e-20
250.53,7.768e+3,3.756e-12,9.443e-15,2.460e-24,3.157e-11,1.582e-7,9.716e-8,1.860e+3,5.908e+3,1.843e-20
250.57,7.140e+3,3.762e-12,8.799e-15,2.329e-24,1.733e-10,7.107e-7,3.709e-7,1.887e+3,5.253e+3,1.838e-20
250.62,6.632e+3,3.769e-12,7.995e-15,2.164e-24,1.357e-9,4.328e-6,1.843e-6,2.156e+3,4.476e+3,1.832e-20
250.67,6.484e+3,3.776e-12,7.190e-15,1.999e-24,9.824e-9,2.436e-5,8.464e-6,2.682e+3,3.802e+3,1.826e-20
250.72,6.780e+3,3.783e-12,6.385e-15,1.835e-24,6.576e-8,1.267e-4,3.592e-5,3.497e+3,3.283e+3,1.819e-20
250.77,7.623e+3,3.790e-12,5.580e-15,1.670e-24,4.071e-7,6.091e-4,1.408e-4,4.646e+3,2.976e+3,1.813e-20
250.82,9.099e+3,3.797e-12,4.775e-15,1.505e-24,2.330e-6,2.706e-3,5.103e-4,6.155e+3,2.944e+3,1.807e-20
250.87,1.121e+4,3.804e-12,3.970e-15,1.341e-24,1.234e-5,1.111e-2,1.709e-3,7.968e+3,3.242e+3,1.801e-20
250.92,1.381e+4,3.811e-12,3.165e-15,1.176e-24,6.048e-5,4.214e-2,5.286e-3,9.916e+3,3.896e+3,1.794e-20
250.97,1.658e+4,3.818e-12,2.360e-15,1.228e-23,2.743e-4,1.477e-1,1.511e-2,1.171e+4,4.871e+3,1.788e-20
251.01,1.860e+4,3.824e-12,1.717e-15,7.689e-23,8.699e-4,3.807e-1,3.308e-2,1.280e+4,5.808e+3,1.783e-20
251.06,2.048e+4,3.831e-12,9.116e-16,6.985e-22,3.436e-3,1.158e+0,8.205e-2,1.346e+4,7.025e+3,1.777e-20
251.11,2.127e+4,3.838e-12,1.068e-16,5.869e-21,1.257e-2,3.255e+0,1.880e-1,1.318e+4,8.089e+3,1.771e-20
251.16,2.080e+4,3.845e-12,1.146e-15,4.559e-20,4.267e-2,8.456e+0,3.982e-1,1.199e+4,8.798e+3,1.764e-20
251.21,1.917e+4,3.852e-12,1.137e-14,3.276e-19,1.343e-1,2.030e+1,7.792e-1,1.013e+4,9.025e+3,1.758e-20
251.26,1.677e+4,3.859e-12,1.044e-13,2.177e-18,3.928e-1,4.504e+1,1.409e+0,7.972e+3,8.755e+3,1.752e-20
251.31,1.410e+4,3.866e-12,8.859e-13,1.338e-17,1.068e+0,9.234e+1,2.354e+0,5.920e+3,8.082e+3,1.746e-20
251.36,1.166e+4,3.874e-12,6.952e-12,7.607e-17,2.700e+0,1.750e+2,3.635e+0,4.310e+3,7.168e+3,1.739e-20
251.40,1.016e+4,3.879e-12,3.415e-11,2.888e-16,5.391e+0,2.756e+2,4.861e+0,3.493e+3,6.379e+3,1.734e-20
251.45,9.074e+3,3.886e-12,2.327e-10,1.427e-15,1.202e+1,4.531e+2,6.511e+0,3.160e+3,5.442e+3,1.728e-20
251.50,8.985e+3,3.893e-12,1.466e-9,6.522e-15,2.501e+1,6.883e+2,8.059e+0,3.614e+3,4.650e+3,1.722e-20
251.55,9.871e+3,3.901e-12,8.545e-9,2.758e-14,4.865e+1,9.663e+2,9.217e+0,4.795e+3,4.052e+3,1.716e-20
251.60,1.156e+4,3.908e-12,4.604e-8,1.079e-13,8.859e+1,1.254e+3,9.741e+0,6.550e+3,3.661e+3,1.709e-20
251.65,1.376e+4,3.915e-12,2.293e-7,3.906e-13,1.511e+2,1.503e+3,9.513e+0,8.625e+3,3.469e+3,1.703e-20
251.70,1.607e+4,3.922e-12,1.056e-6,1.309e-12,2.415e+2,1.666e+3,8.585e+0,1.070e+4,3.452e+3,1.697e-20
251.75,1.813e+4,3.929e-12,4.500e-6,4.058e-12,3.616e+2,1.707e+3,7.159e+0,1.248e+4,3.575e+3,1.691e-20
251.79,1.944e+4,3.935e-12,1.356e-5,9.492e-12,4.767e+2,1.645e+3,5.848e+0,1.356e+4,3.748e+3,1.686e-20
251.84,2.068e+4,3.942e-12,5.016e-5,2.561e-11,6.346e+2,1.468e+3,4.231e+0,1.455e+4,4.025e+3,1.680e-20
251.89,2.178e+4,3.949e-12,1.716e-4,6.399e-11,7.905e+2,1.223e+3,2.828e+0,1.543e+4,4.340e+3,1.673e-20
251.94,2.335e+4,3.956e-12,5.426e-4,1.480e-10,9.205e+2,9.728e+2,1.747e+0,1.678e+4,4.674e+3,1.667e-20
251.99,2.603e+4,3.963e-12,1.587e-3,3.171e-10,1.001e+3,7.889e+2,9.970e-1,1.922e+4,5.016e+3,1.661e-20
252.04,3.031e+4,3.970e-12,4.291e-3,6.293e-10,1.014e+3,7.468e+2,5.258e-1,2.318e+4,5.374e+3,1.655e-20
252.09,3.626e+4,3.977e-12,1.073e-2,1.157e-9,9.573e+2,9.304e+2,2.563e-1,2.860e+4,5.770e+3,1.648e-20
252.14,4.342e+4,3.984e-12,2.481e-2,1.971e-9,8.408e+2,1.437e+3,1.154e-1,3.489e+4,6.254e+3,1.642e-20
252.19,5.092e+4,3.991e-12,5.304e-2,3.112e-9,6.867e+2,2.368e+3,4.803e-2,4.096e+4,6.909e+3,1.636e-20
252.23,5.650e+4,3.997e-12,9.207e-2,4.247e-9,5.546e+2,3.479e+3,2.250e-2,4.484e+4,7.628e+3,1.631e-20
252.28,6.227e+4,4.004e-12,1.709e-1,5.851e-9,3.995e+2,5.348e+3,8.123e-3,4.766e+4,8.863e+3,1.625e-20
252.33,6.633e+4,4.011e-12,2.935e-1,7.474e-9,2.732e+2,7.679e+3,2.710e-3,4.785e+4,1.053e+4,1.618e-20
252.38,6.880e+4,4.018e-12,4.659e-1,8.855e-9,1.862e+2,1.026e+4,8.353e-4,4.578e+4,1.258e+4,1.612e-20
252.43,7.017e+4,4.025e-12,6.839e-1,9.732e-9,1.425e+2,1.272e+4,2.379e-4,4.247e+4,1.483e+4,1.606e-20
252.48,7.103e+4,4.032e-12,9.282e-1,9.924e-9,1.430e+2,1.466e+4,6.263e-5,3.922e+4,1.700e+4,1.600e-20
252.53,7.179e+4,4.039e-12,1.165e+0,9.389e-9,1.878e+2,1.569e+4,1.523e-5,3.715e+4,1.876e+4,1.593e-20
252.58,7.257e+4,4.046e-12,1.352e+0,8.244e-9,2.782e+2,1.563e+4,3.424e-6,3.681e+4,1.984e+4,1.587e-20
252.62,7.310e+4,4.052e-12,1.439e+0,7.041e-9,3.843e+2,1.484e+4,9.798e-7,3.771e+4,2.017e+4,1.582e-20
252.67,7.340e+4,4.059e-12,1.451e+0,5.405e-9,5.584e+2,1.317e+4,1.910e-7,3.969e+4,1.998e+4,1.576e-20
252.72,7.299e+4,4.066e-12,1.352e+0,3.852e-9,7.726e+2,1.118e+4,3.442e-8,4.169e+4,1.934e+4,1.570e-20
252.77,7.161e+4,4.073e-12,1.165e+0,2.548e-9,1.012e+3,9.383e+3,5.730e-9,4.271e+4,1.850e+4,1.563e-20
252.82,6.914e+4,4.081e-12,9.282e-1,1.564e-9,1.251e+3,8.169e+3,8.815e-10,4.206e+4,1.766e+4,1.557e-20
252.87,6.555e+4,4.088e-12,6.839e-1,8.915e-10,1.456e+3,7.747e+3,1.253e-10,3.951e+4,1.684e+4,1.551e-20
252.92,6.094e+4,4.095e-12,4.659e-1,4.715e-10,1.591e+3,8.093e+3,1.646e-11,3.526e+4,1.599e+4,1.545e-20
252.97,5.552e+4,4.102e-12,2.935e-1,2.314e-10,1.629e+3,8.989e+3,1.998e-12,2.986e+4,1.504e+4,1.538e-20
253.02,4.967e+4,4.109e-12,1.709e-1,1.054e-10,1.559e+3,1.010e+4,2.241e-13,2.399e+4,1.402e+4,1.532e-20
253.06,4.501e+4,4.115e-12,1.049e-1,5.323e-11,1.432e+3,1.092e+4,3.678e-14,1.941e+4,1.326e+4,1.527e-20
253.11,3.969e+4,4.122e-12,5.304e-2,2.118e-11,1.207e+3,1.163e+4,3.593e-14,1.429e+4,1.257e+4,1.521e-20
253.16,3.544e+4,4.129e-12,2.481e-2,7.815e-12,9.462e+2,1.190e+4,3.509e-14,1.021e+4,1.239e+4,1.515e-20
253.21,3.268e+4,4.136e-12,1.073e-2,2.674e-12,6.889e+2,1.177e+4,3.424e-14,7.368e+3,1.286e+4,1.509e-20
253.26,3.160e+4,4.143e-12,4.291e-3,8.484e-13,4.653e+2,1.142e+4,3.339e-14,5.788e+3,1.393e+4,1.502e-20
253.31,3.212e+4,4.150e-12,1.587e-3,2.495e-13,2.914e+2,1.104e+4,3.255e-14,5.381e+3,1.541e+4,1.496e-20
253.36,3.396e+4,4.157e-12,5.426e-4,6.800e-14,1.691e+2,1.076e+4,3.170e-14,5.981e+3,1.705e+4,1.490e-20
253.41,3.670e+4,4.164e-12,1.716e-4,1.717e-14,9.102e+1,1.058e+4,3.085e-14,7.371e+3,1.866e+4,1.484e-20
253.45,3.921e+4,4.170e-12,6.455e-5,5.406e-15,5.275e+1,1.043e+4,3.018e-14,8.879e+3,1.985e+4,1.479e-20
253.50,4.239e+4,4.177e-12,1.772e-5,1.190e-15,2.585e+1,1.010e+4,2.933e-14,1.100e+4,2.125e+4,1.472e-20
253.55,4.524e+4,4.184e-12,4.500e-6,2.425e-16,1.450e+1,9.486e+3,2.848e-14,1.308e+4,2.265e+4,1.466e-20
253.60,4.746e+4,4.191e-12,1.056e-6,4.577e-17,1.439e+1,8.517e+3,2.764e-14,1.479e+4,2.414e+4,1.460e-20
253.65,4.886e+4,4.198e-12,2.293e-7,7.998e-18,2.591e+1,7.246e+3,2.679e-14,1.589e+4,2.570e+4,1.454e-20
253.70,4.936e+4,4.205e-12,4.604e-8,1.294e-18,5.456e+1,5.805e+3,2.594e-14,1.630e+4,2.720e+4,1.447e-20
253.75,4.901e+4,4.212e-12,8.545e-9,1.938e-19,1.111e+2,4.363e+3,2.510e-14,1.612e+4,2.841e+4,1.441e-20
253.80,4.798e+4,4.219e-12,1.466e-9,2.685e-20,2.109e+2,3.069e+3,2.425e-14,1.568e+4,2.902e+4,1.435e-20
253.84,4.686e+4,4.225e-12,3.384e-10,5.226e-21,3.335e+2,2.205e+3,2.357e-14,1.542e+4,2.890e+4,1.430e-20
253.89,4.537e+4,4.232e-12,5.044e-11,6.299e-22,5.514e+2,1.370e+3,2.272e-14,1.556e+4,2.789e+4,1.424e-20
