Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,1.0,0.25,Tb,0.4491417151124962
03124_95_random,0.5,0.0,,0.1876791749923374
03130_95_random,0.5,0.0,,0.280593144995058
03134_95_random,1.0,0.0,,4.999999999999986
070036_95_random,1.0,0.0,,4.999999050000014
070099_95_random,0.18181818181818182,0.0,,0.1400546464779062
070101_95_random,0.4,0.0,,0.231562862101676
070159_95_random,1.0,0.0,,5.0
070171_95_random,0.6,0.0,,0.354341062981054
07103_95_random,0.42857142857142855,0.0,,0.329002296447266
07105_95_random,0.3,0.0,,0.3844261724356028
07106_95_random,0.5555555555555556,0.0,,0.1403220766215166
07107_95_random,0.625,0.0,,0.2092963711157565
07111_95_random,0.6666666666666666,0.0,,1.547837351256138
07121_95_random,1.0,0.0,,1.7099730410422205
07122_95_random,0.5,0.0,,3.78564583660915
07125_95_random,0.6666666666666666,0.0,,0.1193785356736892
07141_95_random,0.3333333333333333,0.0,,1.2129494876126503
07145_95_random,1.0,0.0,,1.5916963105937965
07405_95_random,0.3333333333333333,0.0,,3.5772126050215465
07407_95_random,0.4,0.0,,0.1585816639686327
07840_95_random,0.0,0.001,,
