spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.9877,0.9256,0.0000,0.0000,0.9913,0.0000,0.0000,0.0000,0.9944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03124_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.8308,0.0000,0.9727,0.8715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03130_95_random,0.9836,0.6367,0.0000,0.8736,0.0000,0.0000,0.0000,0.9482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95_random,0.0000,0.0000,0.9759,0.9872,0.0000,0.0351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070036_95_random,0.0000,0.9665,0.0000,0.0000,0.0000,0.0000,0.2244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070099_95_random,0.9785,0.9786,0.9617,0.0000,0.0000,0.0000,0.8164,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.9649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070159_95_random,0.9778,0.8602,0.9694,0.0000,0.9029,0.8025,0.0000,0.8084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.0000,0.9642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8267,0.0000,0.7666,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.9821,0.0000,0.9741,0.0000,0.9973,0.7954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.0000,0.0000,0.0000,0.0000,0.9679,0.8985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.9801,0.5716,0.9142,0.0000,0.9607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.0000,0.0000,0.0000,0.9035,0.0000,0.8214,0.6464,0.7842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8862,0.0000,0.4910,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.9833,0.0000,0.0000,0.0000,0.0000,0.7904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.6391,0.0000,0.9055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9885,0.9539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.0000,0.0000,0.0000,0.8629,0.0000,0.0000,0.0000,0.9390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.0000,0.6700,0.9800,0.9663,0.0000,0.4128,0.0000,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.0000,0.9634,0.0000,0.0000,0.0000,0.0000,0.9135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.9876,0.0000,0.0000,0.0000,0.0000,0.3460,0.0000,0.0000,0.8910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07840_95_random,0.0000,0.0000,0.3485,0.0000,0.8239,0.5843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
