spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9486,0.0000,0.8895,0.0000,0.0000,0.0000,0.0000
03124_95_random,0.9889,0.9088,0.0000,0.0000,0.0000,0.7271,0.9744,0.7277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03130_95_random,0.0000,0.0000,0.0000,0.9744,0.0000,0.6918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95_random,0.0000,0.0000,0.0000,0.0000,0.9938,0.8755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070036_95_random,0.9692,0.0000,0.0000,0.0000,0.0000,0.7838,0.5033,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070099_95_random,0.9416,0.9665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.9925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000
070159_95_random,0.9584,0.7356,0.0000,0.9097,0.9517,0.0000,0.0000,0.9065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.9649,0.0000,0.9437,0.0292,0.8822,0.7794,0.0000,0.0654,0.3187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.9788,0.0000,0.8519,0.0000,0.9896,0.6056,0.0000,0.0000,0.1667,0.0000,0.9771,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.0000,0.9609,0.8143,0.0000,0.0000,0.0000,0.0000,0.7318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.9522,0.0000,0.0000,0.0000,0.9177,0.9353,0.0000,0.9391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7883,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.0000,0.9333,0.0000,0.0000,0.0000,0.6849,0.0000,0.9260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.9868,0.9922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.8714,0.0000,0.0000,0.8963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.0000,0.9734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.9251,0.9132,0.9837,0.6515,0.8822,0.0000,0.0000,0.7841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.0000,0.9694,0.8283,0.9549,0.0000,0.5940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.8231,0.0000,0.0000,0.0000,0.8853,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.9792,0.0000,0.0000,0.0000,0.7632,0.3676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07840_95_random,0.0000,0.9301,0.1404,0.0000,0.0000,0.7124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
