spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0,0,0,0,0.9786,0,0,0,0,0,0.0868,0,0,0,0,8274.0774
03124_95_random,0.9928,0,0,0.3912,0.9361,0,0.4826,0.7198,0,0,0.4725,0,0,0,0,9893.8762
03130_95_random,0,0,0.8776,0,0.8873,0,0,0,0,0,0,0,0,0,0,12758.645
03134_95_random,0,0,0,0,0,0,0,0.9638,0,0.9763,0,0,0,0,0,12224.8752
070036_95_random,0.9524,0.7625,0,0,0,0,0,0.2944,0,0,0,0,0,0,0,13088.0494
070099_95_random,0.9835,0,0,0,0,0,0.4588,0,0,0,0,0,0,0,0,12634.8332
070101_95_random,0,0.9075,0,0,0,0.8573,0,0.424,0,0,0,0,0,0,0,8971.1487
070159_95_random,0.9996,0.9676,0,0.6452,0.7647,0,0,0.5592,0,0,0,0,0,0,0,11258.0067
070171_95_random,0,0,0,0,0,0,0.2439,0,0.712,0,0.7424,0,0,0,0,12412.8839
07103_95_random,0,0.8883,0.9517,0,0.9487,0.893,0.0071,0,0.6533,0,0,0,0,0,0,8522.0002
07105_95_random,0,0,0,0,0,0,0,0.9099,0,0,0,0,0,0,0,8145.8853
07106_95_random,0.9823,0.9547,0.9552,0,0,0.967,0,0,0.7143,0,0,0,0,0,0,9881.6694
07107_95_random,0,0,0,0,0,0,0.8561,0.6889,0,0,0,0,0,0,0,12249.0958
07111_95_random,0.9608,0.9535,0.91,0,0.8514,0.8216,0,0.5679,0,0,0,0,0,0,0,12040.8358
07121_95_random,0,0,0,0,0.9314,0.9839,0.3843,0.6298,0,0,0.0188,0,0,0,0,10366.1793
07122_95_random,0.9533,0,0.9298,0,0.8701,0.6961,0,0.0013,0,0,0,0,0,0,0,13054.6736
07125_95_random,0,0.9392,0,0,0.8899,0,0,0,0.7884,0,0,0,0,0,0,9906.252
07141_95_random,0,0,0,0,0,0,0,0.9066,0,0,0.0004,0,0,0,0,11268.1416
07145_95_random,0.9869,0.9684,0.989,0,0.9366,0.9792,0,0.4681,0,0,0,0,0,0,0,11078.1648
07405_95_random,0,0,0,0,0,0.9885,0,0,0,0,0,0,0,0,0,10037.7604
07407_95_random,0.9851,0.9447,0,0,0.8177,0,0,0.8779,0,0,0,0,0,0,0,11887.5425
07840_95_random,0.9449,0,0,0.1101,0,0,0,0,0,0,0,0,0,0,0,8554.2463
