wavelength,intensity
198.28,4.039e-39
198.3,1.841e-31
198.32,9.625e-31
198.33,2.086e-30
198.35,9.669e-30
198.37,5.337999999999999e-29
198.38,1.137e-28
198.4,5.094e-28
198.41,1.071e-27
198.43,4.673e-27
198.45,2.0040000000000002e-26
198.46,4.122e-26
198.48,1.7220000000000002e-25
198.5,7.066e-25
198.51,1.422e-24
198.53,5.687e-24
198.55,2.2349999999999998e-23
198.56,4.4019999999999997e-23
198.58,1.685e-22
198.6,6.341e-22
198.61,1.222e-21
198.63,4.481e-21
198.65,1.615e-20
198.66,3.045e-20
198.68,1.069e-19
198.7,3.69e-19
198.71,6.81e-19
198.73,2.29e-18
198.75,7.569e-18
198.76,1.367e-17
198.78,4.404e-17
198.79,7.853e-17
198.81,2.465e-16
198.83,7.604e-16
198.84,1.327e-15
198.86,3.99e-15
198.88,1.179e-14
198.89,2.014e-14
198.91,5.799e-14
198.93,1.642e-13
198.94,2.744e-13
198.96,7.569e-13
198.98,2.052e-12
198.99,3.357e-12
199.01,8.87e-12
199.03,2.303e-11
199.04,3.688e-11
199.06,9.331e-11
199.08,2.32e-10
199.09,3.636e-10
199.11,8.81e-10
199.12,1.363e-09
199.14,3.217e-09
199.16,7.464e-09
199.17,1.13e-08
199.19,2.554e-08
199.21,5.673e-08
199.22,8.401e-08
199.24,1.818e-07
199.26,3.867e-07
199.27,5.603e-07
199.29,1.161e-06
199.31,2.363e-06
199.32,3.35e-06
199.34,6.643e-06
199.36,1.294e-05
199.37,1.795e-05
199.39,3.407e-05
199.41,6.353e-05
199.42,8.618e-05
199.44,0.0001565
199.46,0.0002793
199.47,0.0003706
199.49,0.000644
199.5,0.0008433
199.52,0.001427
199.54,0.002372
199.55,0.003038
199.57,0.004919
199.59,0.007822
199.6,0.009799
199.62,0.01517
199.64,0.02308
199.65,0.02828
199.67,0.04188
199.69,0.06093
199.7,0.073
199.72,0.1034
199.74,0.1439
199.75,0.1686
199.77,0.2283
199.79,0.3038
199.8,0.3481
199.82,0.4509
199.84,0.5737
199.85,0.6428
199.87,0.7961
199.88,0.8801
199.9,1.061
199.92,1.257
199.93,1.358
199.95,1.566
199.97,1.773
199.98,1.874
200.0,2.066
200.02,2.237
200.03,2.312
200.05,2.437
200.07,2.523
200.08,2.55
200.1,2.57
200.12,2.545
200.13,2.515
200.15,2.425
200.17,2.298
200.18,2.222
200.2,2.052
200.22,1.862
200.23,1.763
200.25,1.561
200.26,1.461
200.28,1.264
200.3,1.079
200.31,0.992
200.33,0.8321
200.35,0.6924
200.36,0.6305
200.38,0.523
200.4,0.4368
200.41,0.4013
200.43,0.3449
200.45,0.3067
200.46,0.2941
200.48,0.2807
200.5,0.2823
200.51,0.2884
200.53,0.3109
