Wavelength (nm),Sum(calc),Fe I (1.4e-1),Fe II (7.6e-1),Fe III (1.0e-4),Ni I (2.4e-2),Ni II (7.6e-2),Ni III (2.5e-6)
199.39,4.104e-21,,,4.104e-21,,,
199.42,4.965e-14,,4.965e-14,1.457e-19,,,
199.44,5.692e-13,,5.692e-13,1.425e-18,,,
199.47,1.901e-11,,1.901e-11,3.748e-17,,,
199.49,1.784e-10,,1.784e-10,3.000e-16,,,
199.52,4.416e-9,,4.416e-9,5.846e-15,,,
199.54,3.394e-8,,3.394e-8,3.831e-14,,,
199.57,6.223e-7,,6.223e-7,5.531e-13,,,
199.59,3.916e-6,,3.916e-6,2.968e-12,,,
199.62,5.320e-5,,5.320e-5,3.175e-11,,,
199.64,2.741e-4,,2.741e-4,1.395e-10,,,
199.67,2.759e-3,,2.759e-3,1.105e-9,,,
199.69,1.164e-2,,1.164e-2,3.977e-9,,,
199.72,8.678e-2,,8.678e-2,2.336e-8,,,
199.74,2.998e-1,,2.998e-1,6.886e-8,,,
199.77,1.656e+0,,1.656e+0,3.003e-7,,,
199.79,4.684e+0,,4.684e+0,7.263e-7,,,
199.82,1.918e+1,,1.918e+1,2.361e-6,,,
199.84,4.440e+1,,4.440e+1,4.711e-6,,,
199.87,1.347e+2,,1.347e+2,1.158e-5,,,
199.89,2.554e+2,,2.554e+2,1.936e-5,,,
199.92,5.738e+2,,5.738e+2,3.747e-5,,,
199.94,8.909e+2,,8.909e+2,5.477e-5,,,
199.97,1.483e+3,,1.483e+3,9.085e-5,,,
199.99,1.885e+3,,1.885e+3,1.237e-4,,,
200.01,2.212e+3,,2.212e+3,1.654e-4,,,
200.04,2.421e+3,,2.421e+3,2.445e-4,,,
200.06,2.326e+3,,2.326e+3,3.041e-4,,,
200.09,1.885e+3,,1.885e+3,3.869e-4,1.679e-14,,
200.11,1.483e+3,,1.483e+3,4.251e-4,1.821e-13,,
200.14,8.909e+2,,8.909e+2,4.431e-4,5.599e-12,,
200.16,5.738e+2,,5.738e+2,4.327e-4,4.976e-11,,
200.19,2.554e+2,,2.554e+2,4.133e-4,1.136e-9,,
200.21,1.347e+2,,1.347e+2,4.246e-4,8.279e-9,,
200.24,4.440e+1,,4.440e+1,5.192e-4,1.403e-7,,
200.26,1.918e+1,,1.918e+1,6.425e-4,8.383e-7,,
200.29,4.685e+0,,4.684e+0,8.888e-4,1.055e-5,,
200.31,1.657e+0,,1.656e+0,1.053e-3,5.166e-5,,
200.34,3.020e-1,,3.003e-1,1.218e-3,4.826e-4,,
200.36,9.223e-2,,8.905e-2,1.245e-3,1.938e-3,,
200.39,4.192e-2,,2.731e-2,1.171e-3,1.344e-2,,
200.41,9.969e-2,,5.437e-2,1.081e-3,4.424e-2,,
200.44,4.946e-1,,2.659e-1,9.628e-4,2.277e-1,,
200.46,1.333e+0,,7.171e-1,9.190e-4,6.148e-1,,
200.49,5.090e+0,,2.740e+0,8.991e-4,2.349e+0,,
200.51,1.126e+1,,6.064e+0,8.932e-4,5.199e+0,,
200.54,3.195e+1,,1.720e+1,8.582e-4,1.475e+1,,
200.56,5.798e+1,,3.122e+1,8.096e-4,2.676e+1,,
200.59,1.221e+2,,6.574e+1,7.109e-4,5.636e+1,,
200.61,1.817e+2,,9.780e+1,6.435e-4,8.385e+1,,
200.64,2.840e+2,,1.529e+2,5.713e-4,1.311e+2,,
200.66,3.464e+2,,1.865e+2,5.612e-4,1.599e+2,,
200.69,4.020e+2,,2.164e+2,6.308e-4,1.856e+2,,
200.71,4.020e+2,,2.164e+2,7.395e-4,1.856e+2,,
200.74,3.464e+2,,1.865e+2,9.718e-4,1.599e+2,,
200.76,2.841e+2,,1.530e+2,1.137e-3,1.311e+2,,
200.79,1.823e+2,,9.847e+1,1.317e-3,8.385e+1,,
200.81,1.241e+2,,6.770e+1,1.353e-3,5.636e+1,,
200.83,8.108e+1,,4.609e+1,1.306e-3,3.499e+1,,
200.86,5.201e+1,,3.726e+1,1.099e-3,1.475e+1,,
200.88,6.052e+1,,5.301e+1,9.042e-4,7.508e+0,,
200.91,1.301e+2,,1.278e+2,5.982e-4,2.349e+0,,
200.93,2.285e+2,,2.276e+2,4.198e-4,9.804e-1,,
200.96,4.760e+2,,4.758e+2,2.225e-4,2.277e-1,,
200.98,7.065e+2,,7.065e+2,1.409e-4,7.793e-2,,
201.01,1.103e+3,,1.103e+3,8.221e-5,1.350e-2,,
201.03,1.344e+3,,1.344e+3,7.558e-5,4.055e-3,,
201.06,1.559e+3,,1.559e+3,9.871e-5,3.108e-3,,
201.08,1.559e+3,,1.559e+3,1.284e-4,1.055e-2,,
201.11,1.344e+3,,1.344e+3,1.819e-4,7.139e-2,,
201.13,1.103e+3,,1.103e+3,2.164e-4,2.330e-1,,
201.16,7.075e+2,,7.064e+2,2.565e-4,1.186e+0,,
201.18,4.787e+2,,4.755e+2,2.722e-4,3.177e+0,,
201.21,2.384e+2,,2.264e+2,2.777e-4,1.203e+1,,
201.23,1.516e+2,,1.251e+2,2.702e-4,2.646e+1,,
201.26,1.190e+2,,4.449e+1,2.437e-4,7.451e+1,,
201.28,1.554e+2,,2.079e+1,2.174e-4,1.346e+2,,
201.31,2.906e+2,,8.588e+0,1.700e-4,2.820e+2,,
201.33,4.285e+2,,1.016e+1,1.384e-4,4.184e+2,,
201.36,6.799e+2,,2.792e+1,1.014e-4,6.520e+2,,
201.38,8.501e+2,,5.607e+1,8.827e-5,7.941e+2,,
201.41,1.060e+3,,1.398e+2,8.769e-5,9.206e+2,,
201.43,1.154e+3,,2.333e+2,9.714e-5,9.206e+2,,
201.46,1.228e+3,,4.338e+2,1.162e-4,7.941e+2,,
201.48,1.246e+3,,5.945e+2,1.258e-4,6.520e+2,,
201.51,1.241e+3,,8.228e+2,1.281e-4,4.184e+2,,
201.53,1.208e+3,,9.260e+2,1.210e-4,2.820e+2,,
201.56,1.088e+3,,9.538e+2,1.030e-4,1.346e+2,,
201.58,9.563e+2,,8.817e+2,9.114e-5,7.451e+1,,
201.6,7.919e+2,,7.537e+2,8.270e-5,3.811e+1,,
201.63,5.284e+2,,5.164e+2,7.894e-5,1.203e+1,,
201.65,3.738e+2,,3.688e+2,8.121e-5,5.050e+0,,
201.68,2.153e+2,,2.141e+2,8.672e-5,1.186e+0,,
201.7,1.724e+2,,1.720e+2,8.890e-5,4.088e-1,,
201.73,2.165e+2,,2.164e+2,8.778e-5,7.138e-2,,
201.75,3.250e+2,,3.250e+2,8.471e-5,2.021e-2,,
201.78,6.082e+2,,6.082e+2,7.934e-5,2.626e-3,,
201.8,8.607e+2,,8.607e+2,7.643e-5,6.103e-4,,
201.83,1.261e+3,,1.261e+3,7.270e-5,5.899e-5,,
201.85,1.479e+3,,1.479e+3,6.926e-5,1.126e-5,,
201.88,1.630e+3,,1.630e+3,6.032e-5,8.094e-7,,
201.9,1.591e+3,,1.591e+3,5.158e-5,1.268e-7,,
201.93,1.376e+3,,1.376e+3,3.617e-5,6.785e-9,,
201.95,1.198e+3,,1.198e+3,2.615e-5,8.733e-10,,
201.98,1.004e+3,,1.004e+3,1.406e-5,4.792e-11,,
202,9.622e+2,,9.622e+2,8.600e-6,1.163e-10,,
202.03,1.013e+3,,1.013e+3,4.085e-6,2.430e-9,,
202.05,1.073e+3,,1.073e+3,3.048e-6,1.708e-8,,
202.08,1.100e+3,,1.100e+3,3.672e-6,2.751e-7,,
202.1,1.041e+3,,1.041e+3,5.257e-6,1.591e-6,,
202.13,8.399e+2,,8.399e+2,9.165e-6,1.912e-5,,
202.15,6.624e+2,,6.624e+2,1.279e-5,9.102e-5,,
202.18,4.014e+2,,4.014e+2,2.007e-5,8.165e-4,,
202.2,2.608e+2,,2.608e+2,2.652e-5,3.198e-3,,
202.23,1.179e+2,,1.179e+2,3.914e-5,2.141e-2,,
202.25,6.307e+1,,6.300e+1,4.925e-5,6.902e-2,,
202.28,2.158e+1,,2.124e+1,6.462e-5,3.451e-1,,
202.3,1.024e+1,,9.327e+0,7.265e-5,9.155e-1,,
202.33,5.764e+0,,2.344e+0,7.747e-5,3.420e+0,,
202.35,8.322e+0,,8.462e-1,7.520e-5,7.476e+0,,
202.38,2.108e+1,,1.585e-1,6.696e-5,2.092e+1,,
202.4,3.783e+1,,4.704e-2,6.275e-5,3.778e+1,,
202.42,6.336e+1,,1.291e-2,6.406e-5,6.335e+1,,
202.45,1.202e+2,,1.602e-3,8.380e-5,1.202e+2,,
202.47,1.691e+2,,3.615e-4,1.112e-4,1.691e+2,,
202.5,2.519e+2,,3.345e-5,1.705e-4,2.519e+2,,
202.52,3.079e+2,,6.203e-6,2.150e-4,3.079e+2,,
202.55,3.862e+2,,4.278e-7,2.714e-4,3.862e+2,,
202.57,4.330e+2,,6.523e-8,2.914e-4,4.330e+2,,
202.6,4.913e+2,,3.353e-9,2.844e-4,4.913e+2,,
202.62,5.166e+2,,4.203e-10,2.562e-4,5.166e+2,,
202.65,5.193e+2,,1.919e-11,1.918e-4,5.193e+2,,
202.67,4.905e+2,,3.082e-11,1.445e-4,4.905e+2,,
202.7,4.027e+2,,7.333e-10,8.263e-5,4.027e+2,,
202.72,3.251e+2,,5.712e-9,5.211e-5,3.251e+2,,
202.75,2.062e+2,,1.074e-7,2.337e-5,2.062e+2,,
202.77,1.388e+2,,6.896e-7,1.355e-5,1.388e+2,,
202.8,6.652e+1,,9.698e-6,8.499e-6,6.652e+1,,
202.82,3.701e+1,,5.129e-5,9.632e-6,3.701e+1,,
202.85,1.329e+1,,5.395e-4,1.593e-5,1.329e+1,,
202.87,6.096e+0,,2.351e-3,2.216e-5,6.094e+0,,
202.9,1.654e+0,,1.849e-2,3.229e-5,1.635e+0,,
202.92,6.839e-1,,6.639e-2,3.791e-5,6.174e-1,,
202.95,5.144e-1,,3.906e-1,4.212e-5,1.238e-1,,
202.97,1.194e+0,,1.155e+0,4.143e-5,3.846e-2,,
203,5.090e+0,,5.084e+0,3.593e-5,5.757e-3,,
203.02,1.239e+1,,1.239e+1,3.057e-5,1.472e-3,,
203.05,4.078e+1,,4.078e+1,2.231e-5,1.646e-4,,
203.07,8.189e+1,,8.189e+1,1.752e-5,3.464e-5,,
203.1,2.015e+2,,2.015e+2,1.184e-5,2.891e-6,,
203.12,3.334e+2,,3.334e+2,8.937e-6,5.008e-7,,
203.15,6.137e+2,,6.137e+2,5.581e-6,3.120e-8,,
203.17,8.366e+2,,8.366e+2,3.946e-6,4.448e-9,,
203.2,1.152e+3,,1.152e+3,2.530e-6,2.069e-10,,
203.22,1.294e+3,,1.294e+3,2.544e-6,2.428e-11,,
203.24,1.345e+3,,1.345e+3,3.781e-6,2.636e-12,,
203.27,1.232e+3,,1.232e+3,9.647e-6,8.145e-14,,
203.29,1.056e+3,,1.056e+3,1.805e-5,8.020e-14,,
203.32,7.236e+2,,7.236e+2,4.149e-5,7.833e-14,,
203.34,5.107e+2,,5.107e+2,6.661e-5,7.708e-14,,
203.37,2.624e+2,,2.624e+2,1.199e-4,7.520e-14,,
203.39,1.539e+2,,1.539e+2,1.640e-4,7.395e-14,,
203.42,6.501e+1,,6.501e+1,2.350e-4,7.208e-14,,
203.44,4.293e+1,,4.293e+1,2.794e-4,7.083e-14,,
203.47,5.171e+1,,5.171e+1,3.327e-4,6.895e-14,,
203.49,8.417e+1,,8.417e+1,3.571e-4,6.770e-14,,
203.52,1.776e+2,,1.776e+2,3.786e-4,6.583e-14,,
203.54,2.707e+2,,2.707e+2,3.858e-4,6.458e-14,,
203.57,4.424e+2,,4.424e+2,3.923e-4,6.270e-14,,
203.59,5.576e+2,,5.576e+2,3.971e-4,6.145e-14,,
203.62,6.828e+2,,6.828e+2,4.106e-4,5.958e-14,,
203.64,7.096e+2,,7.096e+2,4.252e-4,5.833e-14,,
203.67,6.506e+2,,6.506e+2,4.528e-4,5.645e-14,,
203.69,5.576e+2,,5.576e+2,4.698e-4,5.520e-14,,
203.72,3.828e+2,,3.828e+2,4.826e-4,5.332e-14,,
203.74,2.706e+2,,2.706e+2,4.788e-4,5.207e-14,,
203.77,1.395e+2,,1.395e+2,4.562e-4,5.020e-14,,
203.79,8.237e+1,,8.237e+1,4.350e-4,4.895e-14,,
203.82,3.743e+1,,3.743e+1,4.046e-4,4.707e-14,,
203.84,3.071e+1,,3.071e+1,3.899e-4,4.582e-14,,
203.87,5.864e+1,,5.864e+1,3.792e-4,4.395e-14,,
203.89,1.144e+2,,1.144e+2,3.788e-4,4.270e-14,,
203.92,2.921e+2,,2.921e+2,3.857e-4,4.082e-14,,
203.94,4.997e+2,,4.997e+2,3.939e-4,3.957e-14,,
203.97,9.693e+2,,9.693e+2,4.096e-4,3.770e-14,,
203.99,1.370e+3,,1.370e+3,4.201e-4,3.645e-14,,
204.02,1.992e+3,,1.992e+3,4.272e-4,3.457e-14,,
204.04,2.323e+3,,2.323e+3,4.194e-4,3.332e-14,,
204.06,2.509e+3,,2.509e+3,3.969e-4,3.207e-14,,
204.09,2.437e+3,,2.437e+3,3.344e-4,3.020e-14,,
204.11,2.172e+3,,2.172e+3,2.783e-4,2.895e-14,,
204.14,1.582e+3,,1.582e+3,1.882e-4,9.248e-13,,
204.16,1.163e+3,,1.163e+3,1.342e-4,8.463e-12,,
204.19,6.352e+2,,6.352e+2,7.343e-5,2.031e-10,,
204.21,3.855e+2,,3.855e+2,4.917e-5,1.536e-9,,
204.24,1.578e+2,,1.578e+2,3.739e-5,2.767e-8,,
204.26,7.901e+1,,7.901e+1,4.592e-5,1.729e-7,,
204.29,2.424e+1,,2.424e+1,8.540e-5,2.340e-6,,
204.31,1.002e+1,,1.002e+1,1.316e-4,1.208e-5,,
204.34,2.305e+0,,2.305e+0,2.323e-4,1.228e-4,,
204.36,7.868e-1,,7.859e-1,3.176e-4,5.237e-4,,
204.39,1.400e-1,,1.355e-1,4.591e-4,3.998e-3,,
204.41,5.278e-2,,3.814e-2,5.498e-4,1.409e-2,,
204.44,8.636e-2,,4.930e-3,6.559e-4,8.078e-2,,
204.46,2.371e-1,,1.145e-3,6.943e-4,2.352e-1,,
204.49,1.014e+0,,1.109e-4,6.920e-4,1.013e+0,,
204.51,2.438e+0,,2.126e-5,6.514e-4,2.437e+0,,
204.54,7.882e+0,,1.545e-6,5.460e-4,7.882e+0,,
204.56,1.567e+1,,2.457e-7,4.590e-4,1.567e+1,,
204.59,3.806e+1,,4.159e-8,3.259e-4,3.806e+1,,
204.61,6.251e+1,,1.912e-7,2.461e-4,6.251e+1,,
204.64,1.140e+2,,2.848e-6,1.499e-4,1.140e+2,,
204.66,1.548e+2,,1.577e-5,1.030e-4,1.548e+2,,
204.69,2.120e+2,,1.782e-4,5.594e-5,2.120e+2,,
204.71,2.378e+2,,8.157e-4,3.724e-5,2.378e+2,,
