Wavelength (nm),Sum(calc),Fe I (1.1e-1),Fe II (5.9e-1),Fe III (7.9e-5),Ni I (7.3e-2),Ni II (2.3e-1),Ni III (7.6e-6)
199.39,3.192e-21,,,3.192e-21,,,
199.42,3.862e-14,,3.862e-14,1.134e-19,,,
199.44,4.427e-13,,4.427e-13,1.108e-18,,,
199.47,1.479e-11,,1.479e-11,2.915e-17,,,
199.49,1.388e-10,,1.388e-10,2.333e-16,,,
199.52,3.435e-9,,3.435e-9,4.547e-15,,,
199.54,2.640e-8,,2.640e-8,2.980e-14,,,
199.57,4.840e-7,,4.840e-7,4.302e-13,,,
199.59,3.045e-6,,3.045e-6,2.308e-12,,,
199.62,4.137e-5,,4.137e-5,2.469e-11,,,
199.64,2.132e-4,,2.132e-4,1.085e-10,,,
199.67,2.146e-3,,2.146e-3,8.597e-10,,,
199.69,9.051e-3,,9.051e-3,3.093e-9,,,
199.72,6.750e-2,,6.750e-2,1.817e-8,,,
199.74,2.331e-1,,2.331e-1,5.356e-8,,,
199.77,1.288e+0,,1.288e+0,2.336e-7,,,
199.79,3.643e+0,,3.643e+0,5.649e-7,,,
199.82,1.491e+1,,1.491e+1,1.836e-6,,,
199.84,3.454e+1,,3.454e+1,3.664e-6,,,
199.87,1.048e+2,,1.048e+2,9.005e-6,,,
199.89,1.986e+2,,1.986e+2,1.506e-5,,,
199.92,4.463e+2,,4.463e+2,2.914e-5,,,
199.94,6.929e+2,,6.929e+2,4.260e-5,,,
199.97,1.154e+3,,1.154e+3,7.066e-5,,,
199.99,1.466e+3,,1.466e+3,9.622e-5,,,
200.01,1.721e+3,,1.721e+3,1.286e-4,,,
200.04,1.883e+3,,1.883e+3,1.902e-4,,,
200.06,1.809e+3,,1.809e+3,2.365e-4,,,
200.09,1.466e+3,,1.466e+3,3.009e-4,5.038e-14,,
200.11,1.154e+3,,1.154e+3,3.306e-4,5.462e-13,,
200.14,6.929e+2,,6.929e+2,3.447e-4,1.680e-11,,
200.16,4.463e+2,,4.463e+2,3.365e-4,1.493e-10,,
200.19,1.986e+2,,1.986e+2,3.215e-4,3.408e-9,,
200.21,1.048e+2,,1.048e+2,3.302e-4,2.484e-8,,
200.24,3.454e+1,,3.454e+1,4.038e-4,4.209e-7,,
200.26,1.491e+1,,1.491e+1,4.998e-4,2.515e-6,,
200.29,3.644e+0,,3.643e+0,6.913e-4,3.164e-5,,
200.31,1.289e+0,,1.288e+0,8.190e-4,1.550e-4,,
200.34,2.360e-1,,2.336e-1,9.477e-4,1.448e-3,,
200.36,7.604e-2,,6.926e-2,9.687e-4,5.814e-3,,
200.39,6.246e-2,,2.124e-2,9.106e-4,4.031e-2,,
200.41,1.759e-1,,4.229e-2,8.411e-4,1.327e-1,,
200.44,8.908e-1,,2.068e-1,7.489e-4,6.832e-1,,
