Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
199.39,4.332e-21,,,4.332e-21,,,
199.42,5.241e-14,,5.241e-14,1.538e-19,,,
199.44,6.008e-13,,6.008e-13,1.504e-18,,,
199.47,2.007e-11,,2.007e-11,3.956e-17,,,
199.49,1.884e-10,,1.884e-10,3.166e-16,,,
199.52,4.662e-9,,4.662e-9,6.171e-15,,,
199.54,3.582e-8,,3.582e-8,4.044e-14,,,
199.57,6.569e-7,,6.569e-7,5.839e-13,,,
199.59,4.133e-6,,4.133e-6,3.133e-12,,,
199.62,5.615e-5,,5.615e-5,3.351e-11,,,
199.64,2.893e-4,,2.893e-4,1.472e-10,,,
199.67,2.912e-3,,2.912e-3,1.167e-9,,,
199.69,1.228e-2,,1.228e-2,4.198e-9,,,
199.72,9.161e-2,,9.161e-2,2.466e-8,,,
199.74,3.164e-1,,3.164e-1,7.269e-8,,,
199.77,1.748e+0,,1.748e+0,3.170e-7,,,
199.79,4.944e+0,,4.944e+0,7.666e-7,,,
199.82,2.024e+1,,2.024e+1,2.492e-6,,,
199.84,4.687e+1,,4.687e+1,4.972e-6,,,
199.87,1.422e+2,,1.422e+2,1.222e-5,,,
199.89,2.695e+2,,2.695e+2,2.044e-5,,,
199.92,6.057e+2,,6.057e+2,3.955e-5,,,
199.94,9.404e+2,,9.404e+2,5.781e-5,,,
199.97,1.566e+3,,1.566e+3,9.589e-5,,,
199.99,1.990e+3,,1.990e+3,1.306e-4,,,
200.01,2.335e+3,,2.335e+3,1.745e-4,,,
200.04,2.555e+3,,2.555e+3,2.581e-4,,,
200.06,2.455e+3,,2.455e+3,3.210e-4,,,
200.09,1.990e+3,,1.990e+3,4.084e-4,8.397e-15,,
200.11,1.566e+3,,1.566e+3,4.487e-4,9.103e-14,,
200.14,9.404e+2,,9.404e+2,4.677e-4,2.800e-12,,
200.16,6.057e+2,,6.057e+2,4.567e-4,2.488e-11,,
200.19,2.695e+2,,2.695e+2,4.363e-4,5.681e-10,,
200.21,1.422e+2,,1.422e+2,4.482e-4,4.139e-9,,
200.24,4.687e+1,,4.687e+1,5.480e-4,7.016e-8,,
200.26,2.024e+1,,2.024e+1,6.782e-4,4.191e-7,,
200.29,4.945e+0,,4.944e+0,9.382e-4,5.274e-6,,
200.31,1.749e+0,,1.748e+0,1.111e-3,2.583e-5,,
200.34,3.185e-1,,3.170e-1,1.286e-3,2.413e-4,,
200.36,9.628e-2,,9.399e-2,1.315e-3,9.689e-4,,
200.39,3.678e-2,,2.883e-2,1.236e-3,6.719e-3,,
200.41,8.065e-2,,5.739e-2,1.142e-3,2.212e-2,,
200.44,3.956e-1,,2.807e-1,1.016e-3,1.139e-1,,
200.46,1.065e+0,,7.570e-1,9.701e-4,3.074e-1,,
200.49,4.068e+0,,2.892e+0,9.490e-4,1.175e+0,,
200.51,9.002e+0,,6.401e+0,9.428e-4,2.600e+0,,
200.54,2.553e+1,,1.816e+1,9.058e-4,7.375e+0,,
200.56,4.633e+1,,3.295e+1,8.545e-4,1.338e+1,,
200.59,9.757e+1,,6.939e+1,7.504e-4,2.818e+1,,
200.61,1.452e+2,,1.032e+2,6.793e-4,4.193e+1,,
200.64,2.269e+2,,1.614e+2,6.030e-4,6.555e+1,,
200.66,2.768e+2,,1.968e+2,5.924e-4,7.995e+1,,
200.69,3.213e+2,,2.285e+2,6.658e-4,9.279e+1,,
200.71,3.213e+2,,2.285e+2,7.806e-4,9.279e+1,,
200.74,2.768e+2,,1.969e+2,1.026e-3,7.995e+1,,
200.76,2.271e+2,,1.615e+2,1.200e-3,6.555e+1,,
200.79,1.459e+2,,1.039e+2,1.390e-3,4.193e+1,,
200.81,9.964e+1,,7.146e+1,1.428e-3,2.818e+1,,
200.83,6.615e+1,,4.865e+1,1.378e-3,1.750e+1,,
200.86,4.670e+1,,3.933e+1,1.160e-3,7.375e+0,,
200.88,5.971e+1,,5.595e+1,9.544e-4,3.754e+0,,
