Wavelength (nm),Sum(calc),Fe I (9.2e-2),Fe II (5.1e-1),Fe III (6.8e-5),Ni I (9.7e-2),Ni II (3.0e-1),Ni III (1.0e-5)
199.39,2.736e-21,,,2.736e-21,,,
199.42,3.310e-14,,3.310e-14,9.716e-20,,,
199.44,3.794e-13,,3.794e-13,9.498e-19,,,
199.47,1.267e-11,,1.267e-11,2.499e-17,,,
199.49,1.190e-10,,1.190e-10,2.000e-16,,,
199.52,2.944e-9,,2.944e-9,3.898e-15,,,
199.54,2.262e-8,,2.262e-8,2.554e-14,,,
199.57,4.149e-7,,4.149e-7,3.688e-13,,,
199.59,2.610e-6,,2.610e-6,1.979e-12,,,
199.62,3.546e-5,,3.546e-5,2.116e-11,,,
199.64,1.827e-4,,1.827e-4,9.297e-11,,,
199.67,1.839e-3,,1.839e-3,7.369e-10,,,
199.69,7.758e-3,,7.758e-3,2.651e-9,,,
199.72,5.786e-2,,5.786e-2,1.558e-8,,,
199.74,1.998e-1,,1.998e-1,4.591e-8,,,
199.77,1.104e+0,,1.104e+0,2.002e-7,,,
199.79,3.123e+0,,3.123e+0,4.842e-7,,,
199.82,1.278e+1,,1.278e+1,1.574e-6,,,
199.84,2.960e+1,,2.960e+1,3.140e-6,,,
199.87,8.979e+1,,8.979e+1,7.719e-6,,,
199.89,1.702e+2,,1.702e+2,1.291e-5,,,
199.92,3.826e+2,,3.826e+2,2.498e-5,,,
199.94,5.939e+2,,5.939e+2,3.651e-5,,,
199.97,9.888e+2,,9.888e+2,6.056e-5,,,
199.99,1.257e+3,,1.257e+3,8.247e-5,,,
200.01,1.475e+3,,1.475e+3,1.102e-4,,,
200.04,1.614e+3,,1.614e+3,1.630e-4,,,
200.06,1.551e+3,,1.551e+3,2.028e-4,,,
200.09,1.257e+3,,1.257e+3,2.580e-4,6.718e-14,,
200.11,9.888e+2,,9.888e+2,2.834e-4,7.283e-13,,
200.14,5.939e+2,,5.939e+2,2.954e-4,2.240e-11,,
200.16,3.826e+2,,3.826e+2,2.884e-4,1.991e-10,,
200.19,1.702e+2,,1.702e+2,2.755e-4,4.545e-9,,
200.21,8.979e+1,,8.979e+1,2.831e-4,3.312e-8,,
200.24,2.960e+1,,2.960e+1,3.461e-4,5.613e-7,,
200.26,1.278e+1,,1.278e+1,4.284e-4,3.353e-6,,
200.29,3.123e+0,,3.123e+0,5.925e-4,4.219e-5,,
200.31,1.105e+0,,1.104e+0,7.020e-4,2.067e-4,,
200.34,2.030e-1,,2.002e-1,8.123e-4,1.930e-3,,
200.36,6.795e-2,,5.936e-2,8.303e-4,7.752e-3,,
200.39,7.274e-2,,1.821e-2,7.805e-4,5.375e-2,,
200.41,2.139e-1,,3.624e-2,7.210e-4,1.770e-1,,
200.44,1.089e+0,,1.773e-1,6.419e-4,9.110e-1,,
200.46,2.938e+0,,4.781e-1,6.127e-4,2.459e+0,,
200.49,1.122e+1,,1.827e+0,5.994e-4,9.397e+0,,
200.51,2.484e+1,,4.043e+0,5.955e-4,2.080e+1,,
200.54,7.047e+1,,1.147e+1,5.721e-4,5.900e+1,,
200.56,1.279e+2,,2.081e+1,5.397e-4,1.071e+2,,
200.59,2.693e+2,,4.383e+1,4.739e-4,2.255e+2,,
