Wavelength (nm),Sum(calc),Fe I (6.1e-2),Fe II (3.4e-1),Fe III (4.5e-5),Ni I (1.5e-1),Ni II (4.5e-1),Ni III (1.5e-5)
336.85,1.471e+4,3.766e+2,9.469e-14,1.856e-21,1.433e+4,,1.766e-23
336.87,1.658e+4,4.510e+2,9.462e-14,1.855e-21,1.613e+4,,1.767e-23
336.90,1.915e+4,5.686e+2,9.452e-14,1.854e-21,1.858e+4,,1.768e-23
336.92,2.050e+4,6.467e+2,9.446e-14,1.854e-21,1.985e+4,,1.768e-23
336.95,2.171e+4,7.557e+2,9.436e-14,1.853e-21,2.095e+4,,1.769e-23
336.97,2.187e+4,8.179e+2,9.429e-14,1.852e-21,2.105e+4,,1.770e-23
337.00,2.113e+4,8.872e+2,9.419e-14,1.851e-21,2.024e+4,,1.771e-23
337.02,2.006e+4,9.134e+2,9.413e-14,1.850e-21,1.915e+4,,1.771e-23
337.05,1.783e+4,9.181e+2,9.403e-14,1.849e-21,1.691e+4,,1.772e-23
337.07,1.609e+4,8.973e+2,9.396e-14,1.849e-21,1.519e+4,,1.773e-23
337.10,1.341e+4,8.323e+2,9.386e-14,1.848e-21,1.258e+4,,1.774e-23
337.12,1.171e+4,7.696e+2,9.380e-14,1.847e-21,1.094e+4,,1.774e-23
337.15,9.441e+3,6.552e+2,9.370e-14,1.846e-21,8.786e+3,,1.775e-23
337.17,8.166e+3,5.712e+2,9.363e-14,1.846e-21,7.594e+3,,1.776e-23
337.20,6.610e+3,4.440e+2,9.354e-14,1.845e-21,6.166e+3,,1.777e-23
337.22,5.788e+3,3.637e+2,9.347e-14,1.844e-21,5.424e+3,,1.777e-23
337.25,4.818e+3,2.570e+2,9.337e-14,1.843e-21,4.561e+3,,1.778e-23
337.27,4.310e+3,1.973e+2,9.330e-14,1.842e-21,4.113e+3,,1.779e-23
337.29,3.889e+3,1.476e+2,9.324e-14,1.842e-21,3.742e+3,,1.779e-23
337.32,3.384e+3,9.075e+1,9.314e-14,1.841e-21,3.293e+3,,1.780e-23
337.34,3.110e+3,6.345e+1,9.307e-14,1.840e-21,3.047e+3,,1.781e-23
337.37,2.764e+3,3.525e+1,9.298e-14,1.839e-21,2.728e+3,,1.782e-23
337.39,2.560e+3,2.302e+1,9.291e-14,1.838e-21,2.537e+3,,1.782e-23
337.42,2.270e+3,1.154e+1,9.281e-14,1.837e-21,2.259e+3,,1.783e-23
337.44,2.077e+3,7.033e+0,9.275e-14,1.837e-21,2.070e+3,,1.784e-23
337.47,1.779e+3,3.183e+0,9.265e-14,1.836e-21,1.776e+3,,1.785e-23
337.49,1.574e+3,1.822e+0,9.258e-14,1.835e-21,1.572e+3,,1.785e-23
337.52,1.265e+3,7.850e-1,9.248e-14,1.834e-21,1.264e+3,,1.786e-23
337.54,1.065e+3,4.887e-1,9.242e-14,1.834e-21,1.065e+3,,1.787e-23
337.57,7.931e+2,4.014e-1,9.232e-14,1.833e-21,7.927e+2,,1.788e-23
337.59,6.387e+2,5.432e-1,9.225e-14,1.832e-21,6.382e+2,,1.788e-23
337.62,4.637e+2,1.130e+0,9.215e-14,1.831e-21,4.626e+2,,1.789e-23
337.64,3.951e+2,1.895e+0,9.209e-14,1.830e-21,3.932e+2,,1.790e-23
337.67,3.897e+2,3.976e+0,9.199e-14,1.829e-21,3.857e+2,,1.791e-23
337.69,4.743e+2,6.307e+0,9.192e-14,1.829e-21,4.680e+2,,1.791e-23
337.72,7.976e+2,1.197e+1,9.182e-14,1.828e-21,7.856e+2,,1.792e-23
337.74,1.200e+3,1.771e+1,9.176e-14,1.827e-21,1.182e+3,,1.793e-23
337.77,2.214e+3,3.026e+1,9.166e-14,1.826e-21,2.184e+3,,1.793e-23
337.79,3.259e+3,4.177e+1,9.159e-14,1.826e-21,3.218e+3,,1.794e-23
337.81,4.683e+3,5.604e+1,9.153e-14,1.825e-21,4.627e+3,,1.795e-23
337.84,7.674e+3,8.266e+1,9.143e-14,1.824e-21,7.592e+3,,1.796e-23
337.86,1.031e+4,1.034e+2,9.136e-14,1.823e-21,1.020e+4,,1.796e-23
337.89,1.523e+4,1.373e+2,9.126e-14,1.822e-21,1.509e+4,,1.797e-23
337.91,1.909e+4,1.602e+2,9.120e-14,1.822e-21,1.893e+4,,1.798e-23
337.94,2.541e+4,1.915e+2,9.110e-14,1.821e-21,2.522e+4,,1.799e-23
337.96,2.970e+4,2.083e+2,9.103e-14,1.820e-21,2.949e+4,,1.799e-23
337.99,3.561e+4,2.242e+2,9.093e-14,1.819e-21,3.539e+4,,1.800e-23
338.01,3.882e+4,2.274e+2,9.087e-14,1.818e-21,3.860e+4,,1.801e-23
338.04,4.194e+4,2.203e+2,9.077e-14,1.817e-21,4.172e+4,,1.801e-23
338.06,4.264e+4,2.083e+2,9.070e-14,1.817e-21,4.243e+4,,1.802e-23
338.09,4.149e+4,1.817e+2,9.061e-14,1.816e-21,4.131e+4,,1.803e-23
338.11,3.935e+4,1.602e+2,9.054e-14,1.815e-21,3.919e+4,,1.804e-23
338.14,3.449e+4,1.258e+2,9.044e-14,1.814e-21,3.437e+4,,1.804e-23
338.16,3.051e+4,1.034e+2,9.037e-14,1.814e-21,3.041e+4,,1.805e-23
338.19,2.410e+4,7.313e+1,9.028e-14,1.813e-21,2.402e+4,,1.806e-23
338.21,1.988e+4,5.604e+1,9.021e-14,1.812e-21,1.983e+4,,1.807e-23
338.24,1.414e+4,3.568e+1,9.011e-14,1.811e-21,1.411e+4,,1.807e-23
338.26,1.089e+4,2.549e+1,9.005e-14,1.810e-21,1.086e+4,,1.808e-23
338.29,6.978e+3,1.461e+1,8.995e-14,1.809e-21,6.963e+3,,1.809e-23
338.31,5.010e+3,9.734e+0,8.988e-14,1.809e-21,5.000e+3,,1.809e-23
338.33,3.498e+3,6.306e+0,8.982e-14,1.808e-21,3.492e+3,,1.810e-23
338.36,1.938e+3,3.120e+0,8.972e-14,1.807e-21,1.934e+3,,1.811e-23
338.38,1.262e+3,1.884e+0,8.965e-14,1.806e-21,1.260e+3,,1.812e-23
338.41,6.299e+2,8.394e-1,8.955e-14,1.806e-21,6.291e+2,,1.812e-23
338.43,3.828e+2,4.727e-1,8.949e-14,1.805e-21,3.823e+2,,1.813e-23
338.46,1.721e+2,1.896e-1,8.939e-14,1.804e-21,1.720e+2,,1.814e-23
338.48,9.761e+1,9.953e-2,8.932e-14,1.803e-21,9.751e+1,,1.815e-23
338.51,3.960e+1,3.594e-2,8.922e-14,1.802e-21,3.957e+1,,1.815e-23
338.53,2.104e+1,1.760e-2,8.916e-14,1.802e-21,2.102e+1,,1.816e-23
338.56,8.029e+0,5.731e-3,8.906e-14,1.801e-21,8.023e+0,,1.817e-23
338.58,4.584e+0,2.644e-3,8.899e-14,1.800e-21,4.582e+0,,1.817e-23
338.61,3.578e+0,9.005e-4,8.889e-14,1.799e-21,3.577e+0,,1.818e-23
338.63,5.130e+0,6.626e-4,8.883e-14,1.798e-21,5.129e+0,,1.819e-23
338.66,1.196e+1,1.328e-3,8.873e-14,1.797e-21,1.196e+1,,1.820e-23
338.68,2.153e+1,2.895e-3,8.866e-14,1.797e-21,2.153e+1,,1.820e-23
338.71,5.003e+1,9.496e-3,8.856e-14,1.796e-21,5.003e+1,,1.821e-23
338.73,8.496e+1,2.038e-2,8.850e-14,1.795e-21,8.494e+1,,1.822e-23
338.76,1.786e+2,6.090e-2,8.840e-14,1.794e-21,1.785e+2,,1.823e-23
338.78,2.833e+2,1.220e-1,8.833e-14,1.794e-21,2.831e+2,,1.823e-23
338.81,5.377e+2,3.286e-1,8.823e-14,1.793e-21,5.373e+2,,1.824e-23
338.83,7.970e+2,6.142e-1,8.817e-14,1.792e-21,7.964e+2,,1.825e-23
338.85,1.150e+3,1.117e+0,8.810e-14,1.791e-21,1.149e+3,,1.825e-23
338.88,1.900e+3,2.598e+0,8.800e-14,1.790e-21,1.897e+3,,1.826e-23
338.90,2.571e+3,4.406e+0,8.794e-14,1.790e-21,2.566e+3,,1.827e-23
338.93,3.865e+3,9.237e+0,8.784e-14,1.789e-21,3.855e+3,,1.828e-23
338.95,4.925e+3,1.461e+1,8.777e-14,1.788e-21,4.910e+3,,1.828e-23
338.98,6.800e+3,2.760e+1,8.768e-14,1.787e-21,6.773e+3,,1.829e-23
339.00,8.223e+3,4.074e+1,8.761e-14,1.786e-21,8.182e+3,,1.830e-23
339.03,1.058e+4,6.933e+1,8.751e-14,1.786e-21,1.051e+4,,1.831e-23
339.05,1.227e+4,9.545e+1,8.744e-14,1.785e-21,1.218e+4,,1.831e-23
339.08,1.497e+4,1.464e+2,8.735e-14,1.784e-21,1.483e+4,,1.832e-23
339.10,1.687e+4,1.880e+2,8.728e-14,1.783e-21,1.668e+4,,1.833e-23
339.13,1.983e+4,2.597e+2,8.718e-14,1.782e-21,1.957e+4,,1.834e-23
339.15,2.184e+4,3.111e+2,8.712e-14,1.782e-21,2.153e+4,,1.834e-23
339.18,2.482e+4,3.872e+2,8.702e-14,1.781e-21,2.443e+4,,1.835e-23
339.20,2.666e+4,4.328e+2,8.695e-14,1.780e-21,2.622e+4,,1.836e-23
339.23,2.895e+4,4.854e+2,8.685e-14,1.779e-21,2.846e+4,,1.837e-23
339.25,2.999e+4,5.061e+2,8.679e-14,1.778e-21,2.948e+4,,1.837e-23
339.28,3.057e+4,5.114e+2,8.669e-14,1.777e-21,3.006e+4,,1.838e-23
339.30,3.018e+4,4.973e+2,8.662e-14,1.777e-21,2.969e+4,,1.839e-23
339.32,2.916e+4,4.704e+2,8.656e-14,1.776e-21,2.869e+4,,1.839e-23
339.35,2.650e+4,4.108e+2,8.646e-14,1.775e-21,2.609e+4,,1.840e-23
339.37,2.411e+4,3.625e+2,8.639e-14,1.775e-21,2.375e+4,,1.841e-23
339.40,1.995e+4,2.852e+2,8.629e-14,1.774e-21,1.967e+4,,1.842e-23
