Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
201.62,6.484e+2,,6.430e+2,8.520e-5,5.405e+0,,
201.64,4.760e+2,,4.737e+2,8.595e-5,2.361e+0,,
201.67,2.749e+2,,2.743e+2,9.158e-5,5.880e-1,,
201.69,2.010e+2,,2.008e+2,9.493e-5,2.109e-1,,
201.72,2.009e+2,,2.008e+2,9.562e-5,3.908e-2,,
201.74,2.829e+2,,2.829e+2,9.311e-5,1.151e-2,,
201.77,5.376e+2,,5.376e+2,8.736e-5,1.586e-3,,
201.79,7.867e+2,,7.867e+2,8.385e-5,3.835e-4,,
201.82,1.220e+3,,1.220e+3,7.975e-5,3.933e-5,,
201.84,1.486e+3,,1.486e+3,7.670e-5,7.807e-6,,
201.87,1.732e+3,,1.732e+3,6.885e-5,5.956e-7,,
201.89,1.750e+3,,1.750e+3,6.056e-5,9.707e-8,,
201.92,1.575e+3,,1.575e+3,4.463e-5,5.509e-9,,
201.94,1.386e+3,,1.386e+3,3.345e-5,7.373e-10,,
201.96,1.206e+3,,1.206e+3,2.333e-5,9.161e-11,,
201.99,1.049e+3,,1.049e+3,1.193e-5,1.509e-11,,
202.01,1.043e+3,,1.043e+3,7.157e-6,9.626e-11,,
202.04,1.125e+3,,1.125e+3,3.663e-6,1.952e-9,,
202.06,1.179e+3,,1.179e+3,3.229e-6,1.320e-8,,
202.09,1.163e+3,,1.163e+3,4.697e-6,2.004e-7,,
202.11,1.064e+3,,1.064e+3,6.855e-6,1.115e-6,,
202.14,8.117e+2,,8.117e+2,1.172e-5,1.264e-5,,
202.16,6.160e+2,,6.160e+2,1.611e-5,5.785e-5,,
202.19,3.521e+2,,3.521e+2,2.491e-5,4.895e-4,,
202.21,2.200e+2,,2.200e+2,3.268e-5,1.844e-3,,
202.24,9.382e+1,,9.381e+1,4.750e-5,1.165e-2,,
202.26,4.823e+1,,4.819e+1,5.876e-5,3.610e-2,,
202.29,1.549e+1,,1.532e+1,7.437e-5,1.703e-1,,
202.31,6.903e+0,,6.469e+0,8.121e-5,4.345e-1,,
202.33,3.552e+0,,2.526e+0,8.350e-5,1.026e+0,,
202.36,3.754e+0,,5.321e-1,7.844e-5,3.221e+0,,
202.38,6.447e+0,,1.708e-1,7.216e-5,6.276e+0,,
202.41,1.484e+1,,2.682e-2,6.733e-5,1.481e+1,,
202.43,2.395e+1,,7.078e-3,7.322e-5,2.394e+1,,
202.46,4.311e+1,,8.284e-4,1.036e-4,4.311e+1,,
202.48,5.878e+1,,1.797e-4,1.391e-4,5.878e+1,,
202.51,8.402e+1,,1.568e-5,2.078e-4,8.402e+1,,
202.53,1.005e+2,,2.796e-6,2.546e-4,1.005e+2,,
202.56,1.231e+2,,1.818e-7,3.057e-4,1.231e+2,,
202.58,1.363e+2,,2.666e-8,3.170e-4,1.363e+2,,
202.61,1.517e+2,,1.292e-9,2.935e-4,1.517e+2,,
202.63,1.569e+2,,1.560e-10,2.553e-4,1.569e+2,,
202.66,1.524e+2,,1.595e-11,1.810e-4,1.524e+2,,
202.68,1.400e+2,,9.443e-11,1.316e-4,1.400e+2,,
202.7,1.208e+2,,7.903e-10,8.906e-5,1.208e+2,,
202.73,8.533e+1,,1.669e-8,4.352e-5,8.533e+1,,
202.75,6.187e+1,,1.158e-7,2.519e-5,6.187e+1,,
202.78,3.322e+1,,1.829e-6,1.161e-5,3.322e+1,,
202.8,1.996e+1,,1.045e-5,9.160e-6,1.996e+1,,
202.83,8.047e+0,,1.235e-4,1.208e-5,8.046e+0,,
202.85,3.988e+0,,5.814e-4,1.717e-5,3.987e+0,,
202.88,1.208e+0,,5.138e-3,2.755e-5,1.202e+0,,
202.9,5.106e-1,,1.993e-2,3.480e-5,4.906e-1,,
202.93,2.423e-1,,1.317e-1,4.308e-5,1.105e-1,,
202.95,4.582e-1,,4.210e-1,4.539e-5,3.713e-2,,
202.98,2.087e+0,,2.081e+0,4.322e-5,6.247e-3,,
203,5.481e+0,,5.480e+0,3.873e-5,1.727e-3,,
203.03,2.025e+1,,2.025e+1,2.991e-5,2.170e-4,,
203.05,4.395e+1,,4.395e+1,2.404e-5,4.937e-5,,
203.07,8.825e+1,,8.825e+1,1.888e-5,1.039e-5,,
203.1,2.172e+2,,2.172e+2,1.277e-5,8.672e-7,,
203.12,3.594e+2,,3.594e+2,9.632e-6,1.502e-7,,
203.15,6.614e+2,,6.614e+2,6.015e-6,9.360e-9,,
203.17,9.017e+2,,9.017e+2,4.253e-6,1.335e-9,,
203.2,1.241e+3,,1.241e+3,2.727e-6,6.208e-11,,
203.22,1.394e+3,,1.394e+3,2.742e-6,7.285e-12,,
203.25,1.435e+3,,1.435e+3,5.467e-6,2.530e-13,,
203.27,1.328e+3,,1.328e+3,1.040e-5,2.444e-14,,
203.3,1.023e+3,,1.023e+3,2.608e-5,6.337e-16,,
203.32,7.798e+2,,7.798e+2,4.472e-5,5.037e-17,,
203.35,4.493e+2,,4.493e+2,8.874e-5,9.752e-19,,
203.37,2.828e+2,,2.828e+2,1.292e-4,9.868e-19,,
203.4,1.244e+2,,1.244e+2,2.021e-4,1.004e-18,,
203.42,7.006e+1,,7.006e+1,2.533e-4,1.016e-18,,
203.45,4.377e+1,,4.377e+1,3.225e-4,1.033e-18,,
