Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,1.0,0.0,,0.4492150689997647
03124_95_random,0.6666666666666666,0.3333333333333333,Er,2.0366367076360308
03130_95_random,0.8333333333333334,0.0,,0.2523740590806374
03134_95_random,0.625,0.0,,0.0507674785721252
070036_95_random,0.4444444444444444,0.2,Nd,0.2174274993627549
070099_95_random,1.0,0.0,,0.7387765582379694
070101_95_random,0.5714285714285714,0.0,,0.0689621100880322
070159_95_random,0.5,0.0,,4.878180260178605
070171_95_random,0.0,1.0,Yb;Tb;Nd,
07103_95_random,1.0,0.2857142857142857,Eu;Gd,0.1865543248999315
07105_95_random,0.5714285714285714,0.2,Nd,0.0657035172667836
07106_95_random,0.5,0.0,,0.3352093275879805
07107_95_random,0.5454545454545454,0.14285714285714285,Nd,0.2766897706751012
07111_95_random,0.375,0.4,Eu;Nd,0.1631632276358753
07121_95_random,0.7142857142857143,0.16666666666666666,La,0.0679422249964797
07122_95_random,0.5,0.0,,0.2607263627136832
07125_95_random,0.45454545454545453,0.0,,0.0540354820812423
07141_95_random,0.6666666666666666,0.3333333333333333,Nd,0.8490479028592177
07145_95_random,0.7777777777777778,0.0,,0.0344859301606308
07405_95_random,0.5714285714285714,0.2,Nd,0.6776037918176854
07407_95_random,1.0,0.75,Eu;Pr;Nd,5.000001899999987
07840_95_random,1.0,0.5714285714285714,Eu;Yb;Ce;Nd,1.310652043005876
