Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
348.27,2.316e+3,1.693e-12,2.316e+3,3.683e-21
348.3,2.685e+3,1.693e-12,2.685e+3,3.683e-21
348.32,2.868e+3,1.693e-12,2.868e+3,3.682e-21
348.35,3.013e+3,1.692e-12,3.013e+3,3.682e-21
348.37,3.013e+3,1.692e-12,3.013e+3,3.681e-21
348.39,2.935e+3,1.692e-12,2.935e+3,3.681e-21
348.42,2.685e+3,1.692e-12,2.685e+3,3.680e-21
348.44,2.448e+3,1.692e-12,2.448e+3,3.680e-21
348.47,2.029e+3,1.691e-12,2.029e+3,3.679e-21
348.49,1.732e+3,1.691e-12,1.732e+3,3.678e-21
348.52,1.300e+3,1.691e-12,1.300e+3,3.678e-21
348.54,1.040e+3,1.691e-12,1.040e+3,3.677e-21
348.57,7.085e+2,1.691e-12,7.085e+2,3.677e-21
348.59,5.326e+2,1.690e-12,5.326e+2,3.676e-21
348.62,3.360e+2,1.690e-12,3.360e+2,3.675e-21
348.64,2.472e+2,1.690e-12,2.472e+2,3.675e-21
348.67,1.732e+2,1.690e-12,1.732e+2,3.674e-21
348.69,1.632e+2,1.690e-12,1.632e+2,3.674e-21
348.72,2.159e+2,1.689e-12,2.159e+2,3.673e-21
348.74,3.084e+2,1.689e-12,3.084e+2,3.673e-21
348.77,5.695e+2,1.689e-12,5.695e+2,3.672e-21
348.79,8.561e+2,1.689e-12,8.561e+2,3.672e-21
348.81,1.264e+3,1.689e-12,1.264e+3,3.671e-21
348.84,2.170e+3,1.688e-12,2.170e+3,3.671e-21
348.86,3.016e+3,1.688e-12,3.016e+3,3.670e-21
348.89,4.706e+3,1.688e-12,4.706e+3,3.669e-21
348.91,6.130e+3,1.688e-12,6.130e+3,3.669e-21
348.94,8.683e+3,1.688e-12,8.683e+3,3.668e-21
348.96,1.060e+4,1.687e-12,1.060e+4,3.668e-21
348.99,1.364e+4,1.687e-12,1.364e+4,3.667e-21
349.01,1.562e+4,1.687e-12,1.562e+4,3.667e-21
349.04,1.826e+4,1.687e-12,1.826e+4,3.666e-21
349.06,1.964e+4,1.687e-12,1.964e+4,3.666e-21
349.09,2.090e+4,1.686e-12,2.090e+4,3.665e-21
349.11,2.113e+4,1.686e-12,2.113e+4,3.664e-21
349.14,2.053e+4,1.686e-12,2.053e+4,3.664e-21
349.16,1.955e+4,1.686e-12,1.955e+4,3.663e-21
349.18,1.818e+4,1.686e-12,1.818e+4,3.663e-21
349.21,1.564e+4,1.685e-12,1.564e+4,3.662e-21
349.23,1.376e+4,1.685e-12,1.376e+4,3.662e-21
349.26,1.091e+4,1.685e-12,1.091e+4,3.661e-21
349.28,9.103e+3,1.685e-12,9.103e+3,3.661e-21
349.31,6.688e+3,1.684e-12,6.688e+3,3.660e-21
349.33,5.317e+3,1.684e-12,5.317e+3,3.660e-21
349.36,3.639e+3,1.684e-12,3.639e+3,3.659e-21
349.38,2.763e+3,1.684e-12,2.763e+3,3.658e-21
349.41,1.768e+3,1.684e-12,1.768e+3,3.658e-21
349.43,1.284e+3,1.683e-12,1.284e+3,3.657e-21
349.46,7.681e+2,1.683e-12,7.681e+2,3.657e-21
349.48,5.330e+2,1.683e-12,5.330e+2,3.656e-21
349.51,2.974e+2,1.683e-12,2.974e+2,3.655e-21
349.53,1.967e+2,1.683e-12,1.967e+2,3.655e-21
349.55,1.275e+2,1.682e-12,1.275e+2,3.655e-21
349.58,6.397e+1,1.682e-12,6.397e+1,3.654e-21
349.6,3.933e+1,1.682e-12,3.933e+1,3.653e-21
349.63,1.818e+1,1.682e-12,1.818e+1,3.653e-21
349.65,1.056e+1,1.682e-12,1.056e+1,3.652e-21
349.68,4.475e+0,1.681e-12,4.475e+0,3.652e-21
349.7,2.450e+0,1.681e-12,2.450e+0,3.651e-21
349.73,9.488e-1,1.681e-12,9.488e-1,3.651e-21
349.75,4.899e-1,1.681e-12,4.899e-1,3.650e-21
349.78,1.788e-1,1.680e-12,1.788e-1,3.649e-21
349.8,9.973e-2,1.680e-12,9.973e-2,3.649e-21
349.83,8.828e-2,1.680e-12,8.828e-2,3.648e-21
349.85,1.557e-1,1.680e-12,1.557e-1,3.648e-21
349.88,4.905e-1,1.680e-12,4.905e-1,3.647e-21
349.9,1.065e+0,1.679e-12,1.065e+0,3.647e-21
349.92,2.265e+0,1.679e-12,2.265e+0,3.646e-21
349.95,6.697e+0,1.679e-12,6.697e+0,3.646e-21
349.97,1.336e+1,1.679e-12,1.336e+1,3.645e-21
350,3.582e+1,1.679e-12,3.582e+1,3.644e-21
350.02,6.694e+1,1.678e-12,6.694e+1,3.644e-21
350.05,1.628e+2,1.678e-12,1.628e+2,3.643e-21
350.07,2.851e+2,1.678e-12,2.851e+2,3.643e-21
350.1,6.289e+2,1.678e-12,6.289e+2,3.642e-21
350.12,1.032e+3,1.678e-12,1.032e+3,3.642e-21
350.15,2.064e+3,1.677e-12,2.064e+3,3.641e-21
350.17,3.173e+3,1.677e-12,3.173e+3,3.641e-21
350.2,5.757e+3,1.677e-12,5.757e+3,3.640e-21
350.22,8.291e+3,1.677e-12,8.291e+3,3.639e-21
350.25,1.364e+4,1.676e-12,1.364e+4,3.639e-21
350.27,1.841e+4,1.676e-12,1.841e+4,3.638e-21
350.3,2.748e+4,1.676e-12,2.748e+4,3.638e-21
350.32,3.474e+4,1.676e-12,3.474e+4,3.637e-21
350.34,4.279e+4,1.676e-12,4.279e+4,3.637e-21
350.37,5.570e+4,1.675e-12,5.570e+4,3.636e-21
350.39,6.428e+4,1.675e-12,6.428e+4,3.636e-21
350.42,7.590e+4,1.675e-12,7.590e+4,3.635e-21
350.44,8.207e+4,1.675e-12,8.207e+4,3.635e-21
350.47,8.788e+4,1.675e-12,8.788e+4,3.634e-21
350.49,8.903e+4,1.674e-12,8.903e+4,3.633e-21
350.52,8.646e+4,1.674e-12,8.646e+4,3.633e-21
350.54,8.208e+4,1.674e-12,8.208e+4,3.632e-21
350.57,7.231e+4,1.674e-12,7.231e+4,3.632e-21
350.59,6.434e+4,1.674e-12,6.434e+4,3.631e-21
350.62,5.147e+4,1.673e-12,5.147e+4,3.630e-21
350.64,4.299e+4,1.673e-12,4.299e+4,3.630e-21
350.67,3.144e+4,1.673e-12,3.144e+4,3.629e-21
350.69,2.491e+4,1.673e-12,2.491e+4,3.629e-21
350.71,1.953e+4,1.673e-12,1.953e+4,3.628e-21
350.74,1.377e+4,1.672e-12,1.377e+4,3.628e-21
350.76,1.148e+4,1.672e-12,1.148e+4,3.627e-21
350.79,1.031e+4,1.672e-12,1.031e+4,3.627e-21
350.81,1.100e+4,1.672e-12,1.100e+4,3.626e-21
350.84,1.416e+4,1.672e-12,1.416e+4,3.626e-21
350.86,1.763e+4,1.671e-12,1.763e+4,3.625e-21
350.89,2.471e+4,1.671e-12,2.471e+4,3.624e-21
350.91,3.051e+4,1.671e-12,3.051e+4,3.624e-21
350.94,4.037e+4,1.671e-12,4.037e+4,3.623e-21
350.96,4.729e+4,1.670e-12,4.729e+4,3.623e-21
350.99,5.729e+4,1.670e-12,5.729e+4,3.622e-21
351.01,6.313e+4,1.670e-12,6.313e+4,3.622e-21
351.04,6.966e+4,1.670e-12,6.966e+4,3.621e-21
351.06,7.207e+4,1.670e-12,7.207e+4,3.621e-21
351.08,7.270e+4,1.669e-12,7.270e+4,3.620e-21
351.11,7.022e+4,1.669e-12,7.022e+4,3.619e-21
351.13,6.646e+4,1.669e-12,6.646e+4,3.619e-21
351.16,5.833e+4,1.669e-12,5.833e+4,3.618e-21
351.18,5.178e+4,1.669e-12,5.178e+4,3.618e-21
351.21,4.127e+4,1.668e-12,4.127e+4,3.617e-21
351.23,3.436e+4,1.668e-12,3.436e+4,3.617e-21
351.26,2.486e+4,1.668e-12,2.486e+4,3.616e-21
351.28,1.941e+4,1.668e-12,1.941e+4,3.616e-21
351.31,1.275e+4,1.668e-12,1.275e+4,3.615e-21
351.33,9.328e+3,1.667e-12,9.328e+3,3.615e-21
351.36,5.562e+3,1.667e-12,5.562e+3,3.614e-21
351.38,3.815e+3,1.667e-12,3.815e+3,3.613e-21
351.41,2.064e+3,1.667e-12,2.064e+3,3.613e-21
351.43,1.327e+3,1.667e-12,1.327e+3,3.612e-21
351.45,8.317e+2,1.666e-12,8.317e+2,3.612e-21
351.48,3.938e+2,1.666e-12,3.938e+2,3.611e-21
351.5,2.329e+2,1.666e-12,2.329e+2,3.611e-21
351.53,1.053e+2,1.666e-12,1.053e+2,3.610e-21
351.55,6.659e+1,1.666e-12,6.659e+1,3.610e-21
351.58,5.124e+1,1.665e-12,5.124e+1,3.609e-21
351.6,6.403e+1,1.665e-12,6.403e+1,3.608e-21
351.63,1.225e+2,1.665e-12,1.225e+2,3.608e-21
351.65,1.982e+2,1.665e-12,1.982e+2,3.607e-21
351.68,3.988e+2,1.664e-12,3.988e+2,3.607e-21
351.7,6.179e+2,1.664e-12,6.179e+2,3.606e-21
351.73,1.137e+3,1.664e-12,1.137e+3,3.606e-21
351.75,1.653e+3,1.664e-12,1.653e+3,3.605e-21
351.78,2.762e+3,1.664e-12,2.762e+3,3.604e-21
351.8,3.765e+3,1.663e-12,3.765e+3,3.604e-21
351.83,5.709e+3,1.663e-12,5.709e+3,3.603e-21
351.85,7.296e+3,1.663e-12,7.296e+3,3.603e-21
351.87,9.087e+3,1.663e-12,9.087e+3,3.602e-21
351.9,1.203e+4,1.663e-12,1.203e+4,3.602e-21
351.92,1.405e+4,1.662e-12,1.405e+4,3.601e-21
351.95,1.689e+4,1.662e-12,1.689e+4,3.601e-21
351.97,1.849e+4,1.662e-12,1.849e+4,3.600e-21
352,2.017e+4,1.662e-12,2.017e+4,3.599e-21
352.02,2.070e+4,1.662e-12,2.070e+4,3.599e-21
352.05,2.050e+4,1.661e-12,2.050e+4,3.598e-21
352.07,1.972e+4,1.661e-12,1.972e+4,3.598e-21
352.1,1.773e+4,1.661e-12,1.773e+4,3.597e-21
352.12,1.599e+4,1.661e-12,1.599e+4,3.597e-21
352.15,1.304e+4,1.660e-12,1.304e+4,3.596e-21
352.17,1.103e+4,1.660e-12,1.103e+4,3.596e-21
352.2,8.169e+3,1.660e-12,8.169e+3,3.595e-21
352.22,6.475e+3,1.660e-12,6.475e+3,3.594e-21
352.24,5.001e+3,1.660e-12,5.001e+3,3.594e-21
352.27,3.235e+3,1.659e-12,3.235e+3,3.593e-21
352.29,2.342e+3,1.659e-12,2.342e+3,3.593e-21
352.32,1.375e+3,1.659e-12,1.375e+3,3.592e-21
352.34,9.336e+2,1.659e-12,9.336e+2,3.592e-21
352.37,4.975e+2,1.659e-12,4.975e+2,3.591e-21
352.39,3.166e+2,1.658e-12,3.166e+2,3.591e-21
352.42,1.531e+2,1.658e-12,1.531e+2,3.590e-21
352.44,9.137e+1,1.658e-12,9.137e+1,3.590e-21
352.47,4.012e+1,1.658e-12,4.012e+1,3.589e-21
352.49,2.244e+1,1.658e-12,2.244e+1,3.588e-21
352.52,8.943e+0,1.657e-12,8.943e+0,3.588e-21
352.54,4.690e+0,1.657e-12,4.690e+0,3.587e-21
352.57,1.696e+0,1.657e-12,1.696e+0,3.587e-21
352.59,8.340e-1,1.657e-12,8.340e-1,3.586e-21
352.61,3.995e-1,1.657e-12,3.995e-1,3.586e-21
352.64,1.262e-1,1.656e-12,1.262e-1,3.585e-21
352.66,5.668e-2,1.656e-12,5.668e-2,3.585e-21
352.69,1.626e-2,1.656e-12,1.626e-2,3.584e-21
352.71,6.851e-3,1.656e-12,6.851e-3,3.583e-21
352.74,1.822e-3,1.655e-12,1.822e-3,3.583e-21
352.76,8.152e-4,1.655e-12,8.152e-4,3.582e-21
352.79,6.539e-4,1.655e-12,6.539e-4,3.582e-21
352.81,1.319e-3,1.655e-12,1.319e-3,3.581e-21
352.84,4.977e-3,1.655e-12,4.977e-3,3.581e-21
352.86,1.201e-2,1.654e-12,1.201e-2,3.580e-21
352.89,4.305e-2,1.654e-12,4.305e-2,3.579e-21
352.91,9.768e-2,1.654e-12,9.768e-2,3.579e-21
352.94,3.182e-1,1.654e-12,3.182e-1,3.578e-21
352.96,6.771e-1,1.654e-12,6.771e-1,3.578e-21
352.98,1.405e+0,1.653e-12,1.405e+0,3.577e-21
353.01,4.000e+0,1.653e-12,4.000e+0,3.577e-21
353.03,7.782e+0,1.653e-12,7.782e+0,3.576e-21
353.06,2.013e+1,1.653e-12,2.013e+1,3.576e-21
353.08,3.674e+1,1.653e-12,3.674e+1,3.575e-21
353.11,8.635e+1,1.652e-12,8.635e+1,3.574e-21
353.13,1.478e+2,1.652e-12,1.478e+2,3.574e-21
353.16,3.156e+2,1.652e-12,3.156e+2,3.573e-21
353.18,5.068e+2,1.652e-12,5.068e+2,3.573e-21
353.21,9.830e+2,1.652e-12,9.830e+2,3.572e-21
353.23,1.481e+3,1.651e-12,1.481e+3,3.572e-21
353.26,2.609e+3,1.651e-12,2.609e+3,3.571e-21
353.28,3.686e+3,1.651e-12,3.686e+3,3.571e-21
353.31,5.900e+3,1.651e-12,5.900e+3,3.570e-21
353.33,7.819e+3,1.651e-12,7.819e+3,3.570e-21
353.36,1.137e+4,1.650e-12,1.137e+4,3.569e-21
353.38,1.413e+4,1.650e-12,1.413e+4,3.568e-21
353.4,1.713e+4,1.650e-12,1.713e+4,3.568e-21
353.43,2.177e+4,1.650e-12,2.177e+4,3.567e-21
353.45,2.475e+4,1.650e-12,2.475e+4,3.567e-21
353.48,2.858e+4,1.649e-12,2.858e+4,3.566e-21
353.5,3.047e+4,1.649e-12,3.047e+4,3.566e-21
353.53,3.197e+4,1.649e-12,3.197e+4,3.565e-21
353.55,3.197e+4,1.649e-12,3.197e+4,3.565e-21
353.58,3.047e+4,1.648e-12,3.047e+4,3.564e-21
353.6,2.858e+4,1.648e-12,2.858e+4,3.563e-21
353.63,2.475e+4,1.648e-12,2.475e+4,3.563e-21
353.65,2.177e+4,1.648e-12,2.177e+4,3.562e-21
353.68,1.713e+4,1.648e-12,1.713e+4,3.562e-21
353.7,1.413e+4,1.647e-12,1.413e+4,3.561e-21
353.73,1.010e+4,1.647e-12,1.010e+4,3.561e-21
353.75,7.819e+3,1.647e-12,7.819e+3,3.560e-21
353.77,5.900e+3,1.647e-12,5.900e+3,3.560e-21
353.8,3.686e+3,1.647e-12,3.686e+3,3.559e-21
353.82,2.609e+3,1.646e-12,2.609e+3,3.559e-21
353.85,1.481e+3,1.646e-12,1.481e+3,3.558e-21
353.87,9.830e+2,1.646e-12,9.830e+2,3.557e-21
353.9,5.068e+2,1.646e-12,5.068e+2,3.557e-21
353.92,3.156e+2,1.646e-12,3.156e+2,3.556e-21
353.95,1.478e+2,1.645e-12,1.478e+2,3.556e-21
353.97,8.635e+1,1.645e-12,8.635e+1,3.555e-21
354,3.674e+1,1.645e-12,3.674e+1,3.554e-21
354.02,2.013e+1,1.645e-12,2.013e+1,3.554e-21
354.05,7.782e+0,1.644e-12,7.782e+0,3.553e-21
354.07,4.000e+0,1.644e-12,4.000e+0,3.553e-21
354.1,1.405e+0,1.644e-12,1.405e+0,3.552e-21
354.12,6.771e-1,1.644e-12,6.771e-1,3.552e-21
354.14,3.182e-1,1.644e-12,3.182e-1,3.551e-21
354.17,9.768e-2,1.643e-12,9.768e-2,3.551e-21
354.19,4.305e-2,1.643e-12,4.305e-2,3.550e-21
354.22,1.201e-2,1.643e-12,1.201e-2,3.550e-21
354.24,4.964e-3,1.643e-12,4.964e-3,3.549e-21
354.27,1.258e-3,1.643e-12,1.258e-3,3.548e-21
354.29,4.878e-4,1.642e-12,4.878e-4,3.548e-21
354.32,1.123e-4,1.642e-12,1.123e-4,3.547e-21
354.34,4.084e-5,1.642e-12,4.084e-5,3.547e-21
354.37,8.540e-6,1.642e-12,8.540e-6,3.546e-21
354.39,2.914e-6,1.642e-12,2.914e-6,3.546e-21
354.42,5.535e-7,1.641e-12,5.535e-7,3.545e-21
354.44,1.772e-7,1.641e-12,1.772e-7,3.545e-21
354.47,3.057e-8,1.641e-12,3.057e-8,3.544e-21
354.49,9.178e-9,1.641e-12,9.178e-9,3.543e-21
354.51,2.686e-9,1.641e-12,2.686e-9,3.543e-21
354.54,4.052e-10,1.640e-12,4.052e-10,3.542e-21
354.56,1.112e-10,1.640e-12,1.112e-10,3.542e-21
354.59,1.524e-11,1.640e-12,1.524e-11,3.541e-21
354.61,3.924e-12,1.640e-12,3.924e-12,3.541e-21
358.51,1.670e-12,1.607e-12,1.670e-12,3.453e-21
358.54,1.228e-11,1.607e-12,1.228e-11,3.452e-21
358.56,4.502e-11,1.606e-12,4.502e-11,3.452e-21
358.59,3.017e-10,1.606e-12,3.017e-10,3.451e-21
358.61,1.040e-9,1.606e-12,1.040e-9,3.451e-21
358.64,6.350e-9,1.606e-12,6.350e-9,3.450e-21
358.66,2.057e-8,1.606e-12,2.057e-8,3.450e-21
358.69,1.145e-7,1.605e-12,1.145e-7,3.449e-21
358.71,3.487e-7,1.605e-12,3.487e-7,3.448e-21
358.73,1.036e-6,1.605e-12,1.036e-6,3.448e-21
358.76,5.063e-6,1.605e-12,5.063e-6,3.447e-21
358.78,1.414e-5,1.605e-12,1.414e-5,3.447e-21
358.81,6.299e-5,1.604e-12,6.299e-5,3.446e-21
358.83,1.653e-4,1.604e-12,1.653e-4,3.446e-21
358.86,6.713e-4,1.604e-12,6.713e-4,3.445e-21
358.88,1.656e-3,1.604e-12,1.656e-3,3.445e-21
358.91,6.130e-3,1.603e-12,6.130e-3,3.444e-21
358.93,1.422e-2,1.603e-12,1.422e-2,3.444e-21
358.96,4.795e-2,1.603e-12,4.795e-2,3.443e-21
358.98,1.045e-1,1.603e-12,1.045e-1,3.442e-21
359.01,3.213e-1,1.603e-12,3.213e-1,3.442e-21
359.03,6.586e-1,1.602e-12,6.586e-1,3.441e-21
359.06,1.845e+0,1.602e-12,1.845e+0,3.441e-21
359.08,3.554e+0,1.602e-12,3.554e+0,3.440e-21
359.1,6.680e+0,1.602e-12,6.680e+0,3.440e-21
359.13,1.643e+1,1.602e-12,1.643e+1,3.439e-21
359.15,2.903e+1,1.601e-12,2.903e+1,3.439e-21
359.18,6.509e+1,1.601e-12,6.509e+1,3.438e-21
359.2,1.081e+2,1.601e-12,1.081e+2,3.437e-21
359.23,2.209e+2,1.601e-12,2.209e+2,3.437e-21
359.25,3.448e+2,1.601e-12,3.448e+2,3.436e-21
359.28,6.421e+2,1.600e-12,6.421e+2,3.436e-21
359.3,9.422e+2,1.600e-12,9.422e+2,3.435e-21
359.33,1.599e+3,1.600e-12,1.599e+3,3.435e-21
359.35,2.206e+3,1.600e-12,2.206e+3,3.434e-21
359.38,3.412e+3,1.600e-12,3.412e+3,3.433e-21
359.4,4.424e+3,1.599e-12,4.424e+3,3.433e-21
359.43,6.237e+3,1.599e-12,6.237e+3,3.432e-21
359.45,7.602e+3,1.599e-12,7.602e+3,3.432e-21
359.48,9.767e+3,1.599e-12,9.767e+3,3.431e-21
359.5,1.119e+4,1.598e-12,1.119e+4,3.431e-21
359.52,1.251e+4,1.598e-12,1.251e+4,3.430e-21
359.55,1.411e+4,1.598e-12,1.411e+4,3.430e-21
359.57,1.483e+4,1.598e-12,1.483e+4,3.429e-21
359.6,1.525e+4,1.598e-12,1.525e+4,3.428e-21
359.62,1.506e+4,1.597e-12,1.506e+4,3.428e-21
359.65,1.411e+4,1.597e-12,1.411e+4,3.427e-21
359.67,1.310e+4,1.597e-12,1.310e+4,3.427e-21
359.7,1.119e+4,1.597e-12,1.119e+4,3.426e-21
359.72,9.767e+3,1.597e-12,9.767e+3,3.426e-21
359.75,7.602e+3,1.596e-12,7.602e+3,3.425e-21
359.77,6.237e+3,1.596e-12,6.237e+3,3.425e-21
359.8,4.424e+3,1.596e-12,4.424e+3,3.424e-21
359.82,3.412e+3,1.596e-12,3.412e+3,3.424e-21
359.85,2.206e+3,1.596e-12,2.206e+3,3.423e-21
359.87,1.599e+3,1.595e-12,1.599e+3,3.422e-21
359.89,1.131e+3,1.595e-12,1.131e+3,3.422e-21
359.92,6.421e+2,1.595e-12,6.421e+2,3.421e-21
359.94,4.268e+2,1.595e-12,4.268e+2,3.421e-21
359.97,2.209e+2,1.595e-12,2.209e+2,3.420e-21
359.99,1.380e+2,1.594e-12,1.380e+2,3.420e-21
360.02,6.509e+1,1.594e-12,6.509e+1,3.419e-21
360.04,3.823e+1,1.594e-12,3.823e+1,3.419e-21
360.07,1.643e+1,1.594e-12,1.643e+1,3.418e-21
360.09,9.073e+0,1.594e-12,9.073e+0,3.417e-21
360.12,3.554e+0,1.593e-12,3.554e+0,3.417e-21
360.14,1.845e+0,1.593e-12,1.845e+0,3.416e-21
360.17,6.586e-1,1.593e-12,6.586e-1,3.416e-21
360.19,3.213e-1,1.593e-12,3.213e-1,3.415e-21
360.22,1.045e-1,1.592e-12,1.045e-1,3.415e-21
360.24,4.795e-2,1.592e-12,4.795e-2,3.414e-21
360.26,2.145e-2,1.592e-12,2.145e-2,3.414e-21
360.29,6.130e-3,1.592e-12,6.130e-3,3.413e-21
360.31,2.578e-3,1.592e-12,2.578e-3,3.413e-21
360.34,6.713e-4,1.591e-12,6.713e-4,3.412e-21
360.36,2.654e-4,1.591e-12,2.654e-4,3.411e-21
360.39,6.299e-5,1.591e-12,6.299e-5,3.411e-21
360.41,2.341e-5,1.591e-12,2.341e-5,3.410e-21
360.44,5.063e-6,1.591e-12,5.063e-6,3.410e-21
360.46,1.769e-6,1.590e-12,1.769e-6,3.409e-21
360.49,3.487e-7,1.590e-12,3.487e-7,3.408e-21
360.51,1.145e-7,1.590e-12,1.145e-7,3.408e-21
360.54,2.057e-8,1.590e-12,2.057e-8,3.407e-21
360.56,6.350e-9,1.590e-12,6.350e-9,3.407e-21
360.59,1.040e-9,1.589e-12,1.040e-9,3.406e-21
360.61,3.017e-10,1.589e-12,3.017e-10,3.406e-21
360.63,8.540e-11,1.589e-12,8.540e-11,3.405e-21
360.66,1.228e-11,1.589e-12,1.228e-11,3.405e-21
360.68,3.267e-12,1.589e-12,3.267e-12,3.404e-21
360.71,4.282e-13,1.588e-12,4.282e-13,3.404e-21
361.38,9.289e-13,1.583e-12,9.289e-13,3.388e-21
361.4,3.503e-12,1.582e-12,3.503e-12,3.388e-21
361.42,1.289e-11,1.582e-12,1.289e-11,3.388e-21
361.45,8.695e-11,1.582e-12,8.695e-11,3.387e-21
361.47,3.011e-10,1.582e-12,3.011e-10,3.386e-21
361.5,1.853e-9,1.582e-12,1.853e-9,3.386e-21
361.52,6.039e-9,1.581e-12,6.039e-9,3.385e-21
361.55,3.393e-8,1.581e-12,3.393e-8,3.385e-21
361.57,1.040e-7,1.581e-12,1.040e-7,3.384e-21
361.6,5.335e-7,1.581e-12,5.335e-7,3.383e-21
361.62,1.539e-6,1.581e-12,1.539e-6,3.383e-21
361.65,7.203e-6,1.580e-12,7.203e-6,3.382e-21
361.67,1.955e-5,1.580e-12,1.955e-5,3.382e-21
361.7,8.353e-5,1.580e-12,8.353e-5,3.381e-21
361.72,2.133e-4,1.580e-12,2.133e-4,3.381e-21
361.75,8.318e-4,1.580e-12,8.318e-4,3.380e-21
361.77,1.999e-3,1.579e-12,1.999e-3,3.380e-21
361.79,4.688e-3,1.579e-12,4.688e-3,3.379e-21
361.82,1.609e-2,1.579e-12,1.609e-2,3.379e-21
361.84,3.550e-2,1.579e-12,3.550e-2,3.378e-21
361.87,1.112e-1,1.579e-12,1.112e-1,3.377e-21
361.89,2.308e-1,1.578e-12,2.308e-1,3.377e-21
361.92,6.598e-1,1.578e-12,6.598e-1,3.376e-21
361.94,1.289e+0,1.578e-12,1.289e+0,3.376e-21
361.97,3.363e+0,1.578e-12,3.363e+0,3.375e-21
361.99,6.183e+0,1.578e-12,6.183e+0,3.375e-21
362.02,1.472e+1,1.577e-12,1.472e+1,3.374e-21
362.04,2.547e+1,1.577e-12,2.547e+1,3.374e-21
362.07,5.535e+1,1.577e-12,5.535e+1,3.373e-21
362.09,9.009e+1,1.577e-12,9.009e+1,3.372e-21
362.12,1.787e+2,1.576e-12,1.787e+2,3.372e-21
362.14,2.737e+2,1.576e-12,2.737e+2,3.371e-21
362.16,4.090e+2,1.576e-12,4.090e+2,3.371e-21
362.19,7.140e+2,1.576e-12,7.140e+2,3.370e-21
362.21,1.004e+3,1.576e-12,1.004e+3,3.370e-21
362.24,1.600e+3,1.575e-12,1.600e+3,3.369e-21
362.26,2.117e+3,1.575e-12,2.117e+3,3.369e-21
362.29,3.078e+3,1.575e-12,3.078e+3,3.368e-21
362.31,3.833e+3,1.575e-12,3.833e+3,3.368e-21
362.34,5.087e+3,1.575e-12,5.087e+3,3.367e-21
362.36,5.960e+3,1.574e-12,5.960e+3,3.366e-21
362.39,7.220e+3,1.574e-12,7.220e+3,3.366e-21
362.41,7.958e+3,1.574e-12,7.958e+3,3.365e-21
362.44,8.799e+3,1.574e-12,8.799e+3,3.365e-21
362.46,9.127e+3,5.960e-12,9.127e+3,3.364e-21
362.49,9.210e+3,4.198e-11,9.210e+3,3.363e-21
362.51,8.989e+3,1.497e-10,8.989e+3,3.363e-21
362.54,8.280e+3,9.626e-10,8.280e+3,3.362e-21
362.56,7.603e+3,3.230e-9,7.603e+3,3.362e-21
362.58,6.814e+3,1.058e-8,6.814e+3,3.361e-21
362.61,5.523e+3,5.992e-8,5.523e+3,3.361e-21
362.63,4.657e+3,1.847e-7,4.657e+3,3.360e-21
362.66,3.445e+3,9.555e-7,3.445e+3,3.360e-21
362.68,2.734e+3,2.773e-6,2.734e+3,3.359e-21
362.71,1.846e+3,1.310e-5,1.846e+3,3.359e-21
362.73,1.378e+3,3.578e-5,1.378e+3,3.358e-21
362.76,8.493e+2,1.543e-4,8.493e+2,3.357e-21
362.78,5.966e+2,3.968e-4,5.966e+2,3.357e-21
362.81,3.356e+2,1.563e-3,3.356e+2,3.356e-21
362.83,2.218e+2,3.782e-3,2.218e+2,3.356e-21
362.86,1.139e+2,1.361e-2,1.139e+2,3.355e-21
362.88,7.086e+1,3.099e-2,7.083e+1,3.355e-21
362.91,3.329e+1,1.018e-1,3.319e+1,3.354e-21
362.93,1.964e+1,2.183e-1,1.942e+1,3.354e-21
362.95,1.155e+1,4.568e-1,1.109e+1,3.353e-21
362.98,5.896e+0,1.322e+0,4.574e+0,3.352e-21
363,5.061e+0,2.603e+0,2.458e+0,3.352e-21
363.03,7.803e+0,6.878e+0,9.251e-1,3.351e-21
363.05,1.322e+1,1.275e+1,4.678e-1,3.351e-21
363.08,3.093e+1,3.077e+1,1.607e-1,3.350e-21
363.1,5.377e+1,5.369e+1,7.645e-2,3.350e-21
363.13,1.183e+2,1.183e+2,2.397e-2,3.349e-21
363.15,1.943e+2,1.943e+2,1.073e-2,3.349e-21
363.18,3.910e+2,3.910e+2,3.071e-3,3.348e-21
363.2,6.045e+2,6.045e+2,1.294e-3,3.347e-21
363.23,1.111e+3,1.111e+3,3.382e-4,3.347e-21
363.25,1.617e+3,1.617e+3,1.350e-4,3.346e-21
363.28,2.712e+3,2.712e+3,3.723e-5,3.346e-21
363.3,3.716e+3,3.716e+3,2.655e-5,3.345e-21
363.32,4.969e+3,4.969e+3,4.373e-5,3.345e-21
363.35,7.342e+3,7.342e+3,1.670e-4,3.344e-21
363.37,9.240e+3,9.240e+3,4.210e-4,3.344e-21
363.4,1.247e+4,1.247e+4,1.620e-3,3.343e-21
363.42,1.477e+4,1.477e+4,3.863e-3,3.343e-21
363.45,1.820e+4,1.820e+4,1.359e-2,3.342e-21
363.47,2.030e+4,2.030e+4,3.050e-2,3.341e-21
363.5,2.284e+4,2.284e+4,9.804e-2,3.341e-21
363.52,2.397e+4,2.397e+4,2.072e-1,3.340e-21
