Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
219.41,2.445e-12,,,2.445e-12
219.43,1.278e-11,,,1.278e-11
219.46,1.350e-10,,,1.350e-10
219.48,5.982e-10,,,5.982e-10
219.51,4.929e-9,,,4.929e-9
219.53,1.851e-8,,,1.851e-8
219.55,6.507e-8,,,6.507e-8
219.58,3.788e-7,,,3.788e-7
219.6,1.129e-6,,,1.129e-6
219.63,5.127e-6,,,5.127e-6
219.65,1.295e-5,,,1.295e-5
219.68,4.588e-5,,,4.588e-5
219.7,9.819e-5,,,9.819e-5
219.73,2.716e-4,,,2.716e-4
219.75,4.926e-4,,,4.926e-4
219.78,1.063e-3,,,1.063e-3
219.8,1.634e-3,,,1.634e-3
219.83,2.752e-3,,,2.752e-3
219.85,3.585e-3,,,3.585e-3
219.88,4.710e-3,,,4.710e-3
219.9,5.202e-3,,,5.202e-3
219.92,5.377e-3,,,5.377e-3
219.95,4.991e-3,,,4.991e-3
219.97,4.372e-3,,,4.372e-3
220,3.167e-3,,,3.167e-3
220.02,2.351e-3,,,2.351e-3
220.05,1.329e-3,,,1.329e-3
220.07,8.363e-4,,,8.363e-4
220.1,3.688e-4,,,3.688e-4
220.12,1.967e-4,,,1.967e-4
220.15,6.768e-5,,,6.768e-5
220.17,3.059e-5,,,3.059e-5
220.2,8.214e-6,,,8.214e-6
220.22,3.147e-6,,,3.147e-6
220.25,6.593e-7,,,6.593e-7
220.27,2.141e-7,,,2.141e-7
220.29,6.507e-8,,,6.507e-8
220.32,9.631e-9,,,9.631e-9
220.34,2.481e-9,,,2.481e-9
220.37,2.865e-10,,,2.865e-10
220.39,6.256e-11,,,6.256e-11
220.42,5.637e-12,,,5.637e-12
220.44,1.043e-12,,,1.043e-12
220.47,7.335e-14,,,7.335e-14
220.49,1.150e-14,,,1.150e-14
220.52,6.311e-16,,,6.311e-16
220.54,8.390e-17,,,8.390e-17
220.57,3.591e-18,,,3.591e-18
220.59,4.046e-19,,,4.046e-19
223.08,6.431e-20,,,6.431e-20
223.11,1.714e-18,,,1.714e-18
223.13,1.412e-17,,,1.412e-17
223.16,2.962e-16,,,2.962e-16
223.18,2.080e-15,,,2.080e-15
223.21,3.434e-14,,,3.434e-14
223.23,2.055e-13,,,2.055e-13
223.26,2.669e-12,,,2.669e-12
223.28,1.362e-11,,,1.362e-11
223.31,1.392e-10,,,1.392e-10
223.33,6.053e-10,,,6.053e-10
223.35,2.469e-9,,,2.469e-9
223.38,1.804e-8,,,1.804e-8
223.4,6.273e-8,,,6.273e-8
223.43,3.608e-7,,,3.608e-7
223.45,1.069e-6,,,1.069e-6
223.48,4.838e-6,,,4.838e-6
223.5,1.222e-5,,,1.222e-5
223.53,4.352e-5,,,4.352e-5
223.55,9.369e-5,,,9.369e-5
223.58,2.626e-4,,,2.626e-4
223.6,4.818e-4,,,4.818e-4
223.63,1.062e-3,,,1.062e-3
223.65,1.662e-3,,,1.662e-3
223.68,2.884e-3,,,2.884e-3
223.7,3.844e-3,,,3.844e-3
223.72,4.808e-3,,,4.808e-3
223.75,5.965e-3,,,5.965e-3
223.77,6.359e-3,,,6.359e-3
223.8,6.208e-3,,,6.208e-3
223.82,5.641e-3,,,5.641e-3
223.85,4.334e-3,,,4.334e-3
223.87,3.356e-3,,,3.356e-3
223.9,2.029e-3,,,2.029e-3
223.92,1.339e-3,,,1.339e-3
223.95,6.372e-4,,,6.372e-4
223.97,3.585e-4,,,3.585e-4
224,1.342e-4,,,1.342e-4
224.02,6.437e-5,,,6.437e-5
224.05,1.896e-5,,,1.896e-5
224.07,7.751e-6,,,7.751e-6
224.1,1.797e-6,,,1.797e-6
224.12,6.260e-7,,,6.260e-7
224.14,2.046e-7,,,2.046e-7
224.17,3.391e-8,,,3.391e-8
224.19,9.447e-9,,,9.447e-9
224.22,1.232e-9,,,1.232e-9
224.24,2.926e-10,,,2.926e-10
224.27,3.003e-11,,,3.003e-11
224.29,6.078e-12,,,6.078e-12
224.32,4.909e-13,,,4.909e-13
224.34,8.468e-14,,,8.468e-14
224.37,5.382e-15,,,5.382e-15
224.39,7.913e-16,,,7.913e-16
224.42,3.958e-17,,,3.958e-17
224.44,4.960e-18,,,4.960e-18
224.47,1.952e-19,,,1.952e-19
225.7,2.243e-14,2.243e-14,,5.806e-18
225.72,1.933e-13,1.933e-13,,5.898e-18
225.75,4.351e-12,4.351e-12,,6.035e-18
225.77,3.208e-11,3.208e-11,,6.126e-18
225.8,5.711e-10,5.711e-10,,6.263e-18
225.82,3.602e-9,3.602e-9,,6.354e-18
225.85,5.075e-8,5.075e-8,,6.491e-18
225.87,2.739e-7,2.739e-7,,6.582e-18
225.9,3.053e-6,3.053e-6,,6.719e-18
225.92,1.409e-5,1.409e-5,,6.810e-18
225.95,1.243e-4,1.243e-4,,6.947e-18
225.97,4.910e-4,4.910e-4,,7.038e-18
226,3.427e-3,3.427e-3,,7.175e-18
226.02,1.158e-2,1.158e-2,,7.266e-18
226.04,3.675e-2,3.675e-2,,7.358e-18
226.07,1.848e-1,1.848e-1,,7.494e-18
226.09,5.019e-1,5.019e-1,,7.586e-18
226.12,1.997e+0,1.997e+0,,7.723e-18
226.14,4.640e+0,4.640e+0,,7.814e-18
226.17,1.461e+1,1.461e+1,,7.951e-18
226.19,2.903e+1,2.903e+1,,8.042e-18
226.22,7.235e+1,7.235e+1,,8.179e-18
226.24,1.230e+2,1.230e+2,,8.270e-18
226.27,2.425e+2,2.425e+2,,8.407e-18
226.29,3.527e+2,3.527e+2,,8.498e-18
226.32,5.503e+2,5.503e+2,,8.635e-18
226.34,6.847e+2,6.847e+2,,8.726e-18
226.37,8.453e+2,8.453e+2,,8.863e-18
226.39,8.997e+2,8.997e+2,,8.954e-18
226.41,8.997e+2,8.997e+2,,9.046e-18
226.44,8.004e+2,8.004e+2,,9.182e-18
226.46,6.847e+2,6.847e+2,,9.274e-18
226.49,4.819e+2,4.819e+2,,9.410e-18
226.51,3.527e+2,3.527e+2,,9.502e-18
226.54,1.964e+2,1.964e+2,,9.639e-18
226.56,1.230e+2,1.230e+2,,9.730e-18
226.59,5.421e+1,5.421e+1,,9.867e-18
226.61,2.903e+1,2.903e+1,,9.958e-18
226.64,1.012e+1,1.012e+1,,1.009e-17
226.66,4.640e+0,4.640e+0,,1.019e-17
226.69,1.280e+0,1.280e+0,,1.032e-17
226.71,5.019e-1,5.019e-1,,1.041e-17
226.74,1.096e-1,1.096e-1,,1.055e-17
226.76,3.675e-2,3.675e-2,,1.064e-17
226.78,1.158e-2,1.158e-2,,1.073e-17
226.81,1.822e-3,1.822e-3,,1.087e-17
226.83,4.910e-4,4.910e-4,,1.096e-17
226.86,6.112e-5,6.112e-5,,1.110e-17
226.88,1.409e-5,1.409e-5,,1.119e-17
226.91,1.388e-6,1.388e-6,,1.133e-17
226.93,2.739e-7,2.739e-7,,1.142e-17
226.96,2.134e-8,2.134e-8,,1.155e-17
226.98,3.603e-9,3.603e-9,,1.165e-17
227.01,2.314e-10,2.314e-10,,1.178e-17
227.03,1.010e-10,1.010e-10,,1.187e-17
227.06,1.247e-9,1.247e-9,,1.201e-17
227.08,7.935e-9,7.935e-9,,1.210e-17
227.11,1.137e-7,1.137e-7,,1.224e-17
227.13,6.210e-7,6.210e-7,,1.233e-17
227.16,7.060e-6,7.060e-6,,1.247e-17
227.18,3.304e-5,3.304e-5,,1.256e-17
227.2,1.454e-4,1.454e-4,,1.265e-17
227.23,1.195e-3,1.195e-3,,1.279e-17
227.25,4.508e-3,4.508e-3,,1.288e-17
227.28,2.940e-2,2.940e-2,,1.301e-17
227.3,9.501e-2,9.501e-2,,1.311e-17
227.33,4.916e-1,4.916e-1,,1.324e-17
227.35,1.362e+0,1.362e+0,,1.333e-17
227.38,5.589e+0,5.589e+0,,1.347e-17
227.4,1.327e+1,1.327e+1,,1.356e-17
227.43,4.320e+1,4.320e+1,,1.370e-17
227.45,8.787e+1,8.787e+1,,1.379e-17
227.48,2.270e+2,2.270e+2,,1.393e-17
227.5,3.957e+2,3.957e+2,,1.402e-17
227.53,8.110e+2,8.110e+2,,1.415e-17
227.55,1.211e+3,1.211e+3,,1.425e-17
227.57,1.701e+3,1.701e+3,,1.434e-17
227.6,2.522e+3,2.522e+3,,1.447e-17
227.62,3.035e+3,3.035e+3,,1.457e-17
227.65,3.569e+3,3.569e+3,,1.470e-17
227.67,3.681e+3,3.681e+3,,1.479e-17
227.7,3.437e+3,3.437e+3,,1.493e-17
227.72,3.044e+3,3.044e+3,,1.502e-17
227.75,2.276e+3,2.276e+3,,1.516e-17
227.77,1.763e+3,1.763e+3,,1.525e-17
227.8,1.166e+3,1.166e+3,,1.539e-17
227.82,9.492e+2,9.492e+2,,1.548e-17
227.85,9.463e+2,9.463e+2,,1.561e-17
227.87,1.159e+3,1.159e+3,,1.571e-17
227.9,1.748e+3,1.748e+3,,1.584e-17
227.92,2.253e+3,2.253e+3,,1.593e-17
227.94,2.772e+3,2.772e+3,,1.603e-17
227.97,3.399e+3,3.399e+3,,1.616e-17
227.99,3.612e+3,3.612e+3,,1.625e-17
228.02,3.529e+3,3.529e+3,,1.639e-17
228.04,3.217e+3,3.217e+3,,1.648e-17
228.07,2.496e+3,2.496e+3,,1.662e-17
228.09,1.951e+3,1.951e+3,,1.671e-17
228.12,1.202e+3,1.202e+3,,1.685e-17
228.14,8.053e+2,8.053e+2,,1.694e-17
228.17,3.937e+2,3.937e+2,,1.707e-17
228.19,2.262e+2,2.262e+2,,1.717e-17
228.22,8.780e+1,8.780e+1,,1.730e-17
228.24,4.326e+1,4.326e+1,,1.739e-17
228.27,1.333e+1,1.333e+1,,1.753e-17
228.29,5.630e+0,5.630e+0,,1.762e-17
228.31,2.236e+0,2.236e+0,,1.771e-17
228.34,4.986e-1,4.986e-1,,1.785e-17
228.36,1.698e-1,1.698e-1,,1.794e-17
228.39,3.006e-2,3.006e-2,,1.808e-17
228.41,8.777e-3,8.777e-3,,1.817e-17
228.44,1.234e-3,1.234e-3,,1.831e-17
228.46,3.088e-4,3.088e-4,,1.840e-17
228.49,3.445e-5,3.445e-5,,1.853e-17
228.51,7.393e-6,7.393e-6,,1.863e-17
228.54,6.548e-7,6.548e-7,,1.876e-17
228.56,1.205e-7,1.205e-7,,1.885e-17
228.59,8.472e-9,8.472e-9,,1.899e-17
228.61,1.336e-9,1.336e-9,,1.908e-17
228.64,7.460e-11,7.460e-11,,1.922e-17
228.66,1.009e-11,1.009e-11,,1.931e-17
228.69,4.471e-13,4.471e-13,,1.945e-17
228.71,5.184e-14,5.184e-14,,1.954e-17
229.28,5.870e-14,5.870e-14,,2.214e-17
229.3,4.878e-13,4.878e-13,,2.223e-17
229.33,1.043e-11,1.043e-11,,2.237e-17
229.35,7.452e-11,7.452e-11,,2.246e-17
229.38,1.270e-9,1.270e-9,,2.259e-17
229.4,7.801e-9,7.801e-9,,2.269e-17
229.43,1.060e-7,1.060e-7,,2.282e-17
229.45,5.595e-7,5.595e-7,,2.291e-17
229.47,2.780e-6,2.780e-6,,2.301e-17
229.5,2.749e-5,2.749e-5,,2.314e-17
229.52,1.174e-4,1.174e-4,,2.323e-17
229.55,9.255e-4,9.255e-4,,2.337e-17
229.57,3.398e-3,3.398e-3,,2.346e-17
229.6,2.135e-2,2.135e-2,,2.360e-17
229.62,6.739e-2,6.739e-2,,2.369e-17
229.65,3.374e-1,3.374e-1,,2.383e-17
229.67,9.155e-1,9.155e-1,,2.392e-17
229.7,3.653e+0,3.653e+0,,2.405e-17
229.72,8.521e+0,8.521e+0,,2.415e-17
229.75,2.710e+1,2.710e+1,,2.428e-17
229.77,5.435e+1,5.435e+1,,2.437e-17
229.8,1.378e+2,1.378e+2,,2.451e-17
229.82,2.375e+2,2.375e+2,,2.460e-17
229.84,3.853e+2,3.853e+2,,2.469e-17
229.87,7.109e+2,7.109e+2,,2.483e-17
229.89,9.916e+2,9.916e+2,,2.492e-17
229.92,1.458e+3,1.458e+3,,2.506e-17
229.94,1.749e+3,1.749e+3,,2.515e-17
229.97,2.052e+3,2.052e+3,,2.529e-17
229.99,2.119e+3,2.119e+3,,2.538e-17
230.02,1.995e+3,1.995e+3,,2.551e-17
230.04,1.793e+3,1.793e+3,,2.561e-17
230.07,1.419e+3,1.419e+3,,2.574e-17
230.09,1.200e+3,1.200e+3,,2.583e-17
230.12,1.028e+3,1.028e+3,,2.597e-17
230.14,1.056e+3,1.056e+3,,2.606e-17
230.17,1.311e+3,1.311e+3,,2.620e-17
230.19,1.583e+3,1.583e+3,,2.629e-17
230.22,2.026e+3,2.026e+3,,2.643e-17
230.24,2.261e+3,2.261e+3,,2.652e-17
230.26,2.392e+3,2.392e+3,,2.661e-17
230.29,2.338e+3,2.338e+3,,2.675e-17
230.31,2.145e+3,2.145e+3,,2.684e-17
230.34,1.710e+3,1.710e+3,,2.697e-17
230.36,1.402e+3,1.402e+3,,2.707e-17
230.39,1.050e+3,1.050e+3,,2.720e-17
230.41,9.471e+2,9.471e+2,,2.729e-17
230.44,1.041e+3,1.041e+3,,2.743e-17
230.46,1.262e+3,1.262e+3,,2.752e-17
230.49,1.759e+3,1.759e+3,,2.766e-17
230.51,2.126e+3,2.126e+3,,2.775e-17
230.54,2.576e+3,2.576e+3,,2.789e-17
230.56,2.730e+3,2.730e+3,,2.798e-17
230.59,2.666e+3,2.666e+3,,2.811e-17
230.61,2.435e+3,2.435e+3,,2.821e-17
230.63,2.095e+3,2.095e+3,,2.830e-17
230.66,1.493e+3,1.493e+3,,2.843e-17
230.68,1.105e+3,1.105e+3,,2.853e-17
230.71,6.284e+2,6.284e+2,,2.866e-17
230.73,4.001e+2,4.001e+2,,2.875e-17
230.76,1.816e+2,1.816e+2,,2.889e-17
230.78,9.946e+1,9.946e+1,,2.898e-17
230.81,3.602e+1,3.602e+1,,2.912e-17
230.83,1.697e+1,1.697e+1,,2.921e-17
230.86,4.904e+0,4.904e+0,,2.935e-17
230.88,1.988e+0,1.988e+0,,2.944e-17
230.91,4.584e-1,4.584e-1,,2.957e-17
230.93,1.599e-1,1.599e-1,,2.967e-17
230.96,2.941e-2,2.941e-2,,2.980e-17
230.98,8.824e-3,8.824e-3,,2.989e-17
231,2.493e-3,2.493e-3,,2.999e-17
231.03,3.343e-4,3.343e-4,,3.012e-17
231.05,8.125e-5,8.125e-5,,3.021e-17
231.08,8.696e-6,8.696e-6,,3.035e-17
231.1,1.818e-6,1.818e-6,,3.044e-17
231.13,1.553e-7,1.553e-7,,3.058e-17
231.15,2.793e-8,2.793e-8,,3.067e-17
231.18,1.903e-9,1.903e-9,,3.081e-17
231.2,2.945e-10,2.945e-10,,3.090e-17
231.23,1.601e-11,1.601e-11,,3.103e-17
231.25,2.131e-12,2.131e-12,,3.113e-17
232.41,3.642e-17,1.753e-12,,3.642e-17
232.44,8.296e-16,1.744e-12,,8.296e-16
232.46,6.151e-15,1.737e-12,,6.151e-15
232.49,1.112e-13,1.727e-12,,1.112e-13
232.51,7.122e-13,1.721e-12,,7.122e-13
232.53,4.300e-12,1.714e-12,,4.300e-12
232.56,5.717e-11,1.705e-12,,5.717e-11
232.58,2.982e-10,1.698e-12,,2.982e-10
232.61,3.183e-9,1.688e-12,,3.183e-9
232.63,1.434e-8,1.682e-12,,1.434e-8
232.66,1.230e-7,1.672e-12,,1.230e-7
232.68,4.791e-7,1.665e-12,,4.791e-7
232.71,3.302e-6,1.656e-12,,3.302e-6
232.73,1.112e-5,1.649e-12,,1.112e-5
232.76,6.166e-5,1.639e-12,,6.166e-5
232.78,1.797e-4,1.633e-12,,1.797e-4
232.81,8.018e-4,1.623e-12,,8.018e-4
232.83,2.023e-3,1.617e-12,,2.023e-3
232.86,7.275e-3,1.607e-12,,7.275e-3
232.88,1.590e-2,1.600e-12,,1.590e-2
232.9,3.281e-2,1.594e-12,,3.281e-2
232.93,8.742e-2,1.584e-12,,8.742e-2
232.95,1.565e-1,1.577e-12,,1.565e-1
232.98,3.371e-1,1.568e-12,,3.371e-1
233,5.241e-1,1.561e-12,,5.241e-1
233.03,9.141e-1,1.551e-12,,9.141e-1
233.05,1.235e+0,1.545e-12,,1.235e+0
233.08,1.746e+0,1.535e-12,,1.746e+0
233.1,2.052e+0,1.529e-12,,2.052e+0
233.13,2.357e+0,1.519e-12,,2.357e+0
233.15,2.413e+0,1.512e-12,,2.413e+0
233.18,2.258e+0,1.502e-12,,2.258e+0
233.2,2.024e+0,1.496e-12,,2.024e+0
233.23,1.578e+0,1.486e-12,,1.578e+0
233.25,1.285e+0,1.480e-12,,1.285e+0
