Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
208.32,2.415e+2,,2.415e+2
208.34,4.195e+2,,4.195e+2
208.37,8.365e+2,,8.365e+2
208.39,1.209e+3,,1.209e+3
208.41,1.623e+3,,1.623e+3
208.44,2.199e+3,,2.199e+3
208.46,2.455e+3,,2.455e+3
208.49,2.524e+3,,2.524e+3
208.51,2.345e+3,,2.345e+3
208.54,1.829e+3,,1.829e+3
208.56,1.414e+3,,1.414e+3
208.59,8.366e+2,,8.366e+2
208.61,5.382e+2,,5.382e+2
208.64,2.430e+2,,2.430e+2
208.66,1.329e+2,,1.329e+2
208.69,5.635e+1,,5.635e+1
208.71,4.436e+1,,4.436e+1
208.73,5.432e+1,,5.432e+1
208.76,1.045e+2,,1.045e+2
208.78,1.600e+2,,1.600e+2
208.81,2.688e+2,,2.688e+2
208.83,3.474e+2,,3.474e+2
208.86,4.449e+2,,4.449e+2
208.88,4.788e+2,,4.788e+2
208.91,4.658e+2,,4.658e+2
208.93,4.173e+2,,4.173e+2
208.96,3.083e+2,,3.083e+2
208.98,2.299e+2,,2.299e+2
209.01,1.291e+2,,1.291e+2
209.03,8.013e+1,,8.013e+1
209.05,4.623e+1,,4.623e+1
209.08,1.766e+1,,1.766e+1
209.1,8.481e+0,,8.481e+0
209.13,2.460e+0,,2.460e+0
209.15,9.838e-1,,9.838e-1
209.18,2.168e-1,,2.168e-1
209.2,7.216e-2,,7.216e-2
209.23,1.208e-2,,1.208e-2
209.25,3.347e-3,,3.347e-3
209.28,4.301e-4,,4.301e-4
209.3,1.229e-4,,1.229e-4
209.33,2.748e-4,,2.748e-4
209.35,1.180e-3,,1.180e-3
209.37,4.869e-3,,4.869e-3
209.4,3.566e-2,,3.566e-2
209.42,1.228e-1,,1.228e-1
209.45,6.846e-1,,6.846e-1
209.47,1.966e+0,,1.966e+0
209.5,8.343e+0,,8.343e+0
209.52,1.997e+1,,1.997e+1
209.55,6.453e+1,,6.453e+1
209.57,1.288e+2,,1.288e+2
209.6,3.168e+2,,3.168e+2
209.62,5.271e+2,,5.271e+2
209.65,9.872e+2,,9.872e+2
209.67,1.369e+3,,1.369e+3
209.69,1.766e+3,,1.766e+3
209.72,2.258e+3,,2.258e+3
209.74,2.428e+3,,2.428e+3
209.77,2.363e+3,,2.363e+3
209.79,2.119e+3,,2.119e+3
209.82,1.570e+3,,1.570e+3
209.84,1.173e+3,,1.173e+3
209.87,6.617e+2,,6.617e+2
209.89,4.124e+2,,4.124e+2
209.92,1.771e+2,,1.771e+2
209.94,9.217e+1,,9.217e+1
209.97,3.092e+1,,3.092e+1
209.99,1.529e+1,,1.529e+1
210.01,1.085e+1,,1.085e+1
210.04,2.019e+1,,2.019e+1
210.06,3.963e+1,,3.963e+1
210.09,1.015e+2,,1.015e+2
210.11,1.746e+2,,1.746e+2
210.14,3.442e+2,,3.442e+2
210.16,4.943e+2,,4.943e+2
210.19,7.427e+2,,7.427e+2
210.21,8.901e+2,,8.901e+2
210.24,1.019e+3,,1.019e+3
210.26,1.019e+3,,1.019e+3
210.29,8.901e+2,,8.901e+2
210.31,7.427e+2,,7.427e+2
210.33,5.765e+2,,5.765e+2
210.36,3.442e+2,,3.442e+2
210.38,2.229e+2,,2.229e+2
210.41,1.015e+2,,1.015e+2
210.43,5.483e+1,,5.483e+1
210.46,1.902e+1,,1.902e+1
210.48,8.579e+0,,8.579e+0
210.51,2.269e+0,,2.269e+0
210.53,8.537e-1,,8.537e-1
210.56,1.721e-1,,1.721e-1
210.58,5.404e-2,,5.404e-2
210.61,8.303e-3,,8.303e-3
210.63,2.176e-3,,2.176e-3
210.65,5.304e-4,,5.304e-4
210.68,5.573e-5,,5.573e-5
210.7,1.133e-5,,1.133e-5
210.73,9.078e-7,,9.078e-7
210.75,1.541e-7,,1.541e-7
210.78,9.409e-9,,9.409e-9
210.8,1.357e-9,,1.357e-9
210.83,6.389e-10,,6.389e-10
210.85,4.291e-9,,4.291e-9
210.88,7.580e-8,,7.580e-8
210.9,4.706e-7,,4.706e-7
210.92,2.720e-6,,2.720e-6
210.95,3.305e-5,,3.305e-5
210.97,1.597e-4,,1.597e-4
211,1.483e-3,,1.483e-3
211.02,5.993e-3,,5.993e-3
211.05,4.255e-2,,4.255e-2
211.07,1.437e-1,,1.437e-1
211.1,7.803e-1,,7.803e-1
211.12,2.204e+0,,2.204e+0
211.15,9.147e+0,,9.147e+0
211.17,2.160e+1,,2.160e+1
211.2,6.853e+1,,6.853e+1
211.22,1.353e+2,,1.353e+2
211.24,2.487e+2,,2.487e+2
211.27,5.418e+2,,5.418e+2
211.29,8.326e+2,,8.326e+2
