Wavelength (nm),Sum(calc),Fe I (4.6e-2),Fe II (2.5e-1),Fe III (3.4e-5),Ni I (1.7e-1),Ni II (5.3e-1),Ni III (1.8e-5)
199.39,1.368e-21,,,1.368e-21,,,
199.42,1.655e-14,,1.655e-14,4.858e-20,,,
199.44,1.897e-13,,1.897e-13,4.749e-19,,,
199.47,6.337e-12,,6.337e-12,1.249e-17,,,
199.49,5.948e-11,,5.948e-11,9.999e-17,,,
199.52,1.472e-9,,1.472e-9,1.949e-15,,,
199.54,1.131e-8,,1.131e-8,1.277e-14,,,
199.57,2.074e-7,,2.074e-7,1.844e-13,,,
199.59,1.305e-6,,1.305e-6,9.893e-13,,,
199.62,1.773e-5,,1.773e-5,1.058e-11,,,
199.64,9.135e-5,,9.135e-5,4.649e-11,,,
199.67,9.195e-4,,9.195e-4,3.685e-10,,,
199.69,3.879e-3,,3.879e-3,1.326e-9,,,
199.72,2.893e-2,,2.893e-2,7.788e-9,,,
199.74,9.992e-2,,9.992e-2,2.295e-8,,,
199.77,5.521e-1,,5.521e-1,1.001e-7,,,
199.79,1.561e+0,,1.561e+0,2.421e-7,,,
199.82,6.392e+0,,6.392e+0,7.870e-7,,,
199.84,1.480e+1,,1.480e+1,1.570e-6,,,
199.87,4.489e+1,,4.489e+1,3.859e-6,,,
199.89,8.512e+1,,8.512e+1,6.455e-6,,,
199.92,1.913e+2,,1.913e+2,1.249e-5,,,
199.94,2.970e+2,,2.970e+2,1.826e-5,,,
199.97,4.944e+2,,4.944e+2,3.028e-5,,,
199.99,6.285e+2,,6.285e+2,4.124e-5,,,
200.01,7.375e+2,,7.375e+2,5.512e-5,,,
200.04,8.069e+2,,8.069e+2,8.149e-5,,,
200.06,7.753e+2,,7.753e+2,1.014e-4,,,
200.09,6.285e+2,,6.285e+2,1.290e-4,1.176e-13,,
200.11,4.944e+2,,4.944e+2,1.417e-4,1.274e-12,,
200.14,2.970e+2,,2.970e+2,1.477e-4,3.919e-11,,
200.16,1.913e+2,,1.913e+2,1.442e-4,3.484e-10,,
200.19,8.512e+1,,8.512e+1,1.378e-4,7.953e-9,,
200.21,4.489e+1,,4.489e+1,1.415e-4,5.795e-8,,
200.24,1.480e+1,,1.480e+1,1.731e-4,9.822e-7,,
200.26,6.392e+0,,6.392e+0,2.142e-4,5.868e-6,,
200.29,1.562e+0,,1.561e+0,2.963e-4,7.383e-5,,
200.31,5.528e-1,,5.521e-1,3.510e-4,3.616e-4,,
200.34,1.039e-1,,1.001e-1,4.062e-4,3.378e-3,,
200.36,4.366e-2,,2.968e-2,4.151e-4,1.357e-2,,
200.39,1.036e-1,,9.104e-3,3.903e-4,9.406e-2,,
200.41,3.282e-1,,1.812e-2,3.605e-4,3.097e-1,,
200.44,1.683e+0,,8.864e-2,3.209e-4,1.594e+0,,
200.46,4.543e+0,,2.390e-1,3.063e-4,4.303e+0,,
200.49,1.736e+1,,9.134e-1,2.997e-4,1.644e+1,,
