Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
218.19,1.525e+2,9.293e-14,1.525e+2,
218.21,3.647e+2,9.380e-14,3.647e+2,
218.24,1.189e+3,9.510e-14,1.189e+3,
218.26,2.404e+3,9.596e-14,2.404e+3,
218.29,6.095e+3,9.727e-14,6.095e+3,
218.31,1.042e+4,9.813e-14,1.042e+4,
218.34,2.055e+4,9.943e-14,2.055e+4,
218.36,2.971e+4,9.291e-13,2.971e+4,
218.39,4.556e+4,2.341e-11,4.556e+4,
218.41,5.571e+4,1.852e-10,5.571e+4,
218.44,6.643e+4,3.634e-9,6.643e+4,
218.46,6.869e+4,2.432e-8,6.869e+4,
218.49,6.370e+4,3.717e-7,6.370e+4,
218.51,5.571e+4,2.106e-6,5.571e+4,
218.54,4.017e+4,2.506e-5,4.017e+4,
218.56,2.971e+4,1.202e-4,2.971e+4,
218.59,1.666e+4,1.113e-3,1.666e+4,
218.61,1.042e+4,4.519e-3,1.042e+4,
218.64,4.545e+3,3.261e-2,4.545e+3,
218.66,2.404e+3,1.120e-1,2.404e+3,
218.69,8.160e+2,6.293e-1,8.154e+2,
218.71,3.665e+2,1.830e+0,3.647e+2,
218.74,1.042e+2,8.005e+0,9.619e+1,
218.76,5.608e+1,1.970e+1,3.638e+1,
218.79,7.457e+1,6.711e+1,7.464e+0,
218.81,1.422e+2,1.398e+2,2.387e+0,
218.84,3.712e+2,3.708e+2,3.809e-1,
218.86,6.538e+2,6.537e+2,1.030e-1,
218.89,1.350e+3,1.350e+3,1.278e-2,
218.91,2.015e+3,2.015e+3,2.924e-3,
218.93,2.813e+3,2.813e+3,6.254e-4,
218.96,4.093e+3,4.093e+3,5.457e-5,
218.98,4.836e+3,4.836e+3,9.871e-6,
219.01,5.481e+3,5.481e+3,6.698e-7,
219.03,5.481e+3,5.481e+3,1.025e-7,
219.06,4.836e+3,4.836e+3,5.407e-9,
219.08,4.093e+3,4.093e+3,6.995e-10,
219.11,2.813e+3,2.813e+3,2.871e-11,
219.13,2.015e+3,2.015e+3,2.714e-11,
219.16,1.078e+3,1.078e+3,2.479e-11,
219.18,6.537e+2,6.537e+2,2.322e-11,
219.21,2.724e+2,2.724e+2,2.087e-11,
219.23,1.398e+2,1.398e+2,1.930e-11,
219.26,4.535e+1,4.535e+1,1.695e-11,
219.28,1.970e+1,1.970e+1,1.539e-11,
219.31,4.978e+0,4.978e+0,1.303e-11,
219.33,1.837e+0,1.837e+0,1.147e-11,
219.36,4.096e-1,4.096e-1,9.117e-12,
219.38,2.812e-1,2.812e-1,7.550e-12,
219.41,9.573e-1,9.573e-1,5.199e-12,
219.43,2.719e+0,2.719e+0,3.632e-12,
219.46,1.176e+1,1.176e+1,1.282e-12,
219.48,2.878e+1,2.878e+1,1.171e-11,
219.51,9.727e+1,9.727e+1,2.855e-10,
219.53,2.017e+2,2.017e+2,2.211e-9,
219.56,5.316e+2,5.316e+2,4.211e-8,
219.58,9.337e+2,9.337e+2,2.765e-7,
219.61,1.920e+3,1.920e+3,4.110e-6,
219.63,2.857e+3,2.857e+3,2.288e-5,
219.66,4.581e+3,4.581e+3,2.655e-4,
219.68,5.777e+3,5.777e+3,1.253e-3,
219.71,7.226e+3,7.226e+3,1.135e-2,
219.73,7.721e+3,7.721e+3,4.543e-2,
219.75,7.721e+3,7.721e+3,1.702e-1,
219.78,6.820e+3,6.819e+3,1.090e+0,
219.8,5.781e+3,5.778e+3,3.461e+0,
219.83,3.998e+3,3.980e+3,1.731e+1,
219.85,2.906e+3,2.859e+3,4.660e+1,
219.88,1.726e+3,1.544e+3,1.819e+2,
219.9,1.371e+3,9.555e+2,4.153e+2,
219.93,1.730e+3,4.645e+2,1.265e+3,
219.95,2.802e+3,3.531e+2,2.449e+3,
219.98,6.290e+3,4.636e+2,5.826e+3,
220,1.029e+4,7.259e+2,9.561e+3,
220.03,1.919e+4,1.437e+3,1.776e+4,
220.05,2.683e+4,2.127e+3,2.470e+4,
220.08,3.921e+4,3.401e+3,3.581e+4,
220.1,4.652e+4,4.284e+3,4.224e+4,
220.13,5.316e+4,5.353e+3,4.781e+4,
220.15,5.352e+4,5.718e+3,4.781e+4,
220.18,4.782e+4,5.579e+3,4.224e+4,
220.2,4.086e+4,5.053e+3,3.581e+4,
220.23,2.855e+4,3.848e+3,2.470e+4,
220.25,2.071e+4,2.955e+3,1.776e+4,
220.28,1.132e+4,1.757e+3,9.561e+3,
220.3,6.972e+3,1.144e+3,5.828e+3,
220.33,2.987e+3,5.309e+2,2.456e+3,
220.35,1.579e+3,2.931e+2,1.285e+3,
220.38,6.114e+2,1.062e+2,5.052e+2,
220.4,4.574e+2,4.971e+1,4.077e+2,
220.43,8.540e+2,1.406e+1,8.399e+2,
220.45,1.712e+3,5.580e+0,1.706e+3,
220.48,4.644e+3,1.232e+0,4.643e+3,
220.5,8.383e+3,4.146e-1,8.382e+3,
220.53,1.799e+4,7.148e-2,1.799e+4,
220.55,2.758e+4,2.039e-2,2.758e+4,
220.57,3.959e+4,5.444e-3,3.959e+4,
220.6,6.019e+4,6.637e-4,6.019e+4,
220.62,7.330e+4,1.503e-4,7.330e+4,
220.65,8.710e+4,1.430e-5,8.710e+4,
220.67,9.001e+4,2.745e-6,9.001e+4,
220.7,8.360e+4,2.040e-7,8.360e+4,
220.72,7.331e+4,3.319e-8,7.331e+4,
220.75,5.324e+4,1.925e-9,5.324e+4,
220.77,3.966e+4,2.657e-10,3.966e+4,
220.8,2.273e+4,1.203e-11,2.273e+4,
220.82,1.475e+4,1.407e-12,1.475e+4,
220.85,7.842e+3,4.976e-14,7.842e+3,
220.87,6.172e+3,5.011e-14,6.172e+3,
220.9,7.171e+3,5.065e-14,7.171e+3,
220.92,9.721e+3,5.101e-14,9.721e+3,
220.95,1.554e+4,5.155e-14,1.554e+4,
220.97,2.006e+4,5.191e-14,2.006e+4,
221,2.622e+4,5.244e-14,2.622e+4,
221.02,2.892e+4,5.280e-14,2.892e+4,
221.05,2.963e+4,5.334e-14,2.963e+4,
221.07,2.775e+4,5.370e-14,2.775e+4,
221.1,2.225e+4,5.423e-14,2.225e+4,
221.12,1.769e+4,5.459e-14,1.769e+4,
221.15,1.109e+4,5.513e-14,1.109e+4,
221.17,7.489e+3,5.549e-14,7.489e+3,
221.2,3.674e+3,5.603e-14,3.674e+3,
221.22,2.105e+3,5.638e-14,2.105e+3,
221.25,8.086e+2,5.692e-14,8.086e+2,
221.27,3.959e+2,5.728e-14,3.959e+2,
221.3,1.349e+2,5.782e-14,1.349e+2,
221.32,9.994e+1,5.818e-14,9.994e+1,
221.34,1.641e+2,5.853e-14,1.641e+2,
221.37,6.176e+2,5.907e-14,6.176e+2,
221.39,1.480e+3,5.943e-14,1.480e+3,
221.42,4.893e+3,5.997e-14,4.893e+3,
221.44,1.002e+4,6.032e-14,1.002e+4,
221.47,2.597e+4,6.086e-14,2.597e+4,
221.49,4.518e+4,6.122e-14,4.518e+4,
221.52,9.174e+4,6.176e-14,9.174e+4,
221.54,1.356e+5,6.212e-14,1.356e+5,
221.57,2.157e+5,6.265e-14,2.157e+5,
221.59,2.709e+5,6.301e-14,2.709e+5,
221.62,3.375e+5,6.355e-14,3.375e+5,
221.64,3.602e+5,6.391e-14,3.602e+5,
221.67,3.516e+5,6.445e-14,3.516e+5,
221.69,3.188e+5,6.480e-14,3.188e+5,
221.72,2.437e+5,6.534e-14,2.437e+5,
221.74,1.878e+5,6.570e-14,1.878e+5,
221.77,1.125e+5,6.624e-14,1.125e+5,
221.79,7.376e+4,6.659e-14,7.376e+4,
221.82,3.492e+4,6.713e-14,3.492e+4,
221.84,1.999e+4,6.749e-14,1.999e+4,
221.87,8.959e+3,6.803e-14,8.959e+3,
221.89,6.532e+3,6.839e-14,6.532e+3,
221.92,7.125e+3,6.892e-14,7.125e+3,
221.94,9.198e+3,6.928e-14,9.198e+3,
221.97,1.343e+4,6.982e-14,1.343e+4,
221.99,1.628e+4,7.018e-14,1.628e+4,
222.02,1.944e+4,7.072e-14,1.944e+4,
222.04,2.039e+4,7.107e-14,2.039e+4,
222.07,2.019e+4,7.161e-14,2.019e+4,
222.09,1.967e+4,7.197e-14,1.967e+4,
222.12,2.034e+4,7.251e-14,2.034e+4,
222.14,2.316e+4,7.287e-14,2.316e+4,
222.16,2.876e+4,7.322e-14,2.876e+4,
222.19,4.277e+4,7.376e-14,4.277e+4,
222.21,5.499e+4,7.412e-14,5.499e+4,
222.24,7.413e+4,7.466e-14,7.413e+4,
222.26,8.478e+4,7.501e-14,8.478e+4,
222.29,9.400e+4,7.555e-14,9.400e+4,
222.31,9.518e+4,7.591e-14,9.518e+4,
222.34,9.216e+4,7.645e-14,9.216e+4,
222.36,8.985e+4,7.681e-14,8.985e+4,
222.39,9.065e+4,7.734e-14,9.065e+4,
222.41,9.516e+4,7.770e-14,9.516e+4,
222.44,1.061e+5,7.824e-14,1.061e+5,
222.46,1.135e+5,7.860e-14,1.135e+5,
222.49,1.201e+5,7.914e-14,1.201e+5,
222.51,1.200e+5,7.949e-14,1.200e+5,
222.54,1.136e+5,8.003e-14,1.136e+5,
222.56,1.065e+5,8.039e-14,1.065e+5,
222.59,9.407e+4,8.093e-14,9.407e+4,
222.61,8.532e+4,8.128e-14,8.532e+4,
222.64,7.137e+4,8.182e-14,7.137e+4,
222.66,6.131e+4,8.218e-14,6.131e+4,
222.69,4.545e+4,8.272e-14,4.545e+4,
222.71,3.511e+4,8.308e-14,3.511e+4,
222.74,2.154e+4,8.361e-14,2.154e+4,
222.76,1.447e+4,8.397e-14,1.447e+4,
222.79,7.101e+3,8.451e-14,7.101e+3,
222.81,4.088e+3,8.487e-14,4.088e+3,
222.84,1.585e+3,8.541e-14,1.585e+3,
222.86,7.783e+2,8.576e-14,7.783e+2,
222.89,2.374e+2,8.630e-14,2.374e+2,
222.91,9.927e+1,8.666e-14,9.927e+1,
222.94,2.379e+1,8.720e-14,2.379e+1,
222.96,8.466e+0,8.755e-14,8.466e+0,
222.98,2.825e+0,8.791e-14,2.825e+0,
223.01,4.824e-1,8.845e-14,4.824e-1,
223.03,1.370e-1,8.881e-14,1.370e-1,
223.06,1.836e-2,8.935e-14,1.836e-2,
223.08,4.437e-3,8.970e-14,4.437e-3,
223.11,4.669e-4,9.024e-14,4.669e-4,
223.13,9.600e-5,9.060e-14,9.600e-5,
223.16,7.930e-6,9.114e-14,7.930e-6,
223.18,1.388e-6,9.150e-14,1.388e-6,
223.21,8.997e-8,9.203e-14,8.997e-8,
223.23,1.340e-8,9.239e-14,1.340e-8,
223.26,6.819e-10,9.293e-14,6.819e-10,
223.28,8.639e-11,9.329e-14,8.639e-11,
223.31,3.452e-12,9.382e-14,3.452e-12,
223.75,1.017e-13,1.017e-13,6.425e-12,
223.78,2.658e-12,2.658e-12,6.628e-12,
223.8,2.162e-11,2.162e-11,6.763e-12,
223.83,4.453e-10,4.453e-10,6.966e-12,
223.85,3.091e-9,3.091e-9,7.101e-12,
223.88,5.016e-8,5.016e-8,7.304e-12,
223.9,2.970e-7,2.970e-7,7.439e-12,
223.93,3.799e-6,3.799e-6,7.642e-12,
223.95,1.919e-5,1.919e-5,7.777e-12,
223.98,1.934e-4,1.934e-4,7.980e-12,
224,8.336e-4,8.336e-4,8.115e-12,
224.03,6.621e-3,6.621e-3,8.318e-12,
224.05,2.435e-2,2.435e-2,8.453e-12,
224.08,1.524e-1,1.524e-1,8.656e-12,
224.1,4.781e-1,4.781e-1,8.791e-12,
224.13,2.358e+0,2.358e+0,8.994e-12,
224.15,6.313e+0,6.313e+0,9.129e-12,
224.18,2.454e+1,2.454e+1,9.332e-12,
224.2,5.604e+1,5.604e+1,9.467e-12,
224.23,1.717e+2,1.717e+2,9.670e-12,
224.25,3.344e+2,3.344e+2,9.805e-12,
224.28,8.074e+2,8.074e+2,1.001e-11,
224.3,1.342e+3,1.342e+3,1.014e-11,
224.33,2.553e+3,2.553e+3,1.035e-11,
224.35,3.621e+3,3.621e+3,1.048e-11,
224.38,5.428e+3,5.428e+3,1.068e-11,
224.4,6.568e+3,6.568e+3,1.082e-11,
224.43,7.759e+3,7.759e+3,1.102e-11,
224.45,8.010e+3,8.010e+3,1.116e-11,
224.48,7.457e+3,7.457e+3,1.136e-11,
224.5,6.568e+3,6.568e+3,1.149e-11,
224.53,4.819e+3,4.819e+3,1.170e-11,
224.55,3.621e+3,3.621e+3,1.183e-11,
224.57,2.553e+3,2.553e+3,1.197e-11,
224.6,1.342e+3,1.342e+3,1.217e-11,
224.62,8.074e+2,8.074e+2,1.231e-11,
224.65,3.344e+2,3.344e+2,1.251e-11,
224.67,1.717e+2,1.717e+2,1.264e-11,
224.7,5.604e+1,5.604e+1,1.285e-11,
224.72,2.454e+1,2.454e+1,1.060e-10,
224.75,6.313e+0,6.313e+0,2.232e-9,
224.77,2.358e+0,2.358e+0,1.573e-8,
224.8,4.781e-1,4.781e-1,2.616e-7,
224.82,1.524e-1,1.524e-1,1.575e-6,
224.85,2.438e-2,2.436e-2,2.068e-5,
224.87,6.767e-3,6.660e-3,1.064e-4,
224.9,2.302e-3,1.199e-3,1.103e-3,
224.92,6.548e-3,1.701e-3,4.848e-3,
224.95,5.093e-2,1.125e-2,3.968e-2,
224.97,1.886e-1,3.961e-2,1.490e-1,
225,1.196e+0,2.330e-1,9.629e-1,
225.02,3.790e+0,7.020e-1,3.088e+0,
225.05,1.902e+1,3.262e+0,1.576e+1,
225.07,5.158e+1,8.396e+0,4.319e+1,
225.1,2.049e+2,3.082e+1,1.740e+2,
225.12,4.751e+2,6.779e+1,4.073e+2,
225.15,1.493e+3,1.967e+2,1.296e+3,
225.17,2.962e+3,3.700e+2,2.592e+3,
225.2,7.362e+3,8.498e+2,6.512e+3,
225.22,1.249e+4,1.370e+3,1.112e+4,
225.25,2.457e+4,2.501e+3,2.207e+4,
225.27,3.567e+4,3.469e+3,3.221e+4,
225.3,5.554e+4,5.088e+3,5.045e+4,
225.32,6.903e+4,6.133e+3,6.289e+4,
225.35,8.518e+4,7.387e+3,7.779e+4,
225.37,9.075e+4,7.902e+3,8.285e+4,
225.39,9.098e+4,8.124e+3,8.285e+4,
225.42,8.157e+4,7.949e+3,7.362e+4,
225.44,7.045e+4,7.552e+3,6.289e+4,
225.47,5.077e+4,6.640e+3,4.413e+4,
225.49,3.808e+4,5.874e+3,3.221e+4,
225.52,2.242e+4,4.581e+3,1.784e+4,
225.54,1.482e+4,3.694e+3,1.112e+4,
225.57,7.333e+3,2.467e+3,4.866e+3,
225.59,4.390e+3,1.798e+3,2.592e+3,
225.62,2.010e+3,1.115e+3,8.952e+2,
225.64,1.307e+3,9.000e+2,4.073e+2,
225.67,1.061e+3,9.494e+2,1.111e+2,
225.69,1.260e+3,1.217e+3,4.319e+1,
225.72,1.917e+3,1.908e+3,9.300e+0,
225.74,2.494e+3,2.491e+3,3.088e+0,
225.77,3.360e+3,3.360e+3,5.251e-1,
225.79,3.805e+3,3.805e+3,1.490e-1,
225.82,4.081e+3,4.081e+3,2.000e-2,
225.84,3.955e+3,3.955e+3,4.848e-3,
225.87,3.354e+3,3.354e+3,5.143e-4,
225.89,2.778e+3,2.778e+3,1.085e-4,
225.92,1.862e+3,1.862e+3,3.609e-5,
225.94,1.319e+3,1.319e+3,1.393e-4,
225.97,6.986e+2,6.986e+2,1.397e-3,
225.99,4.229e+2,4.228e+2,6.055e-3,
226.02,1.771e+2,1.770e+2,4.860e-2,
226.04,9.178e+1,9.160e+1,1.802e-1,
226.07,3.145e+1,3.031e+1,1.145e+0,
226.09,1.704e+1,1.340e+1,3.631e+0,
226.12,2.176e+1,3.505e+0,1.825e+1,
226.14,5.087e+1,1.325e+0,4.954e+1,
226.16,1.268e+2,4.705e-1,1.263e+2,
226.19,4.577e+2,8.849e-2,4.576e+2,
226.21,9.983e+2,2.686e-2,9.983e+2,
226.24,2.862e+3,3.993e-3,2.862e+3,
226.26,5.341e+3,1.036e-3,5.341e+3,
226.29,1.212e+4,1.217e-4,1.212e+4,
226.31,1.935e+4,2.699e-5,1.935e+4,
226.34,3.473e+4,2.506e-6,3.473e+4,
226.36,4.745e+4,4.750e-7,4.745e+4,
226.39,6.740e+4,3.485e-8,6.740e+4,
226.41,7.878e+4,5.648e-9,7.878e+4,
226.44,8.856e+4,3.275e-10,8.856e+4,
226.46,8.856e+4,4.537e-11,8.856e+4,
226.49,7.878e+4,2.079e-12,7.878e+4,
226.51,6.740e+4,2.462e-13,6.740e+4,
226.54,4.745e+4,2.453e-13,4.745e+4,
226.56,3.473e+4,2.447e-13,3.473e+4,
226.59,1.935e+4,2.438e-13,1.935e+4,
226.61,1.212e+4,2.431e-13,1.212e+4,
226.64,5.343e+3,2.422e-13,5.343e+3,
226.66,2.868e+3,2.416e-13,2.868e+3,
226.69,1.028e+3,2.407e-13,1.028e+3,
226.71,5.373e+2,2.401e-13,5.373e+2,
226.74,4.410e+2,2.392e-13,4.410e+2,
226.76,7.771e+2,2.386e-13,7.771e+2,
226.79,2.288e+3,2.377e-13,2.288e+3,
226.81,4.511e+3,2.371e-13,4.511e+3,
226.84,1.118e+4,2.362e-13,1.118e+4,
226.86,1.895e+4,2.355e-13,1.895e+4,
226.89,3.722e+4,2.346e-13,3.722e+4,
226.91,5.402e+4,2.340e-13,5.402e+4,
226.94,8.408e+4,2.331e-13,8.408e+4,
226.96,1.045e+5,2.325e-13,1.045e+5,
226.98,1.220e+5,2.319e-13,1.220e+5,
227.01,1.371e+5,2.310e-13,1.371e+5,
227.03,1.371e+5,2.304e-13,1.371e+5,
227.06,1.220e+5,2.295e-13,1.220e+5,
227.08,1.045e+5,2.289e-13,1.045e+5,
227.11,7.369e+4,2.279e-13,7.369e+4,
227.13,5.402e+4,2.273e-13,5.402e+4,
227.16,3.018e+4,2.264e-13,3.018e+4,
227.18,1.895e+4,2.258e-13,1.895e+4,
227.21,8.387e+3,2.249e-13,8.387e+3,
227.23,4.508e+3,2.243e-13,4.508e+3,
227.26,1.581e+3,2.234e-13,1.581e+3,
227.28,7.276e+2,2.228e-13,7.276e+2,
227.31,2.022e+2,2.219e-13,2.022e+2,
227.33,7.966e+1,2.213e-13,7.966e+1,
227.36,1.754e+1,2.204e-13,1.754e+1,
227.38,5.917e+0,2.197e-13,5.917e+0,
227.41,1.035e+0,2.188e-13,1.035e+0,
227.43,3.120e-1,2.182e-13,3.120e-1,
227.46,1.449e-1,2.173e-13,1.449e-1,
227.48,3.770e-1,2.167e-13,3.770e-1,
227.51,2.175e+0,2.158e-13,2.175e+0,
227.53,6.592e+0,2.152e-13,6.592e+0,
227.56,3.100e+1,2.143e-13,3.100e+1,
227.58,8.058e+1,2.137e-13,8.058e+1,
227.61,3.008e+2,2.128e-13,3.008e+2,
227.63,6.702e+2,2.121e-13,6.702e+2,
227.66,1.986e+3,2.112e-13,1.986e+3,
227.68,3.793e+3,2.106e-13,3.793e+3,
227.71,8.918e+3,2.097e-13,8.918e+3,
227.73,1.460e+4,2.091e-13,1.460e+4,
227.75,2.248e+4,2.085e-13,2.248e+4,
227.78,3.824e+4,2.076e-13,3.824e+4,
227.8,5.046e+4,2.070e-13,5.046e+4,
227.83,6.815e+4,2.061e-13,6.815e+4,
227.85,7.709e+4,2.055e-13,7.709e+4,
227.88,8.262e+4,2.045e-13,8.262e+4,
227.9,8.011e+4,2.039e-13,8.011e+4,
227.93,6.815e+4,2.030e-13,6.815e+4,
227.95,5.664e+4,2.024e-13,5.664e+4,
227.98,3.824e+4,2.015e-13,3.824e+4,
228,2.725e+4,2.009e-13,2.725e+4,
228.03,1.460e+4,2.000e-13,1.460e+4,
228.05,8.918e+3,1.650e-12,8.918e+3,
228.08,3.793e+3,3.485e-11,3.793e+3,
228.1,1.986e+3,2.468e-10,1.986e+3,
228.13,6.702e+2,4.145e-9,6.702e+2,
228.15,3.008e+2,2.518e-8,3.008e+2,
228.18,8.058e+1,3.363e-7,8.058e+1,
228.2,3.100e+1,1.754e-6,3.100e+1,
228.23,6.593e+0,1.862e-5,6.593e+0,
228.25,2.178e+0,8.331e-5,2.178e+0,
228.28,4.005e-1,7.033e-4,3.998e-1,
228.3,2.256e-1,2.701e-3,2.229e-1,
228.33,7.619e-1,1.812e-2,7.438e-1,
228.35,2.327e+0,5.974e-2,2.267e+0,
228.38,1.134e+1,3.187e-1,1.102e+1,
228.4,3.023e+1,9.016e-1,2.933e+1,
228.43,1.174e+2,3.824e+0,1.135e+2,
228.45,2.686e+2,9.283e+0,2.593e+2,
228.48,8.294e+2,3.131e+1,7.981e+2,
228.5,1.629e+3,6.522e+1,1.564e+3,
228.53,4.002e+3,1.749e+2,3.827e+3,
228.55,6.750e+3,3.127e+2,6.437e+3,
228.57,1.071e+4,5.259e+2,1.019e+4,
228.6,1.910e+4,1.023e+3,1.807e+4,
228.62,2.602e+4,1.477e+3,2.454e+4,
228.65,3.691e+4,2.289e+3,3.462e+4,
228.67,4.319e+4,2.847e+3,4.034e+4,
228.7,4.880e+4,3.557e+3,4.525e+4,
228.72,4.914e+4,3.893e+3,4.525e+4,
228.75,4.462e+4,4.277e+3,4.034e+4,
228.77,3.930e+4,4.679e+3,3.462e+4,
228.8,3.081e+4,6.265e+3,2.454e+4,
228.82,2.669e+4,8.620e+3,1.807e+4,
228.85,2.550e+4,1.532e+4,1.019e+4,
228.87,2.885e+4,2.241e+4,6.437e+3,
228.9,3.982e+4,3.694e+4,2.884e+3,
228.92,4.987e+4,4.831e+4,1.564e+3,
228.95,6.538e+4,6.482e+4,5.571e+2,
228.97,7.343e+4,7.318e+4,2.593e+2,
229,7.842e+4,7.835e+4,7.343e+1,
229.02,7.602e+4,7.599e+4,2.933e+1,
229.05,6.479e+4,6.478e+4,6.603e+0,
229.07,5.401e+4,5.401e+4,2.263e+0,
229.1,3.684e+4,3.684e+4,4.051e-1,
229.12,2.669e+4,2.669e+4,1.192e-1,
229.15,1.536e+4,1.536e+4,1.718e-2,
229.17,1.066e+4,1.066e+4,5.306e-3,
229.2,7.283e+3,7.283e+3,9.444e-3,
229.22,6.803e+3,6.803e+3,3.536e-2,
229.25,7.497e+3,7.497e+3,2.459e-1,
229.27,8.255e+3,8.254e+3,8.333e-1,
229.3,9.001e+3,8.996e+3,4.648e+0,
229.32,8.960e+3,8.946e+3,1.358e+1,
229.35,8.021e+3,7.960e+3,6.065e+1,
229.37,6.986e+3,6.833e+3,1.529e+2,
229.39,5.885e+3,5.521e+3,3.636e+2,
229.42,4.774e+3,3.578e+3,1.196e+3,
229.44,4.945e+3,2.484e+3,2.461e+3,
229.47,7.815e+3,1.281e+3,6.534e+3,
229.49,1.244e+4,7.639e+2,1.168e+4,
229.52,2.546e+4,3.137e+2,2.515e+4,
229.54,3.934e+4,1.606e+2,3.918e+4,
229.57,6.898e+4,5.250e+1,6.893e+4,
229.59,9.414e+4,2.309e+1,9.411e+4,
229.62,1.366e+5,6.009e+0,1.366e+5,
229.64,1.647e+5,2.281e+0,1.647e+5,
229.67,2.000e+5,5.545e-1,2.000e+5,
229.69,2.155e+5,4.364e-1,2.155e+5,
229.72,2.237e+5,1.580e+0,2.237e+5,
229.74,2.193e+5,4.485e+0,2.193e+5,
229.77,2.004e+5,1.954e+1,2.004e+5,
229.79,1.821e+5,4.840e+1,1.821e+5,
229.82,1.500e+5,1.684e+2,1.499e+5,
229.84,1.275e+5,3.585e+2,1.271e+5,
229.87,9.477e+4,9.942e+2,9.378e+4,
229.89,7.510e+4,1.820e+3,7.328e+4,
229.92,5.095e+4,4.024e+3,4.693e+4,
229.94,3.930e+4,6.332e+3,3.297e+4,
229.97,2.890e+4,1.116e+4,1.774e+4,
229.99,2.617e+4,1.510e+4,1.107e+4,
230.02,2.650e+4,2.123e+4,5.262e+3,
230.04,2.833e+4,2.472e+4,3.608e+3,
230.07,3.178e+4,2.778e+4,3.998e+3,
230.09,3.432e+4,2.792e+4,6.405e+3,
230.12,3.989e+4,2.533e+4,1.456e+4,
230.14,4.644e+4,2.227e+4,2.417e+4,
230.16,5.672e+4,1.878e+4,3.794e+4,
230.19,8.065e+4,1.388e+4,6.677e+4,
230.21,1.016e+5,1.134e+4,9.027e+4,
230.24,1.356e+5,8.817e+3,1.267e+5,
230.26,1.552e+5,7.816e+3,1.474e+5,
230.29,1.718e+5,6.783e+3,1.650e+5,
230.31,1.712e+5,6.128e+3,1.650e+5,
230.34,1.523e+5,4.962e+3,1.474e+5,
230.36,1.308e+5,4.075e+3,1.267e+5,
230.39,9.301e+4,2.743e+3,9.027e+4,
230.41,6.873e+4,1.963e+3,6.676e+4,
230.44,3.899e+4,1.069e+3,3.792e+4,
230.46,2.479e+4,6.702e+2,2.412e+4,
230.49,1.126e+4,3.334e+2,1.093e+4,
230.51,6.229e+3,2.532e+2,5.976e+3,
230.54,2.482e+3,3.228e+2,2.159e+3,
230.56,1.519e+3,5.032e+2,1.016e+3,
230.59,1.308e+3,1.015e+3,2.926e+2,
230.61,1.658e+3,1.539e+3,1.184e+2,
230.64,2.608e+3,2.581e+3,2.720e+1,
230.66,3.392e+3,3.382e+3,9.462e+0,
230.69,4.535e+3,4.534e+3,1.734e+0,
230.71,5.113e+3,5.113e+3,5.188e-1,
230.74,5.470e+3,5.470e+3,7.581e-2,
230.76,5.308e+3,5.308e+3,1.951e-2,
230.79,4.534e+3,4.534e+3,2.274e-3,
230.81,3.786e+3,3.786e+3,5.031e-4,
230.84,2.583e+3,2.583e+3,4.676e-5,
230.86,1.860e+3,1.860e+3,8.899e-6,
230.89,1.040e+3,1.040e+3,6.597e-7,
230.91,7.077e+2,7.077e+2,1.081e-7,
230.94,6.009e+2,6.009e+2,8.410e-9,
230.96,9.069e+2,9.069e+2,1.499e-8,
230.98,1.733e+3,1.733e+3,9.241e-8,
231.01,4.792e+3,4.792e+3,1.383e-6,
231.03,8.952e+3,8.952e+3,7.801e-6,
231.06,2.053e+4,2.053e+4,9.345e-5,
231.08,3.315e+4,3.315e+4,4.541e-4,
231.11,6.086e+4,6.086e+4,4.350e-3,
231.13,8.477e+4,8.477e+4,1.821e-2,
231.16,1.249e+5,1.249e+5,1.394e-1,
231.18,1.505e+5,1.505e+5,5.028e-1,
231.21,1.798e+5,1.798e+5,3.079e+0,
231.23,1.900e+5,1.900e+5,9.564e+0,
231.26,1.903e+5,1.902e+5,4.682e+1,
231.28,1.828e+5,1.826e+5,1.253e+2,
231.31,1.667e+5,1.662e+5,4.905e+2,
231.33,1.563e+5,1.552e+5,1.131e+3,
231.36,1.446e+5,1.410e+5,3.539e+3,
231.38,1.394e+5,1.323e+5,7.027e+3,
231.41,1.349e+5,1.173e+5,1.758e+4,
231.43,1.348e+5,1.047e+5,3.008e+4,
231.46,1.423e+5,8.210e+4,6.019e+4,
231.48,1.549e+5,6.625e+4,8.870e+4,
231.51,1.871e+5,4.523e+4,1.419e+5,
231.53,2.153e+5,3.517e+4,1.801e+5,
231.56,2.587e+5,2.835e+4,2.304e+5,
231.58,2.817e+5,2.975e+4,2.519e+5,
231.61,2.975e+5,3.989e+4,2.576e+5,
231.63,2.933e+5,5.060e+4,2.427e+5,
231.66,2.672e+5,6.872e+4,1.985e+5,
231.68,2.405e+5,7.941e+4,1.611e+5,
231.71,1.944e+5,8.915e+4,1.053e+5,
231.73,1.638e+5,9.018e+4,7.361e+4,
231.76,1.234e+5,8.491e+4,3.848e+4,
231.78,1.030e+5,7.987e+4,2.317e+4,
231.8,9.052e+4,7.737e+4,1.315e+4,
231.83,9.181e+4,8.678e+4,5.024e+3,
231.85,1.094e+5,1.069e+5,2.456e+3,
231.88,1.636e+5,1.628e+5,7.503e+2,
231.9,2.165e+5,2.162e+5,3.159e+2,
