Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
204.8,1.548e+3,1.548e+3,,
204.82,1.140e+3,1.140e+3,,
204.85,6.251e+2,6.251e+2,,
204.87,3.806e+2,3.806e+2,,
204.9,1.570e+2,1.570e+2,,
204.92,7.967e+1,7.967e+1,,
204.95,2.844e+1,2.844e+1,,
204.97,2.065e+1,2.065e+1,,
205,4.029e+1,4.029e+1,,
205.02,8.193e+1,8.193e+1,,
205.05,2.201e+2,2.201e+2,,
205.07,3.889e+2,3.889e+2,,
205.1,7.929e+2,7.929e+2,,
205.12,1.159e+3,1.159e+3,,
205.15,1.778e+3,1.778e+3,,
205.17,2.150e+3,2.150e+3,,
205.2,2.479e+3,2.479e+3,,
205.22,2.479e+3,2.479e+3,,
205.25,2.150e+3,2.150e+3,,
205.27,1.779e+3,1.779e+3,,
205.3,1.165e+3,1.165e+3,,
205.32,8.068e+2,8.068e+2,,
205.34,5.346e+2,5.346e+2,,
205.37,3.169e+2,3.169e+2,,
205.39,2.998e+2,2.998e+2,,
205.42,4.584e+2,4.584e+2,,
205.44,6.788e+2,6.788e+2,,
205.47,1.140e+3,1.140e+3,,
205.49,1.482e+3,1.482e+3,,
205.52,1.913e+3,1.913e+3,,
205.54,2.063e+3,2.063e+3,,
205.57,2.005e+3,2.005e+3,,
205.59,1.790e+3,1.790e+3,,
205.62,1.309e+3,1.309e+3,,
205.64,9.673e+2,9.673e+2,,
205.67,5.329e+2,5.329e+2,,
205.69,3.262e+2,3.262e+2,,
205.72,1.381e+2,1.381e+2,,
205.74,7.654e+1,7.654e+1,,
205.77,5.251e+1,5.251e+1,,
205.79,7.779e+1,7.779e+1,,
205.82,1.982e+2,1.982e+2,,
205.84,3.592e+2,3.592e+2,,
205.87,7.695e+2,7.695e+2,,
205.89,1.165e+3,1.165e+3,,
205.92,1.884e+3,1.884e+3,,
205.94,2.362e+3,2.362e+3,,
205.97,2.879e+3,2.879e+3,,
205.99,2.990e+3,2.990e+3,,
206.02,2.747e+3,2.747e+3,,
206.04,2.362e+3,2.362e+3,,
206.07,1.636e+3,1.636e+3,,
206.09,1.165e+3,1.165e+3,,
206.11,7.694e+2,7.694e+2,,
206.14,3.585e+2,3.585e+2,,
206.16,1.961e+2,1.961e+2,,
206.19,6.887e+1,6.887e+1,,
206.21,3.120e+1,3.120e+1,,
206.24,8.258e+0,8.258e+0,,
206.26,3.098e+0,3.098e+0,,
206.29,6.181e-1,6.181e-1,,
206.31,1.920e-1,1.920e-1,,
206.34,2.887e-2,2.887e-2,,
206.36,7.429e-3,7.429e-3,,
206.39,8.418e-4,8.418e-4,,
206.41,1.794e-4,1.794e-4,,
206.44,1.532e-5,1.532e-5,,
206.46,2.704e-6,2.704e-6,,
206.49,1.740e-7,1.740e-7,,
206.51,2.543e-8,2.543e-8,,
206.54,1.234e-9,1.234e-9,,
206.56,1.493e-10,1.493e-10,,
206.59,5.459e-12,5.459e-12,,
206.61,5.473e-13,5.473e-13,,
207.9,1.005e-13,1.005e-13,,
207.93,3.530e-12,3.530e-12,,
207.95,3.454e-11,3.454e-11,,
207.98,9.208e-10,9.208e-10,,
208,7.495e-9,7.495e-9,,
208.03,1.516e-7,1.516e-7,,
208.05,1.027e-6,1.027e-6,,
208.08,1.577e-5,1.577e-5,,
208.1,8.883e-5,8.883e-5,,
208.13,1.035e-3,1.035e-3,,
208.15,4.852e-3,4.852e-3,,
208.18,4.290e-2,4.290e-2,,
208.2,1.673e-1,1.673e-1,,
208.23,1.123e+0,1.123e+0,,
208.25,3.644e+0,3.644e+0,,
208.28,1.856e+1,1.856e+1,,
208.3,5.010e+1,5.010e+1,,
208.33,1.936e+2,1.936e+2,,
208.35,4.349e+2,4.349e+2,9.192e-15,
208.38,1.276e+3,1.276e+3,3.179e-13,
208.4,2.384e+3,2.384e+3,3.080e-12,
208.43,5.306e+3,5.306e+3,8.094e-11,
208.45,8.250e+3,8.250e+3,6.529e-10,
208.48,1.394e+4,1.394e+4,1.304e-8,
208.5,1.803e+4,1.803e+4,8.756e-8,
208.52,2.167e+4,2.167e+4,5.465e-7,
208.55,2.487e+4,2.487e+4,7.429e-6,
208.57,2.487e+4,2.487e+4,3.861e-5,
208.6,2.167e+4,2.167e+4,3.988e-4,
208.62,1.803e+4,1.803e+4,1.726e-3,
208.65,1.192e+4,1.192e+4,1.354e-2,
208.67,8.251e+3,8.250e+3,4.880e-2,
208.7,4.140e+3,4.139e+3,2.910e-1,
208.72,2.385e+3,2.384e+3,8.731e-1,
208.75,9.116e+2,9.077e+2,3.956e+0,
208.77,4.448e+2,4.349e+2,9.882e+0,
208.8,1.597e+2,1.257e+2,3.402e+1,
208.82,1.209e+2,5.010e+1,7.077e+1,
208.85,1.961e+2,1.099e+1,1.851e+2,
208.87,3.242e+2,3.644e+0,3.206e+2,
208.9,6.377e+2,6.064e-1,6.371e+2,
208.92,9.191e+2,1.673e-1,9.189e+2,
208.95,1.387e+3,2.113e-2,1.387e+3,
208.97,1.666e+3,4.852e-3,1.666e+3,
209,1.912e+3,4.650e-4,1.912e+3,
209.02,1.912e+3,8.883e-5,1.912e+3,
209.05,1.667e+3,6.461e-6,1.667e+3,
209.07,1.389e+3,1.027e-6,1.389e+3,
209.1,9.250e+2,5.668e-8,9.250e+2,
209.12,6.523e+2,7.495e-9,6.523e+2,
209.15,3.728e+2,3.139e-10,3.728e+2,
209.17,2.935e+2,3.454e-11,2.935e+2,
209.2,3.534e+2,1.098e-12,3.534e+2,
209.22,5.227e+2,1.089e-12,5.227e+2,
209.25,9.788e+2,1.075e-12,9.788e+2,
209.27,1.400e+3,1.066e-12,1.400e+3,
209.3,2.105e+3,1.053e-12,2.105e+3,
209.32,2.526e+3,1.044e-12,2.526e+3,
209.34,2.818e+3,1.035e-12,2.818e+3,
209.37,2.897e+3,1.022e-12,2.897e+3,
209.39,2.693e+3,1.013e-12,2.693e+3,
209.42,2.105e+3,9.990e-13,2.105e+3,
209.44,1.630e+3,9.900e-13,1.630e+3,
209.47,9.689e+2,9.765e-13,9.689e+2,
209.49,6.252e+2,9.676e-13,6.252e+2,
209.52,2.826e+2,9.541e-13,2.826e+2,
209.54,1.519e+2,9.451e-13,1.519e+2,
209.57,5.223e+1,9.316e-13,5.223e+1,
209.59,2.340e+1,9.226e-13,2.340e+1,
209.62,6.117e+0,9.091e-13,6.117e+0,
209.64,2.283e+0,9.001e-13,2.283e+0,
209.67,4.539e-1,8.866e-13,4.539e-1,
209.69,1.411e-1,8.776e-13,1.411e-1,
209.72,2.134e-2,8.641e-13,2.134e-2,
209.74,5.528e-3,8.551e-13,5.528e-3,
209.77,6.357e-4,8.416e-13,6.357e-4,
209.79,1.372e-4,8.326e-13,1.372e-4,
209.82,1.200e-5,8.191e-13,1.200e-5,
209.84,2.158e-6,8.102e-13,2.158e-6,
209.87,1.435e-7,7.967e-13,1.435e-7,
209.89,2.150e-8,7.877e-13,2.150e-8,
209.92,1.087e-9,7.742e-13,1.087e-9,
209.94,1.357e-10,7.652e-13,1.357e-10,
209.97,5.221e-12,7.517e-13,5.221e-12,
209.99,5.430e-13,7.427e-13,5.430e-13,
211.48,7.263e-14,7.263e-14,1.522e-13,
211.51,2.265e-12,2.265e-12,1.443e-13,
211.53,2.053e-11,2.053e-11,1.390e-13,
211.56,4.902e-10,4.902e-10,1.312e-13,
211.58,3.720e-9,3.720e-9,1.259e-13,
211.61,6.804e-8,6.804e-8,1.181e-13,
211.63,4.322e-7,4.322e-7,1.128e-13,
211.66,6.055e-6,6.055e-6,1.049e-13,
211.68,3.220e-5,3.220e-5,9.970e-14,
211.71,3.455e-4,3.455e-4,9.183e-14,
211.73,1.538e-3,1.538e-3,8.658e-14,
211.75,6.377e-3,6.377e-3,8.133e-14,
211.78,4.711e-2,4.711e-2,7.346e-14,
211.8,1.635e-1,1.635e-1,6.822e-14,
211.83,9.253e-1,9.253e-1,6.035e-14,
211.85,2.689e+0,2.689e+0,5.510e-14,
211.88,1.165e+1,1.165e+1,1.698e-12,
211.9,2.834e+1,2.834e+1,1.527e-11,
211.93,9.410e+1,9.410e+1,3.606e-10,
211.95,1.916e+2,1.916e+2,2.717e-9,
211.98,4.872e+2,4.872e+2,4.919e-8,
212,8.305e+2,8.305e+2,3.104e-7,
212.03,1.617e+3,1.617e+3,4.309e-6,
212.05,2.308e+3,2.308e+3,2.278e-5,
212.08,3.443e+3,3.443e+3,2.425e-4,
212.1,4.113e+3,4.113e+3,1.074e-3,
212.13,4.699e+3,4.699e+3,8.760e-3,
212.15,4.700e+3,4.700e+3,3.249e-2,
212.18,4.114e+3,4.114e+3,2.033e-1,
212.2,3.446e+3,3.445e+3,6.316e-1,
212.23,2.321e+3,2.318e+3,3.029e+0,
212.25,1.648e+3,1.640e+3,7.883e+0,
212.28,9.304e+2,9.014e+2,2.898e+1,
212.3,6.895e+2,6.263e+2,6.319e+1,
212.33,7.041e+2,5.260e+2,1.781e+2,
212.35,9.687e+2,6.434e+2,3.253e+2,
212.38,1.744e+3,1.041e+3,7.030e+2,
212.4,2.480e+3,1.404e+3,1.075e+3,
212.43,3.752e+3,1.970e+3,1.782e+3,
212.45,4.551e+3,2.268e+3,2.283e+3,
212.48,5.355e+3,2.455e+3,2.900e+3,
212.5,5.483e+3,2.370e+3,3.113e+3,
212.52,5.244e+3,2.131e+3,3.113e+3,
212.55,4.318e+3,1.590e+3,2.728e+3,
212.57,3.488e+3,1.198e+3,2.290e+3,
212.6,2.246e+3,6.854e+2,1.561e+3,
212.62,1.576e+3,4.324e+2,1.143e+3,
212.65,9.667e+2,1.897e+2,7.770e+2,
212.67,8.785e+2,1.002e+2,7.783e+2,
212.7,1.307e+3,3.371e+1,1.273e+3,
212.72,2.022e+3,1.492e+1,2.007e+3,
212.75,3.792e+3,3.846e+0,3.788e+3,
212.77,5.375e+3,1.426e+0,5.374e+3,
212.8,7.985e+3,2.818e-1,7.985e+3,
212.82,9.525e+3,8.751e-2,9.525e+3,
212.85,1.087e+4,1.326e-2,1.087e+4,
212.87,1.087e+4,3.448e-3,1.087e+4,
212.9,9.524e+3,4.005e-4,9.524e+3,
212.92,7.983e+3,8.726e-5,7.983e+3,
212.95,5.366e+3,7.769e-6,5.366e+3,
212.97,3.769e+3,1.418e-6,3.769e+3,
213,1.944e+3,9.677e-8,1.944e+3,
213.02,1.145e+3,1.479e-8,1.145e+3,
213.05,4.530e+2,7.740e-10,4.530e+2,
213.07,2.235e+2,9.910e-11,2.235e+2,
213.1,6.788e+1,3.975e-12,6.788e+1,
213.12,2.808e+1,4.263e-13,2.808e+1,
213.15,6.542e+0,1.311e-14,6.542e+0,
213.17,2.268e+0,1.662e-14,2.268e+0,
213.2,4.055e-1,2.189e-14,4.055e-1,
213.22,1.178e-1,2.540e-14,1.178e-1,
213.25,1.616e-2,3.067e-14,1.616e-2,
213.27,3.936e-3,3.418e-14,3.936e-3,
213.3,4.143e-4,3.945e-14,4.143e-4,
213.32,8.462e-5,4.297e-14,8.462e-5,
213.34,1.645e-5,4.648e-14,1.645e-5,
213.37,6.296e-6,5.175e-14,6.296e-6,
213.39,2.768e-5,5.526e-14,2.768e-5,
213.42,2.993e-4,6.053e-14,2.993e-4,
213.44,1.347e-3,6.404e-14,1.347e-3,
213.47,1.128e-2,6.931e-14,1.128e-2,
213.49,4.263e-2,7.282e-14,4.263e-2,
213.52,2.747e-1,7.809e-14,2.747e-1,
213.54,8.713e-1,8.160e-14,8.713e-1,
213.57,4.318e+0,8.687e-14,4.318e+0,
213.59,1.150e+1,9.039e-14,1.150e+1,
213.62,4.384e+1,9.565e-14,4.384e+1,
213.64,9.801e+1,9.917e-14,9.801e+1,
213.67,2.874e+2,1.044e-13,2.874e+2,
