Wavelength (nm),Sum(calc),Fe I (1.2e-1),Fe II (6.8e-1),Fe III (9.1e-5),Ni I (4.9e-2),Ni II (1.5e-1),Ni III (5.1e-6)
199.39,3.648e-21,,,3.648e-21,,,
199.42,4.414e-14,,4.414e-14,1.295e-19,,,
199.44,5.059e-13,,5.059e-13,1.266e-18,,,
199.47,1.690e-11,,1.690e-11,3.331e-17,,,
199.49,1.586e-10,,1.586e-10,2.666e-16,,,
199.52,3.926e-9,,3.926e-9,5.197e-15,,,
199.54,3.017e-8,,3.017e-8,3.405e-14,,,
199.57,5.532e-7,,5.532e-7,4.917e-13,,,
199.59,3.481e-6,,3.481e-6,2.638e-12,,,
199.62,4.729e-5,,4.729e-5,2.822e-11,,,
199.64,2.436e-4,,2.436e-4,1.240e-10,,,
199.67,2.452e-3,,2.452e-3,9.826e-10,,,
199.69,1.034e-2,,1.034e-2,3.535e-9,,,
199.72,7.714e-2,,7.714e-2,2.077e-8,,,
199.74,2.664e-1,,2.664e-1,6.121e-8,,,
199.77,1.472e+0,,1.472e+0,2.669e-7,,,
199.79,4.164e+0,,4.164e+0,6.456e-7,,,
199.82,1.705e+1,,1.705e+1,2.099e-6,,,
199.84,3.947e+1,,3.947e+1,4.187e-6,,,
199.87,1.197e+2,,1.197e+2,1.029e-5,,,
199.89,2.270e+2,,2.270e+2,1.721e-5,,,
199.92,5.101e+2,,5.101e+2,3.331e-5,,,
199.94,7.919e+2,,7.919e+2,4.868e-5,,,
199.97,1.318e+3,,1.318e+3,8.075e-5,,,
199.99,1.676e+3,,1.676e+3,1.100e-4,,,
200.01,1.967e+3,,1.967e+3,1.470e-4,,,
200.04,2.152e+3,,2.152e+3,2.173e-4,,,
200.06,2.067e+3,,2.067e+3,2.703e-4,,,
200.09,1.676e+3,,1.676e+3,3.439e-4,3.359e-14,,
200.11,1.318e+3,,1.318e+3,3.778e-4,3.641e-13,,
200.14,7.919e+2,,7.919e+2,3.939e-4,1.120e-11,,
