Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,1.0,0.5,Yb,4.999999999999999
03124_95_random,0.4,0.0,,0.28517521447789
03130_95_random,0.4,0.0,,1.1827007799765554
03134_95_random,0.7,0.0,,0.2352985965814178
070036_95_random,0.7,0.0,,0.1982984383719454
070099_95_random,0.5,0.0,,0.6529379381265117
070101_95_random,0.2,0.5,Er,0.6673131924093251
070159_95_random,0.2,0.0,,0.9013613552903438
070171_95_random,0.6666666666666666,0.0,,0.4480433763221071
07103_95_random,0.3333333333333333,0.0,,0.1490043639230617
07105_95_random,0.3,0.0,,0.2879318142409857
07106_95_random,0.6,0.0,,0.4802268224823965
07107_95_random,0.6,0.0,,0.5891249573648121
07111_95_random,1.0,0.0,,5.00000095
07121_95_random,1.0,0.3333333333333333,La,2.2968076320213746
07122_95_random,0.3,0.0,,0.107414194965344
07125_95_random,1.0,0.0,,5.000000000000014
07141_95_random,0.5714285714285714,0.0,,0.5273438120129498
07145_95_random,0.4444444444444444,0.0,,0.2341806214407077
07405_95_random,0.45454545454545453,0.0,,0.3865263788153364
07407_95_random,0.3,0.0,,0.0334179688339916
07840_95_random,1.0,0.5,Yb,5.000000000000014
