Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.75,0.0,,0.1206670959068774
03124_95_random,0.7272727272727273,0.0,,0.1343117976173688
03130_95_random,0.8571428571428571,0.25,Eu;Tb,0.259879756959825
03134_95_random,0.5555555555555556,0.0,,0.2119817277701317
070036_95_random,1.0,0.0,,1.132792140338617
070099_95_random,0.4,0.0,,0.3652551601897973
070101_95_random,0.5,0.0,,0.0222778183135318
070159_95_random,0.5,0.0,,0.2091417566928261
070171_95_random,1.0,0.3333333333333333,Tb,2.2751402556175857
07103_95_random,0.5,0.0,,0.3691077241959573
07105_95_random,0.5,0.0,,0.093189120730844
07106_95_random,0.5555555555555556,0.0,,0.157177925754991
07107_95_random,0.5714285714285714,0.0,,0.6781323401246363
07111_95_random,0.6666666666666666,0.0,,1.577937008048229
07121_95_random,1.0,0.5,Tb,5.000000950000015
07122_95_random,0.5,0.5,Er,2.486225836951981
07125_95_random,0.5555555555555556,0.0,,0.3168108596441727
07141_95_random,0.7,0.0,,0.1563499781041967
07145_95_random,0.2727272727272727,0.0,,0.3433433997728483
07405_95_random,0.375,0.0,,0.3588219380844442
07407_95_random,0.4,0.0,,0.3348497368169396
07840_95_random,0.5,0.6666666666666666,Yb;Pr,2.793959823520128
