spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.6519,0.0000,0.0000,0.9359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8108.3050
03124_95_random,0.0000,0.0000,0.9508,0.0000,0.0000,0.3175,0.9733,0.0000,0.0000,0.0000,0.6872,0.0000,0.0000,0.0000,0.0000,9830.4734
03130_95_random,0.9469,0.0000,0.0000,0.8682,0.0000,0.0000,0.0000,0.9123,0.0000,0.0000,0.0000,0.0000,0.9480,0.0000,0.0000,8028.3994
03134_95_random,0.0000,0.0000,0.0000,0.0000,0.9851,0.4670,0.8073,0.0000,0.0000,0.9651,0.0000,0.0000,0.0000,0.0000,0.0000,10046.8635
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5549,0.0000,0.0185,0.0000,0.0000,7099.9648
070099_95_random,0.0000,0.0000,0.0000,0.2993,0.0000,0.0000,0.0000,0.0000,0.0000,0.9480,0.0000,0.0000,0.0000,0.0000,0.0000,12210.1740
070101_95_random,0.9560,0.7933,0.0000,0.0000,0.0000,0.5439,0.0000,0.0000,0.0000,0.0000,0.0578,0.0000,0.0000,0.0000,0.0000,9083.9701
070159_95_random,0.9371,0.9737,0.9622,0.0000,0.0000,0.6727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8394.4832
070171_95_random,0.9042,0.0000,0.0000,0.9976,0.0000,0.9192,0.0000,0.0000,0.0000,0.8564,0.0000,0.0000,0.0189,0.0000,0.0000,9528.4528
07103_95_random,0.9719,0.0000,0.0000,0.9309,0.0000,0.1584,0.9654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8935.9308
07105_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8701.6556
07106_95_random,0.9097,0.8074,0.9687,0.0000,0.0000,0.0000,0.0000,0.0000,0.4314,0.8842,0.3273,0.0000,0.0212,0.0000,0.0000,11713.8663
07107_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.7664,0.0000,0.0000,0.8767,0.0000,0.0000,0.0000,0.0104,0.0000,0.0000,7783.5157
07111_95_random,0.0000,0.2599,0.0000,0.0000,0.9084,0.4822,0.0000,0.8115,0.0000,0.0000,0.0000,0.0000,0.0569,0.0000,0.0000,10238.8001
07121_95_random,0.9569,0.0000,0.8155,0.8942,0.7371,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9111.9804
07122_95_random,0.9511,0.0000,0.0000,0.4556,0.9241,0.7810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0847,0.0000,0.0000,12173.6852
07125_95_random,0.9573,0.7740,0.7372,0.0000,0.0000,0.0000,0.0000,0.9238,0.0000,0.9529,0.7894,0.0000,0.0000,0.0000,0.0000,8651.2484
07141_95_random,0.7393,0.0000,0.6161,0.6116,0.0000,0.6613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9595.5338
07145_95_random,0.0000,0.9669,0.0000,0.9243,0.0000,0.4060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0647,0.0000,0.0000,12384.9041
07405_95_random,0.9535,0.0000,0.8887,0.8711,0.0000,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,11573.1040
07407_95_random,0.0000,0.0000,0.0000,0.0325,0.0000,0.0000,0.4073,0.0007,0.0000,0.0000,0.3640,0.0000,0.0676,0.0000,0.0000,13242.9532
07840_95_random,0.0000,0.3161,0.0000,0.0000,0.0000,0.6649,0.0000,0.0000,0.2357,0.0000,0.0000,0.0000,0.0203,0.0000,0.0000,10382.7470
