spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.9853,0.9504,0.9722,0.0000,0.9955,0.5234,0.0637,0.9880,0.1193,0.0000,0.5729,0.0000,0.0000,0.0000,0.9810
03124_95_random,0.0000,0.0000,0.0000,0.9923,0.0000,0.4204,0.8829,0.0000,0.0000,0.0000,0.0119,0.0000,0.0000,0.0000,0.0000
03130_95_random,0.0000,0.8217,0.0000,0.0000,0.0000,0.9249,0.0000,0.8624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95_random,0.9822,0.9368,0.0000,0.9629,0.9786,0.0000,0.0000,0.9574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070036_95_random,0.9871,0.9528,0.0000,0.0000,0.0000,0.6439,0.1557,0.0000,0.0000,0.0000,0.1525,0.0000,0.0000,0.0000,0.7315
070099_95_random,0.9856,0.9873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.9768,0.9821,0.9571,0.0000,0.0000,0.0000,0.8766,0.0000,0.0000,0.0000,0.2651,0.0000,0.0000,0.0000,0.0000
070159_95_random,0.0000,0.9689,0.9596,0.0000,0.0000,0.7298,0.0000,0.8921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.9730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.9830,0.8914,0.8583,0.0000,0.0000,0.7520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.0000,0.9292,0.0000,0.8866,0.0000,0.8495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.0000,0.0000,0.0000,0.0000,0.8756,0.9074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.7595,0.0000,0.0000,0.9785,0.9345,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.9879,0.0000,0.0000,0.0000,0.9511,0.8981,0.0000,0.8815,0.0000,0.0000,0.6002,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.0000,0.9151,0.7301,0.9668,0.9219,0.7168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.9102,0.9780,0.7231,0.0000,0.9730,0.8734,0.0000,0.0000,0.5368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.0000,0.0000,0.0000,0.0000,0.9960,0.0000,0.0000,0.0000,0.9935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9897,0.9772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.9746,0.0000,0.0000,0.0000,0.0000,0.0000,0.8031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.0000,0.0000,0.0000,0.0000,0.8594,0.0000,0.8826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07840_95_random,0.0000,0.9189,0.0000,0.0000,0.0000,0.0000,0.0000,0.7911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
