Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.8181818181818182,0.1,Gd,0.0639615944070273
03124_95_random,0.6,0.25,Yb,0.3933604501384737
03130_95_random,0.2727272727272727,0.0,,0.8827916744611909
03134_95_random,0.5555555555555556,0.0,,0.3607217381516683
070036_95_random,0.6666666666666666,0.3333333333333333,La;Gd,0.6588004555806427
070099_95_random,0.42857142857142855,0.0,,0.6507725341644865
070101_95_random,0.45454545454545453,0.0,,0.3694966170182067
070159_95_random,0.5714285714285714,0.0,,0.1815045860430797
070171_95_random,1.0,0.0,,5.000000000000028
07103_95_random,0.5,0.0,,0.3023760709659367
07105_95_random,1.0,0.0,,1.0453398086887835
07106_95_random,0.25,0.0,,0.2813763639810028
07107_95_random,0.75,0.0,,1.101575160651768
07111_95_random,0.8333333333333334,0.0,,0.1322163842463621
07121_95_random,0.5,0.0,,0.2272467434876651
07122_95_random,0.6,0.0,,0.1008882791896182
07125_95_random,1.0,0.0,,2.440395481323982
07141_95_random,0.3333333333333333,0.0,,4.189452858548637
07145_95_random,1.0,0.5,Tb,4.999999050000014
07405_95_random,0.2222222222222222,0.0,,1.2595398019614472
07407_95_random,0.3333333333333333,0.0,,1.436157225696454
07840_95_random,0.2,0.0,,0.2423456332267237
