Wavelength (nm),Sum(calc),Y I (2.3e-3),Y II (6.3e-2),La I (1.4e-3),La II (6.3e-2),Ce I (1.2e-3),Ce II (6.3e-2),Pr II (6.2e-2),Nd I (8.0e-4),Nd II (6.4e-2),Sm I (8.9e-4),Sm II (6.3e-2),Eu I (1.5e-3),Eu II (6.2e-2),Gd I (1.8e-3),Tb II (6.1e-2),Dy I (1.6e-3),Dy II (6.4e-2),Ho I (3.3e-3),Ho II (6.0e-2),Er I (2.2e-3),Er II (6.3e-2),Tm I (2.0e-3),Tm II (6.3e-2),Yb I (2.0e-3),Yb II (6.3e-2),Lu I (3.9e-3),Lu II (7.2e-2)
212.64,1.442e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.442e+4,,
212.67,1.562e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.562e+4,,
212.69,1.508e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.508e+4,,
212.72,1.252e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.252e+4,,
212.74,1.013e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.013e+4,,
212.77,6.450e+3,,,,,,,,,,,,,,,,,,,,,,,,,6.450e+3,,
212.8,3.504e+3,,,,,,,,,,,,,,,,,,,,,,,,,3.504e+3,,
212.82,2.135e+3,,,,,,,,,,,,,,,,,,,,,,,,,2.135e+3,,
212.85,8.897e+2,,,,,,,,,,,,,,,,,,,,,,,,,8.897e+2,,
212.87,4.543e+2,,,,,,,,,,,,,,,,,,,,,,,,,4.543e+2,,
212.9,1.452e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.452e+2,,
212.92,6.212e+1,,,,,,,,,,,,,,,,,,,,,,,,,6.212e+1,,
212.95,1.522e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.522e+1,,
212.98,3.182e+0,,,,,,,,,,,,,,,,,,,,,,,,,3.182e+0,,
213,1.026e+0,,,,,,,,,,,,,,,,,,,,,,,,,1.026e+0,,
213.03,1.645e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.645e-1,,
213.05,4.443e-2,,,,,,,,,,,,,,,,,,,,,,,,,4.443e-2,,
213.08,5.462e-3,,,,,,,,,,,,,,,,,,,,,,,,,5.462e-3,,
213.1,1.236e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.236e-3,,
213.13,1.166e-4,,,,,,,,,,,,,,,,,,,,,,,,,1.166e-4,,
213.16,9.377e-6,,,,,,,,,,,,,,,,,,,,,,,,,9.377e-6,,
213.18,1.599e-6,,,,,,,,,,,,,,,,,,,,,,,,,1.599e-6,,
213.21,9.864e-8,,,,,,,,,,,,,,,,,,,,,,,,,9.864e-8,,
213.23,1.410e-8,,,,,,,,,,,,,,,,,,,,,,,,,1.410e-8,,
213.26,6.669e-10,,,,,,,,,,,,,,,,,,,,,,,,,6.669e-10,,
213.28,7.985e-11,,,,,,,,,,,,,,,,,,,,,,,,,7.985e-11,,
213.31,2.897e-12,,,,,,,,,,,,,,,,,,,,,,,,,2.897e-12,,
213.34,8.965e-14,,,,,,,,,,,,,,,,,,,,,,,,,8.965e-14,,
217.86,5.487e-15,,,,,,,,,,,,,,,,,,,,,,,,,5.487e-15,,
217.89,1.802e-13,,,,,,,,,,,,,,,,,,,,,,,,,1.802e-13,,
217.91,1.699e-12,,,,,,,,,,,,,,,,,,,,,,,,,1.699e-12,,
217.94,4.339e-11,,,,,,,,,,,,,,,,,,,,,,,,,4.339e-11,,
217.96,3.461e-10,,,,,,,,,,,,,,,,,,,,,,,,,3.461e-10,,
