idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 4, 5, 6, 9]",5,"[410.946, 470.654, 495.913, 524.9590000000001, 562.054]","[0.55, 0.098, 0.0413, 0.242, 0.13]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994, 3.7499945446]","[16.0, 6.0, 10.0, 16.0, 18.0]","[0.020815493009483377, -0.0245208179337002, -0.019809138400641878, 0.007169607821403384, 0.016344855503455324]",0.0245208179337002
"[1, 4, 5, 6, 10]",5,"[410.946, 470.654, 495.913, 524.9590000000001, 568.8520000000001]","[0.55, 0.098, 0.0413, 0.242, 0.073]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994, 3.1645237905999997]","[16.0, 6.0, 10.0, 16.0, 14.0]","[0.032526915679950474, -0.023157401577833525, -0.018834904046866108, 0.01120347846444561, -0.0017380885196965415]",0.032526915679950474
"[1, 4, 5, 7, 8]",5,"[410.946, 470.654, 495.913, 537.1930000000001, 543.152]","[0.55, 0.098, 0.0413, 0.115, 0.054]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.7196863938, 3.4030910657999995]","[16.0, 6.0, 10.0, 20.0, 14.0]","[0.028867237137752633, -0.028726499278227555, -0.023250995339640472, 0.020026164077621478, 0.003084093402493937]",0.028867237137752633
"[1, 4, 5, 7, 9]",5,"[410.946, 470.654, 495.913, 537.1930000000001, 562.054]","[0.55, 0.098, 0.0413, 0.115, 0.13]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.7196863938, 3.7499945446]","[16.0, 6.0, 10.0, 20.0, 18.0]","[0.016780326029899206, -0.029100667109801956, -0.023430654561732718, 0.017848220134425344, 0.017902775507210034]",0.029100667109801956
"[1, 4, 5, 7, 10]",5,"[410.946, 470.654, 495.913, 537.1930000000001, 568.8520000000001]","[0.55, 0.098, 0.0413, 0.115, 0.073]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.7196863938, 3.1645237905999997]","[16.0, 6.0, 10.0, 20.0, 14.0]","[0.03207073139617955, -0.027320248829751842, -0.02215842058826136, 0.019949221705350267, -0.002541283683516485]",0.03207073139617955
"[1, 4, 5, 8, 9]",5,"[410.946, 470.654, 495.913, 543.152, 562.054]","[0.55, 0.098, 0.0413, 0.054, 0.13]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.4030910657999995, 3.7499945446]","[16.0, 6.0, 10.0, 14.0, 18.0]","[0.02904955755794192, -0.02888191676913819, -0.023377047389936914, 0.0031024969307037326, 0.020106909670429468]",0.02904955755794192
"[1, 4, 5, 8, 10]",5,"[410.946, 470.654, 495.913, 543.152, 568.8520000000001]","[0.55, 0.098, 0.0413, 0.054, 0.073]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.4030910657999995, 3.1645237905999997]","[16.0, 6.0, 10.0, 14.0, 14.0]","[0.046089938095796645, -0.026898436779963453, -0.021959771470172702, 0.004140288981897403, -0.0013720188275578304]",0.046089938095796645
"[1, 4, 5, 9, 10]",5,"[410.946, 470.654, 495.913, 562.054, 568.8520000000001]","[0.55, 0.098, 0.0413, 0.13, 0.073]","[3.3366446046999996, 2.6334684784999998, 2.5629852285999997, 3.7499945446, 3.1645237905999997]","[16.0, 6.0, 10.0, 18.0, 14.0]","[0.03228598929438131, -0.027460609256462, -0.022272760702411187, 0.019997789386282577, -0.002550408721790645]",0.03228598929438131
"[1, 4, 6, 7, 8]",5,"[410.946, 470.654, 524.9590000000001, 537.1930000000001, 543.152]","[0.55, 0.098, 0.242, 0.115, 0.054]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.7196863938, 3.4030910657999995]","[16.0, 6.0, 16.0, 20.0, 14.0]","[0.00766829938813518, -0.02687558595572187, 0.0026411998517379687, 0.014951515126329792, 0.0016145715895189011]",0.02687558595572187
"[1, 4, 6, 7, 9]",5,"[410.946, 470.654, 524.9590000000001, 537.1930000000001, 562.054]","[0.55, 0.098, 0.242, 0.115, 0.13]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.7196863938, 3.7499945446]","[16.0, 6.0, 16.0, 20.0, 18.0]","[-0.00010766624054170393, -0.027004385606002712, -3.7144207882977565e-05, 0.013494348554586338, 0.013654847499840986]",0.027004385606002712
