idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 2, 3, 4]",4,"[350.91460000000006, 367.6363, 370.28560000000004, 384.874]","[0.537, 1.19, 0.619, 0.543]","[3.5320426638, 3.4974051314, 3.4732842024999995, 3.2204003367999996]","[19.0, 15.0, 17.0, 17.0]","[0.00963158317146684, 0.010932015057623645, 0.004137551766277753, -0.02470114999536832]",0.02470114999536832
"[0, 2, 3, 5]",4,"[350.91460000000006, 367.6363, 370.28560000000004, 387.41720000000004]","[0.537, 1.19, 0.619, 1.0]","[3.5320426638, 3.4974051314, 3.4732842024999995, 3.199260507]","[19.0, 15.0, 17.0, 15.0]","[0.011344883506459263, 0.014711919386894146, 0.006749761571036406, -0.03280656446438979]",0.03280656446438979
"[0, 2, 3, 6]",4,"[350.91460000000006, 367.6363, 370.28560000000004, 403.3027]","[0.537, 1.19, 0.619, 0.374]","[3.5320426638, 3.4974051314, 3.4732842024999995, 3.199260507]","[19.0, 15.0, 17.0, 15.0]","[0.00857354282111783, 0.008458683726061345, 0.002382223137909728, -0.01941444968508882]",0.01941444968508882
"[0, 2, 4, 5]",4,"[350.91460000000006, 367.6363, 384.874, 387.41720000000004]","[0.537, 1.19, 0.543, 1.0]","[3.5320426638, 3.4974051314, 3.2204003367999996, 3.199260507]","[19.0, 15.0, 17.0, 15.0]","[0.015062709301231714, 0.02131408510929178, -0.012404722602087331, -0.023972071808436135]",0.023972071808436135
"[0, 2, 4, 6]",4,"[350.91460000000006, 367.6363, 384.874, 403.3027]","[0.537, 1.19, 0.543, 0.374]","[3.5320426638, 3.4974051314, 3.2204003367999996, 3.199260507]","[19.0, 15.0, 17.0, 15.0]","[0.01498768634101888, 0.01983956448993901, -0.02085133128210631, -0.013975919548851495]",0.02085133128210631
"[0, 2, 5, 6]",4,"[350.91460000000006, 367.6363, 387.41720000000004, 403.3027]","[0.537, 1.19, 1.0, 0.374]","[3.5320426638, 3.4974051314, 3.199260507, 3.199260507]","[19.0, 15.0, 15.0, 15.0]","[0.015649985086647278, 0.021898036256649156, -0.027623693249798686, -0.009924328093497692]",0.027623693249798686
"[0, 3, 4, 5]",4,"[350.91460000000006, 370.28560000000004, 384.874, 387.41720000000004]","[0.537, 0.619, 0.543, 1.0]","[3.5320426638, 3.4732842024999995, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 17.0, 15.0]","[0.01932695213681268, 0.014592330262730935, -0.01130927507296639, -0.022610007326577364]",0.022610007326577364
"[0, 3, 4, 6]",4,"[350.91460000000006, 370.28560000000004, 384.874, 403.3027]","[0.537, 0.619, 0.543, 0.374]","[3.5320426638, 3.4732842024999995, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 17.0, 15.0]","[0.020713838744149615, 0.014221144242292871, -0.020747467984561507, -0.01418751500188109]",0.020747467984561507
"[0, 3, 5, 6]",4,"[350.91460000000006, 370.28560000000004, 387.41720000000004, 403.3027]","[0.537, 0.619, 1.0, 0.374]","[3.5320426638, 3.4732842024999995, 3.199260507, 3.199260507]","[19.0, 17.0, 15.0, 15.0]","[0.02056584585206156, 0.015310699074552986, -0.02639400523544111, -0.009482539691173297]",0.02639400523544111
"[0, 4, 5, 6]",4,"[350.91460000000006, 384.874, 387.41720000000004, 403.3027]","[0.537, 0.543, 1.0, 0.374]","[3.5320426638, 3.2204003367999996, 3.199260507, 3.199260507]","[19.0, 17.0, 15.0, 15.0]","[0.02559271959371373, -0.006139326108092674, -0.014311661576019707, -0.005141731909601155]",0.02559271959371373
"[1, 2, 3, 4]",4,"[365.88910000000004, 367.6363, 370.28560000000004, 384.874]","[1.71, 1.19, 0.619, 0.543]","[3.5135045543, 3.4974051314, 3.4732842024999995, 3.2204003367999996]","[13.0, 15.0, 17.0, 17.0]","[0.011621344981164017, 0.0072589962223734705, 0.00237852290565857, -0.021258864109195974]",0.021258864109195974
