idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 3, 4, 5, 7, 8]",6,"[340.7792, 364.53960000000006, 369.4811, 375.73670000000004, 394.46790000000004, 396.83840000000004]","[0.488, 0.62, 0.237, 0.201, 0.307, 0.455]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.12330899522]","[18.0, 18.0, 16.0, 16.0, 18.0, 16.0]","[0.02350511477394196, 0.01676330616663771, 0.004012008068091641, 0.0014704053022430302, -0.018644930692170436, -0.02710590361874371]",0.02710590361874371
"[0, 3, 4, 5, 7, 9]",6,"[340.7792, 364.53960000000006, 369.4811, 375.73670000000004, 394.46790000000004, 407.79650000000004]","[0.488, 0.62, 0.237, 0.201, 0.307, 0.202]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.1420780794599996]","[18.0, 18.0, 16.0, 16.0, 18.0, 18.0]","[0.023295486086919864, 0.01421820333623569, 0.002840439660874411, 0.000128900128182452, -0.024737949434384954, -0.015745079777827464]",0.024737949434384954
"[0, 3, 4, 5, 8, 9]",6,"[340.7792, 364.53960000000006, 369.4811, 375.73670000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.237, 0.201, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 16.0, 16.0, 18.0]","[0.0237330919985434, 0.01599162566433676, 0.003607970949029815, 0.0009666028009636396, -0.030763474959860093, -0.013535816453013536]",0.030763474959860093
"[0, 3, 4, 6, 7, 8]",6,"[340.7792, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004]","[0.488, 0.62, 0.237, 0.254, 0.307, 0.455]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522]","[18.0, 18.0, 16.0, 18.0, 18.0, 16.0]","[0.024116883830455127, 0.01851279473462339, 0.004739030055205484, -0.008629736128969251, -0.015699060920392582, -0.023039911570922195]",0.024116883830455127
"[0, 3, 4, 6, 7, 9]",6,"[340.7792, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004, 407.79650000000004]","[0.488, 0.62, 0.237, 0.254, 0.307, 0.202]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 18.0, 18.0]","[0.02449387641935724, 0.017048354880835892, 0.003981594852167841, -0.011932023253391016, -0.020526930363053475, -0.013064872535916483]",0.02449387641935724
"[0, 3, 4, 6, 8, 9]",6,"[340.7792, 364.53960000000006, 369.4811, 387.2103, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.237, 0.254, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.02457724296607819, 0.018188061923862853, 0.004507986916892137, -0.010019135090118064, -0.025943655749434802, -0.01131050096728034]",0.025943655749434802
"[0, 3, 4, 7, 8, 9]",6,"[340.7792, 364.53960000000006, 369.4811, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.237, 0.307, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.45725582014, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.024961423339442512, 0.019311354171402784, 0.004976228067636285, -0.015856196852384985, -0.023300740057433045, -0.010092068668663537]",0.024961423339442512
"[0, 3, 5, 6, 7, 8]",6,"[340.7792, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[0.488, 0.62, 0.201, 0.254, 0.307, 0.455]","[3.63708881014, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[18.0, 18.0, 16.0, 18.0, 18.0, 16.0]","[0.024760769953872497, 0.019274471309123187, 0.0024448599264050297, -0.00837719677078641, -0.015419501691449344, -0.022683402727164792]",0.024760769953872497
"[0, 3, 5, 6, 7, 9]",6,"[340.7792, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[0.488, 0.62, 0.201, 0.254, 0.307, 0.202]","[3.63708881014, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 18.0, 18.0]","[0.025262080136497556, 0.017945314751339425, 0.001540934728578608, -0.011651993410020378, -0.02022416571757482, -0.01287217048882032]",0.025262080136497556
"[0, 3, 5, 6, 8, 9]",6,"[340.7792, 364.53960000000006, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.201, 0.254, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.025285733876673377, 0.019021893574018178, 0.0021300370744591207, -0.009748965494917022, -0.025566885230222297, -0.011121813800011246]",0.025566885230222297
