idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 2, 6]",3,"[313.12600000000003, 342.50800000000004, 384.802]","[1.06, 0.652, 0.466]","[3.9582871436, 3.6481090203999997, 3.2210028796]","[11.0, 7.0, 7.0]","[0.0639581550199983, -0.004241204283744721, -0.05971695073625344]",0.0639581550199983
"[0, 3, 4]",3,"[313.12600000000003, 344.15000000000003, 345.366]","[1.06, 0.56, 0.266]","[3.9582871436, 3.6308435655999998, 3.6181566921999995]","[11.0, 5.0, 9.0]","[0.03784190382534769, -0.019713272003233973, -0.01812863182211366]",0.03784190382534769
"[0, 3, 5]",3,"[313.12600000000003, 344.15000000000003, 346.22]","[1.06, 0.56, 0.54]","[3.9582871436, 3.6308435655999998, 3.5799373775999994]","[11.0, 5.0, 11.0]","[0.04378065238062456, -0.010810074058642621, -0.03297057832198186]",0.04378065238062456
"[0, 3, 6]",3,"[313.12600000000003, 344.15000000000003, 384.802]","[1.06, 0.56, 0.466]","[3.9582871436, 3.6308435655999998, 3.2210028796]","[11.0, 5.0, 7.0]","[0.07043542215177756, -0.004412541703374018, -0.06602288044840371]",0.07043542215177756
"[0, 4, 5]",3,"[313.12600000000003, 345.366, 346.22]","[1.06, 0.266, 0.54]","[3.9582871436, 3.6181566921999995, 3.5799373775999994]","[11.0, 9.0, 11.0]","[0.044418848663362265, -0.010501580368389968, -0.033917268294972214]",0.044418848663362265
"[0, 4, 6]",3,"[313.12600000000003, 345.366, 384.802]","[1.06, 0.266, 0.466]","[3.9582871436, 3.6181566921999995, 3.2210028796]","[11.0, 9.0, 7.0]","[0.07228673604534475, -0.004793994490841419, -0.0674927415545033]",0.07228673604534475
"[0, 5, 6]",3,"[313.12600000000003, 346.22, 384.802]","[1.06, 0.54, 0.466]","[3.9582871436, 3.5799373775999994, 3.2210028796]","[11.0, 11.0, 7.0]","[0.0634256644913137, -0.012053282581057922, -0.05137238191025564]",0.0634256644913137
"[1, 2, 3]",3,"[336.261, 342.50800000000004, 344.15000000000003]","[0.934, 0.652, 0.56]","[3.7153297365999993, 3.6481090203999997, 3.6308435655999998]","[5.0, 7.0, 5.0]","[0.008340224032159504, -0.0038968473322670283, -0.004443376699892532]",0.008340224032159504
"[1, 2, 4]",3,"[336.261, 342.50800000000004, 345.366]","[0.934, 0.652, 0.266]","[3.7153297365999993, 3.6481090203999997, 3.6181566921999995]","[5.0, 7.0, 9.0]","[0.008891182315982349, -0.0037462568431581023, -0.005144925472824163]",0.008891182315982349
"[1, 2, 5]",3,"[336.261, 342.50800000000004, 346.22]","[0.934, 0.652, 0.54]","[3.7153297365999993, 3.6481090203999997, 3.5799373775999994]","[5.0, 7.0, 11.0]","[0.010562430113101484, 0.0013163244920282868, -0.011878754605129715]",0.011878754605129715
"[1, 2, 6]",3,"[336.261, 342.50800000000004, 384.802]","[0.934, 0.652, 0.466]","[3.7153297365999993, 3.6481090203999997, 3.2210028796]","[5.0, 7.0, 7.0]","[0.030108678253221943, 0.020603275146218236, -0.050711953399440235]",0.050711953399440235
"[1, 3, 4]",3,"[336.261, 344.15000000000003, 345.366]","[0.934, 0.56, 0.266]","[3.7153297365999993, 3.6308435655999998, 3.6181566921999995]","[5.0, 5.0, 9.0]","[0.010824903620655746, -0.004968441010163527, -0.00585646261049233]",0.010824903620655746
"[1, 3, 5]",3,"[336.261, 344.15000000000003, 346.22]","[0.934, 0.56, 0.54]","[3.7153297365999993, 3.6308435655999998, 3.5799373775999994]","[5.0, 5.0, 11.0]","[0.012637957499691821, -0.0003392534275599435, -0.012298704072131905]",0.012637957499691821
"[1, 3, 6]",3,"[336.261, 344.15000000000003, 384.802]","[0.934, 0.56, 0.466]","[3.7153297365999993, 3.6308435655999998, 3.2210028796]","[5.0, 5.0, 7.0]","[0.03830527651316323, 0.015249743402279914, -0.05355501991544309]",0.05355501991544309
