idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 2, 4, 5, 8]",5,"[272.778, 290.668, 372.494, 381.96700000000004, 412.97]","[0.65, 0.41, 0.45, 1.27, 0.68]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.2449074634, 3.0012904828]","[11.0, 7.0, 9.0, 11.0, 9.0]","[0.043397223336331, 0.017552887238552122, 5.4332942738599677e-05, -0.019253186306395775, -0.04175125721122591]",0.043397223336331
"[0, 2, 4, 5, 9]",5,"[272.778, 290.668, 372.494, 381.96700000000004, 420.50500000000005]","[0.65, 0.41, 0.45, 1.27, 0.71]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.2449074634, 2.9475352343999996]","[11.0, 7.0, 9.0, 11.0, 7.0]","[0.045148246530975183, 0.01825801221859237, 9.645402840596784e-06, -0.02021646468257432, -0.04319943946983387]",0.045148246530975183
"[0, 2, 4, 5, 10]",5,"[272.778, 290.668, 372.494, 381.96700000000004, 443.55600000000004]","[0.65, 0.41, 0.45, 1.27, 0.31]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.2449074634, 3.0012904828]","[11.0, 7.0, 9.0, 11.0, 9.0]","[0.048710570859789845, 0.019410428264834252, -0.004331171755975305, -0.03907765175591704, -0.024712175612731646]",0.048710570859789845
"[0, 2, 4, 6, 7]",5,"[272.778, 290.668, 372.494, 393.048, 397.196]","[0.65, 0.41, 0.45, 1.07, 0.89]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3603625985999996, 3.3274372299999997]","[11.0, 7.0, 9.0, 7.0, 9.0]","[0.05145573526434678, 0.01969500641624658, -0.016767667696282018, -0.02328277481119484, -0.031100299173116852]",0.05145573526434678
"[0, 2, 4, 6, 8]",5,"[272.778, 290.668, 372.494, 393.048, 412.97]","[0.65, 0.41, 0.45, 1.07, 0.68]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3603625985999996, 3.0012904828]","[11.0, 7.0, 9.0, 7.0, 9.0]","[0.055967397198289776, 0.0222671837966422, -0.005503397001693527, -0.004472332714182625, -0.0682588512790559]",0.0682588512790559
"[0, 2, 4, 6, 9]",5,"[272.778, 290.668, 372.494, 393.048, 420.50500000000005]","[0.65, 0.41, 0.45, 1.07, 0.71]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3603625985999996, 2.9475352343999996]","[11.0, 7.0, 9.0, 7.0, 7.0]","[0.058898623586484095, 0.023403639678837594, -0.006239984639078211, -0.005440716761274722, -0.07062156186496876]",0.07062156186496876
"[0, 2, 4, 6, 10]",5,"[272.778, 290.668, 372.494, 393.048, 443.55600000000004]","[0.65, 0.41, 0.45, 1.07, 0.31]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3603625985999996, 3.0012904828]","[11.0, 7.0, 9.0, 7.0, 9.0]","[0.06433274553456736, 0.02480688872677722, -0.018205087419031957, -0.024592092712007352, -0.046342454130305355]",0.06433274553456736
"[0, 2, 4, 7, 8]",5,"[272.778, 290.668, 372.494, 397.196, 412.97]","[0.65, 0.41, 0.45, 0.89, 0.68]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3274372299999997, 3.0012904828]","[11.0, 7.0, 9.0, 9.0, 9.0]","[0.054866044951968784, 0.02189676585680038, -0.004374215007488386, -0.008113197246304549, -0.06427539855497638]",0.06427539855497638
"[0, 2, 4, 7, 9]",5,"[272.778, 290.668, 372.494, 397.196, 420.50500000000005]","[0.65, 0.41, 0.45, 0.89, 0.71]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3274372299999997, 2.9475352343999996]","[11.0, 7.0, 9.0, 9.0, 7.0]","[0.057684454332870574, 0.022997821385081225, -0.0049568189130553275, -0.009193798084224047, -0.06653165872067235]",0.06653165872067235
"[0, 2, 4, 7, 10]",5,"[272.778, 290.668, 372.494, 397.196, 443.55600000000004]","[0.65, 0.41, 0.45, 0.89, 0.31]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.3274372299999997, 3.0012904828]","[11.0, 7.0, 9.0, 9.0, 9.0]","[0.06303682666762526, 0.024455658431048223, -0.015601541132841568, -0.028937393415820745, -0.04295355055001121]",0.06303682666762526
"[0, 2, 4, 8, 9]",5,"[272.778, 290.668, 372.494, 412.97, 420.50500000000005]","[0.65, 0.41, 0.45, 0.68, 0.71]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.0012904828, 2.9475352343999996]","[11.0, 7.0, 9.0, 9.0, 7.0]","[0.06181416043334134, 0.02535520113637804, 0.0053984454337658305, -0.04570829181547298, -0.04685951518801218]",0.06181416043334134
"[0, 2, 4, 8, 10]",5,"[272.778, 290.668, 372.494, 412.97, 443.55600000000004]","[0.65, 0.41, 0.45, 0.68, 0.31]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 3.0012904828, 3.0012904828]","[11.0, 7.0, 9.0, 9.0, 9.0]","[0.06910502676166495, 0.027916839920214057, -0.0004270395435147234, -0.06781218934521072, -0.028782637793153598]",0.06910502676166495
"[0, 2, 4, 9, 10]",5,"[272.778, 290.668, 372.494, 420.50500000000005, 443.55600000000004]","[0.65, 0.41, 0.45, 0.71, 0.31]","[4.5437368209999995, 4.2641148086, 3.3274372299999997, 2.9475352343999996, 3.0012904828]","[11.0, 7.0, 9.0, 7.0, 9.0]","[0.0736530702733703, 0.02974329001735712, -0.0006186700450815374, -0.07192126290657319, -0.0308564273390724]",0.0736530702733703
"[0, 2, 5, 6, 7]",5,"[272.778, 290.668, 381.96700000000004, 393.048, 397.196]","[0.65, 0.41, 1.27, 1.07, 0.89]","[4.5437368209999995, 4.2641148086, 3.2449074634, 3.3603625985999996, 3.3274372299999997]","[11.0, 7.0, 11.0, 7.0, 9.0]","[0.03766237252627237, 0.014886185969068745, -0.0375056592137627, -0.005431026209994777, -0.00961187307158376]",0.03766237252627237
