idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 5]",3,"[265.375, 275.0477, 369.41900000000004]","[3.9, 3.2, 1.23]","[7.325994317399999, 7.1617443735999995, 3.3551244436]","[8.0, 10.0, 2.0]","[0.15911466729030596, 0.17982163787966626, -0.3389363051699723]",0.3389363051699723
"[1, 3, 4]",3,"[265.375, 289.1384, 328.937]","[3.9, 0.342, 1.62]","[7.325994317399999, 4.2866543726, 3.7680286753999996]","[8.0, 4.0, 4.0]","[0.1132300538334785, 0.010167186655236318, -0.12339724048871481]",0.12339724048871481
"[1, 3, 5]",3,"[265.375, 289.1384, 369.41900000000004]","[3.9, 0.342, 1.23]","[7.325994317399999, 4.2866543726, 3.3551244436]","[8.0, 4.0, 2.0]","[0.18260938302907798, 0.024623321134206566, -0.20723270416328454]",0.20723270416328454
"[1, 4, 5]",3,"[265.375, 328.937, 369.41900000000004]","[3.9, 1.62, 1.23]","[7.325994317399999, 3.7680286753999996, 3.3551244436]","[8.0, 4.0, 2.0]","[0.09205695890605703, -0.016323749100279894, -0.07573320980577714]",0.09205695890605703
"[2, 3, 4]",3,"[275.0477, 289.1384, 328.937]","[3.2, 0.342, 1.62]","[7.1617443735999995, 4.2866543726, 3.7680286753999996]","[10.0, 4.0, 4.0]","[0.12505002560521988, 0.008480418131909168, -0.13353044373712897]",0.13353044373712897
"[2, 3, 5]",3,"[275.0477, 289.1384, 369.41900000000004]","[3.2, 0.342, 1.23]","[7.1617443735999995, 4.2866543726, 3.3551244436]","[10.0, 4.0, 2.0]","[0.19888672463498044, 0.020233792394617228, -0.21912051702959778]",0.21912051702959778
"[2, 4, 5]",3,"[275.0477, 328.937, 369.41900000000004]","[3.2, 1.62, 1.23]","[7.1617443735999995, 3.7680286753999996, 3.3551244436]","[10.0, 4.0, 2.0]","[0.10260822982534934, -0.02357659054720529, -0.07903163927814394]",0.10260822982534934
"[3, 4, 5]",3,"[289.1384, 328.937, 369.41900000000004]","[0.342, 1.62, 1.23]","[4.2866543726, 3.7680286753999996, 3.3551244436]","[4.0, 4.0, 2.0]","[0.022698957063587752, 0.02774377303193809, -0.05044273009552597]",0.05044273009552597
"[0, 1, 2, 3]",4,"[211.66700000000003, 265.375, 275.0477, 289.1384]","[0.341, 3.9, 3.2, 0.342]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726]","[2.0, 8.0, 10.0, 4.0]","[-0.002482262104773064, 0.15698421064352533, 0.16554153894714466, -0.32004348748589695]",0.32004348748589695
"[0, 1, 2, 4]",4,"[211.66700000000003, 265.375, 275.0477, 328.937]","[0.341, 3.9, 3.2, 1.62]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.7680286753999996]","[2.0, 8.0, 10.0, 4.0]","[0.00784555101703906, 0.10173711704995425, 0.11498287846273914, -0.22456554652973248]",0.22456554652973248
"[0, 1, 2, 5]",4,"[211.66700000000003, 265.375, 275.0477, 369.41900000000004]","[0.341, 3.9, 3.2, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.3551244436]","[2.0, 8.0, 10.0, 2.0]","[0.011839946276978637, 0.1548465983993038, 0.1749245846418799, -0.3416111293181625]",0.3416111293181625
"[0, 1, 3, 4]",4,"[211.66700000000003, 265.375, 289.1384, 328.937]","[0.341, 3.9, 0.342, 1.62]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.7680286753999996]","[2.0, 8.0, 4.0, 4.0]","[0.009140226970922882, 0.11114634940836127, 0.0091029295397098, -0.1293895059189939]",0.1293895059189939
