idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1, 3, 5, 6, 7]",6,"[323.0582, 326.4782, 339.19980000000004, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 0.235, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6540363802199995, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 12.0, 14.0, 12.0]","[0.04658662778617528, 0.014688328520163635, 0.0009194739422013903, -0.007882855197948138, -0.018621598789361357, -0.0356899762612308]",0.04658662778617528
"[0, 1, 4, 5, 6, 7]",6,"[323.0582, 326.4782, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 10.0, 12.0, 14.0, 12.0]","[0.043545177187134354, 0.013997666952696358, -0.0026431345425191877, -0.006819513799799629, -0.016451934924437445, -0.031628260873074604]",0.043545177187134354
"[0, 2, 3, 4, 5, 6]",6,"[323.0582, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234]","[1.5, 1.3, 0.235, 0.75, 0.2, 0.18]","[3.8911949946599997, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856]","[12.0, 16.0, 16.0, 10.0, 12.0, 14.0]","[0.028006726085461398, -0.00017536054939054635, -0.0007500412527005063, -0.005640646928691567, -0.006749856454222367, -0.014690820900456474]",0.028006726085461398
"[0, 2, 3, 4, 5, 7]",6,"[323.0582, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 390.63110000000006]","[1.5, 1.3, 0.235, 0.75, 0.2, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.1729386851399997]","[12.0, 16.0, 16.0, 10.0, 12.0, 12.0]","[0.03001452604709462, 0.004467033042248381, 0.00013696022914146122, -0.0036242561571671883, -0.00578167324763483, -0.02521258991368247]",0.03001452604709462
"[0, 2, 3, 4, 6, 7]",6,"[323.0582, 337.271, 339.19980000000004, 349.9104, 389.6234, 390.63110000000006]","[1.5, 1.3, 0.235, 0.75, 0.18, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 16.0, 10.0, 14.0, 12.0]","[0.03151270218236277, 0.007093599246736804, 0.000629564734344043, -0.0025551958521995433, -0.012575850310496996, -0.024104820000746957]",0.03151270218236277
"[0, 2, 3, 5, 6, 7]",6,"[323.0582, 337.271, 339.19980000000004, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 1.3, 0.235, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.6540363802199995, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 16.0, 12.0, 14.0, 12.0]","[0.035334851804446565, 0.008973660300804709, 0.0009120030585698935, -0.0056477178714711, -0.013548168309680336, -0.02602462898266983]",0.035334851804446565
"[0, 2, 4, 5, 6, 7]",6,"[323.0582, 337.271, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 1.3, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.03352551327030798, 0.009431335837502997, -0.0017383119519687462, -0.005072417753368454, -0.012357023444070588, -0.023789095958403214]",0.03352551327030798
"[0, 3, 4, 5, 6, 7]",6,"[323.0582, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.05247964256259413, 0.00267999394679444, -5.703542989260457e-05, -0.006342167557935208, -0.01656504538965904, -0.0321953881319017]",0.05247964256259413
"[1, 2, 3, 4, 5, 6]",6,"[326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234]","[0.58, 1.3, 0.235, 0.75, 0.2, 0.18]","[3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856]","[14.0, 16.0, 16.0, 10.0, 12.0, 14.0]","[0.012692091627691748, 0.010200357892971912, 0.0010508035437259006, -0.0025442788457251675, -0.00628737607430499, -0.015111598144359292]",0.015111598144359292
"[1, 2, 3, 4, 5, 7]",6,"[326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 390.63110000000006]","[0.58, 1.3, 0.235, 0.75, 0.2, 0.323]","[3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.1729386851399997]","[14.0, 16.0, 16.0, 10.0, 12.0, 12.0]","[0.014014046263955249, 0.015303650255721835, 0.0020328470327580783, -0.00027349360467707196, -0.005157673812284248, -0.025919376135473807]",0.025919376135473807
