idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[2, 3, 6, 10, 11, 12, 13]",7,"[387.164, 394.91, 403.16900000000004, 461.33900000000006, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.68, 0.11, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.3955778777999996, 3.3955778777999996, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 7.0, 5.0, 7.0]","[-0.007163194079593871, 0.03438956295903606, -0.001199120965969247, -0.00016951718444180308, -0.0031410957796130963, -0.008308838471185999, -0.014407796478232052]",0.03438956295903606
"[2, 3, 7, 8, 9, 10, 11]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 461.33900000000006, 472.84200000000004]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.11, 0.0177]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 5.0, 7.0]","[-0.0035616425414628783, 0.031811064087159224, -0.007563445355990073, -0.005370962497339676, -0.01315931680817474, 0.00011461871941418136, -0.002270315603606075]",0.031811064087159224
"[2, 3, 7, 8, 9, 10, 12]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 461.33900000000006, 499.94700000000006]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.11, 0.09]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.8821543814]","[7.0, 9.0, 5.0, 7.0, 5.0, 5.0, 5.0]","[-0.0030228275859031373, 0.03275964228312089, -0.006918688955600827, -0.0045584287055211725, -0.012664257098993645, 0.00017516729800043027, -0.005770607235102421]",0.03275964228312089
"[2, 3, 7, 8, 9, 10, 13]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 461.33900000000006, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.11, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 5.0, 7.0]","[-0.0024258726909553996, 0.0340946487155846, -0.006228989351722947, -0.0036582197945924377, -0.012189531700672843, 0.00024608990090800933, -0.009838125078549087]",0.0340946487155846
"[2, 3, 7, 8, 9, 11, 12]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 472.84200000000004, 499.94700000000006]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.0177, 0.09]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 2.7941744539999998, 2.8821543814]","[7.0, 9.0, 5.0, 7.0, 5.0, 7.0, 5.0]","[-0.0027301496075066156, 0.034051740018710586, -0.006635814226178233, -0.004117069858454142, -0.01259703476841173, -0.0022058554425458746, -0.005765816115614046]",0.034051740018710586
"[2, 3, 7, 8, 9, 11, 13]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 472.84200000000004, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.0177, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 2.7941744539999998, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 7.0, 7.0]","[-0.0021296447828851317, 0.03538855564330884, -0.005941481738717114, -0.0032115076480508375, -0.012117894867583495, -0.0021457502402403078, -0.009842276365831754]",0.03538855564330884
"[2, 3, 7, 8, 9, 12, 13]",7,"[387.164, 394.91, 407.735, 412.323, 442.99, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.303, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 5.0, 7.0]","[-0.0016545135974202763, 0.036168905540108376, -0.00536806571097409, -0.0024950090806790948, -0.011666778816168191, -0.005421666549816545, -0.009562871785050206]",0.036168905540108376
"[2, 3, 7, 8, 10, 11, 12]",7,"[387.164, 394.91, 407.735, 412.323, 461.33900000000006, 472.84200000000004, 499.94700000000006]","[0.467, 1.47, 0.7, 0.75, 0.11, 0.0177, 0.09]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.3955778777999996, 2.7941744539999998, 2.8821543814]","[7.0, 9.0, 5.0, 7.0, 5.0, 7.0, 5.0]","[-0.004844817083176883, 0.030287978736079024, -0.0091627194083434, -0.007305991703908027, -1.962656451450287e-05, -0.002462967849643078, -0.006491856126493299]",0.030287978736079024
"[2, 3, 7, 8, 10, 11, 13]",7,"[387.164, 394.91, 407.735, 412.323, 461.33900000000006, 472.84200000000004, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.11, 0.0177, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.3955778777999996, 2.7941744539999998, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 7.0, 7.0]","[-0.004117119022570975, 0.031947078766027925, -0.008324712675736146, -0.006208621895624045, 6.725792474754702e-05, -0.0023920163266131925, -0.010971866770231424]",0.031947078766027925
"[2, 3, 7, 8, 10, 12, 13]",7,"[387.164, 394.91, 407.735, 412.323, 461.33900000000006, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.11, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 3.3955778777999996, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 5.0, 5.0, 7.0]","[-0.003518034155648442, 0.033018905353147554, -0.007609322443343586, -0.0053052009836414005, 0.00013481103247168016, -0.006082172294156359, -0.010638986508829634]",0.033018905353147554
"[2, 3, 7, 8, 11, 12, 13]",7,"[387.164, 394.91, 407.735, 412.323, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.75, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3273330867999995, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 7.0, 7.0, 5.0, 7.0]","[-0.0032070430002141825, 0.034401274439314955, -0.007309564912503896, -0.004836225837091257, -0.002321548751744438, -0.006078250738558971, -0.010648641199202002]",0.034401274439314955
"[2, 3, 7, 9, 10, 11, 12]",7,"[387.164, 394.91, 407.735, 442.99, 461.33900000000006, 472.84200000000004, 499.94700000000006]","[0.467, 1.47, 0.7, 0.303, 0.11, 0.0177, 0.09]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998, 2.8821543814]","[7.0, 9.0, 5.0, 5.0, 5.0, 7.0, 5.0]","[-0.004217636340348441, 0.039071985510945706, -0.009078039836029145, -0.01594699962965121, 0.00015468254678086338, -0.002755981355747365, -0.007228010895950359]",0.039071985510945706
"[2, 3, 7, 9, 10, 11, 13]",7,"[387.164, 394.91, 407.735, 442.99, 461.33900000000006, 472.84200000000004, 518.342]","[0.467, 1.47, 0.7, 0.303, 0.11, 0.0177, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 5.0, 7.0, 7.0]","[-0.003294832366770223, 0.04114482772380401, -0.008012656908262472, -0.015215512098801745, 0.0002644416981937396, -0.0026645097054129596, -0.012221758342750251]",0.04114482772380401
"[2, 3, 7, 9, 10, 12, 13]",7,"[387.164, 394.91, 407.735, 442.99, 461.33900000000006, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.303, 0.11, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.0328805867999997, 3.3955778777999996, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 5.0, 5.0, 7.0]","[-0.002562672104934105, 0.0423818817361129, -0.007132039652801819, -0.014529331652783278, 0.0003460154163038784, -0.006705013097951639, -0.011798840643946033]",0.0423818817361129
"[2, 3, 7, 9, 11, 12, 13]",7,"[387.164, 394.91, 407.735, 442.99, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.303, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.0328805867999997, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 7.0, 5.0, 7.0]","[-0.0021190518607500652, 0.04430764079607552, -0.006700442642112642, -0.014418948549219282, -0.0025730877730417295, -0.006693692102885802, -0.011802417868066066]",0.04430764079607552
"[2, 3, 7, 10, 11, 12, 13]",7,"[387.164, 394.91, 407.735, 461.33900000000006, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.7, 0.11, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.2748089597999996, 3.3955778777999996, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 7.0, 5.0, 7.0]","[-0.0050410747809419565, 0.039296793384549056, -0.010208552252307074, 8.478828164306187e-05, -0.002937506839117858, -0.007720487220538558, -0.013473960573286932]",0.039296793384549056
"[2, 3, 8, 9, 10, 11, 12]",7,"[387.164, 394.91, 412.323, 442.99, 461.33900000000006, 472.84200000000004, 499.94700000000006]","[0.467, 1.47, 0.75, 0.303, 0.11, 0.0177, 0.09]","[3.3273330867999995, 3.541538292, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998, 2.8821543814]","[7.0, 9.0, 7.0, 5.0, 5.0, 7.0, 5.0]","[-0.004332699688931296, 0.035337773387670135, -0.006533717876114314, -0.015135811747037695, 9.400517418281171e-05, -0.002599998417049663, -0.006829550832719782]",0.035337773387670135
"[2, 3, 8, 9, 10, 11, 13]",7,"[387.164, 394.91, 412.323, 442.99, 461.33900000000006, 472.84200000000004, 518.342]","[0.467, 1.47, 0.75, 0.303, 0.11, 0.0177, 0.089]","[3.3273330867999995, 3.541538292, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998, 2.7941744539999998]","[7.0, 9.0, 7.0, 5.0, 5.0, 7.0, 7.0]","[-0.0035140057466561403, 0.03718564526331436, -0.005299126136609489, -0.014489157143630069, 0.0001915015219138387, -0.0025192744734978383, -0.011555583284834747]",0.03718564526331436
"[2, 3, 8, 9, 10, 12, 13]",7,"[387.164, 394.91, 412.323, 442.99, 461.33900000000006, 499.94700000000006, 518.342]","[0.467, 1.47, 0.75, 0.303, 0.11, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.3273330867999995, 3.0328805867999997, 3.3955778777999996, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 7.0, 5.0, 5.0, 5.0, 7.0]","[-0.0028554950137162083, 0.03832063772188432, -0.00430609092615758, -0.013877810492111009, 0.0002651720934887074, -0.0063662627307554814, -0.011180150652632746]",0.03832063772188432
"[2, 3, 8, 9, 11, 12, 13]",7,"[387.164, 394.91, 412.323, 442.99, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.75, 0.303, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.3273330867999995, 3.0328805867999997, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 7.0, 5.0, 7.0, 5.0, 7.0]","[-0.0024761787342478803, 0.039979691522225524, -0.00373408138619466, -0.01378665715105297, -0.0024386909235084905, -0.006358126271321103, -0.011185957055900406]",0.039979691522225524
"[2, 3, 8, 10, 11, 12, 13]",7,"[387.164, 394.91, 412.323, 461.33900000000006, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.75, 0.11, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.3273330867999995, 3.3955778777999996, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 7.0, 5.0, 7.0, 5.0, 7.0]","[-0.005087574737125622, 0.0354188420493422, -0.00767207062399114, 2.824037734907442e-05, -0.0027603883689731566, -0.007265507434735603, -0.012661541261865937]",0.0354188420493422
"[2, 3, 9, 10, 11, 12, 13]",7,"[387.164, 394.91, 442.99, 461.33900000000006, 472.84200000000004, 499.94700000000006, 518.342]","[0.467, 1.47, 0.303, 0.11, 0.0177, 0.09, 0.089]","[3.3273330867999995, 3.541538292, 3.0328805867999997, 3.3955778777999996, 2.7941744539999998, 2.8821543814, 2.7941744539999998]","[7.0, 9.0, 5.0, 5.0, 7.0, 5.0, 7.0]","[-0.004086609988942502, 0.04742885213456716, -0.017936386782345076, 0.0002792713756828054, -0.0031312771772499907, -0.008191089731348949, -0.014362759830363336]",0.04742885213456716
"[2, 4, 5, 6, 7, 8, 9]",7,"[387.164, 398.85200000000003, 399.57500000000005, 403.16900000000004, 407.735, 412.323, 442.99]","[0.467, 0.97, 0.72, 0.68, 0.7, 0.75, 0.303]","[3.3273330867999995, 3.5105246949999995, 3.2748089597999996, 3.3955778777999996, 3.2748089597999996, 3.3273330867999995, 3.0328805867999997]","[7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 5.0]","[-0.0005643187844988906, 0.017335732168560714, -0.004322455986542878, 0.0033494474105731087, -0.004118285384079878, -0.0008509936055635658, -0.010829125818448568]",0.017335732168560714
"[2, 4, 5, 6, 7, 8, 10]",7,"[387.164, 398.85200000000003, 399.57500000000005, 403.16900000000004, 407.735, 412.323, 461.33900000000006]","[0.467, 0.97, 0.72, 0.68, 0.7, 0.75, 0.11]","[3.3273330867999995, 3.5105246949999995, 3.2748089597999996, 3.3955778777999996, 3.2748089597999996, 3.3273330867999995, 3.3955778777999996]","[7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 5.0]","[-0.0022199681219065848, 0.015768703133377082, -0.006429096644682553, 0.002061996164432353, -0.0061254191661091195, -0.0033477153839117646, 0.0002915000188007215]",0.015768703133377082
"[2, 4, 5, 6, 7, 8, 11]",7,"[387.164, 398.85200000000003, 399.57500000000005, 403.16900000000004, 407.735, 412.323, 472.84200000000004]","[0.467, 0.97, 0.72, 0.68, 0.7, 0.75, 0.0177]","[3.3273330867999995, 3.5105246949999995, 3.2748089597999996, 3.3955778777999996, 3.2748089597999996, 3.3273330867999995, 2.7941744539999998]","[7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 7.0]","[-0.0018980213488205555, 0.016475128765121444, -0.006100479835403905, 0.002397505221198984, -0.005812324525740653, -0.0028622191488869297, -0.0021995891274683094]",0.016475128765121444
"[2, 4, 5, 6, 7, 8, 12]",7,"[387.164, 398.85200000000003, 399.57500000000005, 403.16900000000004, 407.735, 412.323, 499.94700000000006]","[0.467, 0.97, 0.72, 0.68, 0.7, 0.75, 0.09]","[3.3273330867999995, 3.5105246949999995, 3.2748089597999996, 3.3955778777999996, 3.2748089597999996, 3.3273330867999995, 2.8821543814]","[7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 5.0]","[-0.001401054569509147, 0.01695303070218021, -0.005469661576594537, 0.0027855496204319125, -0.005211302878937701, -0.0021127924720006908, -0.005543768825570082]",0.01695303070218021
"[2, 4, 5, 6, 7, 8, 13]",7,"[387.164, 398.85200000000003, 399.57500000000005, 403.16900000000004, 407.735, 412.323, 518.342]","[0.467, 0.97, 0.72, 0.68, 0.7, 0.75, 0.089]","[3.3273330867999995, 3.5105246949999995, 3.2748089597999996, 3.3955778777999996, 3.2748089597999996, 3.3273330867999995, 2.7941744539999998]","[7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 7.0]","[-0.000827332164812844, 0.017651707923487275, -0.004771057837632375, 0.0032646820423173767, -0.00454569758963258, -0.0012476181925397678, -0.009524684181186967]",0.017651707923487275
