wavelength,intensity
198.66,2.162e-41
198.68,2.001e-40
198.7,2.291e-33
198.71,6.997e-33
198.73,6.365e-32
198.75,6.273e-31
198.76,1.845e-30
198.78,1.557e-29
198.79,4.467e-29
198.81,3.591e-28
198.83,2.794e-27
198.84,7.698e-27
198.86,5.705e-26
198.88,4.0930000000000003e-25
198.89,1.083e-24
198.91,7.401e-24
198.93,4.897e-23
198.94,1.244e-22
198.96,7.843999999999999e-22
198.98,4.787e-21
198.99,1.168e-20
199.01,6.794e-20
199.03,3.825e-19
199.04,8.967e-19
199.06,4.811e-18
199.08,2.499e-17
199.09,5.628e-17
199.11,2.786e-16
199.12,6.126e-16
199.14,2.89e-15
199.16,1.321e-14
199.17,2.789e-14
199.19,1.215e-13
199.21,5.123e-13
199.22,1.039e-12
199.24,4.179e-12
199.26,1.627e-11
199.27,3.173e-11
199.29,1.178e-10
199.31,4.233e-10
199.32,7.931e-10
199.34,2.718e-09
199.36,9.023e-09
199.37,1.624e-08
199.39,5.14e-08
199.41,1.576e-07
199.42,2.726e-07
199.44,7.965e-07
199.46,2.254e-06
199.47,3.748e-06
199.49,1.011e-05
199.5,1.641e-05
199.52,4.222e-05
199.54,0.0001052
199.55,0.000164
199.57,0.0003896
199.59,0.0008961
199.6,0.001343
199.62,0.002944
199.64,0.006252
199.65,0.009001
199.67,0.01822
199.69,0.03571
199.7,0.04939
199.72,0.09226
199.74,0.1669
199.75,0.2218
199.77,0.3823
199.79,0.6381
199.8,0.8145
199.82,1.295
199.84,1.995
199.85,2.446
199.87,3.588
199.88,4.294
199.9,6.002
199.92,8.122
199.93,9.334
199.95,12.03
199.97,15.02
199.98,16.57
200.0,19.7
200.02,22.67
200.03,24.02
200.05,26.33
200.07,27.93
200.08,28.42
200.1,28.71
200.12,28.08
200.13,27.44
200.15,25.56
200.17,23.05
200.18,21.63
200.2,18.59
200.22,15.48
200.23,13.96
200.25,11.11
200.26,9.804
200.28,7.49
200.3,5.599
200.31,4.813
200.33,3.54
200.35,2.622
200.36,2.275
200.38,1.766
200.4,1.445
200.41,1.338
200.43,1.196
200.45,1.122
200.46,1.103
200.48,1.091
200.5,1.114
200.51,1.141
200.53,1.237
200.55,1.407
200.56,1.529
200.58,1.863
200.59,2.083
200.61,2.643
200.63,3.375
200.64,3.807
200.66,4.795
200.68,5.926
200.69,6.53
200.71,7.779
200.73,9.017
200.74,9.606
200.76,10.67
200.78,11.53
200.79,11.86
200.81,12.29
200.83,12.44
200.84,12.41
200.86,12.2
200.88,11.84
200.89,11.64
200.91,11.29
200.93,11.1
200.94,11.1
200.96,11.33
200.97,11.57
200.99,12.33
201.01,13.39
201.02,14.02
201.04,15.38
201.06,16.76
201.07,17.41
201.09,18.52
201.11,19.28
201.12,19.49
201.14,19.55
201.16,19.11
201.17,18.72
201.19,17.65
201.21,16.29
201.22,15.55
201.24,14.02
201.26,12.55
201.27,11.87
201.29,10.67
201.31,9.72
201.32,9.345
201.34,8.797
201.35,8.619
201.37,8.442
201.39,8.483
201.4,8.579
201.42,8.912
201.44,9.423
201.45,9.743
201.47,10.5
201.49,11.41
201.5,11.9
201.52,12.95
201.54,14.01
201.55,14.53
201.57,15.5
201.59,16.31
201.6,16.64
201.62,17.14
201.64,17.41
201.65,17.47
201.67,17.47
201.69,17.37
201.7,17.31
201.72,17.23
201.73,17.24
201.75,17.38
201.77,17.76
201.78,18.04
201.8,18.8
201.82,19.79
201.83,20.34
201.85,21.53
201.87,22.71
201.88,23.27
201.9,24.26
201.92,24.99
201.93,25.25
201.95,25.52
201.97,25.47
201.98,25.33
202.0,24.89
202.02,24.25
202.03,23.88
202.05,23.07
202.06,22.63
202.08,21.71
202.1,20.71
202.11,20.17
202.13,19.0
202.15,17.69
202.16,16.97
202.18,15.43
202.2,13.77
202.21,12.9
202.23,11.16
202.25,9.447
202.26,8.631
202.28,7.124
202.3,5.838
202.31,5.296
202.33,4.441
202.35,3.921
202.36,3.795
202.38,3.832
202.4,4.272
202.41,4.652
202.43,5.747
202.44,6.467
202.46,8.252
202.48,10.48
202.49,11.75
202.51,14.55
202.53,17.58
202.54,19.13
202.56,22.18
202.58,24.97
202.59,26.21
202.61,28.21
202.63,29.46
202.64,29.77
202.66,29.69
202.68,28.73
202.69,27.95
202.71,25.87
202.73,23.27
202.74,21.85
202.76,18.9
202.78,15.98
202.79,14.6
202.81,12.05
202.82,10.92
202.84,8.965
202.86,7.43
202.87,6.813
202.89,5.843
202.91,5.17
202.92,4.921
202.94,4.551
202.96,4.301
202.97,4.206
202.99,4.059
203.01,3.962
203.02,3.936
203.04,3.947
203.06,4.076
203.07,4.201
203.09,4.603
203.11,5.247
203.12,5.67
203.14,6.726
203.16,8.052
203.17,8.803
203.19,10.44
203.2,11.29
203.22,13.02
203.24,14.64
203.25,15.37
203.27,16.59
203.29,17.39
203.3,17.61
203.32,17.65
203.34,17.18
203.35,16.77
203.37,15.64
203.39,14.2
203.4,13.4
203.42,11.75
203.44,10.14
203.45,9.377
203.47,8.02
203.49,6.938
203.5,6.515
203.52,5.916
203.53,5.74
203.55,5.617
203.57,5.764
203.58,5.921
203.6,6.355
203.62,6.885
203.63,7.159
203.65,7.678
203.67,8.093
203.68,8.243
203.7,8.398
203.72,8.342
203.73,8.235
203.75,7.876
203.77,7.364
203.78,7.071
203.8,6.465
203.82,5.911
203.83,5.685
203.85,5.402
203.87,5.43
203.88,5.59
203.9,6.256
203.91,6.779
203.93,8.23
203.95,10.23
203.96,11.43
203.98,14.19
204.0,17.32
204.01,18.98
204.03,22.34
204.05,25.58
204.06,27.06
204.08,29.63
204.1,31.46
204.11,32.05
204.13,32.49
204.15,31.95
204.16,31.32
204.18,29.41
204.2,26.81
204.21,25.33
204.23,22.12
204.25,18.82
204.26,17.2
204.28,14.15
204.29,12.76
204.31,10.28
204.33,8.263
204.34,7.423
204.36,6.058
204.38,5.057
204.39,4.669
204.41,4.064
204.43,3.62
204.44,3.436
204.46,3.112
204.48,2.811
204.49,2.662
204.51,2.359
204.53,2.051
204.54,1.897
204.56,1.597
204.58,1.319
204.59,1.192
204.61,0.9694
204.62,0.8762
204.64,0.7293
204.66,0.6373
204.67,0.6119
204.69,0.6008
204.71,0.6392
204.72,0.6752
204.74,0.7766
204.76,0.9114
204.77,0.9894
204.79,1.163
204.81,1.356
204.82,1.461
204.84,1.688
204.86,1.95
204.87,2.1
204.89,2.454
204.91,2.909
204.92,3.188
204.94,3.873
204.96,4.764
204.97,5.298
204.99,6.555
205.0,7.278
205.02,8.904
205.04,10.73
205.05,11.69
205.07,13.63
205.09,15.51
205.1,16.38
205.12,17.89
205.14,18.98
205.15,19.33
205.17,19.62
205.19,19.32
205.2,18.96
205.22,17.86
205.24,16.35
205.25,15.49
205.27,13.67
205.29,11.85
205.3,11.0
205.32,9.518
205.34,8.463
205.35,8.139
205.37,7.968
205.38,8.147
205.4,9.077
205.42,10.81
205.43,11.98
205.45,14.93
205.47,18.64
205.48,20.76
205.5,25.43
205.52,30.59
205.53,33.32
205.55,39.02
205.57,45.03
205.58,48.18
205.6,54.87
205.62,62.39
205.63,66.6
205.65,76.24
205.67,88.01
205.68,94.86
205.7,110.7
205.72,129.5
205.73,140.0
205.75,162.6
205.76,174.5
205.78,198.8
205.8,222.2
205.81,233.0
205.83,251.5
205.85,264.6
205.86,268.6
205.88,271.1
205.9,265.8
205.91,260.3
205.93,244.3
205.95,222.7
205.96,210.4
205.98,183.8
206.0,156.3
206.01,142.9
206.03,117.5
206.05,95.05
206.06,85.19
206.08,68.43
206.09,61.52
206.11,50.51
206.13,42.81
206.14,40.01
206.16,36.05
206.18,33.69
206.19,32.92
206.21,31.83
206.23,31.01
206.24,30.61
206.26,29.7
206.28,28.61
206.29,28.0
206.31,26.68
206.33,25.33
206.34,24.67
206.36,23.45
206.38,22.45
206.39,22.04
206.41,21.44
206.43,21.14
206.44,21.11
206.46,21.23
206.47,21.39
206.49,21.87
206.51,22.5
206.52,22.86
206.54,23.58
206.56,24.23
206.57,24.5
206.59,24.87
