spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0,0.931,0,0,0,0,0,0.9855,0.9624,0.9884,0,0,0,0,0
03124_95_random,0.9884,0.8388,0,0,0,0,0,0.8916,0,0,0.8689,0,0,0,0
03130_95_random,0.9812,0.926,0,0,0,0.8848,0,0.9784,0,0,0,0,0,0,0
03134_95_random,0,0,0,0,0.9952,0,0,0,0,0,0,0,0,0,0
070036_95_random,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0
070099_95_random,0.9208,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0
070101_95_random,0,0,0.947,0.0004,0,0.5143,0,0,0,0,0,0,0,0,0
070159_95_random,0,0,0,0,0,0.8769,0,0,0,0,0,0,0,0,0
070171_95_random,0.9786,0,0,0,0.919,0,0,0,0,0,0.8978,0,0,0,0
07103_95_random,0.9862,0,0,0.9532,0,0,0,0.9349,0,0,0,0,0,0,0
07105_95_random,0,0,0,0.2976,0.9041,0.8605,0,0,0,0,0,0,0,0,0
07106_95_random,0.9765,0.4353,0.9318,0.8775,0.9795,0,0,0,0,0,0,0,0,0,0
07107_95_random,0,0.9913,0.6611,0,0.9529,0.8224,0,0.8743,0,0,0,0,0,0,0
07111_95_random,0,0,0,0,0.9912,0,0,0,0,0.8832,0,0,0,0,0
07121_95_random,0,0,0,0.9688,0.989,0.663,0,0,0,0,0,0,0,0,0
07122_95_random,0,0,0,0,0,0.8755,0,0,0,0,0,0,0,0,0
07125_95_random,0.9772,0.8622,0.8649,0,0.9968,0,0,0,0,0,0,0,0,0,0
07141_95_random,0,0,0,0.946,0,0,0,0.9547,0,0,0,0,0,0,0
07145_95_random,0,0,0.9594,0,0,0.8427,0,0,0,0,0,0,0,0,0
07405_95_random,0,0,0,0,0,0,0.9503,0,0,0,0,0,0,0,0
07407_95_random,0,0,0,0,0.7366,0.5621,0,0,0.955,0,0.2878,0,0,0,0
07840_95_random,0,0,0,0,0,0.6913,0,0,0,0,0,0,0,0,0
