Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
245.754,4.501e+4,4.334e+4,1.672e+3,1.247e-60
245.756,4.854e+4,4.679e+4,1.743e+3,1.250e-60
245.758,5.076e+4,4.899e+4,1.765e+3,1.253e-60
245.759,5.132e+4,4.956e+4,1.756e+3,1.254e-60
245.761,5.126e+4,4.956e+4,1.700e+3,1.257e-60
245.763,4.966e+4,4.806e+4,1.597e+3,1.260e-60
245.764,4.832e+4,4.679e+4,1.530e+3,1.262e-60
245.766,4.471e+4,4.334e+4,1.374e+3,1.265e-60
245.768,4.013e+4,3.893e+4,1.196e+3,1.268e-60
245.769,3.758e+4,3.648e+4,1.103e+3,1.269e-60
245.771,3.221e+4,3.129e+4,9.178e+2,1.272e-60
245.773,2.678e+4,2.604e+4,7.404e+2,1.275e-60
245.774,2.413e+4,2.348e+4,6.574e+2,1.277e-60
245.776,1.916e+4,1.865e+4,5.066e+2,1.280e-60
245.778,1.475e+4,1.438e+4,3.786e+2,1.283e-60
245.779,1.280e+4,1.248e+4,3.235e+2,1.284e-60
245.781,9.412e+3,9.181e+3,2.309e+2,1.287e-60
245.783,6.713e+3,6.553e+3,1.598e+2,1.290e-60
245.784,5.605e+3,5.473e+3,1.315e+2,1.292e-60
245.786,3.818e+3,3.731e+3,8.690e+1,1.295e-60
245.788,2.522e+3,2.467e+3,5.572e+1,1.298e-60
245.789,2.027e+3,1.983e+3,4.411e+1,1.299e-60
245.791,1.279e+3,1.252e+3,2.701e+1,1.302e-60
245.793,7.826e+2,7.666e+2,1.605e+1,1.305e-60
245.794,6.052e+2,5.930e+2,1.224e+1,1.307e-60
245.796,3.538e+2,3.468e+2,6.970e+0,1.310e-60
245.798,2.006e+2,1.967e+2,3.886e+0,1.313e-60
245.799,1.493e+2,1.464e+2,2.894e+0,1.314e-60
245.801,8.096e+1,7.932e+1,1.640e+0,1.317e-60
245.803,4.270e+1,4.167e+1,1.038e+0,1.320e-60
245.804,3.075e+1,2.985e+1,9.002e-1,1.322e-60
245.806,1.583e+1,1.498e+1,8.558e-1,1.325e-60
245.808,8.343e+0,7.288e+0,1.056e+0,1.328e-60
245.809,6.261e+0,5.025e+0,1.236e+0,1.329e-60
245.811,4.092e+0,2.335e+0,1.757e+0,1.332e-60
245.813,3.556e+0,1.052e+0,2.504e+0,1.335e-60
245.814,3.668e+0,6.985e-1,2.969e+0,1.337e-60
245.816,4.403e+0,3.006e-1,4.102e+0,1.340e-60
245.818,5.651e+0,1.255e-1,5.525e+0,1.343e-60
245.819,6.435e+0,8.015e-2,6.355e+0,1.344e-60
245.821,8.310e+0,3.195e-2,8.278e+0,1.347e-60
245.823,1.065e+1,1.235e-2,1.063e+1,1.350e-60
245.824,1.204e+1,7.593e-3,1.203e+1,1.352e-60
245.826,1.552e+1,2.804e-3,1.552e+1,1.355e-60
245.828,2.062e+1,1.004e-3,2.062e+1,1.358e-60
245.829,2.421e+1,5.940e-4,2.421e+1,1.359e-60
245.831,3.507e+1,2.031e-4,3.507e+1,1.362e-60
245.833,5.454e+1,6.738e-5,5.454e+1,1.365e-60
245.834,6.966e+1,3.836e-5,6.966e+1,1.367e-60
245.836,1.176e+2,1.215e-5,1.176e+2,1.370e-60
245.838,2.036e+2,3.733e-6,2.036e+2,1.373e-60
245.839,2.687e+2,2.046e-6,2.687e+2,1.374e-60
245.841,4.653e+2,6.002e-7,4.653e+2,1.377e-60
245.843,7.935e+2,1.708e-7,7.935e+2,1.380e-60
245.844,1.028e+3,9.006e-8,1.028e+3,1.382e-60
245.846,1.692e+3,2.448e-8,1.692e+3,1.385e-60
245.848,2.711e+3,6.451e-9,2.711e+3,1.388e-60
245.849,3.395e+3,3.274e-9,3.395e+3,1.389e-60
245.851,5.206e+3,8.241e-10,5.206e+3,1.392e-60
245.853,7.748e+3,2.012e-10,7.748e+3,1.395e-60
245.854,9.346e+3,9.826e-11,9.346e+3,1.397e-60
245.856,1.329e+4,2.291e-11,1.329e+4,1.400e-60
245.858,1.834e+4,5.180e-12,1.834e+4,1.403e-60
